Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	76/551	1.2631693389915709E-20	5.0842565894410727E-17	0	0	3.994659546061415	183.02762245998227	TOP2A;ERCC6L;LRR1;HJURP;NRM;MCM10;KIF15;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;GAS2L3;CKAP2L;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;MELK;MTHFD2;KIFC1;FANCD2;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;CENPU;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;PLK1;NDC80;TPX2;RAD51;CENPH;CENPI;CDK2;CDK1;CENPM;PLP2;APOBEC3B;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	52/300	9.748539832704712E-19	1.9618936413318234E-15	0	0	5.133977381796937	212.91630614711713	TOP2A;HJURP;CDC20;TUBA1C;PTTG1;PCLAF;PBK;MYBL2;TK1;DLGAP5;CEP55;CKAP2L;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;MTHFD2;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;CDK1;CENPM;SPC24;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	60/396	1.798283721377951E-18	2.4126973261820844E-15	0	0	4.397525676937442	179.68157529323526	TOP2A;LRR1;HJURP;YBX1;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;CKAP2L;CDC25C;PIMREG;WDR76;CCNA2;TMEM37;MELK;MTHFD2;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;RAD51;CDK1;CENPM;SPC24;EZH2;APOBEC3B;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	26/74	6.858155660131831E-18	6.116914560163441E-15	0	0	12.966781393408427	512.4613749481373	TOP2A;TROAP;HJURP;CDCA8;TYMS;AURKB;AURKA;CDC20;TUBA1C;PTTG1;PCLAF;MYBL2;TK1;RRM2;CKAP2L;UBE2C;PLK1;ESCO2;PIMREG;TPX2;KIFC1;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID53378674 BB-86-UL91 BAID24 10UM	56/360	7.598651627532225E-18	6.116914560163441E-15	0	0	4.520464033947026	178.19018663654606	TOP2A;LRR1;HJURP;NRM;CDC20;TUBA1C;PTTG1;PCLAF;PBK;NUSAP1;MYBL2;TK1;GTSE1;DLGAP5;CKAP2L;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;MTHFD2;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;CDK1;CENPM;SPC24;EZH2;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	67/550	1.652717823459907E-15	1.108698206571021E-12	0	0	3.420694100744577	116.42795977308649	TOP2A;STEAP3;LRR1;RPLP0;HJURP;MCM10;YBX1;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;EIF5AL1;CKAP2L;ESCO2;PIMREG;WDR76;CCNA2;MELK;MTHFD2;KIFC1;FANCD2;CKS2;BIRC5;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;GNG5;SERPINH1;EIF4EBP1;CENPU;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;PLK1;TPX2;RAD51;CENPH;CDK1;CENPM;APOBEC3B;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	19/44	2.1415412256479047E-15	1.2313862047475453E-12	0	0	18.057071960297765	609.9182451782125	TOP2A;RRM2;UBE2C;TROAP;LRR1;HJURP;PIMREG;AURKB;CDC20;CCNB2;PTTG1;PBK;PCLAF;BIRC5;CENPM;MYBL2;KIF2C;KIF20A;DLGAP5
CID151345176 AC-45-YY00 BAID36 10UM	25/92	2.7068434788477493E-14	1.3618806252952739E-11	0	0	8.912313432835822	278.42430888031436	TOP2A;HJURP;CDCA8;CENPA;AURKB;AURKA;CDC20;TUBA1C;PTTG1;TK1;DLGAP5;RRM2;CDKN2C;UBE2C;PLK1;PIMREG;CDC25C;CCNA2;TPX2;KIFC1;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	36/198	5.088447155781032E-14	2.2756666446687394E-11	0	0	5.355020419659203	163.91299060790877	TOP2A;CDCA2;TROAP;HJURP;CDCA8;NCAPH;AURKB;KIF15;AURKA;CDC20;TUBA1C;CCNB2;CDC45;PTTG1;PCLAF;PBK;EIF4EBP1;E2F2;MYBL2;DLGAP5;CEP55;CDKN2C;RRM2;UBE2C;PLK1;ESCO2;TMEM37;MELK;MTHFD2;KIFC1;FANCD2;ID3;CENPM;BIRC5;KIF2C;KIF20A
CID71678945 NA-16-OJ70 BAID32 10UM	47/328	8.459314843550159E-14	3.404874224528939E-11	0	0	4.061961961046208	122.26880470312823	TOP2A;CDCA2;LRR1;TROAP;HJURP;NRM;CDCA8;MCM10;TYMS;CENPA;AURKB;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;CDC45;ORC1;PCLAF;SERPINH1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;PLK1;ESCO2;PIMREG;WDR76;NDC80;TPX2;TMEM37;MELK;KIFC1;FANCD2;CKS2;CENPM;BIRC5;TAGLN2;KIF2C;KIF20A;PRR11;ASF1B
