Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	67/551	1.0534654284515972E-15	4.204380524950324E-12	0	0	3.4561233159364	119.19025774311112	ARHGAP11A;TOP2A;ERCC6L;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;NUF2;PBK;OIP5;MYBL2;GTSE1;DLGAP5;CKAP2L;KIF23;ESCO2;CDC25C;SGO1;CCNA2;ASPM;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;DEPDC1;KIF2C;MTFR2;KIF20A;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;ORC1;BUB1;CENPU;RRM2;DDIAS;UBE2C;CBX2;PLK1;NDC80;TPX2;RAD51;KIF18B;CENPI;KIF4A;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	54/396	6.0656302840774886E-15	1.2103965231876628E-11	0	0	3.904268545379196	127.8106736422205	ARHGAP11A;TOP2A;HJURP;BUB1B;YBX1;FOXM1;MKI67;CDC20;NUF2;PBK;NUSAP1;OIP5;MYBL2;GTSE1;DLGAP5;CKAP2L;KIF23;CDC25C;CCNA2;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;ORC1;SERPINH1;BUB1;RRM2;UBE2C;CBX2;PLK1;TPX2;RAD51;KIF18B;KIF4A;EZH2;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	50/360	3.0478677476233055E-14	4.0546800602548705E-11	0	0	3.9741430135601785	123.68228157638728	TOP2A;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PBK;NUSAP1;MYBL2;GTSE1;DLGAP5;CKAP2L;KIF23;ESCO2;CDC25C;CCNA2;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;ORC1;RRM2;UBE2C;PLK1;TPX2;KIF18B;KIF4A;EZH2;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	22/74	1.0066863279172482E-13	1.0044212836794343E-10	0	0	10.194342181747723	305.08548858113227	TOP2A;RRM2;CKAP2L;UBE2C;TROAP;PLK1;HJURP;CDCA8;ESCO2;MKI67;FOXM1;TYMS;AURKB;AURKA;CDC20;TPX2;KIFC1;KIF4A;MYBL2;KIF2C;KIF20A;PRR11
CID44819306 CA-90-RU33 BAID12 10UM	44/300	1.595659905014994E-13	1.2736557361829682E-10	0	0	4.214054404145077	124.17267061716241	TOP2A;CDCA2;TROAP;HJURP;CDCA8;BUB1B;MKI67;SKA3;TYMS;FOXM1;CENPA;SKA1;AURKB;AURKA;CDC20;BCL2L12;CCNB2;PBK;MYBL2;BUB1;DLGAP5;RRM2;UBE2C;CKAP2L;PLK1;KIF23;ESCO2;CDC25C;NDC80;CCNA2;TPX2;MELK;KIF18B;RAD51;ESPL1;MTHFD2;KIFC1;FANCD2;KIF4A;KIF2C;KIF20A;ASF1B;APOBEC3B;SPC25
CID151345176 AC-45-YY00 BAID36 10UM	23/92	1.5936974116560458E-12	1.0600743949865464E-9	0	0	8.0348886086591	218.2674628768529	TOP2A;RRM2;UBE2C;PLK1;HJURP;BUB1B;CDCA8;KIF23;MKI67;CDC25C;CENPA;AURKB;AURKA;CDC20;CCNA2;TPX2;ESPL1;KIFC1;KIF4A;KIF2C;KIF20A;PRR11;DLGAP5
CID71678945 NA-16-OJ70 BAID32 10UM	44/328	3.67395031719463E-12	2.0946765308462526E-9	0	0	3.792965044150916	99.86783522328291	TOP2A;CDCA2;TROAP;HJURP;NRM;CDCA8;BUB1B;MCM10;MKI67;TYMS;FOXM1;CENPA;AURKB;AURKA;CDC20;BCL2L12;CCNB2;EME1;ORC1;SERPINH1;OIP5;MYBL2;GTSE1;DLGAP5;RRM2;UBE2C;CBX2;PLK1;ESCO2;NDC80;TPX2;MELK;KIF18B;ESPL1;TMSB15A;KIFC1;FANCD2;KIF4A;MFAP2;KIF2C;KIF20A;TGFBI;PRR11;ASF1B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	61/579	1.153491305888012E-11	5.399781881255706E-9	0	0	2.9114168094300545	73.32590369210074	ARHGAP11A;TOP2A;ERCC6L;HJURP;NRM;BUB1B;MCM10;YBX1;FOXM1;MKI67;LMNB1;CDC20;EME1;MDK;PBK;OIP5;MYBL2;GTSE1;DLGAP5;CKAP2L;GPX8;KIF23;ESCO2;CDC25C;CCNA2;ASPM;NEIL3;MELK;ESPL1;TMSB15A;KIFC1;FANCD2;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;ORC1;SERPINH1;BUB1;RRM2;UBE2C;CBX2;PLK1;TPX2;RAD51;KIF18B;KIF4A;MFAP2;APOBEC3B;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	59/550	1.2176907274192272E-11	5.399781881255706E-9	0	0	2.9672466349374607	74.57129888020272	ARHGAP11A;TOP2A;RPLP0;HJURP;BUB1B;MCM10;YBX1;FOXM1;MKI67;CDC20;NUF2;PBK;OIP5;MYBL2;GTSE1;DLGAP5;EIF5AL1;CKAP2L;KIF23;ESCO2;CCNA2;ASPM;MELK;ESPL1;MTHFD2;KIFC1;FANCD2;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;GNG5;SERPINH1;EIF4EBP1;CENPU;RRM2;UBE2C;CBX2;PLK1;TPX2;RAD51;KIF18B;KIF4A;MFAP2;APOBEC3B;SPC25
BE-04-AN21 BAID11 1UM	34/240	2.4470183776786456E-10	9.766050345315475E-8	0	0	4.005487547488392	88.64536734807456	TOP2A;CDCA2;TROAP;HJURP;CDCA8;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;BCL2L12;CCNB2;MYBL2;GTSE1;DLGAP5;RRM2;UBE2C;CBX2;PLK1;TPX2;MELK;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;KIF2C;KIF20A;PRR11;ASF1B;APOBEC3B
