Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	82/551	2.4937946647947706E-56	1.0027548347139772E-52	0	0	14.295222973279499	1830.2311163297938	TOP2A;ARHGAP11A;ERCC6L;LRR1;HJURP;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;NUF2;PCLAF;PBK;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;GAS2L3;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;SGO1;CCNA2;ASPM;MELK;ESPL1;MTHFD2;TMSB15A;FANCD2;KIFC1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;SLC43A3;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;CENPH;CENPI;CDK4;KIF4A;CDK2;CDK1;CENPM;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	63/396	1.0587788811067492E-44	2.1286749404651192E-41	0	0	14.412640987444137	1459.3754247527281	TOP2A;ARHGAP11A;LRR1;HJURP;BUB1B;YBX1;MKI67;FOXM1;CDC20;PTTG1;NUF2;PCLAF;PBK;NUSAP1;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;MTHFD2;TMSB15A;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;SPC24;EZH2;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	59/360	1.3871886758624653E-42	1.859295221880991E-39	0	0	14.72530840351284	1419.2442894064786	TOP2A;LRR1;HJURP;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PTTG1;PCLAF;PBK;NUSAP1;MYBL2;GTSE1;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;MTHFD2;TMSB15A;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	69/550	4.85755007027715E-42	4.883052208146105E-39	0	0	11.107051840922809	1056.5920684255586	TOP2A;ARHGAP11A;LRR1;HJURP;BUB1B;MCM10;YBX1;MKI67;FOXM1;CDC20;PTTG1;NUF2;PCLAF;PBK;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;WDR76;CCNA2;ASPM;MELK;ESPL1;MTHFD2;FANCD2;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;SERPINH1;EIF4EBP1;CENPU;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;RAD51;CENPH;CDK4;KIF4A;MFAP2;CDK1;CENPM;VIM;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	54/300	3.4999737400642146E-41	2.5830560605799316E-38	0	0	16.22303626078086	1511.2282823994294	TOP2A;HJURP;BUB1B;MKI67;FOXM1;CDC20;PTTG1;PCLAF;PBK;MYBL2;DLGAP5;CEP55;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;MTHFD2;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;CDCA2;TROAP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;SPC24;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	81/834	3.854348759880525E-41	2.5830560605799316E-38	0	0	8.628367884394624	802.9281902522636	TOP2A;ARHGAP11A;LRR1;HJURP;BUB1B;MCM10;YBX1;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EME1;PCLAF;PBK;RCC1;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;SGO1;CCNA2;ZNF90;NEIL3;MELK;ESPL1;MTHFD2;TMSB15A;FANCD2;KIFC1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;SERPINH1;EIF4EBP1;BUB1;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;CENPH;CENPI;CDK4;KIF4A;MFAP2;CDK1;CENPM;VIM;EZH2;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	69/579	1.4732381752002049E-40	8.462701003542891E-38	0	0	10.459653700189753	959.3169806156541	TOP2A;ARHGAP11A;ERCC6L;LRR1;HJURP;BUB1B;MCM10;YBX1;MKI67;FOXM1;LMNB1;CDC20;PTTG1;EME1;PCLAF;PBK;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;CKAP2L;ACTL6A;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;ASPM;NEIL3;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;PRR11;CDCA2;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;RAD51;CENPH;CDK4;KIF4A;MFAP2;CENPM;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	72/703	6.621609257308285E-38	3.328186352954577E-35	0	0	8.87314596202982	759.6113487522869	TOP2A;ARHGAP11A;LRR1;HJURP;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EME1;NUF2;PCLAF;PBK;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;CKAP2L;F2R;KIF23;ESCO2;PIMREG;CDC25C;WDR76;SGO1;CCNA2;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;CENPU;GINS2;POLQ;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;KIF18B;RAD51;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;SPC25
BE-04-AN21 BAID12 10UM	78/874	6.526354102108274E-37	2.9158299827308188E-34	0	0	7.743666028889216	645.2007046689693	TOP2A;LRR1;HJURP;BUB1B;MCM10;MKI67;FOXM1;HOXC11;KIF15;LMNB1;CDC20;PTTG1;EME1;PCLAF;PBK;RCC1;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;DEPDC1B;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;CDCA2;TROAP;NCAPG;CDCA8;SKA3;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;SERPINH1;CENPU;GINS2;POLQ;CDKN2C;RRM2;UBE2C;PLK1;TPX2;WEE1;MEX3A;KIF18B;RAD51;CENPH;CDK4;KIF4A;MFAP2;CDK2;CDK1;NOX4;CENPM;SPC24;EZH2;SPC25
CID71678945 NA-16-OJ70 BAID31 1UM	65/636	4.670987294159972E-34	1.8782039909817248E-31	0	0	8.633419509076251	662.5849263357027	TOP2A;ERCC6L;LRR1;HJURP;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PCLAF;PBK;RCC1;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;CKAP2L;ACTL6A;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;DEPDC1B;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;MTFR2;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;SERPINH1;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;RAD51;CENPH;CDK4;KIF4A;MFAP2;CDK1;CENPM;SPC25
