Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID146673503 AD-72-OW33 BAID36 10UM	3/44	0.010051831379401552	0.9998521679754419	0	0	7.22780487804878	33.24790557785922	SPARC;MTHFD2;HOXC6
CID118695109 BROMODOMAININHIBITOR-9 BC-34-IH52 BAID44 10UM	5/133	0.011579912412084174	0.9998521679754419	0	0	3.8804056186868685	17.300723922056278	CCDC80;CDK4;ID3;HOXC13;AQP1
CID51039095 AZD-4547 BD-81-LB65 BAID39 1UM	3/52	0.015813406140963954	0.9998521679754419	0	0	6.04530612244898	25.06926308539757	FOXD1;MTHFD2;ADAMTS12
CID11364421 BI-2536 AB-30-CR11 BAID2 0.1UM	11/522	0.017946916294923152	0.9998521679754419	0	0	2.162283920417482	8.693109991293149	ZNF90;CCDC80;SPARC;CDKN2C;MTHFD2;TMSB15A;CDK4;CBX2;ID3;AQP1;HOXC6
CID67347910 SC-25-HE80 BAID26 0.1UM	3/58	0.02112750041615226	0.9998521679754419	0	0	5.384181818181818	20.76775707859313	CBX2;HOXC4;ID3
CID5663 VESNARINONE AB-44-GQ28 BAID4 10UM	4/108	0.024379175811614997	0.9998521679754419	0	0	3.8061461151913414	14.136125484788863	FOXD1;MTHFD2;SIX1;HOXA4
FE-25-GD89 BAID36 10UM	3/63	0.02621371026979023	0.9998521679754419	0	0	4.93425	17.96793673088782	SPARC;MTHFD2;HOXA4
CID4858 OC-40-XI13 BAID27 1UM	6/226	0.02810731052473322	0.9998521679754419	0	0	2.710244577757268	9.680249874116347	CCDC80;SPARC;MTHFD2;CDK4;ID3;AQP1
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	8/355	0.028921756381616696	0.9998521679754419	0	0	2.299564028670657	8.147725930886601	ZNF90;CCDC80;CDK4;CBX2;ID3;HOXB7;AQP1;HOXC6
CID11035592 AE-39-DG66 BAID17 0.01UM	5/171	0.03052882616202076	0.9998521679754419	0	0	2.9863392965802604	10.419588424281622	CCDC80;CDKN2C;MTHFD2;CDK4;AQP1
PF-84-RH50 BAID36 10UM	6/237	0.034284220537906224	0.9998521679754419	0	0	2.5797349858263563	8.701626877707398	CCDC80;SPARC;TMSB15A;ID3;AQP1;HOXC6
CID90016622 US9592235,EXAMPLE314 IC-27-TE11 BAID4 10UM	3/74	0.03949518982848586	0.9998521679754419	0	0	4.167464788732395	13.467480821526602	SPARC;FOXD1;MTHFD2
CID767327 KB-49-NF63 BAID16 10UM	7/311	0.039899903784609156	0.9998521679754419	0	0	2.290061090225564	7.377160124205104	CCDC80;SPARC;MTHFD2;TMSB15A;CDK4;AQP1;HOXC6
CID9884942 DB-07-WB29 BAID20 10UM	6/246	0.03994503668623329	0.9998521679754419	0	0	2.4818527918781728	7.992188569147573	SPARC;CDKN2C;MTHFD2;CDK4;CBX2;AQP1
CID9808877 CD-35-BD44 BAID51 1UM	3/75	0.04084311538173807	0.9998521679754419	0	0	4.109375	13.141851133975251	SPARC;CCDC80;CDK4
CID6918666 ZD-43-CS43 BAID10 0.1UM	3/77	0.043607943395539986	0.9998521679754419	0	0	3.9979054054054055	12.523502478009505	SPARC;CDKN2C;CDK4
CID25265312 PF-8380 DA-10-VU83 BAID7 1UM	8/386	0.043859283114170984	0.9998521679754419	0	0	2.1076109076109075	6.590012199157336	CCDC80;SPARC;CDKN2C;MTHFD2;TMSB15A;CDK4;CBX2;HOXD11
CID10217198 FD-49-XC21 BAID44 10UM	6/260	0.049871110230568116	0.9998521679754419	0	0	2.343379031935729	7.0261847461190605	CCDC80;CDKN2C;CBX2;ID3;HOXC9;HOXD9
EF-85-DA07 BAID52 10UM	9/474	0.05332149036544513	0.9998521679754419	0	0	1.9286997006983704	5.653820839194021	ZNF90;CCDC80;SPARC;DYNLT1;TMSB15A;CBX2;HOXC9;AQP1;HOXC6
CID86488 (R)-AMINOGLUTETHIMIDE AC-91-ME22 BAID52 10UM	2/37	0.05413955175682425	0.9998521679754419	0	0	5.6181947405828	16.38372486085176	FOXD1;CDK4
CID24826799 PONATINIB BE-81-QL64 BAID21 0.01UM	3/86	0.057163671017674375	0.9998521679754419	0	0	3.5627710843373492	10.196069058675818	SPARC;CDKN2C;ID3
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID16 10UM	4/147	0.0629962971897932	0.9998521679754419	0	0	2.762624310363004	7.63777032488304	SPARC;CCDC80;CDKN2C;TMSB15A
CID118288050 AA-99-PN83 BAID52 10UM	13/797	0.06324253349081335	0.9998521679754419	0	0	1.659297798066595	4.580953198031217	NMB;CDKN2C;CBX2;STON1;AQP1;ZNF90;CCDC80;TMSB15A;CDK4;ID3;HOXC9;HOXA4;HOXC6
CID2810167 1,1'-BINAPHTHALENE-2,2'-DICARBOXYLICACID DA-83-VJ09 BAID27 1UM	5/210	0.06331784859045687	0.9998521679754419	0	0	2.4134023158413402	6.659996121431171	CCDC80;SPARC;MTHFD2;CDK4;AQP1
CID10437018 BMS-599626 XF-24-NT53 BAID44 10UM	2/41	0.06494252258200998	0.9998521679754419	0	0	5.040949100650593	13.783228528972014	FOXD1;MTHFD2
CID9543539 N1-(2-AMINOPHENYL)-N7-PHENYLHEPTANEDIAMIDE BE-71-AV63 BAID48 10UM	3/91	0.06545610649331811	0.9998521679754419	0	0	3.3594886363636363	9.159227479975351	CCDC80;CDK4;ADAMTS12
CID72201027 SGC-CBP30 ED-33-YZ72 BAID4 10UM	6/280	0.06647369349244588	0.9998521679754419	0	0	2.1701063396198452	5.883047602963943	CCDC80;SPARC;CDK4;ID3;ADAMTS12;AQP1
CC-18-YW57 BAID35 1UM	8/422	0.06672361335946612	0.9998521679754419	0	0	1.9207729468599033	5.199909540366681	SPARC;CDKN2C;MTHFD2;TMSB15A;CDK4;CBX2;STON1;AQP1
CID86294693 NVS-BET-1 CB-55-AK76 BAID21 0.01UM	2/42	0.06774751956909215	0.9998521679754419	0	0	4.914676616915423	13.230149388692144	HOXA9;CCDC80
CID5081 RO15-4513 LA-86-XT29 BAID28 10UM	6/282	0.06829213463701271	0.9998521679754419	0	0	2.154160229529905	5.781681350352468	SPARC;CDKN2C;TMSB15A;CBX2;HOXD11;AQP1
EA-17-BY69 BAID36 10UM	7/357	0.07242363408696285	0.9998521679754419	0	0	1.9843877551020408	5.209459572321	CCDC80;SPARC;ID3;ADAMTS12;AQP1;HOXA4;HOXC6
CID2325 BENOXATHIAN CE-48-TP40 BAID16 10UM	2/44	0.073474860961714	0.9998521679754419	0	0	4.680170575692964	12.219045309178888	MTHFD2;HOXC13
CID37990 ZINTEROL GE-54-IF41 BAID18 0.1UM	2/44	0.073474860961714	0.9998521679754419	0	0	4.680170575692964	12.219045309178888	ZNF90;HOXB7
CID101476432 RC-52-AC88 BAID27 1UM	3/96	0.07426711533963318	0.9998521679754419	0	0	3.1780645161290324	8.263244291509611	CCDC80;MTHFD2;ID3
CID5743 DEXAMETHASONE RB-80-RO52 BAID4 10UM	4/157	0.0761791127382904	0.9998521679754419	0	0	2.5807468716129667	6.644566295885912	SPARC;FOXD1;MTHFD2;CDK4
