Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	47/551	9.002214538349492E-12	3.208389261467759E-8	0	0	3.477014591926009	88.43282624443133	ARHGAP11A;TOP2A;ERCC6L;PCNA;SLC43A3;NRM;BUB1B;SKA3;FOXM1;MKI67;NCAPH;SKA1;KIF15;LMNB1;CCNB2;ORC1;PTTG1;PCLAF;E2F2;MYBL2;TK1;BUB1;E2F8;TCF19;GINS2;CDKN2C;RRM2;CKAP2L;DDIAS;CBX2;PLK1;WDR76;SGO1;ASPM;TPX2;MELK;RAD51;CENPH;TMSB15A;KIFC1;CENPI;KIF4A;CDK2;KIF2C;DTL;ASF1B;SPC25
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	26/217	3.9246933258630065E-10	6.993803506687878E-7	0	0	4.954562099783252	107.30869396498795	TOP2A;BUB1B;MKI67;FOXM1;NCAPH;PTTG1;PCLAF;MYBL2;TK1;TCF19;GINS2;CDKN2C;RRM2;PLK1;WDR76;TPX2;DEPDC1B;MEX3A;MELK;CENPH;KIF4A;TAGLN2;KIF2C;NES;ASF1B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	33/360	2.0739981301925567E-9	1.9141455168815E-6	0	0	3.696052585328131	73.89809045550643	TOP2A;PCNA;NRM;BUB1B;MKI67;FOXM1;NCAPH;SKA1;LMNB1;CCNB2;PTTG1;ORC1;PCLAF;NUSAP1;MYBL2;TK1;TCF19;GINS2;CDKN2C;RRM2;CKAP2L;PLK1;WDR76;TPX2;MELK;TMSB15A;KIFC1;KIF4A;KIF2C;DTL;ASF1B;EZH2;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	25/218	2.148311466758137E-9	1.9141455168815E-6	0	0	4.705249780037149	93.91012141213606	TOP2A;BUB1B;MKI67;NCAPH;SKA1;MDK;PCLAF;E2F2;MYBL2;TK1;GINS2;CDKN2C;RRM2;CKAP2L;CBX2;PLK1;TPX2;MELK;CENPH;TMSB15A;KIFC1;KIF4A;KIF2C;NES;ASF1B
CID71678945 NA-16-OJ70 BAID30 0.1UM	34/396	6.304377516553928E-9	4.49376029379964E-6	0	0	3.4401650035524542	64.9572699078881	ARHGAP11A;TOP2A;BUB1B;FOXM1;MKI67;NCAPH;SKA1;CCNB2;ORC1;PTTG1;PCLAF;NUSAP1;MYBL2;TK1;BUB1;TCF19;GINS2;CDKN2C;RRM2;CKAP2L;CBX2;PLK1;WDR76;TPX2;MELK;RAD51;TMSB15A;KIFC1;KIF4A;KIF2C;NES;ASF1B;EZH2;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	14/74	1.3473761930796606E-8	8.003414586893185E-6	0	0	8.3607516943931	151.5179032018725	TOP2A;RRM2;CKAP2L;PLK1;MKI67;FOXM1;TPX2;PTTG1;KIFC1;KIF4A;PCLAF;MYBL2;KIF2C;TK1
CID44819306 CA-90-RU33 BAID12 10UM	27/300	8.975254725604109E-8	4.5696868345790066E-5	0	0	3.5911588411588413	58.270895446926836	TOP2A;BUB1B;MKI67;SKA3;FOXM1;SKA1;CCNB2;PTTG1;PCLAF;MYBL2;TK1;BUB1;TCF19;GINS2;CDKN2C;RRM2;CKAP2L;PLK1;WDR76;TPX2;MELK;RAD51;KIFC1;KIF4A;KIF2C;ASF1B;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	40/579	1.2693774938906662E-7	5.655076735282918E-5	0	0	2.7243547021633012	43.2615785632371	ARHGAP11A;TOP2A;ERCC6L;NRM;BUB1B;FOXM1;MKI67;NCAPH;SKA1;LMNB1;CCNB2;ORC1;PTTG1;MDK;PCLAF;E2F2;MYBL2;TK1;BUB1;TCF19;CA12;GINS2;CDKN2C;RRM2;CKAP2L;CBX2;PLK1;WDR76;ASPM;TPX2;MELK;RAD51;CENPH;TMSB15A;KIFC1;KIF4A;KIF2C;NES;ASF1B;SPC25
TF-29-QU48 BAID52 10UM	44/674	1.471755771116054E-7	5.828152853619574E-5	0	0	2.571552822042059	40.45474210786884	TOP2A;STEAP3;CDCA7L;NRM;BUB1B;FOXM1;MKI67;NCAPH;SKA1;LMNB1;CCNB2;ORC1;PTTG1;MDK;PCLAF;E2F2;MYBL2;TK1;PITX1;TCF19;CA12;GINS2;CDKN2C;RRM2;CKAP2L;DDIAS;CBX2;PLK1;WDR76;TPX2;MEX3A;MELK;RAD51;CENPH;TMSB15A;KIFC1;KIF4A;CDK2;TAGLN2;KIF2C;NES;DTL;ASF1B;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	45/703	1.8497315884647196E-7	6.59244338128826E-5	0	0	2.5192651528696586	39.05630650091191	ARHGAP11A;TOP2A;PCNA;NRM;BUB1B;FOXM1;MKI67;NCAPH;SKA1;KIF15;LMNB1;CCNB2;ORC1;PTTG1;PCLAF;E2F2;MYBL2;TK1;BUB1;TCF19;CA12;GINS2;POLQ;CDKN2C;RRM2;CKAP2L;CBX2;PLK1;WDR76;SGO1;TPX2;WEE1;MELK;RAD51;CENPH;TMSB15A;CENPI;KIFC1;KIF4A;CDK2;KIF2C;NES;DTL;ASF1B;SPC25
