Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CA-48-CT20 BAID36 10UM	10/182	0.009111176463821613	0.9999923267406452	0	0	2.5252893940974035	11.864449573271479	CA12;TUBA1C;FOXD1;SRPX2;ANXA2;DYNLT1;MTHFD2;TAGLN2;VIM;CLIC1
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	21/525	0.009520609230978038	0.9999923267406452	0	0	1.8237547892720307	8.488295418355886	APOBEC3C;PPP1R14B;STEAP3;ANXA1;ANXA2;SLC43A3;GDF15;GPX8;EMP3;SYDE1;MDK;COL8A1;S100A4;TAGLN2;PLP2;IGF2BP2;TGFBI;HOXB7;CLIC1;S100A11;TMEM45A
CID54680452 BA-39-LQ60 BAID48 10UM	6/83	0.01172799772039642	0.9999923267406452	0	0	3.370909090909091	14.986307840913575	PPP1R14B;TNFRSF12A;LRR1;TAGLN2;PLP2;CLIC1
CID5381 TAZAROTENE IA-14-WP20 BAID11 1UM	4/51	0.02871449744678502	0.9999923267406452	0	0	3.6710600640180755	13.033559648311314	STEAP3;NNMT;VIM;PDIA4
CID44195094 GB-06-BA49 BAID27 1UM	11/254	0.031938538889133304	0.9999923267406452	0	0	1.96338835714616	6.761795395238145	STEAP3;FOXD1;ANXA2;MTHFD2;ANXA5;NACA2;TAGLN2;IGFBP7;TGFBI;VIM;S100A11
CID52912189 AF-30-GH67 BAID27 1UM	18/493	0.03463629457538377	0.9999923267406452	0	0	1.649805335255948	5.548053102443153	APOBEC3C;CA12;NMB;SLC43A3;GDF15;TNC;EMP3;SPOCD1;SYDE1;MDK;PLAU;PDPN;COL8A1;PLP2;TGFBI;CLIC1;CD99;TMEM45A
LD-30-MF71 BAID47 1UM	4/56	0.03866281011752049	0.9999923267406452	0	0	3.3172226004084413	10.790517498344702	ANXA1;NNMT;ANXA2;VIM
AA-70-VU13 BAID51 1UM	4/58	0.043127700123960375	0.9999923267406452	0	0	3.1940347427073092	10.040735018921719	PLAU;MTHFD2;SLC43A3;VIM
CID135496218 CA-00-AR16 BAID7 1UM	4/59	0.04546437878855953	0.9999923267406452	0	0	3.1358004827031376	9.692214112446178	MTHFD2;GDF15;VIM;TMEM45A
RD-89-FH52 BAID52 10UM	4/59	0.04546437878855953	0.9999923267406452	0	0	3.1358004827031376	9.692214112446178	TNFRSF12A;TAGLN2;EMP3;CLIC1
CID9930560 DD-28-MZ39 BAID20 10UM	4/64	0.05818456901526758	0.9999923267406452	0	0	2.8737463126843656	8.173322746614751	TUBA1C;PRDX4;MTHFD2;VIM
CID151166 LUMIRACOXIB GA-04-SF76 BAID10 0.1UM	4/70	0.07568771756718343	0.9999923267406452	0	0	2.611692142665594	6.741141446037978	TUBA1C;ANXA5;ACTL6A;VIM
CID16119710 JE-04-LS32 BAID51 1UM	8/197	0.08250619743309164	0.9999923267406452	0	0	1.8287037037037037	4.562399712427806	STEAP3;FOXD1;GNG5;ANXA5;TGFBI;VIM;PDIA4;TMEM45A
CID59568656 UD-49-HQ53 BAID41 0.01UM	3/45	0.08279518696309376	0.9999923267406452	0	0	3.075055187637969	7.661147437990022	GNG5;CHST14;PDIA4
CID1550579 D-AP4 AD-55-EA62 BAID45 0.01UM	3/46	0.08714305309956334	0.9999923267406452	0	0	3.0033882642846144	7.328880723380532	TUBA1C;NACA2;VIM
CID988563 GD-71-OU80 BAID12 10UM	5/106	0.09512274358879763	0.9999923267406452	0	0	2.134201225000549	5.020894449089973	TUBA1C;FOXD1;ANXA2;ANXA5;TGFBI
CID4282 N(1),N(11)-DIETHYLNORSPERMINE HC-24-QF06 BAID43 1UM	3/48	0.0961197592870877	0.9999923267406452	0	0	2.869610007358352	6.721086843513949	MTHFD2;ANXA5;VIM
CID132471728 LA-44-KW22 BAID44 10UM	3/48	0.0961197592870877	0.9999923267406452	0	0	2.869610007358352	6.721086843513949	NNMT;ANXA2;IGFBP7
CID90644096 FE-06-GR60 BAID44 10UM	6/139	0.09883426384939523	0.9999923267406452	0	0	1.9459649122807017	4.503567874166778	TUBA1C;LOX;ANXA2;MTHFD2;LRR1;VIM
CID126565 LESTAURTINIB RA-42-CM42 BAID45 0.01UM	3/50	0.10545531552405557	0.9999923267406452	0	0	2.747217134000282	6.1797769367214	STEAP3;ANXA2;TGFBI
CID2773457 1H-INDOL-4-YLMETHANOL BD-31-AE17 BAID39 1UM	4/79	0.106273548113949	0.9999923267406452	0	0	2.297227138643068	5.149783361704761	DYNLT1;MTHFD2;TNC;VIM
CID1079383 FA-94-QJ71 BAID11 1UM	4/79	0.106273548113949	0.9999923267406452	0	0	2.297227138643068	5.149783361704761	TGIF1;FOXD1;TGFBI;VIM
CID51039095 AZD-4547 BD-81-LB65 BAID39 1UM	3/52	0.11513033216435282	0.9999923267406452	0	0	2.6348155156102178	5.695655588132957	FOXD1;MTHFD2;SLC43A3
CID22479762 UF-27-OP66 BAID4 10UM	4/84	0.12532908503939583	0.9999923267406452	0	0	2.1530973451327435	4.471579094247209	CA12;MDK;PLAU;TAGLN2
