Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID44819306 CA-90-RU33 BAID12 10UM	45/300	5.850974613378869E-19	2.111031640507096E-15	0	0	6.009420138162026	252.29053214428802	TROAP;HJURP;CDCA8;BUB1B;MKI67;SKA3;TYMS;FOXM1;CENPA;SKA1;AURKB;AURKA;CCNB2;CDC45;PBK;MYBL2;TK1;BUB1;DLGAP5;CEP55;TCF19;CDKN2C;RRM2;CKAP2L;PLK1;KIF23;ESCO2;PIMREG;CDC25C;NDC80;CCNA2;TPX2;MELK;KIF18B;RAD51;ESPL1;KIFC1;FANCD2;KIF4A;CENPM;BIRC5;KIF2C;KIF20A;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	49/396	5.3512358382074195E-17	9.653629452126185E-14	0	0	4.81987956162912	180.58459139699744	ARHGAP11A;HJURP;BUB1B;FOXM1;MKI67;PBK;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;CDC25C;PIMREG;CCNA2;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;BUB1;CDKN2C;RRM2;PLK1;TPX2;RAD51;KIF18B;KIF4A;CENPM;NES;EZH2;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	46/360	1.4470373744499261E-16	1.7403036156717778E-13	0	0	4.98219739546079	181.70992225682204	TROAP;HJURP;NRM;CDCA8;BUB1B;MKI67;TYMS;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CCNB2;CDC45;PBK;NUSAP1;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CDKN2C;RRM2;CKAP2L;PLK1;KIF23;ESCO2;PIMREG;CDC25C;CCNA2;TPX2;MELK;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;CENPM;BIRC5;KIF2C;KIF20A;DTL;EZH2;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	22/74	2.3210992466815166E-16	2.0144026927073264E-13	0	0	13.987573964497042	503.5431595811476	RRM2;CKAP2L;TROAP;PLK1;HJURP;CDCA8;ESCO2;MKI67;FOXM1;PIMREG;TYMS;AURKB;AURKA;TPX2;KIFC1;KIF4A;BIRC5;CENPM;MYBL2;KIF2C;TK1;KIF20A
CID151345176 AC-45-YY00 BAID36 10UM	24/92	2.7915780109580465E-16	2.0144026927073264E-13	0	0	11.69912218746847	419.00118850235083	RRM2;CDKN2C;PLK1;HJURP;BUB1B;CDCA8;KIF23;MKI67;PIMREG;CDC25C;CENPA;AURKB;AURKA;CCNA2;TPX2;ESPL1;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;TK1;KIF20A;DLGAP5
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	57/551	5.240458682735603E-16	3.1512624878850094E-13	0	0	3.964825174825175	139.5021852826048	ARHGAP11A;ERCC6L;HJURP;NRM;BUB1B;FOXM1;MKI67;LMNB1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;CCNA2;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;DTL;SLC43A3;TROAP;CDCA8;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;E2F2;BUB1;CDKN2C;RRM2;DDIAS;PLK1;NDC80;TPX2;RAD51;KIF18B;KIF4A;CENPM;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID23 1UM	23/107	1.0741899828784925E-13	5.53668208317943E-11	0	0	9.053061806914547	270.3428877863257	RRM2;TROAP;PLK1;CDCA8;MKI67;PIMREG;TYMS;AURKB;AURKA;CCNB2;TPX2;MELK;CDC45;KIFC1;KIF4A;BIRC5;CENPM;MYBL2;KIF2C;KIF20A;TK1;GTSE1;DLGAP5
BE-04-AN21 BAID11 1UM	33/240	3.934483089843199E-13	1.774451873519283E-10	0	0	5.328637075190628	152.2062659515182	TROAP;HJURP;CDCA8;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CCNB2;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CDKN2C;RRM2;PLK1;PIMREG;TPX2;MELK;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;CENPM;BIRC5;KIF2C;KIF20A;NES;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	52/579	2.8446839066813937E-12	1.1404021705896076E-9	0	0	3.3541275620972018	89.17139027151784	ARHGAP11A;ERCC6L;HJURP;NRM;BUB1B;FOXM1;MKI67;LMNB1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;CCNA2;NEIL3;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;TROAP;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;E2F2;BUB1;CDKN2C;RRM2;PLK1;TPX2;RAD51;KIF18B;KIF4A;CENPM;NES;APOBEC3B;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	30/218	4.5753395738428575E-12	1.650782518242503E-9	0	0	5.311313101515543	138.6801919689176	TROAP;HJURP;CDCA8;BUB1B;MKI67;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC45;E2F2;MYBL2;TK1;CDKN2C;RRM2;CKAP2L;PLK1;PIMREG;CDC25C;TPX2;MELK;KIFC1;KIF4A;CENPM;BIRC5;KIF2C;KIF20A;NES;APOBEC3B
