Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	33/551	0.004450172917836168	0.9999960299515044	0	0	1.696277750965251	9.185025673598604	ARHGAP11A;TOP2A;CDCA2;PCNA;BUB1B;MCM10;KIF15;LMNB1;ORC1;NUF2;PBK;OIP5;BUB1;DLGAP5;CEP55;CDKN2C;CKAP2L;DDIAS;ESCO2;CDC25C;WDR76;SGO1;CCNA2;ASPM;TPX2;CENPH;MTHFD2;TMSB15A;CENPI;FANCD2;CKS2;CDK1;KIF2C
CID71678945 NA-16-OJ70 BAID30 0.1UM	24/396	0.012192502962810499	0.9999960299515044	0	0	1.7093607202642176	7.533039923194704	ARHGAP11A;TOP2A;CDCA2;CDKN2C;CKAP2L;BUB1B;YBX1;CDC25C;WDR76;CCNA2;TPX2;ORC1;MTHFD2;TMSB15A;FANCD2;NUF2;PBK;CDK1;NUSAP1;OIP5;KIF2C;BUB1;DLGAP5;CEP55
CID44819306 CA-90-RU33 BAID12 10UM	19/300	0.015871322283832104	0.9999960299515044	0	0	1.7875771964432636	7.4063638964138905	TOP2A;CDCA2;CDKN2C;CKAP2L;BUB1B;ESCO2;CDC25C;WDR76;CCNA2;TPX2;MTHFD2;FANCD2;PBK;CKS2;CDK1;KIF2C;BUB1;DLGAP5;CEP55
CID151345176 AC-45-YY00 BAID36 10UM	8/92	0.02018206901053669	0.9999960299515044	0	0	2.5055849500293945	9.779199694546774	TOP2A;CCNA2;TPX2;CDKN2C;BUB1B;KIF2C;CDC25C;DLGAP5
CID378811 MR16728 ND-68-CU31 BAID27 1UM	10/131	0.023172336148418363	0.9999960299515044	0	0	2.176043288960633	8.192359329466202	TOP2A;CCNA2;TPX2;CDKN2C;MTHFD2;CKAP2L;BUB1B;NCAPG;CDC25C;CEP55
CB-25-VR83 BAID36 10UM	22/378	0.023969577017714332	0.9999960299515044	0	0	1.6341400172860847	6.09692717931318	TOP2A;ARHGAP11A;SPARC;CDCA2;NCAPG;BUB1B;MCM10;ESCO2;YBX1;CDC25C;CCNA2;TPX2;MTHFD2;TMSB15A;FANCD2;NUF2;PBK;NUSAP1;KIF2C;OIP5;BUB1;DLGAP5
CID53378674 BB-86-UL91 BAID24 10UM	21/360	0.02637345012513936	0.9999960299515044	0	0	1.6372670193305978	5.952116350220529	TOP2A;CDCA2;PCNA;CDKN2C;CKAP2L;BUB1B;ESCO2;CDC25C;WDR76;LMNB1;CCNA2;TPX2;ORC1;MTHFD2;TMSB15A;FANCD2;PBK;NUSAP1;CDK1;KIF2C;DLGAP5
CID58144 INDOLOPHENANTHRIDINE BD-46-RY02 BAID16 10UM	10/139	0.03309726610223811	0.9999960299515044	0	0	2.0402418348741245	6.953765620934749	ARHGAP11A;TOP2A;ASPM;CENPH;PBK;BUB1B;KIF2C;YBX1;DLGAP5;LMNB1
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	30/579	0.03886195076558805	0.9999960299515044	0	0	1.446425673012266	4.697613989432106	ARHGAP11A;TOP2A;CDCA2;BUB1B;MCM10;YBX1;AQP1;LMNB1;ORC1;EME1;PBK;OIP5;BUB1;DLGAP5;CEP55;CDKN2C;CKAP2L;ACTL6A;ESCO2;CDC25C;WDR76;CCNA2;ASPM;TPX2;NEIL3;CENPH;TMSB15A;FANCD2;CKS2;KIF2C
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	12/198	0.06325771964625317	0.9999960299515044	0	0	1.6976195773081202	4.686343537877375	TOP2A;CDCA2;CDKN2C;MTHFD2;FANCD2;PBK;ID3;KIF2C;ESCO2;DLGAP5;CEP55;KIF15
CID101476432 RC-52-AC88 BAID27 1UM	7/96	0.06410471516548195	0.9999960299515044	0	0	2.0658457749730643	5.675368689362033	TOP2A;TPX2;CCDC80;MTHFD2;ID3;YBX1;DLGAP5
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	4/44	0.07790838265340153	0.9999960299515044	0	0	2.6225102319236018	6.693227585381533	TOP2A;PBK;KIF2C;DLGAP5
CID16016585 CDN1163 BD-58-PT20 BAID27 1UM	11/185	0.08119078134529642	0.9999960299515044	0	0	1.6622257053291536	4.173771566431861	TOP2A;TPX2;CDKN2C;CENPH;MTHFD2;FANCD2;NUF2;CDK1;PBK;BUB1B;KIF2C
CID2733526 TAMOXIFEN AE-37-MC27 BAID23 1UM	17/326	0.0961432096698354	0.9999960299515044	0	0	1.4483009708737864	3.3917998417361224	TOP2A;SPARC;CDKN2C;RPLP0;BUB1B;YBX1;CDC25C;TPX2;CCDC80;CENPH;EME1;MTHFD2;NUF2;CDK1;KIF2C;OIP5;DLGAP5
CID4858 OC-40-XI13 BAID28 10UM	4/48	0.09983105805350845	0.9999960299515044	0	0	2.383604117574104	5.492481621321915	TOP2A;MTHFD2;YBX1;ESCO2
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	12/217	0.10640710945568004	0.9999960299515044	0	0	1.5387451640033643	3.4475322060407523	TOP2A;TPX2;DEPDC1B;CDCA2;MEX3A;CDKN2C;CENPH;BUB1B;KIF2C;WDR76;DLGAP5;AQP1
