Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	71/551	1.8650877461422933E-27	7.626343793975836E-24	0	0	5.73517382413088	352.9798150312677	TOP2A;ERCC6L;HJURP;NRM;MCM10;FOXM1;KIF15;LMNB1;CDC20;TUBA1C;PTTG1;NUF2;PBK;MYBL2;GTSE1;DLGAP5;CEP55;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;SGO1;CCNA2;ASPM;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;CDCA2;PCNA;SLC43A3;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;KIF4A;CDK2;CDK1;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	53/360	2.1849841146294066E-23	4.467200022359822E-20	0	0	6.514972791344628	339.93726381308164	TOP2A;HJURP;NRM;FOXM1;LMNB1;CDC20;TUBA1C;PTTG1;PBK;NUSAP1;MYBL2;GTSE1;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;CCNA2;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;KIF4A;CDK1;SPC24;EZH2;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	53/396	1.9956570391723913E-21	2.7200805443919693E-18	0	0	5.820213799805637	277.41067563956705	TOP2A;HJURP;YBX1;FOXM1;CDC20;TUBA1C;PTTG1;NUF2;PBK;NUSAP1;MYBL2;GTSE1;DLGAP5;CEP55;CKAP2L;KIF23;CDC25C;PIMREG;CCNA2;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;KIF4A;CDK1;SPC24;EZH2;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	46/300	3.653895012737406E-21	3.7351941767708134E-18	0	0	6.759980391556113	318.114491473929	TOP2A;CDCA2;TROAP;HJURP;CDCA8;SKA3;TYMS;FOXM1;CENPA;SKA1;AURKB;AURKA;CDC20;BCL2L12;TUBA1C;PTTG1;PBK;MYBL2;BUB1;DLGAP5;CEP55;GINS2;CDKN2C;RRM2;UBE2C;CKAP2L;PLK1;KIF23;ESCO2;PIMREG;CDC25C;NDC80;CCNA2;TPX2;KIF18B;ESPL1;MTHFD2;KIFC1;FANCD2;KIF4A;CDK1;BIRC5;KIF2C;KIF20A;SPC24;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	25/74	8.676957257487918E-21	7.096015645173619E-18	0	0	18.492275414838833	854.2250700716282	TOP2A;TROAP;HJURP;CDCA8;FOXM1;TYMS;AURKB;AURKA;CDC20;TUBA1C;PTTG1;MYBL2;RRM2;CKAP2L;UBE2C;PLK1;ESCO2;PIMREG;TPX2;KIFC1;KIF4A;BIRC5;KIF2C;KIF20A;PRR11
CID151345176 AC-45-YY00 BAID36 10UM	26/92	2.411268103698205E-19	1.6432792126703267E-16	0	0	14.292475314947225	612.7036093709472	TOP2A;HJURP;CDCA8;CENPA;AURKB;AURKA;CDC20;TUBA1C;PTTG1;DLGAP5;RRM2;CDKN2C;UBE2C;PLK1;KIF23;PIMREG;CDC25C;CCNA2;TPX2;ESPL1;KIFC1;KIF4A;BIRC5;KIF2C;KIF20A;PRR11
CID9907182 GB-94-XG34 BAID16 10UM	59/550	6.1916951111117365E-19	3.61683447276227E-16	0	0	4.5448451366106895	190.54675848538068	TOP2A;HJURP;MCM10;YBX1;FOXM1;CDC20;TUBA1C;PTTG1;NUF2;PBK;MYBL2;GTSE1;DLGAP5;CEP55;EIF5AL1;FOXD1;CKAP2L;KIF23;ESCO2;PIMREG;CCNA2;ASPM;ESPL1;MTHFD2;KIFC1;FANCD2;BIRC5;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;GNG5;SERPINH1;CENPU;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;CENPH;KIF4A;CDK1;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	60/579	1.6508710361226923E-18	8.438014583382111E-16	0	0	4.374797687861272	179.1270915158095	TOP2A;ERCC6L;HJURP;NRM;MCM10;YBX1;FOXM1;AQP1;LMNB1;CDC20;TUBA1C;PTTG1;EME1;MDK;PBK;MYBL2;GTSE1;CEP55;DLGAP5;CKAP2L;ACTL6A;GPX8;KIF23;ESCO2;CDC25C;PIMREG;CCNA2;ASPM;NEIL3;ESPL1;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;PRR11;CDCA2;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;CENPH;KIF4A;SPC25
BE-04-AN21 BAID11 1UM	36/240	1.696949178463629E-16	7.70980576748642E-14	0	0	6.478221823080377	235.24062073405528	TOP2A;CDCA2;TROAP;HJURP;CDCA8;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;BCL2L12;TUBA1C;PTTG1;MYBL2;GTSE1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;PIMREG;TPX2;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;CDK1;BIRC5;KIF2C;KIF20A;PRR11
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	34/217	3.090891704069959E-16	1.263865617794206E-13	0	0	6.801907373932556	242.91585051461095	TOP2A;CDCA2;TROAP;HJURP;CDCA8;FOXM1;CENPA;NCAPH;AURKB;AQP1;CDC20;BCL2L12;TUBA1C;PTTG1;SERPINH1;MYBL2;DLGAP5;EIF5AL1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;DEPDC1B;MEX3A;KIF18B;CENPH;KIF4A;BIRC5;TAGLN2;KIF2C;KIF20A;SPC25
