Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	46/551	3.895450179257477E-23	1.4985796839603512E-19	0	0	7.679051589369463	396.2363581211222	TOP2A;ARHGAP11A;PCNA;SLC43A3;LRR1;CDCA7;NRM;CDCA8;BUB1B;HMMR;MKI67;TYMS;FOXM1;SKA1;KIF15;LMNB1;CDC20;CCNB2;ORC1;PCLAF;OIP5;BUB1;CEP55;DLGAP5;E2F8;TCF19;CENPU;GINS2;CDKN2C;RRM2;CKAP2L;KIF23;WDR76;NDC80;TPX2;MELK;RAD51;CENPI;FANCD2;KIF4A;CDK2;DEPDC1;KIF2C;PLP2;ASF1B;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	38/396	2.6547849269389783E-21	5.106478806967125E-18	0	0	8.711106902755422	412.7141547688436	TOP2A;ARHGAP11A;LRR1;CDCA8;BUB1B;HMMR;YBX1;MKI67;TYMS;FOXM1;SKA1;CDC20;BCL2L12;CCNB2;CSRP2;ORC1;PCLAF;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;TCF19;GINS2;CDKN2C;RRM2;CKAP2L;KIF23;WDR76;TPX2;MELK;RAD51;FANCD2;KIF4A;KIF2C;NES;ASF1B;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	42/579	7.088621134781407E-19	9.089975168501356E-16	0	0	6.469032941629743	270.34493576365253	TOP2A;ARHGAP11A;UHRF1;LRR1;CDCA7;NRM;CDCA8;BUB1B;YBX1;MKI67;FOXM1;SKA1;LMNB1;CDC20;BCL2L12;CCNB2;CSRP2;ORC1;PCLAF;OIP5;BUB1;CEP55;DLGAP5;TCF19;CA12;GINS2;CDKN2C;RRM2;CKAP2L;GPX8;KIF23;WDR76;TPX2;MELK;RAD51;FANCD2;KIF4A;KIF2C;PLP2;NES;ASF1B;APOBEC3B
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	45/703	4.458996957429151E-18	4.288440323807486E-15	0	0	5.6945089659017	227.50478899349173	TOP2A;ARHGAP11A;PCNA;LRR1;NRM;CDCA8;BUB1B;MKI67;TYMS;FOXM1;SKA1;KIF15;LMNB1;CDC20;BCL2L12;CCNB2;ORC1;PCLAF;OIP5;BUB1;CEP55;DLGAP5;TCF19;CA12;CENPU;GINS2;CDKN2C;RRM2;CKAP2L;F2R;KIF23;WDR76;NDC80;TPX2;WEE1;MELK;RAD51;CENPI;FANCD2;KIF4A;CDK2;KIF2C;NES;ASF1B;APOBEC3B
CID44819306 CA-90-RU33 BAID12 10UM	30/300	1.7069350409251728E-17	1.3133158204878279E-14	0	0	8.859744990892532	342.06808441442996	TOP2A;CDCA8;BUB1B;MKI67;TYMS;FOXM1;SKA1;CDC20;BCL2L12;CCNB2;PCLAF;BUB1;CEP55;DLGAP5;TCF19;GINS2;CDKN2C;RRM2;CKAP2L;KIF23;WDR76;NDC80;TPX2;MELK;RAD51;FANCD2;KIF4A;KIF2C;ASF1B;APOBEC3B
CID101476432 RC-52-AC88 BAID28 10UM	48/834	2.151384378472269E-17	1.3793959506638032E-14	0	0	5.117881510504628	196.41321241051483	TOP2A;ARHGAP11A;LRR1;CDCA7L;TNC;NRM;CDCA8;BUB1B;HMMR;YBX1;MKI67;FOXM1;SKA1;KIF15;LMNB1;CDC20;BCL2L12;CCNB2;ORC1;PCLAF;RCC1;OIP5;BUB1;CEP55;DLGAP5;TCF19;CA12;GINS2;CDKN2C;RRM2;ANXA2;CKAP2L;KIF23;WDR76;NDC80;TPX2;MELK;RAD51;CENPI;FANCD2;KIF4A;DEPDC1;ID3;KIF2C;VIM;TGFBI;NES;APOBEC3B
CID6419417 ZYGOSPORINA BE-42-IC00 BAID40 10UM	42/645	3.577715057256241E-17	1.9662099750378225E-14	0	0	5.74116486532853	217.4134481810458	TOP2A;SPARC;UHRF1;LRR1;CDCA7L;CDCA7;CDCA8;BUB1B;MKI67;TYMS;ABCA13;SKA1;KIF15;LMNB1;CDC20;CCNB2;ORC1;PCLAF;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;TCF19;GINS2;CDKN2C;RRM2;ANXA2;CKAP2L;F2R;GPX8;KIF23;WDR76;NDC80;TPX2;CCDC80;MELK;KIF4A;KIF2C;AJUBA;ASF1B;TMEM45A
CID9907182 GB-94-XG34 BAID16 10UM	38/550	1.9289143284844457E-16	9.275666777099578E-14	0	0	6.042538400423729	218.64565167775726	TOP2A;ARHGAP11A;LRR1;CDCA7;CDCA8;BUB1B;HMMR;YBX1;MKI67;FOXM1;SKA1;CDC20;BCL2L12;CCNB2;GNG5;PCLAF;OIP5;CEP55;DLGAP5;TCF19;CENPU;GINS2;CDKN2C;RRM2;ANXA2;CKAP2L;KIF23;WDR76;TPX2;MELK;RAD51;FANCD2;KIF4A;KIF2C;VIM;NES;ASF1B;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	31/360	3.3925791693460736E-16	1.4501391182749274E-13	0	0	7.521320374748271	267.90770965852585	TOP2A;PCNA;LRR1;NRM;CDCA8;BUB1B;MKI67;TYMS;FOXM1;SKA1;LMNB1;CDC20;BCL2L12;CCNB2;ORC1;PCLAF;NUSAP1;DLGAP5;TCF19;GINS2;CDKN2C;RRM2;CKAP2L;KIF23;WDR76;TPX2;MELK;FANCD2;KIF4A;KIF2C;ASF1B
CID71678945 NA-16-OJ70 BAID31 1UM	39/636	3.9145598949111035E-15	1.5059311915723015E-12	0	0	5.317587939698493	176.40605308450418	TOP2A;LRR1;NRM;CDCA8;BUB1B;HMMR;MKI67;FOXM1;SKA1;LMNB1;CDC20;BCL2L12;CCNB2;ORC1;PCLAF;RCC1;OIP5;BUB1;CEP55;DLGAP5;E2F8;TCF19;CENPU;GINS2;CDKN2C;RRM2;CKAP2L;KIF23;WDR76;TPX2;MELK;RAD51;FANCD2;KIF4A;KIF2C;PLP2;NES;ASF1B;APOBEC3B
