Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	27/525	0.0012560843245065156	0.9999956446736297	0	0	1.9880916315163943	13.279967154955827	STEAP3;SPARC;SLC43A3;ADAMTS12;AQP1;SYDE1;C6ORF15;MDK;SERPINH1;CLIC1;S100A11;APOBEC3C;ANXA1;ANXA2;CMTM3;GDF15;F2R;GPX8;EMP3;CCDC80;COL4A2;ID3;S100A4;TAGLN2;PLP2;TGFBI;TMEM45A
CID4858 OC-40-XI13 BAID27 1UM	14/226	0.003693769272852789	0.9999956446736297	0	0	2.3977928088287648	13.430296146097813	SPARC;CMTM3;GDF15;GPX8;EMP3;AQP1;COL3A1;CCDC80;MTHFD2;SERPINH1;ID3;PLP2;TGFBI;TMEM45A
LB-67-JK40 BAID36 10UM	11/157	0.003846472147493688	0.9999956446736297	0	0	2.729574134519006	15.178066864614685	HOXA10;SPARC;CCDC80;COL4A2;SERPINH1;FN1;GPX8;ID3;TGFBI;EMP3;NES
CID52912189 AF-30-GH67 BAID27 1UM	24/493	0.004570802819550159	0.9999956446736297	0	0	1.8684927013285222	10.067562775989586	APOBEC3C;CA12;NMB;CMTM3;SLC43A3;GDF15;TGFB1I1;TNC;EMP3;AQP1;SPOCD1;TMEM37;SYDE1;C6ORF15;CCDC80;MDK;PLAU;PDPN;SERPINH1;ID3;PLP2;TGFBI;CLIC1;TMEM45A
CID121271792 BB-10-PR06 BAID12 10UM	16/288	0.005729812477071053	0.9999956446736297	0	0	2.1372549019607843	11.032664702123869	CA12;SPARC;ANXA1;TGFB1I1;F2R;EDA2R;AQP1;TMEM37;C6ORF15;CCDC80;COL4A2;SERPINH1;ID3;S100A4;CLIC1;NES
DE-20-VX20 BAID36 10UM	16/303	0.009127346184261045	0.9999956446736297	0	0	2.0239679020166825	9.505525372526995	SPARC;ANXA1;ANXA2;CMTM3;ADAMTS12;AQP1;TUBA1C;C6ORF15;CSRP2;COL4A2;TAGLN2;PLP2;TGFBI;VIM;CLIC1;NES
BD-11-DV28 BAID9 10UM	15/278	0.009453894957748898	0.9999956446736297	0	0	2.069296398254832	9.645670188294956	STEAP3;SPARC;ANXA2;CMTM3;F2R;AQP1;TMEM37;C6ORF15;CCDC80;MDK;S100A4;TGFBI;VIM;NES;S100A11
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	30/698	0.009490947995836996	0.9999956446736297	0	0	1.6415806519257206	7.6455252693436195	STEAP3;SPARC;TGFB1I1;ABCA13;AQP1;SYDE1;C6ORF15;MDK;PLAU;PDPN;SERPINH1;CLIC1;APOBEC3C;ANXA1;CMTM3;GDF15;F2R;GPX8;GPX7;EMP3;SPOCD1;CCDC80;COL4A2;LOX;ID3;S100A4;PLP2;TGFBI;NES;TMEM45A
CID44195094 GB-06-BA49 BAID27 1UM	14/254	0.010026069021279095	0.9999956446736297	0	0	2.1149685534591196	9.73428378480268	STEAP3;SPARC;ANXA2;AQP1;CCDC80;COL4A2;MTHFD2;COL4A1;TAGLN2;CYTL1;IGFBP7;TGFBI;VIM;S100A11
CID60182393 S0-EE-Y97N BAID27 1UM	8/111	0.010909878443513626	0.9999956446736297	0	0	2.804376177365599	12.670414487062677	COL4A2;COL4A1;ID3;TAGLN2;TGFBI;ADAMTS12;CD44;LOXL2
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	14/260	0.012119419177125253	0.9999956446736297	0	0	2.0627396840006136	9.10275929582803	APOBEC3C;CA12;SPARC;TGFB1I1;EMP3;AQP1;TMEM37;CCDC80;PLAU;SERPINH1;ID3;PLP2;TGFBI;NKX2-5
CID5381 TAZAROTENE IA-14-WP20 BAID11 1UM	5/51	0.012271259404421359	0.9999956446736297	0	0	3.914253448414939	17.224654233823948	STEAP3;NNMT;SERPINH1;VIM;PDIA4
CID118693659 AZD-5153 HE-16-PO98 BAID14 0.1UM	13/235	0.012455968265749939	0.9999956446736297	0	0	2.121121121121121	9.30229417016064	GDF15;TGFB1I1;F2R;GPX8;EMP3;AQP1;HOXA10;CCDC80;SERPINH1;ID3;PLP2;TGFBI;TMEM45A
