Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BE-04-AN21 BAID11 1UM	21/240	2.3993468220289086E-13	3.738300473467405E-10	0	0	9.473778884737788	275.29294791874173	TCF19;CDKN2C;TROAP;PLK1;CDCA8;MKI67;FOXM1;LMNB1;CDC20;TPX2;KIF18B;ESPL1;KIFC1;KIF4A;KIF2C;KIF20A;GTSE1;PRR11;NES;DLGAP5;ASF1B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	31/579	2.70793225169678E-13	3.738300473467405E-10	0	0	5.78722433607703	167.46734629387345	UHRF1;TROAP;CDCA7;NRM;CDCA8;MKI67;FOXM1;AQP1;LMNB1;CDC20;CSRP2;EME1;GTSE1;BUB1;DLGAP5;TCF19;CDKN2C;PLK1;WDR76;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;KIF4A;KIF2C;KIF20A;PRR11;NES;ASF1B
CID53378674 BB-86-UL91 BAID24 10UM	24/360	1.6618468243171828E-12	1.5294530273132472E-9	0	0	7.122710622710622	193.18993256897383	TCF19;CDKN2C;TROAP;PLK1;NRM;CDCA8;MKI67;FOXM1;WDR76;LMNB1;CDC20;TPX2;KIF18B;ESPL1;KIFC1;KIF4A;KIF2C;KIF20A;GTSE1;PRR11;DLGAP5;SPC24;ASF1B;EZH2
CID71678945 NA-16-OJ70 BAID30 0.1UM	24/396	1.2496975551503991E-11	7.261335980620277E-9	0	0	6.421505376344086	161.21532449017892	TCF19;CDKN2C;TROAP;PLK1;CDCA8;MKI67;FOXM1;WDR76;CDC20;TPX2;CSRP2;KIF18B;ESPL1;KIFC1;KIF4A;KIF2C;KIF20A;GTSE1;NES;BUB1;DLGAP5;SPC24;ASF1B;EZH2
CID71678945 NA-16-OJ70 BAID32 10UM	22/328	1.3149829736726325E-11	7.261335980620277E-9	0	0	7.107428419760459	178.0738635438174	CDKN2C;TROAP;PLK1;NRM;CDCA8;MKI67;FOXM1;WDR76;CDC20;TPX2;KIF18B;EME1;ESPL1;KIFC1;KIF4A;KIF2C;KIF20A;GTSE1;PRR11;NES;DLGAP5;ASF1B
CID151345176 AC-45-YY00 BAID36 10UM	13/92	2.3725153609671563E-11	1.0466110632880997E-8	0	0	15.738355659333907	385.0307706245673	CDKN2C;PLK1;CDCA8;MKI67;CDC20;TPX2;ESPL1;KIFC1;KIF4A;KIF2C;KIF20A;PRR11;DLGAP5
CID44818584 AA-42-XZ05 BAID32 10UM	12/74	2.653486940607279E-11	1.0466110632880997E-8	0	0	18.43758765778401	449.00248589555883	CDC20;TPX2;KIFC1;TROAP;KIF4A;PLK1;CDCA8;KIF2C;KIF20A;MKI67;FOXM1;PRR11
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	18/217	3.2126472214730124E-11	1.1087648723108735E-8	0	0	8.812120303007575	212.9126413363042	TCF19;CDKN2C;TROAP;PLK1;CDCA8;MKI67;FOXM1;WDR76;AQP1;CDC20;TPX2;KIF18B;KIF4A;KIF2C;KIF20A;NES;DLGAP5;ASF1B
CID5284558 LD-39-FL02 BAID52 10UM	32/779	1.1558200762213213E-10	3.5457991449411865E-8	0	0	4.360314699081531	99.76853859684954	STEAP3;UHRF1;TROAP;CDCA7;NRM;CDCA8;MKI67;FOXM1;LMNB1;CDC20;C6ORF15;MAGED4B;GTSE1;DLGAP5;TCF19;CDKN2C;MMP2;PLK1;ANXA5;WDR76;PDIA4;TPX2;NEIL3;CCDC80;KIF18B;KIFC1;KIF4A;KIF2C;KIF20A;PRR11;NES;EZH2
CID44819306 CA-90-RU33 BAID12 10UM	20/300	1.306152494046055E-10	3.606287036061158E-8	0	0	6.999641062455133	159.30318701662964	TCF19;CDKN2C;TROAP;PLK1;CDCA8;MKI67;FOXM1;WDR76;CDC20;TPX2;KIF18B;ESPL1;KIFC1;KIF4A;KIF2C;KIF20A;BUB1;DLGAP5;SPC24;ASF1B
CID5327655 AB-80-CK34 BAID11 1UM	17/209	1.5708451747522054E-10	3.942821388628036E-8	0	0	8.586350041254125	193.83030189149713	CDKN2C;TROAP;PLK1;CDCA8;MKI67;CDC20;TPX2;CCDC80;MAGED4B;KIF18B;ESPL1;KIFC1;KIF4A;KIF2C;KIF20A;PRR11;NES
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	26/551	4.11462416199625E-10	9.467064426059705E-8	0	0	4.941090550209721	106.78340717367776	TROAP;CDCA7;NRM;CDCA8;MKI67;FOXM1;LMNB1;CDC20;GTSE1;BUB1;DLGAP5;E2F8;TCF19;CDKN2C;PLK1;WDR76;TPX2;ASPM;KIF18B;ESPL1;KIFC1;KIF4A;KIF2C;KIF20A;PRR11;ASF1B
TF-29-QU48 BAID52 10UM	28/674	1.4695144396710087E-9	3.121022590716658E-7	0	0	4.342307879338012	88.31530712915196	STEAP3;TROAP;CDCA7L;NRM;CDCA8;MKI67;FOXM1;AQP1;LMNB1;CDC20;EME1;GTSE1;DLGAP5;TCF19;CDKN2C;PLK1;WDR76;TPX2;KIF18B;ESPL1;KIFC1;KIF4A;KIF2C;KIF20A;PRR11;NES;SPC24;ASF1B
BE-04-AN21 BAID12 10UM	32/874	2.018077930285514E-9	3.7688950786766036E-7	0	0	3.8490479759167755	77.06225255928112	STEAP3;TROAP;NRM;NCAPG;CDCA8;MKI67;FOXM1;AQP1;LMNB1;CDC20;C6ORF15;MAGED4B;EME1;GTSE1;DLGAP5;TCF19;CDKN2C;PLK1;WDR76;TPX2;WEE1;KIF18B;ESPL1;KIFC1;KIF4A;KIF2C;KIF20A;PRR11;NES;SPC24;ASF1B;EZH2
BB-84-DG64 BAID52 10UM	21/390	2.1754454139746363E-9	3.7688950786766036E-7	0	0	5.579535189291287	111.28958969232576	TCF19;STEAP3;CDKN2C;TROAP;PLK1;NRM;CDCA8;MKI67;FOXM1;CDC20;TPX2;ESPL1;KIFC1;KIF4A;KIF2C;KIF20A;GTSE1;PRR11;NES;ASF1B;EZH2
