Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID58973123 BE-89-DG86 BAID30 0.1UM	3/49	0.14070007465535941	0.9999960281189504	0	0	2.3990859683794468	4.70490695216501	FOXD1;CDK2;EDA2R
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	13/355	0.1525054144104006	0.9999960281189504	0	0	1.4035708640971798	2.639492457900508	GINS2;F2R;HOXC11;HOXC10;AQP1;HOXA10;CCDC80;MAGED4B;CDK4;HOXB3;ID3;HOXA7;HOXC6
CID58144 INDOLOPHENANTHRIDINE BD-46-RY02 BAID16 10UM	6/139	0.1653510994061037	0.9999960281189504	0	0	1.6615252416756177	2.9902207097480633	ARHGAP11A;TOP2A;ASPM;GINS2;CENPH;CDCA7L
CID9826989 BD-83-QC82 BAID37 0.01UM	4/85	0.18955382747583807	0.9999960281189504	0	0	1.8167592006934195	3.0214199697317317	FAM156B;DDIAS;HOXA7;EDA2R
CID9961435 TEGLARINAD OB-78-PA58 BAID7 1UM	7/182	0.2106866356454107	0.9999960281189504	0	0	1.4728244274809161	2.2937522975940703	GINS2;FOXD1;CDK4;F2R;VGLL2;NES;E2F7
CID10020580 2-HEXYNYLADENOSINE CA-48-JF51 BAID26 0.1UM	3/65	0.24845335706123217	0.9999960281189504	0	0	1.77850073313783	2.476562535901077	TGIF1;HOXC9;PPIC
CID86488 (R)-AMINOGLUTETHIMIDE AC-91-ME22 BAID52 10UM	2/37	0.25762183729620214	0.9999960281189504	0	0	2.099270861463678	2.8471623808218864	FOXD1;CDK4
CID118695109 BROMODOMAININHIBITOR-9 BC-34-IH52 BAID44 10UM	5/133	0.2789132344284493	0.9999960281189504	0	0	1.4363266397338403	1.8339801811562793	CCDC80;CDK4;ID3;HOXC13;AQP1
CID9887803 SB-332235 TC-59-QN21 BAID11 1UM	3/73	0.30629917546219637	0.9999960281189504	0	0	1.5745941558441559	1.863048715447631	ARHGAP11A;CYTL1;HOXC9
CID86294693 NVS-BET-1 CB-55-AK76 BAID21 0.01UM	2/42	0.3070795646658981	0.9999960281189504	0	0	1.8363894139886578	2.1681302173065915	HOXA9;CCDC80
CID146680902 AC-78-GT35 BAID13 0.01UM	2/42	0.3070795646658981	0.9999960281189504	0	0	1.8363894139886578	2.1681302173065915	TOP2A;E2F7
CID46872626 A-971432 XC-61-SE50 BAID43 1UM	3/77	0.33548064996952154	0.9999960281189504	0	0	1.4891738329238329	1.626462256915463	TOP2A;GINS2;MAGED4B
CID637511 CINNAMALDEHYDE FC-61-BK21 BAID7 1UM	2/45	0.33647861492160125	0.9999960281189504	0	0	1.7080054512682992	1.8603948649032802	TOP2A;DDIAS
CID59568656 UD-49-HQ53 BAID41 0.01UM	2/45	0.33647861492160125	0.9999960281189504	0	0	1.7080054512682992	1.8603948649032802	CYTL1;CHST14
CID345501 DEOXYPODOPHYLLOTOXIN CB-02-XL81 BAID48 10UM	3/78	0.3427726424589212	0.9999960281189504	0	0	1.4692424242424242	1.5731000881132067	GINS2;F2R;CHST14
CID1079383 FA-94-QJ71 BAID11 1UM	3/79	0.35005818132310496	0.9999960281189504	0	0	1.4498355263157894	1.5218284228709156	TGIF1;FOXD1;HOXC11
CID73432 BRUSATOL GA-88-CF36 BAID9 0.01UM	3/80	0.3573348384278653	0.9999960281189504	0	0	1.4309327036599764	1.4725471085953121	MAGED4B;CHST14;NES
CID296003 2-(FURAN-2-YL)-4H-3,1-BENZOXAZIN-4-ONE BD-99-DU20 BAID8 10UM	2/49	0.37505977392542467	0.9999960281189504	0	0	1.5623215219402324	1.5321216416002614	FAM156B;EDA2R
CID4595 ONDANSETRON DA-15-PU65 BAID25 0.01UM	2/49	0.37505977392542467	0.9999960281189504	0	0	1.5623215219402324	1.5321216416002614	HOXA7;NES
DF-26-EY87 BAID33 0.01UM	2/49	0.37505977392542467	0.9999960281189504	0	0	1.5623215219402324	1.5321216416002614	CCDC80;CHST14
KB-00-DM33 BAID36 10UM	2/50	0.3845658411934332	0.9999960281189504	0	0	1.5296943919344677	1.461837555945949	CCDC80;ID3
CC-04-YT10 BAID49 0.01UM	2/51	0.3940086999248145	0.9999960281189504	0	0	1.4983989815207746	1.3955822730950533	CSRP2;PPIC
