Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	86/551	5.21770715530408E-67	2.027079229835635E-63	0	0	18.948135438114846	2891.886091457338	TOP2A;ARHGAP11A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;NUF2;PCLAF;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;GAS2L3;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;SGO1;CCNA2;ASPM;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;PCNA;SLC43A3;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;RAD51;CENPH;CENPI;CDK4;KIF4A;CDK1;CENPM;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	65/396	2.249575723916378E-51	4.369800843707564E-48	0	0	18.223377036383873	2125.230241281327	TOP2A;ARHGAP11A;LRR1;HJURP;BUB1B;YBX1;MKI67;FOXM1;CDC20;PTTG1;NUF2;PCLAF;PBK;NUSAP1;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;NES;SPC24;EZH2;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	62/360	2.9024235039508504E-50	3.7586384376163515E-47	0	0	19.066354311763963	2174.779081722518	TOP2A;LRR1;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PTTG1;PCLAF;PBK;NUSAP1;MYBL2;TK1;GTSE1;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	73/579	1.5342693398914857E-49	1.4901590963696055E-46	0	0	13.7952529840914	1550.5673329741983	TOP2A;ARHGAP11A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;YBX1;MKI67;FOXM1;LMNB1;CDC20;PTTG1;EME1;PCLAF;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;ASPM;NEIL3;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;UHRF1;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;RAD51;CENPH;CDK4;KIF4A;CENPM;NES;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	83/834	1.7711253167841238E-48	1.3761643711412641E-45	0	0	10.979601369204063	1207.2342829891572	TOP2A;ARHGAP11A;LRR1;CDCA7L;HJURP;NRM;BUB1B;MCM10;YBX1;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EME1;PCLAF;PBK;RCC1;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;SGO1;CCNA2;ZNF90;NEIL3;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;EIF4EBP1;E2F2;BUB1;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;RAD51;CENPH;CENPI;CDK4;KIF4A;CDK1;CENPM;NES;EZH2;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	77/703	8.232961787228243E-48	5.330842757230288E-45	0	0	11.925690468853894	1292.9349260730196	TOP2A;ARHGAP11A;LRR1;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EME1;NUF2;PCLAF;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;SGO1;CCNA2;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;CENPU;GINS2;POLQ;CDKN2C;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;WEE1;KIF18B;RAD51;CENPH;CENPI;KIF4A;CDK1;CENPM;NES;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	69/550	1.486599502709516E-46	8.250627240037814E-44	0	0	13.466913442523198	1421.061336502604	TOP2A;ARHGAP11A;LRR1;HJURP;BUB1B;MCM10;YBX1;MKI67;FOXM1;CDC20;PTTG1;NUF2;PCLAF;PBK;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;WDR76;CCNA2;ASPM;MELK;ESPL1;FANCD2;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;EIF4EBP1;CENPU;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;RAD51;CENPH;CDK4;KIF4A;CDK1;CENPM;NES;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	55/300	5.0903565184703846E-46	2.4720043842821803E-43	0	0	19.96934116112198	2082.6338698031022	TOP2A;HJURP;BUB1B;MKI67;FOXM1;CDC20;PTTG1;PCLAF;PBK;MYBL2;TK1;CEP55;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;FANCD2;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;SPC24;SPC25
BE-04-AN21 BAID12 10UM	80/874	7.474290289449656E-44	3.226401974945768E-41	0	0	9.832506686748552	976.3902821752278	TOP2A;LRR1;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;HOXC11;KIF15;LMNB1;CDC20;MAGED4B;PTTG1;EME1;PCLAF;PBK;RCC1;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;DEPDC1B;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;ASF1B;CDCA2;TROAP;NCAPG;CDCA8;SKA3;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;CENPU;GINS2;POLQ;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;WEE1;MEX3A;KIF18B;RAD51;CENPH;CDK4;KIF4A;CDK1;CENPM;NES;SPC24;EZH2;SPC25
CID71678945 NA-16-OJ70 BAID31 1UM	68/636	2.89440091693898E-41	1.1244747562307936E-38	0	0	11.133802816901408	1039.2649017882634	TOP2A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PCLAF;PBK;RCC1;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;DEPDC1B;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;KIF20A;MTFR2;ASF1B;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;RAD51;CENPH;CDK4;KIF4A;CDK1;CENPM;NES;SPC25
