Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	12/525	7.749828113852097E-4	0.6399879133667161	0	0	3.1847459023144715	22.811283001276305	SYDE1;CCDC80;SPARC;CMTM3;F2R;ID3;TAGLN2;EMP3;PLP2;IGF2BP2;S100A11;AQP1
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	8/260	9.346375858933155E-4	0.6399879133667161	0	0	4.260491411176343	29.718426060978647	CCDC80;SPARC;TGFB1I1;ID3;EMP3;PLP2;NKX2-5;AQP1
CID72943187 BROMOSPORINE RA-86-LI22 BAID16 10UM	11/464	9.561761508631684E-4	0.6399879133667161	0	0	3.293088809645101	22.89542520838901	CCDC80;SPARC;CMTM3;TGFB1I1;F2R;FN1;SAA1;ID3;EMP3;PLP2;AQP1
CID55245 MIFEPRISTONE BD-23-MT28 BAID25 0.01UM	5/103	0.0012109657277730751	0.6399879133667161	0	0	6.762087385289687	45.416458484596674	TROAP;TAGLN2;GATA4;PLP2;NID1
CID72201027 SGC-CBP30 ED-33-YZ72 BAID4 10UM	8/280	0.0014987283987724339	0.6399879133667161	0	0	3.943190975020145	25.643116114103353	CCDC80;SPARC;CMTM3;TGFB1I1;F2R;ID3;EMP3;AQP1
CID52912189 AF-30-GH67 BAID27 1UM	11/493	0.0015520208602094855	0.6399879133667161	0	0	3.090328758378551	19.988856490940144	SYDE1;NMB;CCDC80;CMTM3;TGFB1I1;TNC;ID3;EMP3;PLP2;CD99;AQP1
CID132010322 DA-27-BW40 BAID26 0.1UM	6/166	0.0018251802917037784	0.6399879133667161	0	0	4.988006756756757	31.454752224804906	CCDC80;CMTM3;TGFB1I1;ID3;EMP3;AQP1
CID4858 OC-40-XI13 BAID27 1UM	7/226	0.0018712950856571624	0.6399879133667161	0	0	4.26766688410524	26.80574714585701	CCDC80;SPARC;CMTM3;ID3;EMP3;PLP2;AQP1
XB-53-OZ95 BAID51 1UM	6/174	0.0023124147351814024	0.6399879133667161	0	0	4.748552123552123	28.821161230047416	SPARC;FOXD1;FN1;TAGLN2;S100A11;AQP1
CID118693659 AZD-5153 HE-16-PO98 BAID14 0.1UM	7/235	0.0023314678082576178	0.6399879133667161	0	0	4.097326649958229	24.83495085907533	CCDC80;TGFB1I1;F2R;ID3;EMP3;PLP2;AQP1
SF-67-CJ22 BAID36 10UM	10/465	0.0032828043408441566	0.6652299526160759	0	0	2.9595543345543347	16.92586064394084	TGIF1;SYDE1;CCDC80;NNMT;CMTM3;UHRF1;TGFB1I1;TAGLN2;EMP3;AJUBA
CID24888322 BJB-432 PA-25-OV46 BAID48 10UM	6/188	0.0033930208737012356	0.6652299526160759	0	0	4.380160380160381	24.90574365564404	CCDC80;SPARC;NNMT;CMTM3;TGFB1I1;EMP3
CID3021729 OA-86-XP09 BAID17 0.01UM	4/81	0.003552351744844475	0.6652299526160759	0	0	6.846406926406926	38.61473074809768	SPARC;CMTM3;ANXA5;FN1
