Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	16/664	7.554909188441177E-5	0.18252660599273884	0	0	3.337506520605112	31.67536621608953	APOBEC3C;CMTM3;F2R;HOXC11;AQP1;HOXA11;HOXA10;MMP14;MEX3A;SMO;FANCD2;MDK;HOXA7;HOXC9;NES;MDFI
CID71291068 CPI-203 AE-32-DP61 BAID28 10UM	17/851	4.1641854467638364E-4	0.5030336019690714	0	0	2.747895300780652	21.389121538626945	APOBEC3C;CMTM3;F2R;TNC;ABCA13;HOXC11;AQP1;HOXA11;HOXA10;MEX3A;COL4A2;FANCD2;MDK;CHI3L2;HOXA7;NES;MDFI
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	14/698	0.001309407171305622	0.9954368352744145	0	0	2.7230750487329436	18.076264465114992	APOBEC3C;CMTM3;F2R;ABCA13;HOXC11;AQP1;HOXA11;MEX3A;COL4A2;FANCD2;MDK;PDPN;NES;MDFI
TB-06-VB30 BAID23 1UM	11/527	0.0031791117029930115	0.9954368352744145	0	0	2.802641987027369	16.11842416053612	HOXA10;APOBEC3C;MEX3A;MDK;PDPN;F2R;NES;HOXC11;AQP1;HOXA11;HOXA4
CID9961435 TEGLARINAD OB-78-PA58 BAID7 1UM	6/182	0.003282425882714556	0.9954368352744145	0	0	4.4107356459330145	25.225758150217388	CMTM3;PDPN;F2R;NES;E2F7;PDIA4
AA-50-FY68 BAID21 0.01UM	4/80	0.003722688112168994	0.9954368352744145	0	0	6.755297334244703	37.78446713946973	CMTM3;ANXA5;HOXC11;CEP55
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	3/40	0.003857646861449497	0.9954368352744145	0	0	10.360069747166522	57.57813790654623	CMTM3;COL4A2;COL4A1
CID52912189 AF-30-GH67 BAID27 1UM	10/493	0.005901321887268736	0.9954368352744145	0	0	2.7081584690280343	13.899837028111328	APOBEC3C;MEX3A;CMTM3;MDK;PDPN;TNC;HOXC9;HOXC11;AQP1;HOXA11
CID86294693 NVS-BET-1 CB-55-AK76 BAID24 10UM	12/663	0.006479906804049387	0.9954368352744145	0	0	2.4229530963954296	12.209379742849958	APOBEC3C;MMP14;MEX3A;CMTM3;COL4A2;FANCD2;MDK;HOXC9;NES;HOXC11;AQP1;HOXA11
CID4595 ONDANSETRON DA-15-PU65 BAID25 0.01UM	3/49	0.006831258537915245	0.9954368352744145	0	0	8.329312762973352	41.5320054140939	COL4A2;HOXA7;NES
CID6478034 BMS433771 KE-58-BO47 BAID5 0.01UM	3/50	0.007225756114999549	0.9954368352744145	0	0	8.151681537405628	40.18863284587075	MEX3A;FANCD2;COL4A1
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	8/355	0.007345430126262152	0.9954368352744145	0	0	2.996349663784822	14.723094159185319	HOXA10;APOBEC3C;MMP14;MDK;F2R;HOXA7;HOXC11;AQP1
CID443389 SB221284 AC-57-ZF49 BAID27 1UM	4/104	0.009359564618247506	0.9954368352744145	0	0	5.127792207792208	23.953745484717516	COL4A2;CMTM3;ANXA5;PDIA4
CID73603314 HB-06-WU12 BAID1 0.01UM	8/377	0.010337648785854471	0.9954368352744145	0	0	2.8145257452574524	12.867907079879163	APOBEC3C;CMTM3;MDK;PDPN;HOXA7;HOXC9;HOXC11;PDIA4
CID68284480 FE-22-JV50 BAID19 1UM	3/57	0.010363378032278074	0.9954368352744145	0	0	7.09247311827957	32.40889300275547	HOXA10;IKBIP;ESCO2
CID118288050 AA-99-PN83 BAID52 10UM	13/797	0.010721445015537057	0.9954368352744145	0	0	2.1793983110485575	9.884681387055332	APOBEC3C;F2R;HOXC11;AQP1;MMP14;MEX3A;FANCD2;MDK;HOXA7;HOXC9;NES;MDFI;HOXA4
CID42646698 CC-44-MG29 BAID44 10UM	10/545	0.011486396046749052	0.9954368352744145	0	0	2.438368274816873	10.89119597651664	MMP14;MEX3A;MDK;PDPN;AJUBA;NES;HOXC11;E2F7;CEP55;AQP1
CID60182393 S0-EE-Y97N BAID27 1UM	4/111	0.01168698224488238	0.9954368352744145	0	0	4.790629930816847	21.314852430742214	COL4A2;COL4A1;NID1;CD44
CID71600087 MIVEBRESIB KB-78-BE93 BAID38 0.1UM	13/808	0.011915221765949668	0.9954368352744145	0	0	2.148002602472349	9.515519547663725	APOBEC3C;CMTM3;HOXC11;AQP1;HOXA11;MMP14;MEX3A;FANCD2;MDK;HOXA7;NES;MDFI;HOXA4
CID86271238 PF-06446846 AE-51-ZO26 BAID23 1UM	4/119	0.014767470924387174	0.9954368352744145	0	0	4.455561829474873	18.781656441057248	APOBEC3C;COL4A1;CDCA7L;NES
CID132010322 DA-27-BW40 BAID27 1UM	9/490	0.01605046934814346	0.9954368352744145	0	0	2.4313022366713644	10.046182628617194	HOXA10;CMTM3;FANCD2;MDK;TNC;HOXC9;HOXC11;HOXA11;EZH2
CID23630211 DB-18-UF01 BAID11 1UM	7/339	0.01835158085851659	0.9954368352744145	0	0	2.7242080906407087	10.891491710235812	MMP14;CMTM3;MDK;PDPN;F2R;NES;AQP1
XD-03-FM54 BAID52 10UM	4/128	0.01879601793326026	0.9954368352744145	0	0	4.130289065772937	16.414224085491604	COL4A2;CMTM3;ANXA5;PDIA4
CID4877 IC-91-IX22 BAID28 10UM	4/129	0.019281564981352337	0.9954368352744145	0	0	4.097038961038961	16.17759189395378	ABCC3;COL4A2;COL4A1;ANXA5
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	9/525	0.02384942211747484	0.9954368352744145	0	0	2.2622912439519274	8.451909436122328	APOBEC3C;CMTM3;COL4A2;MDK;F2R;HOXC9;HOXC11;MDFI;AQP1
CID10316032 SD-208 AA-86-YV75 BAID4 10UM	5/209	0.025334040970854652	0.9954368352744145	0	0	3.145905420991926	11.563109767909854	IKBIP;COL4A2;COL4A1;TNC;AQP1
