Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	9/44	2.4375036903523832E-5	0.08831075870146685	0	0	6.87	72.97280355611372	CCNB2;RRM2;PTTG1;LRR1;PBK;PCLAF;BIRC5;CENPM;PIMREG
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	38/551	1.3706631263682624E-4	0.24829562534161073	0	0	2.0108270354290614	17.88639840589832	PCNA;SLC43A3;LRR1;CDCA7;HMMR;SKA3;CENPA;TUBA1C;CCNB2;CDC45;PTTG1;NUF2;PBK;PCLAF;OIP5;CENPU;GINS2;GAS2L3;CDKN2C;RRM2;DDIAS;ESCO2;PIMREG;SGO1;CCNA2;RAD51;CENPH;MTHFD2;TMSB15A;CKS2;CDK1;DEPDC1;CENPM;BIRC5;PLP2;MTFR2;APOBEC3B;SPC25
JD-02-GA59 BAID32 10UM	12/101	3.075493100861518E-4	0.371417050147376	0	0	3.6071646843119742	29.1706903593968	CCNA2;TUBA1C;CDC45;RRM2;ANXA2;CENPH;PCLAF;DEPDC1;BIRC5;CENPM;TAGLN2;AQP1
CID44819306 CA-90-RU33 BAID12 10UM	23/300	6.800230586478087E-4	0.6159308853702528	0	0	2.233879792597744	16.292542803498105	GINS2;CDKN2C;RRM2;ESCO2;PIMREG;SKA3;CENPA;CCNA2;TUBA1C;CCNB2;CDC45;RAD51;PTTG1;MTHFD2;PCLAF;PBK;CKS2;CDK1;CENPM;BIRC5;SPC24;APOBEC3B;SPC25
CID370853 N-DESMETHYLTRIFLUOPERAZINE HE-34-NJ16 BAID28 10UM	6/34	0.001290694271781561	0.6977753507625983	0	0	5.703319502074689	37.94176079471197	RRM2;MTHFD2;PCLAF;BIRC5;CENPM;MTFR2
XA-12-UL84 BAID35 1UM	9/73	0.0013047640153755165	0.6977753507625983	0	0	3.7513671875	24.915579565787866	TUBA1C;GINS2;SPARC;RRM2;MTHFD2;PCLAF;CDK1;BIRC5;CENPM
CID71678945 NA-16-OJ70 BAID30 0.1UM	27/396	0.0014435263466684055	0.6977753507625983	0	0	1.970189701897019	12.886353401778816	LRR1;HMMR;CENPA;TUBA1C;CCNB2;CDC45;PTTG1;NUF2;PBK;PCLAF;NUSAP1;OIP5;GINS2;CDKN2C;RRM2;PIMREG;CCNA2;TMEM37;RAD51;MTHFD2;TMSB15A;CDK1;CENPM;BIRC5;SPC24;APOBEC3B;SPC25
CID9862831 SB-28-EJ14 BAID19 1UM	11/106	0.0016783648337926642	0.6977753507625983	0	0	3.092449787421199	19.760553975889646	TUBA1C;TMEM37;GINS2;CDC45;RRM2;ACTL6A;PCLAF;GPX8;NCAPG;BIRC5;APOBEC3B
CID90644096 FE-06-GR60 BAID44 10UM	13/139	0.001733364106227818	0.6977753507625983	0	0	2.758767846058349	17.539394026353992	RRM2;ANXA2;LRR1;TUBA1C;TMEM37;LOX;MTHFD2;TMSB15A;PCLAF;BIRC5;CENPM;APOBEC3B;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	34/550	0.0020034892039307015	0.7258641385840932	0	0	1.778121688695555	11.047230034789294	LRR1;RPLP0;CDCA7;HMMR;CENPA;TUBA1C;CCNB2;CDC45;PTTG1;GNG5;NUF2;PBK;EIF4EBP1;PCLAF;OIP5;CENPU;GINS2;CDKN2C;RRM2;ANXA2;ESCO2;PIMREG;CCNA2;RAD51;CENPH;MTHFD2;CKS2;CDK1;CENPM;BIRC5;TAGLN2;MTFR2;APOBEC3B;SPC25
CID44632017 AA-30-BE85 BAID19 1UM	13/147	0.0028465567994456708	0.9375522985810605	0	0	2.592981322438089	15.199136407326655	GINS2;RRM2;CDKN2C;HOXC11;CCNB2;TUBA1C;TMEM37;MTHFD2;PCLAF;BIRC5;CENPM;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	24/360	0.003439419160773135	0.9999957681039195	0	0	1.9184397163120568	10.882258491922022	GINS2;PCNA;CDKN2C;RRM2;LRR1;ESCO2;PIMREG;CENPA;CCNA2;TUBA1C;CCNB2;CDC45;PTTG1;MTHFD2;TMSB15A;PCLAF;PBK;NUSAP1;CDK1;CENPM;BIRC5;MTFR2;SPC24;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	8/74	0.0054288117376935585	0.9999957681039195	0	0	3.22868070440886	16.84091156390061	TUBA1C;RRM2;PTTG1;PCLAF;BIRC5;CENPM;ESCO2;PIMREG
CID11467730 BMS-509744 GA-09-TM90 BAID28 10UM	16/216	0.005856910962591215	0.9999957681039195	0	0	2.139803646563815	10.998875238513081	GINS2;RRM2;LRR1;ESCO2;SGO1;CCNA2;TUBA1C;CDC45;RAD51;PTTG1;MTHFD2;PCLAF;EIF4EBP1;CENPM;BIRC5;APOBEC3B
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	16/217	0.006116554595867575	0.9999957681039195	0	0	2.1290462135326176	10.851229734854197	GINS2;CDKN2C;RRM2;CENPA;AQP1;TUBA1C;DEPDC1B;CDC45;CENPH;PTTG1;PCLAF;CENPM;BIRC5;TAGLN2;PLP2;SPC25
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	15/198	0.006120494772614313	0.9999957681039195	0	0	2.19130275060844	11.167124989207048	CDKN2C;RRM2;ESCO2;TUBA1C;TMEM37;CCNB2;CDC45;PTTG1;MTHFD2;PCLAF;PBK;EIF4EBP1;ID3;CENPM;BIRC5
PF-84-RH50 BAID36 10UM	17/237	0.006299103705168712	0.9999957681039195	0	0	2.067588100102145	10.477188268242196	SPARC;RRM2;ANXA2;CENPA;AQP1;TUBA1C;TMEM37;TMSB15A;PCLAF;PBK;ID3;CENPM;BIRC5;TAGLN2;S100A4;HOXC6;APOBEC3B
CID151345176 AC-45-YY00 BAID36 10UM	9/92	0.00635012355223616	0.9999957681039195	0	0	2.889759036144578	14.620103012793235	CCNA2;TUBA1C;RRM2;CDKN2C;PTTG1;BIRC5;CENPM;PIMREG;CENPA
CID4858 OC-40-XI13 BAID28 10UM	6/48	0.007660739149878629	0.9999957681039195	0	0	3.7994467496542184	18.50956261918693	RRM2;RAD51;MTHFD2;PCLAF;ESCO2;SKA3
GC-69-JF03 BAID34 0.1UM	6/51	0.01025966494465579	0.9999957681039195	0	0	3.545597049331489	16.237186124535153	PCNA;PRDX4;PTTG1;PCLAF;NCAPG;SPC25
