Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TB-06-VB30 BAID23 1UM	15/527	0.00976498989815854	0.9999934538894126	0	0	2.0604395604395602	9.537675307312094	APOBEC3C;SPARC;HOXD11;AQP1;HOXA11;HOXA10;MEX3A;MAGED4B;ID3;COL8A1;S100A4;PLP2;CD99;HOXA4;TMEM45A
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	11/355	0.014287034815752976	0.9999934538894126	0	0	2.2358324238099234	9.498716750256325	APOBEC3C;HOXA10;MAGED4B;CBX2;ID3;COL8A1;S100A4;HOXA7;AQP1;HOXC6;TMEM45A
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	16/664	0.031616714484797394	0.9999934538894126	0	0	1.7305737109658679	5.9775216282544505	APOBEC3C;SPARC;ANXA1;AQP1;HOXA11;HOXA10;MEX3A;MAGED4B;SMO;ID3;COL8A1;S100A4;PLP2;HOXA7;HOXC9;TMEM45A
CID44422459 EB-66-IH06 BAID37 0.01UM	3/49	0.03347663867954205	0.9999934538894126	0	0	4.500228832951945	15.286860787545049	SPARC;S100A4;HOXA7
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	8/260	0.03518040350710588	0.9999934538894126	0	0	2.2063492063492065	7.385237836877175	APOBEC3C;SPARC;MAGED4B;COL8A1;ID3;PLP2;NKX2-5;AQP1
CID67347910 SC-25-HE80 BAID26 0.1UM	3/58	0.05107714079661347	0.9999934538894126	0	0	3.7621052631578946	11.190074456817996	CBX2;HOXC4;ID3
CID29021560 [1-(PYRIDIN-2-YLMETHYL)INDOL-3-YL]METHANOL BB-51-ML99 BAID31 1UM	4/106	0.0671141489698705	0.9999934538894126	0	0	2.7078155205744268	7.314785599644616	SPARC;MAGED4B;ID3;S100A4
CID118288050 AA-99-PN83 BAID52 10UM	17/797	0.06979701547079699	0.9999934538894126	0	0	1.5225849181568738	4.05337079934119	APOBEC3C;EIF5AL1;ANXA1;CBX2;STON1;AQP1;MEX3A;MAGED4B;TMSB15A;ID3;COL8A1;S100A4;HOXA7;HOXC9;HOXA4;HOXC6;TMEM45A
CID52912222 NB-12-ZK38 BAID6 0.1UM	5/154	0.07223680140796493	0.9999934538894126	0	0	2.319704982569308	6.095733855242096	COL8A1;ID3;HOXA11;AQP1;TMEM45A
LB-67-JK40 BAID36 10UM	5/157	0.07702105247086585	0.9999934538894126	0	0	2.273572624139855	5.828704675232436	HOXA10;SPARC;MEX3A;COL8A1;ID3
CID24894053 AD-66-NV75 BAID38 0.1UM	4/114	0.08268118045150122	0.9999934538894126	0	0	2.5098591549295777	6.256484706546385	ANXA1;TMSB15A;CBX2;HOXA7
BF-54-GX35 BAID52 10UM	7/261	0.08421663384656249	0.9999934538894126	0	0	1.9083419732675764	4.721930437228809	EIF5AL1;MEX3A;MAGED4B;ID3;PITX1;AQP1;TMEM45A
CID118694876 XB-35-TO54 BAID44 10UM	6/211	0.08528743581058468	0.9999934538894126	0	0	2.0245978204462896	4.984009405445817	APOBEC3C;MEX3A;MAGED4B;COL8A1;ID3;AQP1
CID46872626 A-971432 XC-61-SE50 BAID43 1UM	3/77	0.09968834383804002	0.9999934538894126	0	0	2.793456614509246	6.440891132779436	SPARC;MAGED4B;PDIA4
CID4858 OC-40-XI13 BAID27 1UM	6/226	0.10903831298238674	0.9999934538894126	0	0	1.8851063829787233	4.177501241382736	SPARC;COL8A1;ID3;PLP2;AQP1;TMEM45A
BE-49-XN43 BAID47 1UM	8/336	0.11371710318122678	0.9999934538894126	0	0	1.6885017421602788	3.6708728024993547	EIF5AL1;MEX3A;MAGED4B;CBX2;S100A4;HOXC9;HOXD11;PDIA4
CID101891769 ID-30-NC19 BAID18 0.1UM	2/42	0.12238178464421552	0.9999934538894126	0	0	3.4391608391608393	7.22433475013094	NACA2;RCC1
CID121271792 BB-10-PR06 BAID12 10UM	7/288	0.1235483986559983	0.9999934538894126	0	0	1.7225845670647535	3.602135015144486	SPARC;FOXD1;ANXA1;COL8A1;ID3;S100A4;AQP1
CID86294693 NVS-BET-1 CB-55-AK76 BAID22 0.1UM	9/399	0.12393841409017801	0.9999934538894126	0	0	1.5981803143093465	3.3369533456705507	APOBEC3C;MEX3A;SPARC;MAGED4B;ID3;PLP2;AQP1;HOXC6;TMEM45A
CID118693659 AZD-5153 HE-16-PO98 BAID14 0.1UM	6/235	0.12475843980186872	0.9999934538894126	0	0	1.8101830344699432	3.7676713297122215	HOXA10;COL8A1;ID3;PLP2;AQP1;TMEM45A
CID16071549 JB-91-QG66 BAID20 10UM	3/86	0.12733505923680857	0.9999934538894126	0	0	2.489410272669626	5.130508789495228	COL8A1;ID3;S100A4
