Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID9883705 NS1652 JA-01-GQ75 BAID32 10UM	3/64	0.12985085659789977	0.999996037405823	0	0	2.4777758999492985	5.058054276963446	TUBA1C;MTHFD2;NACA2
CID1550579 D-AP4 AD-55-EA62 BAID45 0.01UM	2/46	0.22683080806104788	0.999996037405823	0	0	2.286164991820519	3.3916420816500903	TUBA1C;NACA2
CID124203912 CC-91-VE57 BAID42 0.1UM	2/48	0.24132045541136649	0.999996037405823	0	0	2.186542975298983	3.1084540803236873	NNMT;MTHFD2
CID45483510 IC-05-WD74 BAID15 1UM	2/48	0.24132045541136649	0.999996037405823	0	0	2.186542975298983	3.1084540803236873	TUBA1C;MTHFD2
EA-93-KT88 BAID50 0.1UM	3/95	0.28425615701061785	0.999996037405823	0	0	1.6402678171223666	2.0632592387675546	TMEM37;MTHFD2;S100A4
CID90644096 FE-06-GR60 BAID44 10UM	4/139	0.2888945797540142	0.999996037405823	0	0	1.4909752129390372	1.8513341312004286	TUBA1C;TMEM37;LOX;MTHFD2
CID213023 IB-30-KN41 BAID10 0.1UM	3/96	0.28958666482482787	0.999996037405823	0	0	1.6225473894246758	2.0108240609899006	LOX;MTHFD2;CYTL1
CID24937859 HE-43-BS90 BAID20 10UM	2/56	0.2994380266474586	0.999996037405823	0	0	1.861848995525088	2.2451065255214178	TUBA1C;CYTL1
FE-25-GD89 BAID36 10UM	2/63	0.3497174401715653	0.999996037405823	0	0	1.647604197395592	1.7310220096476567	MTHFD2;HOXA4
CID9930560 DD-28-MZ39 BAID20 10UM	2/64	0.3568099094124192	0.999996037405823	0	0	1.620947010531553	1.6704703548423832	TUBA1C;MTHFD2
CID9819408 FA-88-II68 BAID50 0.1UM	3/114	0.3857304198632404	0.999996037405823	0	0	1.3581777653942602	1.2938226139577846	TMEM37;CLIC1;S100A11
CID11058796 CB-73-HZ47 BAID27 1UM	2/69	0.39182092003629254	0.999996037405823	0	0	1.4995971300310786	1.4050481011525953	MTHFD2;CYTL1
CID1254374 TA-19-YA45 BAID10 0.1UM	4/168	0.4170785277945977	0.999996037405823	0	0	1.2254994642969685	1.0716757015189595	TUBA1C;TMEM37;LOX;MTHFD2
