Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	38/551	4.951905611225915E-12	1.8237868366145045E-8	0	0	4.200901197933839	109.35470360164734	ERCC6L;PCNA;LRR1;CDCA7;NRM;MCM10;TYMS;CENPA;SKA1;KIF15;AURKA;LMNB1;CDC45;ORC1;PCLAF;PBK;E2F2;MYBL2;OIP5;TK1;CEP55;E2F8;TCF19;CENPU;DDIAS;WDR76;TPX2;KIF18B;RAD51;CENPH;ESPL1;FANCD2;CDK2;PLP2;PRR11;DTL;ASF1B;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	38/579	2.1647755332095016E-11	3.986434144405297E-8	0	0	3.977643335509031	97.6754844652305	ERCC6L;UHRF1;LRR1;CDCA7;NRM;MCM10;YBX1;CENPA;SKA1;AURKA;LMNB1;BCL2L12;CDC45;EME1;ORC1;MDK;PCLAF;PBK;E2F2;MYBL2;OIP5;TK1;CEP55;TCF19;CA12;WDR76;TPX2;TMEM37;KIF18B;RAD51;CENPH;ESPL1;FANCD2;PLP2;PRR11;NES;ASF1B;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	29/396	4.659421712505528E-10	5.720216722385955E-7	0	0	4.39811941850026	94.50221419765994	LRR1;YBX1;TYMS;CENPA;SKA1;AURKA;BCL2L12;CDC45;ORC1;PCLAF;PBK;NUSAP1;MYBL2;OIP5;TK1;CEP55;TCF19;WDR76;TPX2;TMEM37;KIF18B;RAD51;ESPL1;FANCD2;NES;SPC24;ASF1B;EZH2;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	27/360	1.1250128985034629E-9	1.0230786021306448E-6	0	0	4.494874184529357	92.61900116833299	PCNA;LRR1;NRM;TYMS;CENPA;SKA1;LMNB1;AURKA;BCL2L12;CDC45;ORC1;PCLAF;PBK;NUSAP1;MYBL2;TK1;TCF19;WDR76;TPX2;KIF18B;ESPL1;FANCD2;PRR11;DTL;SPC24;ASF1B;EZH2
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	39/703	1.5817924954057441E-9	1.0230786021306448E-6	0	0	3.3145035499139417	67.16744376076426	PCNA;LRR1;NRM;MCM10;TYMS;CENPA;SKA1;KIF15;AURKA;LMNB1;BCL2L12;CDC45;EME1;ORC1;PCLAF;PBK;E2F2;MYBL2;OIP5;TK1;CEP55;TCF19;CA12;CENPU;POLQ;WDR76;TPX2;WEE1;KIF18B;RAD51;CENPH;ESPL1;FANCD2;CDK2;PRR11;NES;DTL;ASF1B;APOBEC3B
TF-29-QU48 BAID52 10UM	38/674	1.6667042119967058E-9	1.0230786021306448E-6	0	0	3.366655469085344	68.04824654680421	LRR1;CDCA7L;NRM;CENPA;SKA1;AURKA;LMNB1;BCL2L12;CDC45;EME1;ORC1;MDK;PCLAF;PBK;E2F2;MYBL2;TK1;PITX1;CEP55;TCF19;CA12;DDIAS;WDR76;TPX2;TMEM37;KIF18B;RAD51;CENPH;ESPL1;FANCD2;CDK2;TAGLN2;PRR11;NES;DTL;SPC24;ASF1B;APOBEC3B
CID71678945 NA-16-OJ70 BAID32 10UM	24/328	1.5616066435907567E-8	7.631143253409562E-6	0	0	4.34570400359874	78.113879767944	LRR1;NRM;MCM10;TYMS;CENPA;WDR76;AURKA;BCL2L12;TPX2;TMEM37;KIF18B;CDC45;EME1;ORC1;ESPL1;FANCD2;PCLAF;TAGLN2;OIP5;MYBL2;TK1;PRR11;NES;ASF1B
CID9907182 GB-94-XG34 BAID16 10UM	32/550	1.657592886974654E-8	7.631143253409562E-6	0	0	3.4412688406857503	61.65141274104322	LRR1;CDCA7;MCM10;YBX1;CENPA;SKA1;AURKA;BCL2L12;CDC45;GNG5;PCLAF;PBK;MYBL2;OIP5;TK1;CEP55;TCF19;CENPU;ANXA2;WDR76;TPX2;KIF18B;RAD51;CENPH;ESPL1;FANCD2;TAGLN2;VIM;PRR11;NES;ASF1B;APOBEC3B
BE-04-AN21 BAID12 10UM	42/874	2.387294469745546E-8	9.769339480080939E-6	0	0	2.8489041926541927	49.99975012594584	LRR1;NRM;MCM10;CENPA;SKA1;KIF15;AURKA;LMNB1;BCL2L12;MAGED4B;CDC45;EME1;ORC1;MDK;PCLAF;PBK;RCC1;MYBL2;OIP5;TK1;CEP55;TCF19;CENPU;POLQ;WDR76;TPX2;TMEM37;WEE1;KIF18B;RAD51;CENPH;ESPL1;FANCD2;CDK2;TAGLN2;PLP2;PRR11;NES;SPC24;ASF1B;EZH2;APOBEC3B
CID71678945 NA-16-OJ70 BAID31 1UM	34/636	4.6287764789714845E-8	1.7047783772051978E-5	0	0	3.1507000126655043	53.21024482168072	ERCC6L;LRR1;NRM;CENPA;SKA1;AURKA;LMNB1;BCL2L12;CDC45;ORC1;MDK;PCLAF;PBK;E2F2;RCC1;MYBL2;OIP5;TK1;CEP55;E2F8;TCF19;CENPU;WDR76;TPX2;TMEM37;KIF18B;RAD51;CENPH;ESPL1;FANCD2;PLP2;NES;ASF1B;APOBEC3B
CID101476432 RC-52-AC88 BAID28 10UM	40/834	5.570502700686859E-8	1.8651055860572456E-5	0	0	2.831835783300124	47.30070654985492	LRR1;CDCA7L;NRM;MCM10;YBX1;CENPA;SKA1;KIF15;AURKA;LMNB1;BCL2L12;CDC45;EME1;ORC1;PCLAF;PBK;E2F2;RCC1;MYBL2;OIP5;TK1;CEP55;TCF19;CA12;ANXA2;WDR76;TPX2;TMEM37;KIF18B;RAD51;CENPH;ESPL1;FANCD2;TAGLN2;VIM;PRR11;NES;DTL;EZH2;APOBEC3B
CID44819306 CA-90-RU33 BAID12 10UM	21/300	2.636825055802714E-7	8.092855567101163E-5	0	0	4.1134195978373125	62.312219407874466	TCF19;TYMS;CENPA;WDR76;SKA1;AURKA;BCL2L12;TPX2;KIF18B;CDC45;RAD51;ESPL1;FANCD2;PCLAF;PBK;MYBL2;TK1;CEP55;SPC24;ASF1B;APOBEC3B
QE-00-EB96 BAID20 10UM	28/537	1.2179185484180258E-6	3.219717233222304E-4	0	0	3.0304546972931043	41.269845045053565	PCNA;LRR1;MCM10;TYMS;SKA1;KIF15;CDC45;ORC1;PCLAF;PBK;E2F2;MYBL2;OIP5;TK1;TCF19;CA12;ANXA2;DDIAS;FAM111B;TMEM37;RAD51;CENPH;FANCD2;S100A4;NES;DTL;ASF1B;EZH2
CID9820526 VC-19-YG34 BAID27 1UM	27/506	1.2238946854496948E-6	3.219717233222304E-4	0	0	3.101180620545677	42.21783684374877	NRM;YBX1;CENPA;SKA1;KIF15;AURKA;LMNB1;BCL2L12;EME1;ORC1;PCLAF;PBK;MYBL2;TK1;CEP55;TCF19;CA12;CMTM3;TPX2;TMEM37;KIF18B;RAD51;CENPH;ESPL1;PLP2;NES;APOBEC3B
CID51039095 AZD-4547 BD-81-LB65 BAID40 10UM	23/395	1.7931040191911962E-6	4.1589218144232786E-4	0	0	3.3817433406647117	44.74574786699719	TCF19;CA12;CENPU;POLQ;ANXA2;LRR1;TYMS;CENPA;WDR76;KIF15;TMEM37;CDC45;ESPL1;ORC1;FANCD2;PCLAF;PBK;NUSAP1;E2F2;MYBL2;TK1;NES;ASF1B
CID6419417 ZYGOSPORINA BE-42-IC00 BAID40 10UM	31/645	1.8067539785710687E-6	4.1589218144232786E-4	0	0	2.790228959927278	36.897928347388685	ERCC6L;UHRF1;LRR1;CDCA7L;CDCA7;TYMS;CENPA;SKA1;KIF15;AURKA;LMNB1;CDC45;ORC1;PCLAF;NUSAP1;MYBL2;OIP5;TK1;CEP55;TCF19;ANXA2;DDIAS;WDR76;TPX2;TMEM37;KIF18B;CENPH;ESPL1;AJUBA;DTL;ASF1B
CID91623361 LLY-507 AE-52-NW93 BAID20 10UM	29/593	2.8022037997335042E-6	6.053807834059002E-4	0	0	2.832621038822613	36.21535564757765	PCNA;LRR1;MCM10;TYMS;SKA1;AURKA;CDC45;PCLAF;PBK;E2F2;MYBL2;OIP5;TK1;CEP55;TCF19;CA12;CENPU;ANXA2;FAM111B;TPX2;TMEM37;ESPL1;FANCD2;HOXB3;TAGLN2;AJUBA;NES;EZH2;APOBEC3B
CB-25-VR83 BAID36 10UM	22/378	3.0356398849521265E-6	6.053807834059002E-4	0	0	3.3733169939841487	42.8582903413958	ANXA2;LRR1;MCM10;YBX1;TYMS;AURKA;TPX2;TMEM37;CDC45;ESPL1;FANCD2;EXO1;PCLAF;PBK;NUSAP1;TAGLN2;MYBL2;OIP5;VIM;TK1;NES;DTL
BE-04-AN21 BAID11 1UM	17/240	3.123061331716564E-6	6.053807834059002E-4	0	0	4.131497858055465	52.3737458463805	TCF19;LRR1;CENPA;LMNB1;AURKA;BCL2L12;TPX2;KIF18B;ESPL1;FANCD2;PCLAF;MYBL2;TK1;PRR11;NES;ASF1B;APOBEC3B
CID24856436 ADAVOSERTIB JA-85-SW39 BAID27 1UM	36/847	4.441777077028202E-6	8.179532487347435E-4	0	0	2.4635596826817108	30.362032959446328	ERCC6L;NRM;MCM10;YBX1;TYMS;SKA1;KIF15;AURKA;MAGED4B;CDC45;ORC1;MDK;PDPN;PCLAF;PBK;E2F2;MYBL2;OIP5;TK1;CEP55;TCF19;CA12;CMTM3;ANXA5;WDR76;TPX2;TMEM37;RAD51;CENPH;FANCD2;PRR11;NES;ASF1B;EZH2;APOBEC3B;PPIC
BB-84-DG64 BAID52 10UM	22/390	5.0161689218480915E-6	8.797404828174534E-4	0	0	3.2612852568050252	39.79695548461634	TCF19;NRM;YBX1;CENPA;SKA1;AURKA;BCL2L12;TPX2;CDC45;CENPH;ESPL1;FANCD2;MDK;PCLAF;MYBL2;OIP5;TK1;PRR11;NES;ASF1B;EZH2;APOBEC3B
CID72710839 BLU-9931 HF-79-EC41 BAID4 10UM	26/520	6.266294014612037E-6	0.0010490345843552787	0	0	2.8850852058513046	34.56425970068592	YBX1;CENPA;SKA1;KIF15;AURKA;LMNB1;BCL2L12;CDC45;PCLAF;PBK;MYBL2;TK1;CEP55;TCF19;CA12;ANXA2;CMTM3;TPX2;TMEM37;KIF18B;CENPH;VIM;PRR11;NES;ASF1B;APOBEC3B
CID51039247 MOMIPP UC-80-UO92 BAID20 10UM	16/235	1.0031975953142982E-5	0.0016064246711054609	0	0	3.9492756388242327	45.455108032105045	TCF19;ANXA2;MCM10;TYMS;TMEM37;MAGED4B;CDC45;CENPH;ORC1;ESPL1;PCLAF;OIP5;TK1;VIM;NES;APOBEC3B
CID6474906 FD-20-OG99 BAID3 1UM	36/890	1.3153471564739896E-5	0.0020185098238723765	0	0	2.334169240015751	26.233319228130743	LRR1;CDCA7L;CDCA7;MCM10;CENPA;SKA1;KIF15;AURKA;BCL2L12;BRIP1;CDC45;GNG5;ORC1;PCLAF;PBK;NUSAP1;RCC1;MYBL2;OIP5;TK1;CEP55;E2F8;TCF19;CA12;ANXA2;WDR76;TPX2;TMEM37;KIF18B;CENPH;ESPL1;FANCD2;PLP2;PRR11;ASF1B;APOBEC3B
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	15/217	1.5846588151232023E-5	0.0023345193664395013	0	0	4.0063943894389435	44.28089970716921	TCF19;CENPA;WDR76;BCL2L12;TPX2;KIF18B;CDC45;CENPH;PCLAF;TAGLN2;MYBL2;TK1;PLP2;NES;ASF1B
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	15/218	1.6732255274661488E-5	0.0023701883144837794	0	0	3.9864532019704435	43.84369897317311	CENPA;SKA1;AURKA;TPX2;CDC45;CENPH;MDK;PCLAF;E2F2;MYBL2;TK1;PRR11;NES;ASF1B;APOBEC3B
JD-02-GA59 BAID32 10UM	10/101	2.012141138170477E-5	0.0027447095599562473	0	0	5.881077826283306	63.59636459211751	TPX2;CDC45;ANXA2;CENPH;PCLAF;TAGLN2;MYBL2;TK1;TYMS;NES
CID50908894 AC-97-KP88 BAID40 10UM	32/779	3.007550611933892E-5	0.003956003179911616	0	0	2.3577146291677886	24.54805192089151	UHRF1;LRR1;MCM10;TYMS;CENPA;SKA1;AURKA;LMNB1;BCL2L12;CDC45;ORC1;E2F2;MYBL2;OIP5;TK1;TCF19;CA12;ANXA2;DDIAS;WDR76;TPX2;TMEM37;KIF18B;RAD51;ESPL1;FANCD2;CDK2;S100A4;NES;DTL;SPC24;ASF1B
ID-69-QF93 BAID52 10UM	19/346	3.204616829740747E-5	0.004069863373770749	0	0	3.1496924715665053	32.594066340673514	ANXA2;CMTM3;TGFB1I1;YBX1;SKA1;AURKA;TPX2;MAGED4B;CENPH;PCLAF;TAGLN2;MYBL2;TK1;PLP2;VIM;PRR11;NES;ASF1B;APOBEC3B
CID9939609 DARAPLADIB JF-62-LU77 BAID20 10UM	34/859	3.5768527669283255E-5	0.0043911829135323405	0	0	2.2721052163867412	23.26281785438156	PCNA;UHRF1;LRR1;MCM10;TYMS;ADAMTS12;CENPA;SKA1;AURKA;LMNB1;CDC45;ORC1;PCLAF;PBK;E2F2;MYBL2;OIP5;TK1;CEP55;TCF19;ANXA2;DDIAS;FAM111B;TPX2;TMEM37;KIF18B;ESPL1;FANCD2;S100A4;AJUBA;NES;SPC24;ASF1B;APOBEC3B
