Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	39/525	8.002496773045539E-10	3.2266066988919614E-6	0	0	3.3926611796982167	71.06301131269035	C5ORF46;STEAP3;SPARC;FBLIM1;NRM;ADAMTS12;FSTL1;CNN2;SYDE1;MDK;SERPINH1;PCLAF;IGF2BP2;CLIC1;S100A11;CTSC;S100A10;APOBEC3C;ANXA1;EDN2;ANXA2;CMTM3;GDF15;CD70;CAV1;F2R;GPX8;EMP3;COL1A1;CCDC80;COL4A2;CENPM;ID3;COL8A1;S100A4;TAGLN2;PLP2;TGFBI;TMEM45A
LB-67-JK40 BAID36 10UM	17/157	3.1764960945873245E-7	6.125749920169954E-4	0	0	4.983459443099274	74.5640995391645	C5ORF46;SPARC;EDN2;CAV1;FN1;GPX8;EMP3;TYMS;HOXA10;COL1A1;CCDC80;COL4A2;SERPINH1;COL8A1;ID3;TGFBI;CTSC
BD-11-DV28 BAID32 10UM	17/161	4.557849642983597E-7	6.125749920169954E-4	0	0	4.844029543314501	70.7288607355741	STEAP3;SPARC;EDN2;ANXA2;CAV1;F2R;TYMS;COL1A1;TMEM37;MDK;NPC2;PCLAF;SERPINH1;CENPM;S100A4;VIM;S100A10
CID146680897 JB-74-LF71 BAID32 10UM	20/227	8.487787718916778E-7	8.555690020668113E-4	0	0	3.976803353831258	55.593592282401865	C5ORF46;STEAP3;SPARC;EDN2;ANXA2;CD70;SERPINE1;F2R;NRM;TYMS;COL1A1;TMEM37;CCDC80;MDK;PCLAF;SERPINH1;CENPM;TAGLN2;TGFBI;S100A10
BD-11-DV28 BAID35 10UM	22/279	1.5832571258389882E-6	0.0012767385462765601	0	0	3.5293411876452896	47.13797393842378	STEAP3;SPARC;EDN2;ANXA2;CMTM3;CAV1;F2R;TYMS;FSTL1;LMNB1;COL1A1;TMEM37;MELK;MDK;NPC2;PCLAF;SERPINH1;S100A4;VIM;S100A11;S100A10;PPIC
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	25/355	2.460027827135305E-6	0.0014312579196796027	0	0	3.131694096133751	40.44688743922844	C5ORF46;NRM;TYMS;HOXA10;MDK;PCLAF;SERPINH1;E2F2;CTSC;APOBEC3C;TCF19;EDN2;CAV1;F2R;GPX8;COL1A1;TMEM37;MMP14;CCDC80;MELK;COL8A1;ID3;S100A4;TGFBI;TMEM45A
TB-06-VB30 BAID23 1UM	32/527	2.4848227772215324E-6	0.0014312579196796027	0	0	2.689971929359238	34.71491953604659	C5ORF46;SPARC;NRM;TYMS;HOXA10;CNN2;MDK;PDPN;SERPINH1;PCLAF;E2F2;CTSC;HOXA4;TCF19;APOBEC3C;EDN2;GDF15;CAV1;F2R;GPX8;EMP3;COL1A1;TMEM37;MELK;CCDC80;CENPM;ID3;COL8A1;S100A4;PLP2;TGFBI;TMEM45A
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID16 10UM	15/147	3.3115423684964023E-6	0.0015518122857522498	0	0	4.645905255082471	58.62248086056181	SPARC;EDN2;ANXA2;CAV1;F2R;TYMS;FSTL1;COL1A1;TMEM37;CCDC80;NPC2;PCLAF;S100A4;VIM;S100A10
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	38/698	3.885809778188084E-6	0.0015518122857522498	0	0	2.4065645367197472	29.981412155550274	C5ORF46;STEAP3;SPARC;FBLIM1;NRM;TYMS;ABCA13;CNN2;SYDE1;MDK;PLAU;PDPN;SERPINH1;EIF4EBP1;CLIC1;CTSC;APOBEC3C;ANXA1;EDN2;CMTM3;GDF15;CAV1;F2R;GPX8;GPX7;EMP3;COL1A1;SPOCD1;CCDC80;COL4A2;LOX;CENPM;ID3;COL8A1;S100A4;PLP2;TGFBI;TMEM45A
BD-11-DV28 BAID29 10UM	25/365	4.0267105659916494E-6	0.0015518122857522498	0	0	3.038000760649087	37.73974901389152	C5ORF46;STEAP3;SPARC;TYMS;FSTL1;MDK;PCLAF;CYTL1;S100A11;S100A10;EDN2;ANXA2;CD70;CAV1;F2R;COL1A1;TMEM37;CCDC80;MELK;NPC2;CENPM;TAGLN2;S100A4;TGFBI;VIM
