Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID4858 OC-40-XI13 BAID28 10UM	6/48	0.0029177459785305598	0.9999956397466491	0	0	4.679961324631376	27.31667164029122	RAD51;MTHFD2;PCLAF;ESCO2;TYMS;SKA3
CID44819306 CA-90-RU33 BAID12 10UM	18/300	0.0041194512686113975	0.9999956397466491	0	0	2.107926358725609	11.576805996628835	GINS2;ESCO2;PIMREG;SKA3;TYMS;CDC25C;WDR76;NDC80;CCNB2;CDC45;RAD51;MTHFD2;KIF4A;PCLAF;PBK;CENPM;APOBEC3B;SPC25
CID44632017 AA-30-BE85 BAID19 1UM	11/147	0.00467344939949597	0.9999956397466491	0	0	2.659317908050592	14.269521873918862	CCNB2;GINS2;CCDC80;MTHFD2;PCLAF;CENPM;CDC25C;TYMS;HOXC11;APOBEC3B;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	5/44	0.009688720116038257	0.9999956397466491	0	0	4.193520443520444	19.444486006270118	CCNB2;PBK;PCLAF;CENPM;PIMREG
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	19/355	0.010668404875422047	0.9999956397466491	0	0	1.8653865958147966	8.469729490973775	APOBEC3C;GINS2;F2R;GPX8;TYMS;HOXC11;WDR76;HOXC10;AQP1;HOXA10;CCDC80;MAGED4B;CDC45;PCLAF;HOXB3;ID3;HOXB7;HOXC6;APOBEC3B
CID53378674 BB-86-UL91 BAID23 1UM	8/107	0.014842167140096545	0.9999956397466491	0	0	2.6484196806777454	11.150596406638897	CCNB2;GINS2;CDC45;KIF4A;PCLAF;CENPM;PIMREG;TYMS
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	26/551	0.015009115638676379	0.9999956397466491	0	0	1.6373213243265783	6.875271966807005	PCNA;HMMR;SKA3;TYMS;KIF15;CCNB2;CDC45;NUF2;PBK;PCLAF;OIP5;CENPU;GINS2;DDIAS;ESCO2;CDC25C;PIMREG;WDR76;NDC80;RAD51;CENPH;MTHFD2;KIF4A;CENPM;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	20/396	0.01602431403875485	0.9999956397466491	0	0	1.754028540875401	7.250536715140681	GINS2;HMMR;CDC25C;PIMREG;TYMS;WDR76;CCNB2;CSRP2;CDC45;RAD51;MTHFD2;KIF4A;NUF2;PBK;PCLAF;NUSAP1;CENPM;OIP5;APOBEC3B;SPC25
XA-12-UL84 BAID35 1UM	6/73	0.021745160282966858	0.9999956397466491	0	0	2.929918933252519	11.216796348442196	GINS2;MTHFD2;KIF4A;PCLAF;CENPM;WDR76
CID44818584 AA-42-XZ05 BAID32 10UM	6/74	0.02308828882933379	0.9999956397466491	0	0	2.8866825918184533	10.878260607166032	KIF4A;PCLAF;CENPM;ESCO2;PIMREG;TYMS
