Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	23/355	1.567340964842039E-6	0.005698851748165654	0	0	3.4114103472714388	45.59735427852477	APOBEC3C;TCF19;RRM2;CBX2;NRM;TYMS;WDR76;AQP1;HOXA10;TMEM37;MMP14;CCDC80;ORC1;MFAP2;PCLAF;SERPINH1;HOXB3;ID3;S100A4;HOXA7;HOXB7;HOXC6;APOBEC3B
BD-11-DV28 BAID32 10UM	13/161	3.176558381502315E-5	0.03969684043171535	0	0	4.257835141875042	44.098939838383934	STEAP3;RRM2;CDKN2C;MMP2;TYMS;TMEM37;MFAP2;PCLAF;SERPINH1;S100A4;MYBL2;TK1;VIM
CID2577 CARMOFUR BF-19-KU00 BAID8 10UM	13/164	3.854867665373971E-5	0.03969684043171535	0	0	4.1725983055606015	42.408573349350235	RRM2;CBX2;CDC25C;PDIA4;BCL2L12;TMEM37;MFAP2;PCLAF;EIF4EBP1;SERPINH1;MYBL2;TK1;ASF1B
TB-06-VB30 BAID23 1UM	26/527	4.367089156404329E-5	0.03969684043171535	0	0	2.5526781488569252	25.62589885338601	NRM;HOXD11;TYMS;AQP1;HOXA10;C6ORF15;ORC1;SERPINH1;PCLAF;MYBL2;TK1;HOXA4;TCF19;APOBEC3C;RRM2;GDF15;MMP2;EMP3;WDR76;TMEM37;CCDC80;MFAP2;ID3;S100A4;PLP2;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	20/360	6.777047491326321E-5	0.040286203907745094	0	0	2.8733950432965063	27.582822206379316	TCF19;PCNA;CDKN2C;RRM2;LRR1;NRM;TYMS;CDC25C;WDR76;LMNB1;BCL2L12;ORC1;PCLAF;NUSAP1;MYBL2;TK1;DTL;SPC24;ASF1B;EZH2
BD-11-DV28 BAID9 10UM	17/278	7.421391079758536E-5	0.040286203907745094	0	0	3.1705704662362355	30.14755617796579	TCF19;STEAP3;CDKN2C;RRM2;CMTM3;CBX2;CDC25C;AQP1;TMEM37;C6ORF15;CCDC80;MFAP2;S100A4;MYBL2;TK1;VIM;S100A11
BD-11-DV28 BAID35 10UM	17/279	7.755869839224852E-5	0.040286203907745094	0	0	3.158305612705982	29.89170612353085	STEAP3;CDKN2C;RRM2;CMTM3;CBX2;MMP2;TYMS;LMNB1;TMEM37;MFAP2;PCLAF;SERPINH1;S100A4;TK1;VIM;S100A11;PPIC
CID67347910 SC-25-HE80 BAID26 0.1UM	7/58	1.8737246673039752E-4	0.06796657935928255	0	0	6.587898058486294	56.54005615181432	TMEM37;MMP2;CBX2;MFAP2;SERPINH1;HOXC4;ID3
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	26/579	1.9926610685063798E-4	0.06796657935928255	0	0	2.3063421636434818	19.652040382344364	UHRF1;LRR1;CDCA7;NRM;MCM10;AQP1;LMNB1;BCL2L12;ORC1;SERPINH1;PCLAF;MYBL2;TK1;TCF19;CA12;CDKN2C;RRM2;CBX2;ACTL6A;CDC25C;WDR76;TMEM37;MFAP2;PLP2;ASF1B;APOBEC3B
CID9576789 SARDOMOZIDE CB-30-KN11 BAID8 10UM	14/221	2.1969502803502404E-4	0.06796657935928255	0	0	3.2766425120772946	27.600045259262295	TCF19;CDKN2C;RRM2;CBX2;NRM;LMNB1;BCL2L12;TMEM37;PCLAF;SERPINH1;EIF4EBP1;MYBL2;TK1;ASF1B
