Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID124203831 PF-06761281 TC-69-EY43 BAID16 10UM	5/107	0.0076494930085501895	0.9999158418988043	0	0	4.323837158181658	21.070559633653936	SRPX;PLAU;HOXB3;IGF2BP2;PPIC
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	8/260	0.010153670831923006	0.9999158418988043	0	0	2.8167388167388165	12.928605774966762	APOBEC3C;CA12;SPARC;MAGED4B;PLAU;HOXB3;COL8A1;NKX2-5
BD-11-DV28 BAID32 10UM	6/161	0.01049051942527686	0.9999158418988043	0	0	3.4205754141238014	15.588531353361809	STEAP3;SPARC;MAGED4B;ANXA2;S100A4;VIM
BD-11-DV28 BAID48 10UM	6/163	0.011102389601295967	0.9999158418988043	0	0	3.376656911688759	15.196964924545311	SPARC;MAGED4B;ANXA2;S100A4;VIM;NES
CID12000240 EMRICASAN CF-03-QN99 BAID27 1UM	7/223	0.014264042274728458	0.9999158418988043	0	0	2.86768895592425	12.187716589189684	MRC2;CA12;STEAP3;SPARC;MAGED4B;NES;PPIC
CID117996749 CCT251236 NF-21-HQ00 BAID13 0.01UM	7/227	0.015584157164916753	0.9999158418988043	0	0	2.8149732620320855	11.714512488563443	CA12;SPARC;MAGED4B;ANXA2;COL8A1;S100A4;NES
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	12/525	0.01769514428585457	0.9999158418988043	0	0	2.08566168507689	8.414529093583402	APOBEC3C;SYDE1;STEAP3;SPARC;ANXA1;ANXA2;GDF15;GPX8;COL8A1;S100A4;IGF2BP2;ADAMTS12
CID44422459 EB-66-IH06 BAID37 0.01UM	3/49	0.01833187602042737	0.9999158418988043	0	0	5.71768115942029	22.865658059591475	ABCC3;SPARC;S100A4
CID5281426 UMBELLIFERONE AD-12-YF12 BAID4 10UM	3/51	0.02038157747050469	0.9999158418988043	0	0	5.478888888888889	21.32999301202336	CA12;SPARC;NES
CID5381 TAZAROTENE IA-14-WP20 BAID11 1UM	3/51	0.02038157747050469	0.9999158418988043	0	0	5.478888888888889	21.32999301202336	SRPX;STEAP3;VIM
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	14/664	0.020431065616132508	0.9999158418988043	0	0	1.9245722501797269	7.487930775180987	APOBEC3C;CA12;STEAP3;SPARC;ANXA1;GDF15;GPX8;SYDE1;MAGED4B;HOXB3;COL8A1;S100A4;NES;HOXB5
CB-59-ZX97 BAID28 10UM	4/94	0.0226087416021222	0.9999158418988043	0	0	3.90515873015873	14.798281326930288	SRPX;SPARC;ANXA2;FN1
DE-20-VX20 BAID36 10UM	8/303	0.0232987249351283	0.9999158418988043	0	0	2.400862865947612	9.025699765765886	SPARC;ANXA1;CSRP2;ANXA2;HOXB3;VIM;ADAMTS12;NES
CID104974 SAREDUTANT CC-01-PR23 BAID44 10UM	3/54	0.02368292586604228	0.9999158418988043	0	0	5.155816993464052	19.298227739920705	CA12;SPARC;ANXA2
LD-30-MF71 BAID47 1UM	3/56	0.026035039788471544	0.9999158418988043	0	0	4.960754716981132	18.09838078492727	ANXA1;ANXA2;VIM
CID183782 RS67333 JB-60-JM38 BAID20 10UM	3/57	0.02725638749919727	0.9999158418988043	0	0	4.868641975308642	17.539123909229016	ABCC3;S100A4;VIM
CID10137940 BF-57-II91 BAID39 1UM	3/57	0.02725638749919727	0.9999158418988043	0	0	4.868641975308642	17.539123909229016	SPARC;GPX8;ADAMTS12
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	14/698	0.029596642715918248	0.9999158418988043	0	0	1.8256544788763185	6.426476008557988	APOBEC3C;STEAP3;SPARC;ANXA1;GDF15;GPX8;ABCA13;SPOCD1;SYDE1;LOX;PLAU;COL8A1;S100A4;NES
CID135496218 CA-00-AR16 BAID7 1UM	3/59	0.029789418937209922	0.9999158418988043	0	0	4.694285714285714	16.49385175758076	SRPX;GDF15;VIM
CID71458574 HSMG-1INHIBITOR11E IA-76-ZU47 BAID30 0.1UM	6/205	0.03039771449585521	0.9999158418988043	0	0	2.658291457286432	9.286443090482162	CA12;STEAP3;SPARC;MAGED4B;CHST14;LOXL2
CID9949093 BC-30-IU38 BAID28 10UM	3/60	0.03110096975358057	0.9999158418988043	0	0	4.6116959064327485	16.004965714747915	CA12;SPARC;ANXA2
CID25166183 PC-68-HN64 BAID40 10UM	9/381	0.031180320095289708	0.9999158418988043	0	0	2.143172779496244	7.432454937868295	CA12;SRPX2;SPARC;MAGED4B;ANXA2;COL8A1;CHST14;ABCA13;NES
LB-67-JK40 BAID36 10UM	5/157	0.034157043899696274	0.9999158418988043	0	0	2.8941468019825347	9.772915707272627	SPARC;FN1;GPX8;COL8A1;NES
CID60182393 S0-EE-Y97N BAID27 1UM	4/111	0.038317688536465444	0.9999158418988043	0	0	3.281875834445928	10.704965843220826	ADAMTS12;NID1;CD44;LOXL2
BD-11-DV28 BAID36 10UM	8/338	0.04051176941774537	0.9999158418988043	0	0	2.1423691460055094	6.868784140201867	CA12;SRPX;COL3A1;STEAP3;SPARC;ANXA2;S100A4;VIM
BD-11-DV28 BAID9 10UM	7/278	0.040657080911254494	0.9999158418988043	0	0	2.2792573174600523	7.299509064546537	STEAP3;SPARC;MAGED4B;ANXA2;S100A4;VIM;NES
