Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID118695109 BROMODOMAININHIBITOR-9 BC-34-IH52 BAID44 10UM	10/133	0.0012596683275270088	0.9999959949017024	0	0	3.407259126586946	22.749951716142625	PPP1R14B;CCDC80;PLAU;TGFB1I1;EIF4EBP1;SERPINH1;ID3;HOXC13;EMP3;AQP1
CA-48-CT20 BAID36 10UM	12/182	0.0013542410065881369	0.9999959949017024	0	0	2.96394028327166	19.575385464533618	CA12;TUBA1C;FOXD1;SRPX2;ANXA2;DYNLT1;MTHFD2;EIF4EBP1;ID3;TAGLN2;VIM;CLIC1
CID52912189 AF-30-GH67 BAID27 1UM	21/493	0.0071895155092604884	0.9999959949017024	0	0	1.875632780860957	9.256494407047105	CA12;NMB;GDF15;TGFB1I1;TNC;EMP3;HOXC11;AQP1;SPOCD1;TMEM37;SYDE1;CCDC80;MDK;PLAU;PDPN;SERPINH1;EIF4EBP1;ID3;PLP2;CLIC1;TMEM45A
CID71291068 CPI-203 AE-32-DP61 BAID26 0.1UM	17/379	0.009179894325158228	0.9999959949017024	0	0	1.973714500339246	9.258180737881139	CA12;NMB;PPP1R14B;TGFB1I1;EMP3;HOXC11;AQP1;TMEM37;SYDE1;CCDC80;MDK;SERPINH1;EIF4EBP1;ID3;PLP2;HOXA7;TMEM45A
CID52912222 NB-12-ZK38 BAID6 0.1UM	9/154	0.011153460776719302	0.9999959949017024	0	0	2.592717003567182	11.656869767126393	CCDC80;LOX;GDF15;TGFB1I1;SERPINH1;ID3;HOXC11;AQP1;TMEM45A
CID54680452 BA-39-LQ60 BAID48 10UM	6/83	0.013840421285042205	0.9999959949017024	0	0	3.245362774270697	13.89067806431197	PPP1R14B;TNFRSF12A;LRR1;TAGLN2;PLP2;CLIC1
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	21/525	0.013913848394342206	0.9999959949017024	0	0	1.7535951327433628	7.496392360471594	PPP1R14B;STEAP3;ANXA1;ANXA2;GDF15;GPX8;EMP3;HOXC11;AQP1;SYDE1;CCDC80;MDK;SERPINH1;ID3;S100A4;TAGLN2;PLP2;CLIC1;S100A11;MDFI;TMEM45A
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	25/664	0.015552212547474648	0.9999959949017024	0	0	1.6494802146210596	6.867697247727636	STEAP3;TGFB1I1;HOXC13;HOXC11;AQP1;SYDE1;MDK;SERPINH1;HOXA7;CLIC1;CA12;PPP1R14B;ANXA1;GDF15;GPX8;EMP3;TMEM37;MMP14;CCDC80;ID3;S100A4;PLP2;NES;MDFI;TMEM45A
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	26/698	0.015599516799451561	0.9999959949017024	0	0	1.6320110258868648	6.790006907599437	STEAP3;TGFB1I1;ABCA13;HOXC11;AQP1;SYDE1;MDK;PLAU;PDPN;SERPINH1;EIF4EBP1;CLIC1;ANXA1;GDF15;GPX8;GPX7;EMP3;SPOCD1;CCDC80;LOX;ID3;S100A4;PLP2;NES;MDFI;TMEM45A
CID132010322 DA-27-BW40 BAID26 0.1UM	9/166	0.017468016648548322	0.9999959949017024	0	0	2.3930650120799473	9.685652299650236	CCDC80;TGFB1I1;PDPN;EIF4EBP1;SERPINH1;ID3;EMP3;HOXC11;AQP1
CID118958122 FD-86-NE74 BAID16 10UM	18/442	0.018527215743790227	0.9999959949017024	0	0	1.7823657474600871	7.108991639901916	EIF5AL1;PPP1R14B;STEAP3;ANXA2;RPLP0;ANXA5;EMP3;AQP1;TUBA1C;CCDC80;MTHFD2;SERPINH1;EIF4EBP1;S100A4;TAGLN2;VIM;S100A11;TMEM45A
PB-63-WH18 BAID36 10UM	11/226	0.019098950705841947	0.9999959949017024	0	0	2.1386489479512734	8.465033199455682	CA12;TUBA1C;CCDC80;ANXA2;MTHFD2;SERPINH1;PBK;ID3;TAGLN2;NES;AQP1
