Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	16/355	0.004728063422233248	0.9999960298835202	0	0	2.1816428409348765	11.68103845880806	APOBEC3C;GPX8;HOXC11;HOXC10;AQP1;HOXA10;TMEM37;CCDC80;MAGED4B;COL8A1;S100A4;TGFBI;HOXA7;HOXB7;HOXC6;TMEM45A
CID52912222 NB-12-ZK38 BAID6 0.1UM	8/154	0.0189049452641701	0.9999960298835202	0	0	2.5099508917032827	9.960317781739954	CCDC80;LOX;COL8A1;TGFBI;HOXC11;HOXA11;AQP1;TMEM45A
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	22/664	0.031905395499477324	0.9999960298835202	0	0	1.5818402856925766	5.449408377687771	APOBEC3C;STEAP3;ANXA1;CMTM3;GPX8;HOXC13;HOXC11;AQP1;HOXA11;HOXA10;TMEM37;CCDC80;MAGED4B;SMO;COL8A1;S100A4;TGFBI;HOXA7;HOXC9;HOXB7;HOXB5;TMEM45A
CID86294693 NVS-BET-1 CB-55-AK76 BAID21 0.01UM	3/42	0.06185870632362652	0.9999960298835202	0	0	3.501703424780348	9.744898952153301	HOXA9;CCDC80;TGFBI
CID10296883 SOTRASTAURIN BB-85-NU70 BAID16 10UM	3/44	0.0691867528430919	0.9999960298835202	0	0	3.3305475012792085	8.89571208534533	NNMT;CCDC80;FN1
CID132471728 LA-44-KW22 BAID44 10UM	3/48	0.08494598071771374	0.9999960298835202	0	0	3.033877233877234	7.480751678505155	NNMT;CMTM3;IGFBP7
CID44422459 EB-66-IH06 BAID37 0.01UM	3/49	0.08910482142018984	0.9999960298835202	0	0	2.967771359075707	7.17589852140007	ABCC3;S100A4;HOXA7
TB-06-VB30 BAID23 1UM	16/527	0.10913037445292577	0.9999960298835202	0	0	1.4343670028601536	3.1774270195265943	APOBEC3C;GPX8;HOXD11;HOXC11;HOXC10;AQP1;HOXA11;HOXA10;TMEM37;CCDC80;MAGED4B;COL8A1;S100A4;TGFBI;CD99;TMEM45A
LB-67-JK40 BAID36 10UM	6/157	0.12531723017956434	0.9999960298835202	0	0	1.8111183658240835	3.7615242580895822	HOXA10;CCDC80;FN1;GPX8;COL8A1;TGFBI
CID118693659 AZD-5153 HE-16-PO98 BAID14 0.1UM	8/235	0.1379194978167213	0.9999960298835202	0	0	1.607597040977475	3.184786565894305	HOXA10;CCDC80;GPX8;COL8A1;TGFBI;HOXC11;AQP1;TMEM45A
CID10217017 AD-11-RL84 BAID7 1UM	10/312	0.14007274106254872	0.9999960298835202	0	0	1.5117227958946675	2.97143236881777	TMEM37;STEAP3;CCDC80;MAGED4B;CMTM3;S100A4;TGFBI;HOXC11;CD99;AQP1
CID71600087 MIVEBRESIB KB-78-BE93 BAID37 0.01UM	9/275	0.14288213517653262	0.9999960298835202	0	0	1.5439129739241721	3.004045847078026	HOXA10;TMEM37;CCDC80;CMTM3;COL8A1;TGFBI;HOXC10;AQP1;TMEM45A
CID46943432 MOLIBRESIB EF-73-IP33 BAID15 1UM	4/101	0.1748596196884614	0.9999960298835202	0	0	1.8759996146064168	3.271315225100172	CCDC80;COL8A1;TGFBI;AQP1
CID139600315 CD-97-ZV62 BAID26 0.1UM	3/70	0.19258081203013744	0.9999960298835202	0	0	2.0353825279198414	3.352762315621685	CCDC80;NNMT;COL8A1
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	8/260	0.20193870170218994	0.9999960298835202	0	0	1.446241389637616	2.3136840812540194	APOBEC3C;TMEM37;CCDC80;MAGED4B;COL8A1;TGFBI;HOXC11;AQP1
