Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID132471728 LA-44-KW22 BAID44 10UM	5/48	0.010897399238943926	0.9999958042600049	0	0	4.048891486785521	18.297876409186504	NNMT;CMTM3;NPC2;IGFBP7;FSTL1
CID138510 2-NITROBENZENESULFONAMIDE ND-54-FY31 BAID50 0.1UM	4/43	0.03209104710611701	0.9999958042600049	0	0	3.56566492050363	12.262957042060798	STEAP3;ANXA5;PRAME;FSTL1
CID71583615 MB-83-RV32 BAID16 10UM	4/51	0.05467332999999221	0.9999958042600049	0	0	2.95752306871044	8.595683699029472	SPARC;CYTL1;FSTL1;S100A10
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID16 10UM	8/147	0.05594949971274071	0.9999958042600049	0	0	2.004934680414513	5.7808397644887455	TMEM37;SPARC;CDKN2C;NPC2;S100A4;PRAME;FSTL1;S100A10
CID131698638 L-MOSES S0-EE-XGEL BAID24 10UM	4/55	0.06848442080529078	0.9999958042600049	0	0	2.7249982430248085	7.306126295431504	SMIM3;SPARC;PRAME;S100A10
CID138510 2-NITROBENZENESULFONAMIDE ND-54-FY31 BAID52 10UM	7/129	0.0718609451366549	0.9999958042600049	0	0	1.9969280756166001	5.257956244278673	STEAP3;SPARC;ANXA1;CMTM3;NPC2;PRAME;FSTL1
CID3672 IBUPROFEN AA-98-MW52 BAID12 10UM	4/56	0.07219293653587368	0.9999958042600049	0	0	2.672456575682382	7.02431979194927	CMTM3;ANXA5;CKS2;PRAME
LD-30-MF71 BAID47 1UM	4/56	0.07219293653587368	0.9999958042600049	0	0	2.672456575682382	7.02431979194927	ANXA1;NNMT;FSTL1;S100A10
CID24888322 BJB-432 PA-25-OV46 BAID47 1UM	6/105	0.07563106451692934	0.9999958042600049	0	0	2.108022672770874	5.442678809112655	ANXA1;CMTM3;NPC2;HOXC9;FSTL1;S100A10
CID67347910 SC-25-HE80 BAID26 0.1UM	4/58	0.0799096488252123	0.9999958042600049	0	0	2.573211204035577	6.502141046407572	TMEM37;HOXC4;ID3;FSTL1
