Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID53378674 BB-86-UL91 BAID24 10UM	17/360	3.409621221010391E-7	9.983370935118425E-4	0	0	4.916820372463854	73.21880326220797	CDKN2C;PCNA;LRR1;TROAP;PLK1;NRM;KIF23;CDC25C;AURKA;BCL2L12;TPX2;TUBA1C;FANCD2;NUSAP1;GTSE1;DLGAP5;SPC24
CID71678945 NA-16-OJ70 BAID30 0.1UM	17/396	1.275292003925279E-6	0.0018670274937466085	0	0	4.4415486511227185	60.28218791245615	CDKN2C;LRR1;TROAP;PLK1;KIF23;CDC25C;AURKA;BCL2L12;TPX2;TUBA1C;FANCD2;SERPINH1;NUSAP1;GTSE1;NES;DLGAP5;SPC24
TF-29-QU48 BAID52 10UM	22/674	3.3419456747373655E-6	0.0032617389785436685	0	0	3.3804162785468796	42.623524793802154	EIF5AL1;STEAP3;CDKN2C;DDIAS;LRR1;TROAP;CDCA7L;PLK1;NRM;KIF23;CDC25C;AURKA;BCL2L12;TPX2;TUBA1C;FANCD2;MDK;SERPINH1;GTSE1;NES;DLGAP5;SPC24
CID12000240 EMRICASAN CF-03-QN99 BAID27 1UM	12/223	5.102949842549667E-6	0.0035441431130796017	0	0	5.538940369243829	67.49582015478454	MRC2;TPX2;STEAP3;CDKN2C;COL4A2;MDK;MMP2;SERPINH1;NRM;CDC25C;NES;PPIC
CID151345176 AC-45-YY00 BAID36 10UM	8/92	6.2729927918456266E-6	0.0035441431130796017	0	0	9.153542392566782	109.65263676197183	TUBA1C;TPX2;CDKN2C;PLK1;KIF23;CDC25C;DLGAP5;AURKA
CID9907182 GB-94-XG34 BAID16 10UM	19/550	7.262588346474594E-6	0.0035441431130796017	0	0	3.551594928844623	42.02522109544914	EIF5AL1;STEAP3;PPP1R14B;CDKN2C;LRR1;TROAP;PLK1;RPLP0;KIF23;AURKA;BCL2L12;TPX2;TUBA1C;GNG5;FANCD2;SERPINH1;GTSE1;NES;DLGAP5
BE-04-AN21 BAID11 1UM	12/240	1.0753443235168891E-5	0.004419093421772314	0	0	5.121497774286462	58.591391879132274	BCL2L12;TPX2;TUBA1C;CDKN2C;FANCD2;LRR1;TROAP;PLK1;GTSE1;NES;DLGAP5;AURKA
CID71678945 NA-16-OJ70 BAID32 10UM	14/328	1.2074025742547305E-5	0.004419093421772314	0	0	4.36292929616234	49.40779231827724	CDKN2C;LRR1;TROAP;PLK1;NRM;AURKA;BCL2L12;TPX2;TUBA1C;FANCD2;SERPINH1;GTSE1;NES;DLGAP5
BB-84-DG64 BAID52 10UM	15/390	2.0112156122577014E-5	0.0062860983162686705	0	0	3.9216161616161616	42.40908715503023	STEAP3;CDKN2C;TROAP;PLK1;NRM;CDC25C;AURKA;BCL2L12;TPX2;TUBA1C;FANCD2;MDK;SERPINH1;GTSE1;NES
BE-04-AN21 BAID12 10UM	24/874	2.146891501457879E-5	0.0062860983162686705	0	0	2.8290569561157795	30.409262996282255	EIF5AL1;POLQ;STEAP3;CDKN2C;LRR1;TROAP;PLK1;NRM;NCAPG;KIF23;CDC25C;KIF15;AURKA;BCL2L12;TPX2;C6ORF15;FANCD2;MDK;SERPINH1;NOX4;GTSE1;NES;DLGAP5;SPC24
WA-15-KX40 BAID35 1UM	9/149	3.203464193704184E-5	0.008527039235605318	0	0	6.191281512605042	64.07166967041773	TPX2;MDK;TROAP;PLK1;SERPINH1;KIF23;NES;DLGAP5;AURKA
CID134149230 FB-98-HM88 BAID4 10UM	14/366	4.049246143611216E-5	0.009880160590411366	0	0	3.884336455002284	39.28771220326196	EIF5AL1;CDKN2C;LRR1;CDCA7L;PLK1;CDC25C;KIF15;BCL2L12;TPX2;FANCD2;SERPINH1;GTSE1;NES;DLGAP5
CID72710839 BLU-9931 HF-79-EC41 BAID4 10UM	17/520	4.465371317077964E-5	0.009955117658569565	0	0	3.3252322797906437	33.307432179664104	EIF5AL1;STEAP3;CDKN2C;TROAP;PLK1;ACTL6A;KIF23;CDC25C;KIF15;AURKA;BCL2L12;TPX2;TUBA1C;SERPINH1;GTSE1;NES;DLGAP5
CID2733526 TAMOXIFEN AE-37-MC27 BAID23 1UM	13/326	5.011778419625302E-5	0.009955117658569565	0	0	4.044121405750799	40.04139053433435	EIF5AL1;CDKN2C;PLK1;RPLP0;NRM;CDC25C;AURKA;BCL2L12;TPX2;CCDC80;SERPINH1;NES;DLGAP5
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	18/579	5.099957816890146E-5	0.009955117658569565	0	0	3.1634718222953517	31.266784927251972	CDKN2C;LRR1;TROAP;PLK1;ACTL6A;NRM;KIF23;CDC25C;AURKA;BCL2L12;TPX2;TUBA1C;FANCD2;MDK;SERPINH1;GTSE1;NES;DLGAP5
CID56237 LONAPALENE AC-49-NG46 BAID44 10UM	17/538	6.790548047476992E-5	0.012426702926882896	0	0	3.207352422734929	30.78222429724145	EIF5AL1;PPP1R14B;CDKN2C;DYNLT1;TROAP;PLK1;NRM;NCAPG;KIF23;AURKA;BCL2L12;TPX2;TUBA1C;PDPN;SERPINH1;NES;DLGAP5
CID46173038 JF-55-EN33 BAID12 10UM	11/248	7.469341640795407E-5	0.012864842543675854	0	0	4.491999832894682	42.68351517894095	BCL2L12;C6ORF15;CCDC80;COL4A1;TROAP;MMP2;PLK1;SERPINH1;CDC25C;NES;AURKA
