Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	70/551	2.2760935126502103E-26	8.888145166899071E-23	0	0	5.549471464964423	327.6671653589284	ARHGAP11A;TOP2A;ERCC6L;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;PTTG1;NUF2;PBK;MYBL2;TK1;DLGAP5;CEP55;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;ASPM;MELK;FANCD2;CKS2;DEPDC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;CDCA7;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;CENPU;GINS2;CDKN2C;DDIAS;UBE2C;CBX2;PLK1;NDC80;TPX2;RAD51;KIF18B;CENPH;CENPI;CDK4;KIF4A;CDK2;CDK1;CENPM;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	54/396	6.0005527432190825E-22	1.1525851532280356E-18	0	0	5.875961834410588	287.12899524310836	ARHGAP11A;TOP2A;BUB1B;YBX1;FOXM1;MKI67;CDC20;CSRP2;PTTG1;NUF2;PBK;NUSAP1;MYBL2;TK1;DLGAP5;CEP55;CKAP2L;KIF23;CDC25C;PIMREG;WDR76;CCNA2;MELK;FANCD2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;CDCA8;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;GINS2;CDKN2C;UBE2C;CBX2;PLK1;TPX2;RAD51;KIF18B;KIF4A;CDK1;CENPM;NES;SPC24;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	47/300	8.854687476783883E-22	1.1525851532280356E-18	0	0	6.852082699908787	332.1610475251427	TOP2A;CDCA2;CDCA8;BUB1B;MKI67;TYMS;FOXM1;CENPA;AURKB;AURKA;CDC20;CCNB2;CDC45;PTTG1;PBK;MYBL2;TK1;BUB1;DLGAP5;CEP55;GINS2;CDKN2C;UBE2C;CKAP2L;PLK1;KIF23;ESCO2;PIMREG;CDC25C;WDR76;NDC80;CCNA2;TPX2;MELK;KIF18B;RAD51;FANCD2;KIF4A;CKS2;CDK1;CENPM;BIRC5;KIF2C;KIF20A;SPC24;ASF1B;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	63/579	3.309149997391894E-20	3.230557684953837E-17	0	0	4.582606589147287	205.55286668200878	ARHGAP11A;TOP2A;ERCC6L;BUB1B;MCM10;YBX1;FOXM1;MKI67;LMNB1;CDC20;CSRP2;PTTG1;EME1;PBK;MYBL2;TK1;CEP55;DLGAP5;CKAP2L;ACTL6A;KIF23;ESCO2;CDC25C;PIMREG;WDR76;CCNA2;ASPM;NEIL3;MELK;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;CDCA7;CDCA8;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;CA12;GINS2;CDKN2C;UBE2C;CBX2;PLK1;TPX2;RAD51;KIF18B;CENPH;CDK4;KIF4A;CENPM;NES;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	49/360	5.735783642929479E-20	4.4796470251279226E-17	0	0	5.81619883549144	257.68655840500026	TOP2A;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PTTG1;PBK;NUSAP1;MYBL2;TK1;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;FANCD2;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;CDCA8;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;ORC1;GINS2;CDKN2C;UBE2C;PLK1;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	67/703	2.3367741540524898E-18	1.5208505119291623E-15	0	0	3.960374213836478	160.78232288218814	ARHGAP11A;TOP2A;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;PTTG1;EME1;NUF2;PBK;MYBL2;TK1;CEP55;DLGAP5;CKAP2L;F2R;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;MELK;FANCD2;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;CDCA8;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;CA12;CENPU;GINS2;POLQ;CDKN2C;UBE2C;CBX2;PLK1;NDC80;TPX2;RAD51;KIF18B;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;NES;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	23/74	3.533461639291552E-18	1.9711668144905018E-15	0	0	16.067834486735872	645.6739366066731	TOP2A;CKAP2L;UBE2C;PLK1;CDCA8;ESCO2;MKI67;FOXM1;PIMREG;TYMS;AURKB;AURKA;CDC20;TPX2;PTTG1;KIF4A;BIRC5;CENPM;MYBL2;KIF2C;TK1;KIF20A;PRR11
CID151345176 AC-45-YY00 BAID36 10UM	25/92	4.5665822713005485E-18	2.193772211826449E-15	0	0	13.33232362174368	532.3299059464339	TOP2A;BUB1B;CDCA8;MKI67;CENPA;AURKB;AURKA;CDC20;PTTG1;TK1;DLGAP5;CDKN2C;UBE2C;PLK1;KIF23;PIMREG;CDC25C;CCNA2;TPX2;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID9907182 GB-94-XG34 BAID16 10UM	58/550	5.056069118165951E-18	2.193772211826449E-15	0	0	4.386801795326401	174.70851538671124	ARHGAP11A;TOP2A;BUB1B;MCM10;YBX1;FOXM1;MKI67;CDC20;PTTG1;NUF2;PBK;MYBL2;TK1;DLGAP5;CEP55;CKAP2L;KIF23;ESCO2;PIMREG;WDR76;CCNA2;ASPM;MELK;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;CDCA7;CDCA8;HMMR;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;GNG5;CENPU;GINS2;CDKN2C;UBE2C;CBX2;PLK1;TPX2;RAD51;KIF18B;CENPH;CDK4;KIF4A;CDK1;CENPM;VIM;NES;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	70/834	3.2305194608276527E-16	1.2615178494531985E-13	0	0	3.441670968217683	122.75999307201006	ARHGAP11A;TOP2A;CDCA7L;TNC;BUB1B;MCM10;YBX1;FOXM1;MKI67;KIF15;LMNB1;CDC20;PTTG1;EME1;PBK;RCC1;MYBL2;TK1;CEP55;DLGAP5;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;NEIL3;MELK;FANCD2;CKS2;DEPDC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;CDCA2;CDCA8;HMMR;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;CA12;GINS2;CDKN2C;UBE2C;CBX2;PLK1;NDC80;TPX2;RAD51;KIF18B;CENPH;CENPI;CDK4;KIF4A;CDK1;CENPM;ID3;VIM;NES;SPC25
CID71678945 NA-16-OJ70 BAID32 10UM	41/328	1.438779546827411E-15	5.107667391237309E-13	0	0	5.199891363389463	177.70618946945515	TOP2A;CDCA2;CDCA8;BUB1B;MCM10;MKI67;TYMS;FOXM1;CENPA;AURKB;AURKA;CDC20;CCNB2;CDC45;EME1;ORC1;MYBL2;TK1;DLGAP5;GINS2;CDKN2C;UBE2C;CBX2;PLK1;ESCO2;PIMREG;WDR76;NDC80;TPX2;MELK;KIF18B;FANCD2;KIF4A;CKS2;CENPM;BIRC5;KIF2C;KIF20A;PRR11;NES;ASF1B
BE-04-AN21 BAID11 1UM	35/240	1.6012404242726833E-15	5.210703213987357E-13	0	0	6.170731707317073	210.22447423455867	TOP2A;CDCA2;CDCA8;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;PTTG1;MYBL2;TK1;DLGAP5;GINS2;CDKN2C;UBE2C;CBX2;PLK1;PIMREG;TPX2;MELK;KIF18B;FANCD2;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A;PRR11;NES;ASF1B
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	33/217	3.003281334038285E-15	9.021395084168848E-13	0	0	6.464918172936004	216.180857315394	TOP2A;CDCA2;CDCA8;BUB1B;MKI67;FOXM1;CENPA;NCAPH;AURKB;CDC20;CDC45;PTTG1;MYBL2;TK1;DLGAP5;GINS2;CDKN2C;UBE2C;PLK1;WDR76;TPX2;DEPDC1B;MELK;KIF18B;CENPH;KIF4A;CENPM;BIRC5;KIF2C;KIF20A;NES;ASF1B;SPC25
