Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DE-20-VX20 BAID36 10UM	10/303	0.04011674972490555	0.9999958413357303	0	0	1.9547832057677161	6.286507204158592	SPARC;CSRP2;FOXD1;ANXA1;ANXA2;CMTM3;HOXB3;TAGLN2;AQP1;HOXC6
PF-84-RH50 BAID36 10UM	8/237	0.05610316064125823	0.9999958413357303	0	0	1.9956845620344208	5.748695365760735	SPARC;CCDC80;ANXA2;KIF4A;TAGLN2;PRR11;AQP1;HOXC6
CID2475352 N-[2-(1H-INDOL-3-YL)ETHYL]BENZENESULFONAMIDE CF-26-ME34 BAID28 10UM	3/50	0.05620231075446129	0.9999958413357303	0	0	3.6271970397779834	10.4419654302531	SPARC;ANXA2;MDK
CID9941444 PASIREOTIDE AE-90-RS19 BAID8 10UM	3/52	0.061810619788796574	0.9999958413357303	0	0	3.478793256433008	9.683847518336373	EIF5AL1;TAGLN2;AJUBA
CID44195094 GB-06-BA49 BAID27 1UM	8/254	0.07703616243733022	0.9999958413357303	0	0	1.8561453849832616	4.758192175361331	SPARC;CCDC80;FOXD1;ANXA2;NACA2;TAGLN2;HOXC8;AQP1
CID9949093 BC-30-IU38 BAID28 10UM	3/60	0.08666868054697235	0.9999958413357303	0	0	2.9893211289092294	7.310871182769808	SPARC;ANXA2;MDK
CID10614626 1-BENZYL-5-METHYL-2-PIPERAZIN-1-YLBENZIMIDAZOLE AD-98-UM13 BAID16 10UM	4/101	0.09975453654889038	0.9999958413357303	0	0	2.3441620714456963	5.403393776029412	EIF5AL1;MAGED4B;MDK;TAGLN2
CID78357767 QA-81-IM40 BAID30 0.1UM	3/64	0.10044603114220771	0.9999958413357303	0	0	2.7927298645759087	6.418069407500728	SPARC;FOXD1;CMTM3
CID137636547 GD-39-YG36 BAID52 10UM	4/108	0.11956993180495352	0.9999958413357303	0	0	2.1855992844364938	4.641893510292557	MAGED4B;CCDC80;ANXA2;PRR11
CID16071550 BE-33-IM71 BAID12 10UM	6/193	0.12143943348915133	0.9999958413357303	0	0	1.8261562998405103	3.850157698057686	NMB;GNG5;CMTM3;MDK;TAGLN2;AQP1
CID60148924 BB-11-JI42 BAID29 0.01UM	4/110	0.12552217979758845	0.9999958413357303	0	0	2.144142167617376	4.449679929589342	GNG5;SEC61G;AJUBA;PPIC
HB-92-PE54 BAID50 0.1UM	3/71	0.12646677615622337	0.9999958413357303	0	0	2.5043478260869567	5.178429439867369	MRC2;FAM156B;SEC61G
CID4878 SRCKINASEINHIBITORPP2 BD-01-RI07 BAID12 10UM	5/154	0.1315911206837477	0.9999958413357303	0	0	1.908055647954292	3.869643198340794	SPARC;FOXD1;ANXA2;TAGLN2;AQP1
CID65490 HALOPEMIDE CE-66-GR30 BAID28 10UM	4/114	0.13779120563233602	0.9999958413357303	0	0	2.0657505285412263	4.094350067095919	SPARC;ANXA2;MDK;TAGLN2
CID5328940 BOSUTINIB FA-10-SN61 BAID16 10UM	8/293	0.14046912204528883	0.9999958413357303	0	0	1.5989267285861712	3.1383215557078565	EIF5AL1;SPARC;FOXD1;ANXA1;ANXA2;CMTM3;TAGLN2;AQP1
CID4988454 FC-71-PK06 BAID28 10UM	3/75	0.14230751022002952	0.9999958413357303	0	0	2.364734299516908	4.610676166548313	SPARC;ANXA2;MDK
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	2/40	0.1533601586729702	0.9999958413357303	0	0	2.9835716458777	5.594095828997243	FOXD1;CMTM3
CID49766530 ZA-63-AC60 BAID12 10UM	7/253	0.15360347394079063	0.9999958413357303	0	0	1.6193643754619365	3.0336861967579876	SPARC;MAGED4B;ANXA2;CMTM3;MDK;TAGLN2;AQP1
CID819652 2-({3-NITROBENZOYL}AMINO)BENZAMIDE OD-56-KP44 BAID45 0.01UM	3/78	0.15459759740693346	0.9999958413357303	0	0	2.2697971014492753	4.237551584569843	EIF5AL1;GNG5;TAGLN2
CID130201615 AE-78-XJ76 BAID24 10UM	3/78	0.15459759740693346	0.9999958413357303	0	0	2.2697971014492753	4.237551584569843	SPARC;ANXA2;MDK
CID6376322 TRICHOSTATINA(RACEMATE) FC-20-EQ58 BAID22 0.1UM	6/208	0.15582614690008703	0.9999958413357303	0	0	1.6892478721556365	3.1403360116212866	MRC2;SPARC;CCDC80;MAGED4B;MDK;KIF4A
CID65914 ABECARNIL YF-57-HO38 BAID28 10UM	3/79	0.15876638857519074	0.9999958413357303	0	0	2.239816933638444	4.12198306063234	EIF5AL1;CMTM3;TAGLN2
TD-33-TT56 BAID52 10UM	3/80	0.16296938806105776	0.9999958413357303	0	0	2.2106154714850366	4.010482891050793	EIF5AL1;MAGED4B;TAGLN2
CID10422572 4-BROMO-2,6-DIISOPROPYLPHENOL JC-64-QI43 BAID44 10UM	6/213	0.16815193245746088	0.9999958413357303	0	0	1.648021018730401	2.93823582419178	SPARC;MAGED4B;ANXA2;MDK;TAGLN2;AQP1
CID54764565 URMC-099 GF-90-DG49 BAID32 10UM	7/261	0.17135141874530174	0.9999958413357303	0	0	1.5677142263375436	2.7655086455756708	EIF5AL1;SPARC;CCDC80;ANXA2;CMTM3;TAGLN2;AQP1
CID129211 TAMSULOSIN EF-19-KJ63 BAID16 10UM	2/43	0.17181900397190317	0.9999958413357303	0	0	2.764838573241224	4.86974794319631	SPARC;MDK
EA-81-CR68 BAID50 0.1UM	2/44	0.17805142249268563	0.9999958413357303	0	0	2.6988714560968896	4.6573962671138345	MRC2;MDK
CID146673503 AD-72-OW33 BAID36 10UM	2/44	0.17805142249268563	0.9999958413357303	0	0	2.6988714560968896	4.6573962671138345	SPARC;HOXC6
CID22479762 UF-27-OP66 BAID4 10UM	3/84	0.18010156999247945	0.9999958413357303	0	0	2.10101986044015	3.6016403297089754	SPARC;MDK;TAGLN2
GA-10-WX15 BAID49 0.01UM	3/84	0.18010156999247945	0.9999958413357303	0	0	2.10101986044015	3.6016403297089754	FOXD1;DYNLT1;CMTM3
CID44612496 CB-13-ZM96 BAID32 10UM	6/218	0.18087340814425248	0.9999958413357303	0	0	1.6087388282025818	2.750875660165917	EIF5AL1;SPARC;MAGED4B;MDK;TAGLN2;AQP1
CID23633624 GA-94-MC54 BAID8 10UM	5/173	0.1842349660679426	0.9999958413357303	0	0	1.6906150215188116	2.8597485911956593	MRC2;FAM156B;MAGED4B;CCDC80;ANXA2
CID71478195 SR9238 AF-16-GB72 BAID8 10UM	2/45	0.1843182095696489	0.9999958413357303	0	0	2.6359725769592686	4.457671122867082	CMTM3;LOX
CID4076092 HF-57-QB74 BAID38 0.1UM	2/45	0.1843182095696489	0.9999958413357303	0	0	2.6359725769592686	4.457671122867082	MAGED4B;CMTM3
CID3961 LOSARTAN DA-29-ZD04 BAID28 10UM	3/85	0.18445923070540018	0.9999958413357303	0	0	2.0752916224814424	3.5079210715889513	SPARC;MDK;TAGLN2
XB-53-OZ95 BAID51 1UM	5/174	0.18719876114993977	0.9999958413357303	0	0	1.6805251263650007	2.815861572528777	SPARC;FOXD1;ANXA2;TAGLN2;AQP1
CID301929 LL-Z1271ALPHA YA-92-YO01 BAID3 1UM	5/174	0.18719876114993977	0.9999958413357303	0	0	1.6805251263650007	2.815861572528777	MRC2;SPARC;MAGED4B;CCDC80;ANXA2
CID138510 2-NITROBENZENESULFONAMIDE ND-54-FY31 BAID52 10UM	4/129	0.18764785464008785	0.9999958413357303	0	0	1.8164651162790697	3.039287973274798	SPARC;FOXD1;ANXA1;CMTM3
CID9829526 SIRAMESINE HC-89-WQ85 BAID16 10UM	4/129	0.18764785464008785	0.9999958413357303	0	0	1.8164651162790697	3.039287973274798	EIF5AL1;ANXA2;TAGLN2;HOXC6
CID3503 GOSSYPOL FA-95-HA77 BAID44 10UM	4/129	0.18764785464008785	0.9999958413357303	0	0	1.8164651162790697	3.039287973274798	SPARC;ANXA2;MDK;PPIC
CID676987 FA-39-KG56 BAID49 0.01UM	2/46	0.19061629434545962	0.9999958413357303	0	0	2.575932737782449	4.2695899704624285	EIF5AL1;TAGLN2
CID12000240 EMRICASAN CF-03-QN99 BAID27 1UM	6/223	0.19396685271992456	0.9999958413357303	0	0	1.5712668768695934	2.5769845191634877	MRC2;SPARC;MAGED4B;MDK;KIF4A;PPIC
CID11338127 ACUMAPIMOD FD-80-EG54 BAID16 10UM	4/131	0.19469454672284975	0.9999958413357303	0	0	1.7876762497711043	2.925216435523734	MAGED4B;LOX;ANXA2;AJUBA
CID54764565 URMC-099 GF-90-DG49 BAID31 1UM	5/177	0.19619245199461524	0.9999958413357303	0	0	1.65095938707709	2.6888502004773773	EIF5AL1;CCDC80;FOXD1;ANXA2;TAGLN2
VA-48-TW80 BAID27 1UM	2/47	0.1969427018072246	0.9999958413357303	0	0	2.518561335902376	4.092265362236456	SPARC;CMTM3
PB-63-WH18 BAID36 10UM	6/226	0.20199117590514595	0.9999958413357303	0	0	1.5496012759170654	2.4786356909308913	SPARC;CCDC80;ANXA2;KIF4A;TAGLN2;AQP1
CID3394 FLURBIPROFEN AB-92-LS83 BAID52 10UM	2/48	0.2032945504572809	0.9999958413357303	0	0	2.4636843427996986	3.9248939599342076	FAM156B;CMTM3
CID132471728 LA-44-KW22 BAID44 10UM	2/48	0.2032945504572809	0.9999958413357303	0	0	2.4636843427996986	3.9248939599342076	CMTM3;ANXA2
CID146680897 JB-74-LF71 BAID32 10UM	6/227	0.20469277302274505	0.9999958413357303	0	0	1.54251012145749	2.4467991097565567	SPARC;CCDC80;ANXA2;MDK;TAGLN2;AQP1
CID178052 POZANICLINE UC-58-DM11 BAID19 1UM	5/180	0.20533313945996198	0.9999958413357303	0	0	1.6224073302790505	2.568468004693838	SPARC;CSRP2;ANXA2;MDK;HOXC6
CID9801987 SDZ-62-434FREE NB-17-SQ59 BAID27 1UM	7/277	0.20932069423621183	0.9999958413357303	0	0	1.4735961768219832	2.304539054850014	SPARC;CCDC80;MAGED4B;CMTM3;KIF4A;PDPN;HOXB3
CID9961435 TEGLARINAD OB-78-PA58 BAID7 1UM	5/182	0.21150445008896207	0.9999958413357303	0	0	1.6039103292648778	2.491689516816698	SPARC;FOXD1;CMTM3;PDPN;E2F7
BD-11-DV28 BAID9 10UM	7/278	0.21179346678667083	0.9999958413357303	0	0	1.4680828039951954	2.2786754641930265	SPARC;CCDC80;MAGED4B;ANXA2;CMTM3;MDK;AQP1
BD-11-DV28 BAID35 10UM	7/279	0.2142770876329821	0.9999958413357303	0	0	1.4626099706744868	2.253129158682679	SPARC;MAGED4B;ANXA2;CMTM3;MDK;KIF4A;PPIC
CID135923992 DD-38-BM78 BAID43 1UM	2/50	0.21606349885541365	0.9999958413357303	0	0	2.3607899807321773	3.6171621294299987	SPARC;MDK
YB-18-SI56 BAID45 0.01UM	2/50	0.21606349885541365	0.9999958413357303	0	0	2.3607899807321773	3.6171621294299987	EIF5AL1;TAGLN2
CID10090485 GALUNISERTIB JD-12-CE09 BAID44 10UM	5/184	0.21773484599936668	0.9999958413357303	0	0	1.5858266690554914	2.417556694079005	SPARC;FOXD1;ANXA2;TAGLN2;AQP1
FF-96-HL81 BAID36 10UM	10/431	0.22009373237118435	0.9999958413357303	0	0	1.3514596129249885	2.045706804293847	EIF5AL1;CCDC80;SPARC;FOXD1;CSRP2;ANXA2;DYNLT1;KIF4A;TAGLN2;PRR11
CID3544 N-(2-AMINOETHYL)ISOQUINOLINE-5-SULFONAMIDE BE-45-UU35 BAID8 10UM	2/51	0.22247528229456506	0.9999958413357303	0	0	2.312492627108647	3.4755359909444947	SPARC;CMTM3
CID59324027 OC-59-JO99 BAID5 0.01UM	2/51	0.22247528229456506	0.9999958413357303	0	0	2.312492627108647	3.4755359909444947	KIF4A;PDPN
CC-04-YT10 BAID49 0.01UM	2/51	0.22247528229456506	0.9999958413357303	0	0	2.312492627108647	3.4755359909444947	CSRP2;PPIC
CID58144 INDOLOPHENANTHRIDINE BD-46-RY02 BAID16 10UM	4/139	0.22364781607185022	0.9999958413357303	0	0	1.6810508182601205	2.5176807520115214	LOX;KIF4A;CDCA7L;PDPN
CID71727020 DE-11-PO61 BAID16 10UM	5/186	0.22402179880999396	0.9999958413357303	0	0	1.5681426477457596	2.3459600866170742	EIF5AL1;CCDC80;FOXD1;ANXA2;TAGLN2
CB-59-ZX97 BAID28 10UM	3/94	0.22479839982599434	0.9999958413357303	0	0	1.8691829909221214	2.7898514641591423	SPARC;ANXA2;PDPN
CID51039095 AZD-4547 BD-81-LB65 BAID39 1UM	2/52	0.2289018699185778	0.9999958413357303	0	0	2.266127167630058	3.341318130489071	FOXD1;CMTM3
CID4528 NOMIFENSINE CC-14-WK34 BAID4 10UM	2/52	0.2289018699185778	0.9999958413357303	0	0	2.266127167630058	3.341318130489071	SPARC;TAGLN2
BA-92-CZ75 BAID36 10UM	6/237	0.23239262649741013	0.9999958413357303	0	0	1.4749753170805802	2.1524712782115643	SPARC;CCDC80;ANXA2;DYNLT1;CMTM3;TAGLN2
MA-20-ZI33 BAID52 10UM	3/96	0.23399122912568845	0.9999958413357303	0	0	1.8287985039738195	2.656277974541614	EIF5AL1;TAGLN2;PRR11
CID5289501 AROTINOIDACID CB-13-ZM26 BAID39 1UM	3/96	0.23399122912568845	0.9999958413357303	0	0	1.8287985039738195	2.656277974541614	SPARC;FOXD1;CMTM3
CID8546 PAMOICACID GD-98-WZ24 BAID24 10UM	3/96	0.23399122912568845	0.9999958413357303	0	0	1.8287985039738195	2.656277974541614	SPARC;SMO;SEC61G
CID11717831 VF-12-MF80 BAID4 10UM	3/96	0.23399122912568845	0.9999958413357303	0	0	1.8287985039738195	2.656277974541614	SPARC;KIF4A;TAGLN2
CID108107 BENZAMIL GC-08-VP20 BAID12 10UM	2/53	0.2353408136798056	0.9999958413357303	0	0	2.2215799614643545	3.214005371471926	SPARC;CMTM3
