Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	6/44	0.0018556165697780043	0.9999960294221872	0	0	5.173657493988779	32.539916729399934	CCNB2;LRR1;PCLAF;BIRC5;CENPM;AURKB
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	21/355	0.00241320353156799	0.9999960294221872	0	0	2.0815088572854292	12.544837889069923	GINS2;F2R;HOXC11;HOXC10;AQP1;HOXA10;TMEM37;ZNF90;CCDC80;MAGED4B;CDC45;CDK4;MDK;PCLAF;HOXB3;ID3;S100A4;TGFBI;HOXA7;HOXB7;HOXC6
CID135923992 DD-38-BM78 BAID43 1UM	6/50	0.0035936681598764462	0.9999960294221872	0	0	4.46677434240886	25.141604887124675	TMEM37;SPARC;MDK;PCLAF;CENPM;AURKB
CID9907182 GB-94-XG34 BAID16 10UM	28/550	0.004471687956024457	0.9999960294221872	0	0	1.779919062144382	9.629343121719204	STEAP3;LRR1;RPLP0;CDCA7;CENPA;AURKB;CCNB2;CDC45;GNG5;NUF2;EIF4EBP1;PCLAF;OIP5;CENPU;GINS2;CDKN2C;FOXD1;ESCO2;RAD51;CENPH;CDK4;FANCD2;CKS2;CDK1;CENPM;BIRC5;MTFR2;PRR11
CID71678945 NA-16-OJ70 BAID32 10UM	19/328	0.0047516079075592445	0.9999960294221872	0	0	2.0312538493409926	10.865729770500907	GINS2;CDKN2C;LRR1;ESCO2;CENPA;AURKB;TMEM37;CCNB2;CDC45;EME1;TMSB15A;FANCD2;PCLAF;CKS2;CENPM;BIRC5;OIP5;TGFBI;PRR11
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID37 10UM	19/333	0.005571599612670928	0.9999960294221872	0	0	1.998385603773169	10.37176733093609	GINS2;SPARC;CDKN2C;CMTM3;F2R;CENPA;TMEM37;CCDC80;MAGED4B;TMSB15A;MDK;PCLAF;MAGED4;CDK1;CENPM;BIRC5;OIP5;S100A4;TGFBI
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	13/198	0.006666010199843373	0.9999960294221872	0	0	2.312421325435024	11.586927623439573	CDKN2C;ESCO2;AURKB;TMEM37;CCNB2;CDC45;FANCD2;CDK4;PCLAF;EIF4EBP1;ID3;CENPM;BIRC5
CID146680897 JB-74-LF71 BAID32 10UM	14/227	0.00848798094417929	0.9999960294221872	0	0	2.163489801013054	10.317908129438742	GINS2;STEAP3;SPARC;F2R;AURKB;AQP1;TMEM37;CCDC80;CDK4;MDK;PCLAF;CENPM;BIRC5;TGFBI
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID25 10UM	22/427	0.009632012473322953	0.9999960294221872	0	0	1.7947654320987654	8.332491236556015	GINS2;STEAP3;CDKN2C;SPARC;CMTM3;F2R;HOXD11;HOXC11;CENPA;AURKB;TMEM37;SFRP4;CCNB2;CCDC80;MAGED4B;TMSB15A;MDK;PCLAF;CENPM;BIRC5;S100A4;TGFBI
CID121424047 MA-32-UX14 BAID16 10UM	9/121	0.01040818680440748	0.9999960294221872	0	0	2.6363429300291545	12.035334117992221	TMEM37;SPARC;CCDC80;CENPH;MDK;TMSB15A;PCLAF;BIRC5;CENPM
CID44632017 AA-30-BE85 BAID19 1UM	10/147	0.01290612335695799	0.9999960294221872	0	0	2.395702508113754	10.421433844174526	CCNB2;TMEM37;GINS2;CCDC80;CDKN2C;PCLAF;BIRC5;CENPM;HOXC11;AURKB
CID10217017 AD-11-RL84 BAID7 1UM	17/312	0.012935242354939123	0.9999960294221872	0	0	1.8985154880187025	8.254365120798136	STEAP3;SPARC;CDKN2C;CMTM3;F2R;HOXC11;AQP1;TMEM37;CCDC80;MAGED4B;TMSB15A;ID3;CENPM;BIRC5;S100A4;TGFBI;CD99
CID11467730 BMS-509744 GA-09-TM90 BAID28 10UM	13/216	0.01323435926805395	0.9999960294221872	0	0	2.1054052230244955	9.10574885754496	GINS2;LRR1;ESCO2;AURKB;CDC45;RAD51;EME1;FANCD2;CDK4;PCLAF;EIF4EBP1;CENPM;BIRC5
EF-85-DA07 BAID52 10UM	23/474	0.015912924661894194	0.9999960294221872	0	0	1.6838152923816219	6.972045385058929	GINS2;STEAP3;SPARC;DYNLT1;FN1;ESCO2;AURKB;AQP1;TMEM37;ZNF90;CDC45;CCDC80;MAGED4B;TMSB15A;MDK;FANCD2;NUF2;CDK1;PCLAF;CENPM;BIRC5;HOXC9;HOXC6
CID12000240 EMRICASAN CF-03-QN99 BAID27 1UM	13/223	0.016832742077779902	0.9999960294221872	0	0	2.034483039791259	8.309702252166389	STEAP3;SPARC;CDKN2C;AURKB;TMEM37;MAGED4B;CDC45;TMSB15A;MDK;PCLAF;CENPM;BIRC5;PPIC
CID370853 N-DESMETHYLTRIFLUOPERAZINE HE-34-NJ16 BAID28 10UM	4/34	0.017934396141240528	0.9999960294221872	0	0	4.35593029792018	17.51534747921443	PCLAF;BIRC5;CENPM;MTFR2
CID16202256 DF-00-BU08 BAID38 0.1UM	19/377	0.01895116381426164	0.9999960294221872	0	0	1.7487338346446037	6.93528591265492	GINS2;CMTM3;RPLP0;GATA4;AURKB;TMEM37;ZNF90;CCDC80;MAGED4B;CENPH;FANCD2;CDK4;MDK;PCLAF;EIF4EBP1;CDK1;ID3;CENPM;BIRC5
CID2733526 TAMOXIFEN AE-37-MC27 BAID23 1UM	17/326	0.01906790585154479	0.9999960294221872	0	0	1.811170628278094	7.171780503062116	GINS2;SPARC;CDKN2C;RPLP0;AURKB;TMEM37;CCNB2;CCDC80;CENPH;EME1;NUF2;PCLAF;EIF4EBP1;CDK1;CENPM;BIRC5;OIP5
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID23 10UM	17/329	0.020633184418641266	0.9999960294221872	0	0	1.7934736958443855	6.960210651779679	GINS2;STEAP3;SPARC;CDKN2C;F2R;HOXD11;HOXC11;TMEM37;CCDC80;MAGED4B;TMSB15A;MDK;PCLAF;CENPM;BIRC5;S100A4;TGFBI
CID9961435 TEGLARINAD OB-78-PA58 BAID7 1UM	11/182	0.021017290863328267	0.9999960294221872	0	0	2.111170987765204	8.154207524445297	TMEM37;GINS2;SPARC;FOXD1;CMTM3;CDK4;TMSB15A;F2R;PDPN;TGFBI;VGLL2
XA-12-UL84 BAID35 1UM	6/73	0.021745160282966858	0.9999960294221872	0	0	2.929918933252519	11.216796348442196	GINS2;SPARC;PCLAF;CDK1;BIRC5;CENPM
BD-11-DV28 BAID32 10UM	10/161	0.02289689016955596	0.9999960294221872	0	0	2.1720049189390433	8.2031286524562	TMEM37;STEAP3;SPARC;MAGED4B;CDKN2C;MDK;F2R;PCLAF;CENPM;S100A4
CID44818584 AA-42-XZ05 BAID32 10UM	6/74	0.02308828882933379	0.9999960294221872	0	0	2.8866825918184533	10.878260607166032	PCLAF;BIRC5;CENPM;ESCO2;PRR11;AURKB
