Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	14/664	0.0012403394642856525	0.9993097521627882	0	0	2.7365257259296993	18.31384315218143	APOBEC3C;ANXA1;GDF15;EMP3;AQP1;HOXA11;HOXA10;CCDC80;SMO;HOXB3;COL8A1;HOXA7;HOXB7;NES
TB-06-VB30 BAID23 1UM	12/527	0.001457545543239272	0.9993097521627882	0	0	2.9423186750428325	19.216287364537617	HOXA10;APOBEC3C;CCDC80;GDF15;COL8A1;EMP3;HOXD11;NES;CD99;AQP1;HOXA11;HOXA4
CID636822 ASARONE BA-26-GI09 BAID43 1UM	4/83	0.00495060701061588	0.9993097521627882	0	0	6.213067065020835	32.98048268900439	CCDC80;COL8A1;EMP3;AQP1
CID118694876 XB-35-TO54 BAID44 10UM	6/211	0.008213676480176705	0.9993097521627882	0	0	3.6134376438104003	17.351563698403968	APOBEC3C;CCDC80;GDF15;COL8A1;EMP3;AQP1
CID52912222 NB-12-ZK38 BAID6 0.1UM	5/154	0.009082121830827145	0.9993097521627882	0	0	4.128775167785235	19.411219409307595	CCDC80;GDF15;COL8A1;HOXA11;AQP1
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	8/355	0.009422716629247055	0.9993097521627882	0	0	2.861726536830705	13.348900728094561	HOXA10;APOBEC3C;CCDC80;HOXB3;COL8A1;HOXA7;HOXB7;AQP1
CID46943432 MOLIBRESIB EF-73-IP33 BAID15 1UM	4/101	0.009816517572099543	0.9993097521627882	0	0	5.055516424409298	23.37513490013499	CCDC80;GDF15;COL8A1;AQP1
LB-67-JK40 BAID36 10UM	5/157	0.009820663521782895	0.9993097521627882	0	0	4.046669407894737	18.708831476272596	HOXA10;CCDC80;COL8A1;EMP3;NES
CID71291068 CPI-203 AE-32-DP61 BAID28 10UM	14/851	0.010985300055013775	0.9993097521627882	0	0	2.104425296905536	9.493477630207511	APOBEC3C;GDF15;TNC;EMP3;HOXD11;ABCA13;AQP1;HOXA11;HOXA10;CCDC80;HOXB3;COL8A1;HOXA7;NES
CID118693659 AZD-5153 HE-16-PO98 BAID14 0.1UM	6/235	0.01346152986660276	0.9993097521627882	0	0	3.2307819065666967	13.917947732624455	HOXA10;CCDC80;GDF15;COL8A1;EMP3;AQP1
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	6/260	0.021050643765167902	0.9993097521627882	0	0	2.9090774030604667	11.231436253127905	APOBEC3C;CCDC80;HOXB3;COL8A1;EMP3;AQP1
CID52912189 AF-30-GH67 BAID27 1UM	9/493	0.021399189525291188	0.9993097521627882	0	0	2.30661951684679	8.867573215068813	APOBEC3C;CCDC80;GDF15;TNC;COL8A1;EMP3;CD99;AQP1;HOXA11
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	11/698	0.030259433240408744	0.9993097521627882	0	0	1.9908504886670826	6.963890092452417	APOBEC3C;CCDC80;ANXA1;GDF15;COL8A1;EMP3;ABCA13;NES;CD99;AQP1;HOXA11
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	9/525	0.03040084155262396	0.9993097521627882	0	0	2.159995527728086	7.545479951809852	APOBEC3C;CCDC80;ANXA1;GDF15;COL8A1;EMP3;IGF2BP2;HOXB7;AQP1
CID4858 OC-40-XI13 BAID27 1UM	5/226	0.03962565123000702	0.9993097521627882	0	0	2.773472850678733	8.953543085066944	CCDC80;GDF15;COL8A1;EMP3;AQP1
CID4595 ONDANSETRON DA-15-PU65 BAID25 0.01UM	2/49	0.06182511643006713	0.9993097521627882	0	0	5.165905234303616	14.379016103295143	HOXA7;NES
CID118288050 AA-99-PN83 BAID52 10UM	11/797	0.06628371161360239	0.9993097521627882	0	0	1.7310977826245002	4.697872358618315	APOBEC3C;CCDC80;ANXA1;GDF15;STON1;COL8A1;EMP3;HOXA7;NES;AQP1;HOXA4
CID24894053 AD-66-NV75 BAID38 0.1UM	3/114	0.06840323523330609	0.9993097521627882	0	0	3.2906239572906237	8.82655632825035	ANXA1;HOXB3;HOXA7
CID71600087 MIVEBRESIB KB-78-BE93 BAID37 0.01UM	5/275	0.07794797921674419	0.9993097521627882	0	0	2.2644675925925926	5.778272770689796	HOXA10;CCDC80;COL8A1;EMP3;AQP1
CID52912222 NB-12-ZK38 BAID7 1UM	10/728	0.07965539764494073	0.9993097521627882	0	0	1.7177643993170995	4.34602205055478	CCDC80;ANXA1;GDF15;COL8A1;EMP3;HOXD11;HOXB7;ABCA13;AQP1;HOXA11
BE-66-UB12 BAID50 0.1UM	3/124	0.08324017642072319	0.9993097521627882	0	0	3.017141108050199	7.500688699958971	ANXA1;GDF15;CD99
RD-89-FH52 BAID52 10UM	2/59	0.08534129410736463	0.9993097521627882	0	0	4.257453449574857	10.478005219280345	TNFRSF12A;EMP3
CID121271792 BB-10-PR06 BAID12 10UM	5/288	0.0905911660027117	0.9993097521627882	0	0	2.1590106007067136	5.184644982486005	CCDC80;ANXA1;COL8A1;NES;AQP1
CID71291068 CPI-203 AE-32-DP61 BAID26 0.1UM	6/379	0.09441741895468887	0.9993097521627882	0	0	1.9689412716879964	4.646759878794238	CCDC80;COL8A1;EMP3;HOXA7;AQP1;HOXA11
CID118695109 BROMODOMAININHIBITOR-9 BC-34-IH52 BAID44 10UM	3/133	0.0976647418428034	0.9993097521627882	0	0	2.806980056980057	6.529638178303296	CCDC80;EMP3;AQP1
CID59394218 CE-35-LA42 BAID52 10UM	4/221	0.11059857837357127	0.9993097521627882	0	0	2.2461001230786843	4.945571162048773	COL8A1;EMP3;NES;AQP1
CID132010322 DA-27-BW40 BAID27 1UM	7/490	0.1116843807227078	0.9993097521627882	0	0	1.7750871399743167	3.891130204403263	HOXA10;CCDC80;GDF15;TNC;COL8A1;EMP3;HOXA11
CID139600315 CD-97-ZV62 BAID26 0.1UM	2/70	0.11373195006956893	0.9993097521627882	0	0	3.5667629014796103	7.753824800779302	CCDC80;COL8A1
CID132010322 DA-27-BW40 BAID25 0.01UM	3/148	0.12374065128159735	0.9993097521627882	0	0	2.5146871008939975	5.254608251569978	EMP3;HOXD11;AQP1
CID6442177 EVEROLIMUS CE-72-GF32 BAID14 0.1UM	3/148	0.12374065128159735	0.9993097521627882	0	0	2.5146871008939975	5.254608251569978	COL8A1;GATA4;NES
CID71600087 MIVEBRESIB KB-78-BE93 BAID38 0.1UM	10/808	0.13199588452662347	0.9993097521627882	0	0	1.5390896596329533	3.116632758289447	APOBEC3C;CCDC80;HOXB3;COL8A1;EMP3;HOXA7;NES;AQP1;HOXA11;HOXA4
CID44633743 MF-65-HS14 BAID50 0.1UM	2/78	0.13567681479133364	0.9993097521627882	0	0	3.1900226025185665	6.372005018169377	EMP3;CD99
CID122189255 PF-06471553 S0-EE-Y9S3 BAID13 0.01UM	2/84	0.1526991520629743	0.9993097521627882	0	0	2.955708514140356	5.554620506746922	TNC;ABCA13
CID132010322 DA-27-BW40 BAID26 0.1UM	3/166	0.1579159011662112	0.9993097521627882	0	0	2.2349466030447624	4.125024537964	CCDC80;EMP3;AQP1
CID4814 PICOTAMIDE CC-00-ZO24 BAID19 1UM	2/91	0.17304478666621972	0.9993097521627882	0	0	2.722272006617495	4.7754227176225985	HOXA10;CD44
CID119081417 PF-CBP1 DE-81-PO11 BAID24 10UM	3/174	0.17395017120487705	0.9993097521627882	0	0	2.129521334199697	3.7245038374714943	CCDC80;COL8A1;AQP1
CID142417841 S0-EE-WNJ9 BAID36 10UM	2/93	0.17893782653682036	0.9993097521627882	0	0	2.6621721836445764	4.580844590596958	CCDC80;EMP3
CID86294693 NVS-BET-1 CB-55-AK76 BAID24 10UM	8/663	0.1828064314822523	0.9993097521627882	0	0	1.4920989935333302	2.535564759054515	APOBEC3C;CCDC80;GDF15;EMP3;HOXB7;NES;AQP1;HOXA11
CID72201027 SGC-CBP30 ED-33-YZ72 BAID4 10UM	4/280	0.2010896746880449	0.9993097521627882	0	0	1.7606445224592673	2.824081433545797	CCDC80;COL8A1;EMP3;AQP1
JD-02-GA59 BAID32 10UM	2/101	0.2027906224962184	0.9993097521627882	0	0	2.446055648509636	3.9028805255273014	NES;AQP1
DF-26-EY87 BAID35 1UM	2/106	0.217877137221629	0.9993097521627882	0	0	2.327866918357716	3.5472593993782646	APOBEC3C;IGF2BP2
CID124203831 PF-06761281 TC-69-EY43 BAID16 10UM	2/107	0.2209069041560184	0.9993097521627882	0	0	2.3055799006719253	3.481457730722846	HOXB3;IGF2BP2
CID5328940 BOSUTINIB FA-10-SN61 BAID16 10UM	4/293	0.22345478089302737	0.9993097521627882	0	0	1.680328397343592	2.5180497480755837	ANXA1;IGF2BP2;NES;AQP1
CID5663 VESNARINONE AB-44-GQ28 BAID4 10UM	2/108	0.22394019423061948	0.9993097521627882	0	0	2.283713392753791	3.4172944891572836	HOXA11;HOXA4
CID86294693 NVS-BET-1 CB-55-AK76 BAID22 0.1UM	5/399	0.2340401834405357	0.9993097521627882	0	0	1.5419574873096447	2.239326964888709	APOBEC3C;CCDC80;GDF15;EMP3;AQP1
DE-20-VX20 BAID36 10UM	4/303	0.24108431149530798	0.9993097521627882	0	0	1.623299196078024	2.3093193422387057	ANXA1;HOXB3;NES;AQP1
CID46215462 BEMCENTINIB CD-20-GE75 BAID32 10UM	5/405	0.2431840511924943	0.9993097521627882	0	0	1.518359375	2.146864059313627	CCDC80;ANXA1;EMP3;NES;AQP1
CID86271238 PF-06446846 AE-51-ZO26 BAID23 1UM	2/119	0.2574666873024291	0.9993097521627882	0	0	2.0678517120234914	2.8057954828497396	APOBEC3C;NES
EA-81-CR68 BAID52 10UM	2/120	0.26052290802475825	0.9993097521627882	0	0	2.0502235624415097	2.7576828960096194	CCDC80;TNFRSF12A
