Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	35/551	9.527378206065623E-11	3.3555426041763124E-7	0	0	4.016427868577051	92.67612682743564	ERCC6L;CDCA2;PCNA;SLC43A3;CDCA7;HMMR;TYMS;SKA1;AURKA;LMNB1;TUBA1C;PTTG1;PCLAF;OIP5;TK1;CEP55;E2F8;TCF19;CENPU;KIF23;WDR76;NDC80;TPX2;MELK;CENPH;MTHFD2;CENPI;CDK2;CKS2;CENPM;KIF20A;PLP2;DTL;ASF1B;APOBEC3B
CID44819306 CA-90-RU33 BAID12 10UM	22/300	2.651233322985921E-8	4.6688218817782074E-5	0	0	4.560722850291196	79.5648010787649	TCF19;CDCA2;KIF23;TYMS;WDR76;SKA1;NDC80;AURKA;BCL2L12;TPX2;TUBA1C;MELK;PTTG1;MTHFD2;PCLAF;CKS2;CENPM;KIF20A;TK1;CEP55;ASF1B;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	25/396	5.7243775109324614E-8	4.925264867790486E-5	0	0	3.8996543713524847	65.03042935035648	CDCA2;HMMR;TYMS;SKA1;AURKA;BCL2L12;TUBA1C;CSRP2;PTTG1;PCLAF;NUSAP1;OIP5;TK1;CEP55;TCF19;KIF23;WDR76;TPX2;MELK;MTHFD2;CENPM;KIF20A;ASF1B;EZH2;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	31/579	6.369143693528697E-8	4.925264867790486E-5	0	0	3.303165249224313	54.73085754487072	ERCC6L;CDCA2;CDCA7;SKA1;AURKA;LMNB1;BCL2L12;TUBA1C;CSRP2;PTTG1;EME1;MDK;PCLAF;OIP5;TK1;CEP55;TCF19;CA12;GPX8;KIF23;WDR76;TPX2;NEIL3;MELK;CENPH;CKS2;CENPM;KIF20A;PLP2;ASF1B;APOBEC3B
CID9907182 GB-94-XG34 BAID16 10UM	30/550	6.992142061031355E-8	4.925264867790486E-5	0	0	3.3633911819887428	55.41487588245457	STEAP3;CDCA2;CDCA7;HMMR;SKA1;AURKA;BCL2L12;TUBA1C;GNG5;PTTG1;PCLAF;EIF4EBP1;OIP5;TK1;CEP55;TCF19;CENPU;ANXA2;KIF23;WDR76;TPX2;MELK;CENPH;MTHFD2;CKS2;CENPM;VIM;KIF20A;ASF1B;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	23/360	1.5891866547644184E-7	9.328525663467136E-5	0	0	3.932990832189202	61.570473181710966	TCF19;CDCA2;PCNA;KIF23;TYMS;WDR76;SKA1;AURKA;LMNB1;BCL2L12;TPX2;TUBA1C;MELK;PTTG1;MTHFD2;PCLAF;NUSAP1;CENPM;KIF20A;TK1;DTL;ASF1B;EZH2
CID101476432 RC-52-AC88 BAID28 10UM	37/834	3.8627298900068416E-7	1.9435049532291567E-4	0	0	2.725426736554916	40.245617565712884	STEAP3;CDCA2;TNC;HMMR;SKA1;AURKA;LMNB1;BCL2L12;TUBA1C;PTTG1;EME1;PCLAF;EIF4EBP1;RCC1;OIP5;TK1;CEP55;TCF19;CA12;ANXA2;KIF23;WDR76;NDC80;TPX2;NEIL3;MELK;CENPH;MTHFD2;CENPI;CKS2;ID3;CENPM;VIM;KIF20A;DTL;EZH2;APOBEC3B
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	32/703	1.4322580319425231E-6	6.305515985626959E-4	0	0	2.7752370329057445	37.344306402226586	CDCA2;PCNA;TYMS;SKA1;AURKA;LMNB1;BCL2L12;TUBA1C;PTTG1;EME1;PCLAF;OIP5;TK1;CEP55;TCF19;CA12;CENPU;POLQ;KIF23;WDR76;NDC80;TPX2;WEE1;MELK;CENPH;CENPI;CDK2;CENPM;KIF20A;DTL;ASF1B;APOBEC3B
CID44818584 AA-42-XZ05 BAID32 10UM	9/74	6.770269808254401E-6	0.002649432251630222	0	0	7.766938505620454	92.44963305980231	TUBA1C;TPX2;PTTG1;PCLAF;CENPM;TK1;KIF20A;TYMS;AURKA
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	15/217	9.163941541546743E-6	0.0032275402109327627	0	0	4.208642438587882	48.821237836087896	TCF19;CDCA2;WDR76;BCL2L12;TPX2;TUBA1C;MELK;CENPH;PTTG1;PCLAF;CENPM;KIF20A;TK1;PLP2;ASF1B
CID9820526 VC-19-YG34 BAID27 1UM	24/506	1.5799265179742466E-5	0.005058637451186634	0	0	2.8563619648669465	31.578644313283146	TCF19;CA12;STEAP3;CDCA2;SKA1;AURKA;LMNB1;BCL2L12;TPX2;TUBA1C;MELK;CENPH;EME1;MTHFD2;CENPI;PCLAF;EIF4EBP1;ID3;CENPM;KIF20A;TK1;PLP2;CEP55;APOBEC3B
CB-25-VR83 BAID36 10UM	20/378	1.7438553648796478E-5	0.005118215495921766	0	0	3.187332650160325	34.92305268119085	STEAP3;CDCA2;ANXA2;NCAPG;KIF23;TYMS;AURKA;TPX2;TUBA1C;CSRP2;MELK;PTTG1;MTHFD2;PCLAF;NUSAP1;CENPM;OIP5;VIM;TK1;DTL
CID91757965 AE-67-DS75 BAID28 10UM	14/204	1.9707152034488483E-5	0.005339122266574495	0	0	4.1665850673194615	45.142986495636755	CA12;ANXA2;TNC;TYMS;TPX2;TUBA1C;MELK;EME1;MTHFD2;PCLAF;EIF4EBP1;CENPM;TK1;EZH2
PF-84-RH50 BAID36 10UM	15/237	2.6003082317537147E-5	0.006541632565883274	0	0	3.8255456622803563	40.38741591475184	CA12;ANXA2;TYMS;AURKA;TPX2;TUBA1C;MELK;PCLAF;ID3;CENPM;S100A4;KIF20A;TK1;HOXC6;APOBEC3B
BE-04-AN21 BAID11 1UM	15/240	3.0095450155821407E-5	0.007066411696586867	0	0	3.773955296404276	39.291163944269435	TCF19;CDCA2;LMNB1;AURKA;BCL2L12;TPX2;TUBA1C;MELK;PTTG1;PCLAF;CENPM;KIF20A;TK1;ASF1B;APOBEC3B
CID71678945 NA-16-OJ70 BAID31 1UM	27/636	3.332666758587697E-5	0.007336032702341169	0	0	2.54932805500573	26.281412081795697	ERCC6L;CDCA2;HMMR;SKA1;AURKA;LMNB1;BCL2L12;TUBA1C;MDK;PCLAF;RCC1;OIP5;TK1;CEP55;E2F8;TCF19;CENPU;KIF23;WDR76;TPX2;MELK;CENPH;CENPM;KIF20A;PLP2;ASF1B;APOBEC3B
CID119182 CLOFARABINE CB-32-EI69 BAID20 10UM	27/641	3.812395338259581E-5	0.007898386106676616	0	0	2.5279037956247477	25.720581289345347	CDCA2;CDCA7;AURKA;TUBA1C;PTTG1;PCLAF;NUSAP1;RCC1;OIP5;TK1;CENPU;ANXA2;KIF23;WDR76;NDC80;FAM111B;TPX2;MELK;CENPH;MTHFD2;CKS2;COL8A1;VIM;KIF20A;ASF1B;EZH2;APOBEC3B
CID6419417 ZYGOSPORINA BE-42-IC00 BAID40 10UM	27/645	4.24020351837782E-5	0.0082966648842926	0	0	2.5110139911418767	25.281677816534504	ERCC6L;CDCA2;CDCA7;TYMS;ABCA13;SKA1;AURKA;LMNB1;PCLAF;NUSAP1;OIP5;TK1;CEP55;TCF19;ANXA2;GPX8;KIF23;WDR76;NDC80;TPX2;MELK;CENPH;MTHFD2;CENPM;KIF20A;DTL;ASF1B
BE-04-AN21 BAID12 10UM	33/874	4.6853130707546335E-5	0.008685090860630431	0	0	2.2699460349400895	22.62794054099361	STEAP3;CDCA2;NCAPG;SKA1;AURKA;LOXL2;LMNB1;BCL2L12;PTTG1;EME1;MDK;PCLAF;RCC1;OIP5;TK1;CEP55;TCF19;CENPU;POLQ;KIF23;WDR76;TPX2;WEE1;MELK;CENPH;CDK2;CKS2;CENPM;KIF20A;PLP2;ASF1B;EZH2;APOBEC3B
CID5284558 LD-39-FL02 BAID51 1UM	17/311	4.9652221823582904E-5	0.00874375626313295	0	0	3.2808267001815388	32.51452611872942	ERCC6L;CDCA2;ANXA2;STON1;TYMS;LMNB1;AURKA;TPX2;MELK;PTTG1;MTHFD2;PCLAF;CENPM;OIP5;KIF20A;TK1;EZH2
PB-63-WH18 BAID36 10UM	14/226	6.076220725312369E-5	0.00983163117528682	0	0	3.729980254497587	36.21267202447323	CA12;ANXA2;KIF23;SKA1;AURKA;TPX2;TUBA1C;MELK;MTHFD2;PCLAF;ID3;CENPM;TK1;APOBEC3B
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	13/198	6.141280120849235E-5	0.00983163117528682	0	0	3.963039561300431	38.43313067098141	CA12;CDCA2;AURKA;TUBA1C;MELK;PTTG1;MTHFD2;PCLAF;EIF4EBP1;ID3;CENPM;KIF20A;CEP55
CID72710839 BLU-9931 HF-79-EC41 BAID4 10UM	23/520	6.946426363779653E-5	0.010637092892709537	0	0	2.6447340760983815	25.32253041249569	TCF19;CA12;STEAP3;CDCA2;ANXA2;KIF23;SKA1;AURKA;LMNB1;BCL2L12;TPX2;TUBA1C;MELK;CENPH;PTTG1;PCLAF;CENPM;VIM;KIF20A;TK1;CEP55;ASF1B;APOBEC3B
CID91623361 LLY-507 AE-52-NW93 BAID20 10UM	25/593	7.296685740873135E-5	0.010707886324731327	0	0	2.5210950387006723	24.01470397144913	CDCA2;PCNA;TNC;TYMS;SKA1;AURKA;TUBA1C;PTTG1;PCLAF;OIP5;TK1;CEP55;TCF19;CA12;CENPU;ANXA2;FAM111B;TPX2;MELK;MTHFD2;HOXB3;CENPM;KIF20A;EZH2;APOBEC3B
BB-84-DG64 BAID52 10UM	19/390	8.549438580173923E-5	0.012033108745281318	0	0	2.911281794400846	27.270150800551413	TCF19;STEAP3;CDCA2;SKA1;AURKA;BCL2L12;TPX2;TUBA1C;MELK;CENPH;MDK;PCLAF;CENPM;OIP5;KIF20A;TK1;ASF1B;EZH2;APOBEC3B
