Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	74/551	9.698168290386211E-28	3.849202994454287E-24	0	0	5.559343434343434	345.79363870503715	ARHGAP11A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;LMNB1;CDC20;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;CCNA2;ASPM;MELK;ESPL1;MTHFD2;KIFC1;FANCD2;BIRC5;KIF2C;PRR11;DTL;ASF1B;CDCA2;PCNA;SLC43A3;TROAP;CDCA7;CDCA8;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;CCNB2;CDC45;ORC1;E2F2;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;NDC80;TPX2;RAD51;KIF18B;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	58/360	5.713924994617882E-26	1.1339284151819187E-22	0	0	6.7416244643552785	391.85224492612264	LRR1;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PCLAF;PBK;NUSAP1;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;MTHFD2;KIFC1;FANCD2;BIRC5;KIF2C;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;BCL2L12;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;UBE2C;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	52/300	6.672086041262672E-25	8.827169832590516E-22	0	0	7.30058651026393	406.39952086507566	HJURP;BUB1B;MKI67;FOXM1;CDC20;PCLAF;PBK;MYBL2;TK1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;MTHFD2;KIFC1;FANCD2;BIRC5;KIF2C;ASF1B;CDCA2;TROAP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;BCL2L12;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;SPC24;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	59/396	1.3837881877552045E-24	1.3730638293001017E-21	0	0	6.145651971954905	337.6250186318015	ARHGAP11A;LRR1;HJURP;BUB1B;YBX1;FOXM1;MKI67;CDC20;PBK;PCLAF;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;CDC25C;PIMREG;WDR76;CCNA2;MELK;ESPL1;MTHFD2;KIFC1;FANCD2;BIRC5;KIF2C;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;BCL2L12;CCNB2;CDC45;ORC1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;TPX2;RAD51;KIF18B;KIF4A;CDK1;CENPM;NES;SPC24;EZH2;APOBEC3B;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	66/579	8.036574152099518E-21	6.379432561936597E-18	0	0	4.53292746792354	209.73984156862207	ARHGAP11A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;YBX1;FOXM1;MKI67;AQP1;LMNB1;CDC20;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;PRR11;ASF1B;CDCA2;UHRF1;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;BCL2L12;CCNB2;CDC45;ORC1;E2F2;BUB1;GINS2;CDKN2C;RRM2;UBE2C;TPX2;RAD51;KIF18B;CENPH;KIF4A;CENPM;NES;APOBEC3B;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	63/550	5.114926575974063E-20	3.3835239300068425E-17	0	0	4.538761033627563	201.60967190626673	ARHGAP11A;STEAP3;LRR1;RPLP0;HJURP;BUB1B;MCM10;YBX1;FOXM1;MKI67;CDC20;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;TCF19;EIF5AL1;FOXD1;CKAP2L;KIF23;ESCO2;PIMREG;WDR76;CCNA2;ASPM;MELK;ESPL1;MTHFD2;KIFC1;FANCD2;BIRC5;KIF2C;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;BCL2L12;CCNB2;CDC45;CENPU;GINS2;CDKN2C;RRM2;UBE2C;TPX2;RAD51;KIF18B;CENPH;KIF4A;CDK1;CENPM;NES;APOBEC3B;SPC25
BE-04-AN21 BAID11 1UM	40/240	9.075074343817664E-19	5.145567152944616E-16	0	0	6.83202846975089	283.8269567851196	CDCA2;LRR1;TROAP;HJURP;CDCA8;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;CDC20;BCL2L12;CCNB2;PCLAF;MYBL2;TK1;GTSE1;DLGAP5;TCF19;GINS2;CDKN2C;RRM2;UBE2C;PIMREG;TPX2;MELK;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;CDK1;CENPM;BIRC5;KIF2C;PRR11;NES;ASF1B;APOBEC3B
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	69/703	3.638619305863062E-18	1.8052100031213116E-15	0	0	3.8314048804161907	153.84978472031003	ARHGAP11A;LRR1;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;LMNB1;CDC20;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;CCNA2;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;BCL2L12;CCNB2;CDC45;ORC1;E2F2;BUB1;CENPU;GINS2;POLQ;CDKN2C;RRM2;UBE2C;NDC80;TPX2;WEE1;RAD51;KIF18B;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;NES;APOBEC3B;SPC25
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	37/217	8.636856344725736E-18	3.80885364802405E-15	0	0	6.991799410029499	274.7112458210489	CDCA2;TROAP;HJURP;CDCA8;BUB1B;MKI67;FOXM1;CENPA;NCAPH;AURKB;AQP1;CDC20;BCL2L12;CDC45;PCLAF;MYBL2;TK1;DLGAP5;EIF5AL1;TCF19;GINS2;CDKN2C;RRM2;UBE2C;WDR76;TPX2;DEPDC1B;MELK;KIF18B;CENPH;KIF4A;CENPM;BIRC5;KIF2C;NES;ASF1B;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	23/74	1.3180450813689838E-17	5.231320927953497E-15	0	0	15.069287818754445	585.7100189852296	RRM2;CKAP2L;UBE2C;TROAP;HJURP;CDCA8;ESCO2;MKI67;FOXM1;PIMREG;TYMS;AURKB;CDC20;TPX2;KIFC1;KIF4A;PCLAF;BIRC5;CENPM;MYBL2;KIF2C;TK1;PRR11
