Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	11/525	0.006919493126732091	0.9995749771310025	0	0	2.504539559014267	12.456108999767997	APOBEC3C;SYDE1;STEAP3;ANXA1;ANXA2;GDF15;GPX8;S100A4;EMP3;IGF2BP2;S100A11
LD-30-MF71 BAID47 1UM	3/56	0.013201432531209981	0.9995749771310025	0	0	6.468862471370924	27.99354907287119	ANXA1;ANXA2;VIM
CID183782 RS67333 JB-60-JM38 BAID20 10UM	3/57	0.013846416683404824	0.9995749771310025	0	0	6.348747591522158	27.170917930689054	ABCC3;S100A4;VIM
CID135496218 CA-00-AR16 BAID7 1UM	3/59	0.015189408074809453	0.9995749771310025	0	0	6.121387283236994	25.631209191671676	GDF15;VIM;VGLL2
CID3730790 GE-77-FY84 BAID12 10UM	3/66	0.020451338244884862	0.9995749771310025	0	0	5.4393063583815024	21.157307793169544	ANXA2;VIM;S100A11
BD-11-DV28 BAID35 10UM	6/279	0.03725045053410255	0.9995749771310025	0	0	2.527601809954751	8.31604057150864	STEAP3;ANXA2;S100A4;VIM;S100A11;PPIC
CID51039095 AZD-4547 BD-81-LB65 BAID38 0.1UM	2/39	0.046135390104852514	0.9995749771310025	0	0	6.146940043491767	18.909062933381232	ABCC3;VIM
CID4788 PHLORETIN AA-72-QI84 BAID40 10UM	3/93	0.048924492927235615	0.9995749771310025	0	0	3.8023121387283236	11.473389919890664	CA12;ANXA2;VGLL2
BD-11-DV28 BAID32 10UM	4/161	0.054098745681611875	0.9995749771310025	0	0	2.9131980447341133	8.497636368961276	STEAP3;ANXA2;S100A4;VIM
CID3074827 NEBOGLAMINE CC-20-ZO24 BAID7 1UM	2/43	0.05496356522832016	0.9995749771310025	0	0	5.546117185309784	16.08975606378097	IKBIP;VIM
CID296003 2-(FURAN-2-YL)-4H-3,1-BENZOXAZIN-4-ONE BD-99-DU20 BAID8 10UM	2/49	0.0692000844670925	0.9995749771310025	0	0	4.8366348740523355	12.917458046486043	IKBIP;EDA2R
CID44422459 EB-66-IH06 BAID37 0.01UM	2/49	0.0692000844670925	0.9995749771310025	0	0	4.8366348740523355	12.917458046486043	ABCC3;S100A4
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID23 10UM	6/329	0.07121537472559455	0.9995749771310025	0	0	2.130868694226917	5.629854275091831	CA12;STEAP3;ANXA2;S100A4;VIM;HOXD11
CID126565 LESTAURTINIB RA-42-CM42 BAID45 0.01UM	2/50	0.07167932615047058	0.9995749771310025	0	0	4.735632183908046	12.48100918849243	STEAP3;ANXA2
CID5381 TAZAROTENE IA-14-WP20 BAID11 1UM	2/51	0.07418709996317548	0.9995749771310025	0	0	4.638752052545156	12.066159477503154	STEAP3;VIM
CC-04-YT10 BAID49 0.01UM	2/51	0.07418709996317548	0.9995749771310025	0	0	4.638752052545156	12.066159477503154	CSRP2;PPIC
CID44195094 GB-06-BA49 BAID27 1UM	5/254	0.0742323872183379	0.9995749771310025	0	0	2.2986683576410907	5.977812889975967	STEAP3;ANXA2;VIM;HOXC8;S100A11
CID178052 POZANICLINE UC-58-DM11 BAID19 1UM	4/180	0.07489876822518834	0.9995749771310025	0	0	2.5961945031712474	6.728343975433758	CA12;STEAP3;CSRP2;ANXA2
CID104974 SAREDUTANT CC-01-PR23 BAID44 10UM	2/54	0.08187478877513728	0.9995749771310025	0	0	4.370468611847922	10.937378131724659	CA12;ANXA2
CID66869370 AB-73-ZX03 BAID24 10UM	3/117	0.08446739111790143	0.9995749771310025	0	0	2.9981746273197443	7.4096579618050775	STEAP3;ANXA2;VIM
CID4497 NIMODIPINE DF-57-FI46 BAID23 1UM	2/56	0.08713023084564145	0.9995749771310025	0	0	4.208173690932312	10.269422445765088	ANXA2;VIM
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	10/698	0.0893987548650887	0.9995749771310025	0	0	1.6755393667694032	4.045838659850861	APOBEC3C;SYDE1;STEAP3;ANXA1;GDF15;PDPN;GPX8;S100A4;EMP3;ABCA13
CID9949093 BC-30-IU38 BAID28 10UM	2/60	0.09793075564963813	0.9995749771310025	0	0	3.917162108600872	9.101505104811162	CA12;ANXA2
BD-11-DV28 BAID9 10UM	5/278	0.09947344451878107	0.9995749771310025	0	0	2.094017094017094	4.832707838682481	STEAP3;ANXA2;S100A4;VIM;S100A11
CID5311123 CP-481,715 XC-12-SL04 BAID13 0.01UM	2/61	0.10068761608974158	0.9995749771310025	0	0	3.8505747126436782	8.839889377012417	IKBIP;ABCA13
CID2255544 DC-61-QV78 BAID31 1UM	3/127	0.10177284732192486	0.9995749771310025	0	0	2.7549878799179566	6.295180189591903	CA12;STEAP3;S100A4
CID5092 ROLIPRAM AA-68-MW92 BAID43 1UM	2/63	0.10626521695590287	0.9995749771310025	0	0	3.7239495006595065	8.348414277207677	ANXA2;EMP3
CID10070301 GLYCOGENPHOSPHORYLASEINHIBITOR RE-21-BF58 BAID13 0.01UM	2/64	0.10908479345581397	0.9995749771310025	0	0	3.6637004078605857	8.117403719730046	ANXA2;VIM
CID10477021 BA-90-AA10 BAID47 1UM	2/64	0.10908479345581397	0.9995749771310025	0	0	3.6637004078605857	8.117403719730046	ANXA2;VIM
CID42646698 CC-44-MG29 BAID44 10UM	8/545	0.10908730003642254	0.9995749771310025	0	0	1.710295291300878	3.7893418766465063	SYDE1;STEAP3;ANXA1;ANXA2;PDPN;VIM;VGLL2;E2F7
CID10020580 2-HEXYNYLADENOSINE CA-48-JF51 BAID26 0.1UM	2/65	0.11192412553957641	0.9995749771310025	0	0	3.6053639846743293	7.895509488964189	VIM;PPIC
CID5369209 MONOMETHYLFUMARATE HC-95-WQ65 BAID46 0.1UM	2/66	0.11478265230079318	0.9995749771310025	0	0	3.5488505747126435	7.682249783948242	FKBP10;GDF15
CID3922 LG100268 BE-70-YH17 BAID7 1UM	2/69	0.12346791466111695	0.9995749771310025	0	0	3.3894321495968436	7.089925899487232	S100A4;PPIC
CID6436135 CINALUKAST CF-50-MN16 BAID24 10UM	3/140	0.1261639235136909	0.9995749771310025	0	0	2.4919201721446353	5.158706449873852	ANXA2;PDPN;VIM
CID2746 TACEDINALINE GE-47-OO30 BAID43 1UM	2/71	0.12934414599123548	0.9995749771310025	0	0	3.290854572713643	6.7307145270611795	ANXA2;EMP3
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	9/664	0.13247643191158565	0.9995749771310025	0	0	1.5771906568542304	3.188055157119564	CA12;APOBEC3C;SYDE1;STEAP3;ANXA1;GDF15;GPX8;S100A4;EMP3
CID12000240 EMRICASAN CF-03-QN99 BAID27 1UM	4/223	0.13429872878707683	0.9995749771310025	0	0	2.081873208028034	4.179753191697643	CA12;MRC2;STEAP3;PPIC
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID16 10UM	3/147	0.14008759689442732	0.9995749771310025	0	0	2.3699421965317917	4.658091431056205	ANXA2;S100A4;VIM
BD-11-DV28 BAID41 10UM	4/227	0.1405968205696381	0.9995749771310025	0	0	2.0441130461987695	4.010261399199817	ANXA2;S100A4;VIM;S100A11
CID11711142 BE-50-RK99 BAID43 1UM	2/75	0.14128460540792545	0.9995749771310025	0	0	3.1099039521335223	6.086016555059108	ANXA2;S100A4
ZD-78-BS65 BAID52 10UM	3/149	0.14415807431866612	0.9995749771310025	0	0	2.337239686435981	4.5268706338935605	ANXA1;ANXA2;S100A11
CID9819930 AB-71-NB55 BAID4 10UM	3/151	0.14826749437587872	0.9995749771310025	0	0	2.3054210279643805	4.4004429749305585	ABCC3;ANXA2;VIM
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID26 10UM	7/502	0.15512906116158906	0.9995749771310025	0	0	1.6173928635467096	3.0140081333193645	CA12;STEAP3;ANXA2;PDPN;S100A4;VIM;HOXD11
TD-29-IN36 BAID51 1UM	2/80	0.15652236742645062	0.9995749771310025	0	0	2.909814323607427	5.396414649678496	ANXA1;VIM
CID118705186 FE-72-KZ75 BAID41 0.01UM	3/155	0.15659864552130495	0.9995749771310025	0	0	2.2442957103742014	4.161079428304258	APOBEC3C;SYDE1;GPX8
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID19 10UM	6/413	0.15778970642823076	0.9995749771310025	0	0	1.6837982367394133	3.109120149640148	CA12;CSRP2;ANXA2;S100A4;VIM;S100A11
CID37463 4-METHYLHISTAMINE AD-27-JS45 BAID20 10UM	2/81	0.15960687736146176	0.9995749771310025	0	0	2.8728357340317183	5.27177280513885	CA12;ANXA2
CID57524021 S0-EE-YC7H BAID43 1UM	2/81	0.15960687736146176	0.9995749771310025	0	0	2.8728357340317183	5.27177280513885	S100A4;VIM
OF-37-IT01 BAID51 1UM	2/82	0.16270266253868854	0.9995749771310025	0	0	2.8367816091954023	5.151115703035844	CSRP2;VIM
CID9856983 RC-18-AD40 BAID28 10UM	3/159	0.16507203866618317	0.9995749771310025	0	0	2.1863050244553133	3.9383515019258515	CA12;ANXA2;GPX8
CID73293783 VB-92-JQ72 BAID11 1UM	4/242	0.1652163052116222	0.9995749771310025	0	0	1.9138166894664843	3.4458264191376555	CA12;ANXA2;VIM;IGF2BP2
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID1 10UM	7/516	0.17085840217222387	0.9995749771310025	0	0	1.5717673591332348	2.777187375496933	CA12;STEAP3;ANXA2;PDPN;S100A4;VIM;HOXD11
BD-11-DV28 BAID48 10UM	3/163	0.1736787126770121	0.9995749771310025	0	0	2.1312138728323697	3.7307925353298503	ANXA2;S100A4;VIM
CID49850262 TUBASTATINA AE-05-CB45 BAID31 1UM	2/86	0.1751899809485221	0.9995749771310025	0	0	2.7011494252873565	4.705089744750046	FKBP10;GDF15
CID68379135 DB-73-BC12 BAID4 10UM	2/86	0.1751899809485221	0.9995749771310025	0	0	2.7011494252873565	4.705089744750046	ANXA2;S100A11
CID667730 DB-28-SP20 BAID28 10UM	3/165	0.1780292486559082	0.9995749771310025	0	0	2.1046885035324343	3.6322870443873727	CA12;STEAP3;ANXA2
BD-11-DV28 BAID36 10UM	5/338	0.17821472951559938	0.9995749771310025	0	0	1.7114482903956587	2.9518480105434275	CA12;STEAP3;ANXA2;S100A4;VIM
CID6473881 AB-37-JM16 BAID13 0.01UM	6/430	0.17931969458838704	0.9995749771310025	0	0	1.6148723640399556	2.7752955232672485	APOBEC3C;ABCC3;ANXA1;ANXA2;GPX8;VIM
CID11398430 FA-36-VA24 BAID50 0.1UM	4/251	0.18068306697869796	0.9995749771310025	0	0	1.843235100273044	3.1537951518859364	MRC2;STEAP3;ANXA2;S100A4
TB-06-VB30 BAID23 1UM	7/527	0.1836903381538925	0.9995749771310025	0	0	1.5376422394173874	2.6055407467898277	APOBEC3C;GDF15;PDPN;GPX8;S100A4;EMP3;HOXD11
CID44200047 BF-44-HD37 BAID23 1UM	2/89	0.18465326390192768	0.9995749771310025	0	0	2.6076099881093935	4.40497156655867	WEE1;S100A4
CID702481 2-(NAPHTHALENE-2-SULFONAMIDO)ACETICACID DC-43-KF54 BAID10 0.1UM	4/256	0.18947892349657525	0.9995749771310025	0	0	1.806201550387597	3.0045756075636705	ANXA1;GPX8;HOXC4;VIM
CID10341154 VX-702 DC-59-NQ20 BAID23 1UM	2/91	0.19100271650398554	0.9995749771310025	0	0	2.548753713031125	4.219379264949064	ANXA2;VIM
CID11496376 AF-60-GR11 BAID20 10UM	2/91	0.19100271650398554	0.9995749771310025	0	0	2.548753713031125	4.219379264949064	ANXA2;VIM
CID24905375 ANTAXV UD-09-TN01 BAID7 1UM	3/171	0.19125643360934133	0.9995749771310025	0	0	2.0289017341040463	3.3560878533867964	WEE1;VIM;PPIC
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID28 10UM	5/347	0.19166158073181327	0.9995749771310025	0	0	1.6656407099620396	2.7516785323655926	ANXA1;ANXA2;S100A4;VIM;HOXD11
CID52912222 NB-12-ZK38 BAID7 1UM	9/728	0.19311206698691763	0.9995749771310025	0	0	1.4320038643158746	2.354908302910899	ANXA1;GDF15;GPX8;S100A4;EMP3;HOXD11;ABCA13;S100A11;PPIC
CID118958122 FD-86-NE74 BAID16 10UM	6/442	0.19519643524478306	0.9995749771310025	0	0	1.5694549379384781	2.5640952270342434	STEAP3;ANXA2;S100A4;VIM;EMP3;S100A11
CID23633624 GA-94-MC54 BAID8 10UM	3/173	0.19572038673881884	0.9995749771310025	0	0	2.004828289697382	3.270011743128619	MRC2;ANXA2;VIM
CID142417841 S0-EE-WNJ9 BAID36 10UM	2/93	0.19738109012849353	0.9995749771310025	0	0	2.4924845269672855	4.044352629179042	ABCC3;EMP3
CID301929 LL-Z1271ALPHA YA-92-YO01 BAID3 1UM	3/174	0.1979620477713432	0.9995749771310025	0	0	1.9930027380590203	3.2280265643325468	MRC2;ANXA2;S100A4
CID47318 OLTIPRAZ HA-30-KD77 BAID28 10UM	4/261	0.19840944179578796	0.9995749771310025	0	0	1.7706089946611165	2.8638228188185257	CA12;ANXA2;VIM;EDA2R
CB-59-ZX97 BAID28 10UM	2/94	0.20058019958551238	0.9995749771310025	0	0	2.4652673663168416	3.960553381682332	ANXA2;PDPN
CID24946690 BITOPERTIN FA-52-OO58 BAID20 10UM	2/94	0.20058019958551238	0.9995749771310025	0	0	2.4652673663168416	3.960553381682332	CDCA7L;VIM
EA-93-KT88 BAID50 0.1UM	2/95	0.20378544373486876	0.9995749771310025	0	0	2.438635520949203	3.8791072475357917	STEAP3;S100A4
CID219104 IV2COMPOUND WB-17-DI74 BAID43 1UM	2/95	0.20378544373486876	0.9995749771310025	0	0	2.438635520949203	3.8791072475357917	ANXA2;S100A4
CID5311276 MB-93-BH38 BAID4 10UM	2/95	0.20378544373486876	0.9995749771310025	0	0	2.438635520949203	3.8791072475357917	IKBIP;CA12
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID39 10UM	5/355	0.2039091525001211	0.9995749771310025	0	0	1.6269005847953217	2.5869032454451655	CA12;STEAP3;ANXA2;S100A4;VIM
CID9861037 4-AMINO-3-IODOBENZENESULFONAMIDE WC-89-JT40 BAID41 0.01UM	2/96	0.2069964694676806	0.9995749771310025	0	0	2.4125703105893863	3.799927411989872	STEAP3;GPX8
