Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID132471728 LA-44-KW22 BAID44 10UM	3/48	0.3177333775876822	0.9999960383203774	0	0	1.5515004055150041	1.7788614378385685	NNMT;ANXA2;IGFBP7
CID44422459 EB-66-IH06 BAID37 0.01UM	3/49	0.3291501598155675	0.9999960383203774	0	0	1.5176927959377975	1.6865227934269855	SPARC;S100A4;HOXA7
CID126565 LESTAURTINIB RA-42-CM42 BAID45 0.01UM	3/50	0.34056236421448244	0.9999960383203774	0	0	1.4853238080447275	1.5999269598994363	STEAP3;ANXA2;TGFBI
CID11711142 BE-50-RK99 BAID43 1UM	4/75	0.3741975411089943	0.9999960383203774	0	0	1.3109399392702132	1.2886165149087399	ANXA2;ID3;S100A4;TGFBI
LD-30-MF71 BAID47 1UM	3/56	0.4084244516102947	0.9999960383203774	0	0	1.3167607767525134	1.1790912290247781	ANXA1;NNMT;ANXA2
CID3672 IBUPROFEN AA-98-MW52 BAID12 10UM	3/56	0.4084244516102947	0.9999960383203774	0	0	1.3167607767525134	1.1790912290247781	FAM156B;ANXA5;CKS2
CID45483510 IC-05-WD74 BAID16 10UM	8/173	0.42204942569225634	0.9999960383203774	0	0	1.128148065724565	0.9731775803805965	TUBA1C;TMEM37;SPARC;ANXA2;MTHFD2;ANXA5;TGFBI;AQP1
CID988563 GD-71-OU80 BAID12 10UM	5/106	0.44520554412690305	0.9999960383203774	0	0	1.1515334460275295	0.9318429815021823	TUBA1C;ANXA2;ANXA5;ID3;TGFBI
CID9981344 CB-06-FE89 BAID50 0.1UM	4/83	0.44893993123791875	0.9999960383203774	0	0	1.1776931497556238	0.9431746183251075	SPARC;ANXA2;ANXA5;ID3
CID4858 OC-40-XI13 BAID27 1UM	10/226	0.4560947588361483	0.9999960383203774	0	0	1.0769711429220632	0.8454812430740921	COL3A1;SPARC;MTHFD2;GPX8;ID3;EMP3;PLP2;TGFBI;AQP1;TMEM45A
CID125101 6,7,4'-TRIHYDROXYISOFLAVAN MA-88-CA03 BAID50 0.1UM	2/38	0.46857859453221734	0.9999960383203774	0	0	1.2919535574456595	0.9793672463239266	ANXA5;GPX8
ZD-78-BS65 BAID51 1UM	2/38	0.46857859453221734	0.9999960383203774	0	0	1.2919535574456595	0.9793672463239266	MTHFD2;RPLP0
FE-25-GD89 BAID36 10UM	3/63	0.48464618393565556	0.9999960383203774	0	0	1.1627128953771289	0.8421950076918013	SPARC;MTHFD2;HOXA4
CID5092 ROLIPRAM AA-68-MW92 BAID43 1UM	3/63	0.48464618393565556	0.9999960383203774	0	0	1.1627128953771289	0.8421950076918013	ANXA2;MTHFD2;EMP3
CID9883705 NS1652 JA-01-GQ75 BAID32 10UM	3/64	0.4951598107663765	0.9999960383203774	0	0	1.1435921981572335	0.8038020443416599	TUBA1C;MTHFD2;NACA2
CID9930560 DD-28-MZ39 BAID20 10UM	3/64	0.4951598107663765	0.9999960383203774	0	0	1.1435921981572335	0.8038020443416599	TUBA1C;PRDX4;MTHFD2
CID10477021 BA-90-AA10 BAID45 0.01UM	2/40	0.4956027448017334	0.9999960383203774	0	0	1.2238281000191853	0.8591035728134744	GPX8;TMEM45A
CID3638737 EC-86-EK93 BAID28 10UM	4/89	0.5030971933234805	0.9999960383203774	0	0	1.0942179551479545	0.7516969879522081	SPARC;ANXA2;MTHFD2;HOXA11
CID9819408 FA-88-II68 BAID50 0.1UM	5/114	0.5089457171028152	0.9999960383203774	0	0	1.0665697023942717	0.7203760175488614	TMEM37;STEAP3;CKS2;CLIC1;S100A11
CID138510 2-NITROBENZENESULFONAMIDE ND-54-FY31 BAID50 0.1UM	2/43	0.5344562963196787	0.9999960383203774	0	0	1.1341018877989508	0.7105208631777288	STEAP3;ANXA5
CID24961094 AZ505 CF-55-OA12 BAID21 0.01UM	2/43	0.5344562963196787	0.9999960383203774	0	0	1.1341018877989508	0.7105208631777288	SPARC;ACTL6A
CID1221 GA-06-UU42 BAID18 0.1UM	2/43	0.5344562963196787	0.9999960383203774	0	0	1.1341018877989508	0.7105208631777288	MTHFD2;ACTL6A
CID914234 HD-29-PZ41 BAID22 0.1UM	3/69	0.5460272727930605	0.9999960383203774	0	0	1.0566799380667993	0.6393826114018574	MTHFD2;CKS2;PLP2
CB-59-ZX97 BAID28 10UM	4/94	0.5463658807836673	0.9999960383203774	0	0	1.0331573961293816	0.6245089487495405	SPARC;ANXA2;PDPN;CLIC1
CID146673503 AD-72-OW33 BAID36 10UM	2/44	0.5469432654479242	0.9999960383203774	0	0	1.107041601573801	0.6680001957782425	SPARC;MTHFD2
CID9808717 VE-22-XI52 BAID20 10UM	2/44	0.5469432654479242	0.9999960383203774	0	0	1.107041601573801	0.6680001957782425	ANXA2;TGFBI
EA-93-KT88 BAID50 0.1UM	4/95	0.5547834008196908	0.9999960383203774	0	0	1.0217504785105271	0.6019924029783099	TMEM37;STEAP3;MTHFD2;S100A4
CID151166 LUMIRACOXIB GA-04-SF76 BAID10 0.1UM	3/70	0.5558367432817376	0.9999960383203774	0	0	1.0408541235428697	0.6112734914749025	TUBA1C;ANXA5;ACTL6A
CID1550579 D-AP4 AD-55-EA62 BAID45 0.01UM	2/46	0.5712057907314705	0.9999960383203774	0	0	1.0566110681542031	0.5917082527305073	TUBA1C;NACA2
CID10316032 SD-208 AA-86-YV75 BAID3 1UM	2/46	0.5712057907314705	0.9999960383203774	0	0	1.0566110681542031	0.5917082527305073	ANXA2;TGFBI
CID135400439 HA-32-YH61 BAID21 0.01UM	2/46	0.5712057907314705	0.9999960383203774	0	0	1.0566110681542031	0.5917082527305073	HOXA10;ANXA5
CID2736690 HF-01-QN73 BAID1 0.01UM	2/46	0.5712057907314705	0.9999960383203774	0	0	1.0566110681542031	0.5917082527305073	SPARC;ANXA5
CID44564 LODOXAMIDE OA-51-KF88 BAID29 0.01UM	2/47	0.5829783883054526	0.9999960383203774	0	0	1.0330768192250575	0.5574535855541665	NNMT;IGFBP7
CID127042122 HC-04-ZM18 BAID44 10UM	2/47	0.5829783883054526	0.9999960383203774	0	0	1.0330768192250575	0.5574535855541665	TMEM37;ANXA1
