Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID4877 IC-91-IX22 BAID27 1UM	8/110	0.005754712461457137	0.9999960224211342	0	0	3.151382292047254	16.25399853186978	TGIF1;FOXD1;COL4A2;CMTM3;COL4A1;MMP2;SERPINH1;TAGLN2
CID5381 TAZAROTENE IA-14-WP20 BAID11 1UM	5/51	0.008112283461017715	0.9999960224211342	0	0	4.352970119878332	20.9568343920921	SRPX;STEAP3;SERPINH1;VIM;PDIA4
CID44195094 GB-06-BA49 BAID27 1UM	13/254	0.010340774717137504	0.9999960224211342	0	0	2.174378027396309	9.940518114737584	STEAP3;FOXD1;ANXA2;MMP2;ANXA5;NACA2;AQP1;CCDC80;COL4A2;COL4A1;TAGLN2;VIM;S100A11
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	4/40	0.016322522713813653	0.9999960224211342	0	0	4.4428473648186175	18.28324707559124	FOXD1;CMTM3;COL4A2;COL4A1
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	21/525	0.020179007948647038	0.9999960224211342	0	0	1.684840425531915	6.576121599695658	STEAP3;ANXA1;ANXA2;CMTM3;SLC43A3;MMP2;F2R;GPX8;EMP3;AQP1;SYDE1;CCDC80;COL4A2;SERPINH1;TAGLN2;PLP2;IGF2BP2;CLIC1;S100A11;MDFI;TMEM45A
AB-57-IZ37 BAID33 0.01UM	5/66	0.02293779988639577	0.9999960224211342	0	0	3.2800377791270323	12.382041194768146	STEAP3;COL4A2;SLC43A3;SERPINH1;NES
CID10316032 SD-208 AA-86-YV75 BAID3 1UM	4/46	0.026002021527617235	0.9999960224211342	0	0	3.806981519507187	13.893887393994596	ANXA2;COL4A2;COL4A1;MMP2
CID121271792 BB-10-PR06 BAID12 10UM	13/288	0.02627742755357904	0.9999960224211342	0	0	1.9021833396728793	6.9221307261353555	CA12;FOXD1;ANXA1;TGFB1I1;MMP2;F2R;EDA2R;AQP1;CCDC80;COL4A2;SERPINH1;CLIC1;NES
XB-53-OZ95 BAID51 1UM	9/174	0.02823607872814954	0.9999960224211342	0	0	2.189060731799321	7.808718346396236	FOXD1;COL4A2;ANXA2;MMP2;FN1;TAGLN2;NES;S100A11;AQP1
CB-59-ZX97 BAID28 10UM	6/94	0.0282575836787529	0.9999960224211342	0	0	2.7302249297094656	9.737056193339107	SRPX;ANXA2;F2R;PDPN;FN1;CLIC1
CID4595 ONDANSETRON DA-15-PU65 BAID25 0.01UM	4/49	0.031896070470121975	0.9999960224211342	0	0	3.5526351813826147	12.239796149188225	COL4A2;UHRF1;MMP2;NES
CID59259130 FD-20-DQ38 BAID27 1UM	5/72	0.031920883950087534	0.9999960224211342	0	0	2.9853817333087647	10.283131898526879	CMTM3;MMP2;ANXA5;SERPINH1;FN1
CID46901383 BPKDI CC-09-YG11 BAID27 1UM	4/51	0.036225566471735256	0.9999960224211342	0	0	3.4011097033509547	11.284848506034074	COL4A2;CMTM3;MMP2;SERPINH1
DE-20-VX20 BAID36 10UM	13/303	0.037292757344046475	0.9999960224211342	0	0	1.8023878228249892	5.927974504234549	FOXD1;ANXA1;ANXA2;CMTM3;ANXA5;AQP1;CSRP2;COL4A2;TAGLN2;PLP2;VIM;CLIC1;NES
CID73432 BRUSATOL GA-88-CF36 BAID9 0.01UM	5/80	0.046914685273334936	0.9999960224211342	0	0	2.6658436213991767	8.1559473783348	MAGED4B;COL4A2;SERPINH1;CHST14;NES
CID11416123 GSK983 RD-64-KA33 BAID26 0.1UM	4/56	0.04846049762816662	0.9999960224211342	0	0	3.0732901595324593	9.302868658660142	COL4A2;CMTM3;MMP2;SERPINH1
CID132010322 DA-27-BW40 BAID26 0.1UM	8/166	0.05270891115303962	0.9999960224211342	0	0	2.028566187069214	5.970010944141688	CCDC80;CMTM3;TGFB1I1;MMP2;PDPN;SERPINH1;EMP3;AQP1
CID636822 ASARONE BA-26-GI09 BAID43 1UM	5/83	0.053451562187936445	0.9999960224211342	0	0	2.5629154795821463	7.506726681693026	CCDC80;TGFB1I1;SERPINH1;EMP3;AQP1
RD-89-FH52 BAID52 10UM	4/59	0.056766203695981295	0.9999960224211342	0	0	2.9052081388837037	8.334502175961102	TNFRSF12A;TAGLN2;EMP3;CLIC1
CID52912189 AF-30-GH67 BAID27 1UM	18/493	0.062180089831438086	0.9999960224211342	0	0	1.524922666073217	4.235808843192037	CA12;NMB;CMTM3;SLC43A3;TGFB1I1;MMP2;TNC;EMP3;AQP1;SPOCD1;SYDE1;CCDC80;PLAU;PDPN;SERPINH1;PLP2;CLIC1;TMEM45A
CID71458574 HSMG-1INHIBITOR11E IA-76-ZU47 BAID30 0.1UM	9/205	0.06679306558062527	0.9999960224211342	0	0	1.8398784825133372	4.978998217725245	CA12;STEAP3;MAGED4B;COL4A2;COL4A1;MMP2;ANXA5;CHST14;PDIA4
CID78357767 QA-81-IM40 BAID30 0.1UM	4/64	0.07218721973555572	0.9999960224211342	0	0	2.662422997946612	6.998158244878223	FOXD1;CMTM3;SLC43A3;SERPINH1
CID10477021 BA-90-AA10 BAID47 1UM	4/64	0.07218721973555572	0.9999960224211342	0	0	2.662422997946612	6.998158244878223	ANXA2;CMTM3;SERPINH1;VIM
CID44193969 QE-98-XD90 BAID47 1UM	7/150	0.07700448941709757	0.9999960224211342	0	0	1.9586487892273017	5.021763089342692	STEAP3;FOXD1;COL4A2;CMTM3;COL4A1;MMP2;GPX8
CID9961435 TEGLARINAD OB-78-PA58 BAID7 1UM	8/182	0.08050038314561547	0.9999960224211342	0	0	1.8405083172699364	4.637148438366461	FOXD1;CMTM3;MMP2;F2R;PDPN;SERPINH1;NES;PDIA4
CA-48-CT20 BAID36 10UM	8/182	0.08050038314561547	0.9999960224211342	0	0	1.8405083172699364	4.637148438366461	CA12;FOXD1;SRPX2;ANXA2;DYNLT1;TAGLN2;VIM;CLIC1
CID10090485 GALUNISERTIB JD-12-CE09 BAID44 10UM	8/184	0.0844876486363191	0.9999960224211342	0	0	1.8194052324487107	4.496023104232902	CA12;FOXD1;COL4A2;ANXA2;MMP2;TAGLN2;S100A11;AQP1
CID4878 SRCKINASEINHIBITORPP2 BD-01-RI07 BAID12 10UM	7/154	0.08574587664250546	0.9999960224211342	0	0	1.9049586776859504	4.679278165417781	FOXD1;ANXA2;MMP2;NOX4;TAGLN2;NES;AQP1
LB-67-JK40 BAID36 10UM	7/157	0.09265818395527341	0.9999960224211342	0	0	1.8665702479338844	4.4402682320959554	CCDC80;COL4A2;SERPINH1;FN1;GPX8;EMP3;NES
CID89655253 AB-43-XJ34 BAID27 1UM	5/98	0.09360565027359184	0.9999960224211342	0	0	2.1478826496747643	5.0876134493564535	COL4A2;COL4A1;SERPINH1;FN1;PDIA4
