Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID44195094 GB-06-BA49 BAID27 1UM	10/254	0.002338289290808352	0.9999509372891517	0	0	3.095691955775829	18.75474105869471	SPARC;CCDC80;COL4A2;DDIAS;COL4A1;MMP2;ANXA5;NACA2;VIM;AQP1
CID447700 PD-166326 HF-91-IU60 BAID19 1UM	12/427	0.012940269227330438	0.9999509372891517	0	0	2.181890060240964	9.485573250813955	BCL2L12;CCDC80;SPARC;CMTM3;DDIAS;COL4A1;FANCD2;CDK4;MMP2;VIM;NES;AQP1
CID70983932 GSK2830371 LD-98-VO32 BAID10 0.1UM	4/70	0.014487436642093631	0.9999509372891517	0	0	4.514692378328742	19.117344982086554	SPARC;CMTM3;CDK4;VIM
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	3/40	0.01631661454447473	0.9999509372891517	0	0	6.026007139214687	24.80046259672642	CMTM3;COL4A2;COL4A1
AE-56-RB57 BAID36 10UM	3/41	0.017434062574619224	0.9999509372891517	0	0	5.867130089374379	23.757942171911278	SPARC;COL4A2;SLC43A3
CID10316032 SD-208 AA-86-YV75 BAID3 1UM	3/46	0.023648290472750993	0.9999509372891517	0	0	5.183589293549803	19.40976583883669	COL4A2;COL4A1;MMP2
CID54764565 URMC-099 GF-90-DG49 BAID32 10UM	8/261	0.024874320212078995	0.9999509372891517	0	0	2.3689875342049254	8.750848832024626	EIF5AL1;PPP1R14B;SPARC;CCDC80;CMTM3;MMP2;NES;AQP1
VA-48-TW80 BAID27 1UM	3/47	0.025016775489101115	0.9999509372891517	0	0	5.065523156089194	18.68270636960565	SPARC;CMTM3;SLC43A3
CID4595 ONDANSETRON DA-15-PU65 BAID25 0.01UM	3/49	0.027879195628584694	0.9999509372891517	0	0	4.844790812141099	17.343743302802444	COL4A2;MMP2;NES
CB-84-FA85 BAID36 10UM	3/50	0.02937297517043508	0.9999509372891517	0	0	4.741469289441991	16.726387517431146	SPARC;COL4A2;ANXA5
CID3544 N-(2-AMINOETHYL)ISOQUINOLINE-5-SULFONAMIDE BE-45-UU35 BAID8 10UM	3/51	0.030908326771413384	0.9999509372891517	0	0	4.642452830188679	16.140553433977868	SPARC;COL4A2;CMTM3
CID46901383 BPKDI CC-09-YG11 BAID27 1UM	3/51	0.030908326771413384	0.9999509372891517	0	0	4.642452830188679	16.140553433977868	COL4A2;CMTM3;MMP2
CID9961435 TEGLARINAD OB-78-PA58 BAID7 1UM	6/182	0.036253117012749005	0.9999509372891517	0	0	2.5445870922970157	8.44098042343121	SPARC;CMTM3;CDK4;MMP2;VGLL2;NES
CID23649154 TEGOBUVIR BB-82-TP51 BAID21 0.01UM	4/93	0.03644379823707459	0.9999509372891517	0	0	3.344058563159687	11.075468387330828	SPARC;CMTM3;ANXA5;CHST14
CID73777259 OE-34-NH10 BAID30 0.1UM	5/137	0.037397782038453564	0.9999509372891517	0	0	2.8229058647309597	9.276474831497744	SRPX;SPARC;COL4A2;CMTM3;MMP2
CID135564890 EPACADOSTAT BD-33-HT38 BAID16 10UM	3/55	0.03746250612928708	0.9999509372891517	0	0	4.284470246734398	14.07197698608615	SRPX;CMTM3;VIM
CID10209082 RE-97-MC55 BAID11 1UM	3/55	0.03746250612928708	0.9999509372891517	0	0	4.284470246734398	14.07197698608615	CMTM3;ANXA5;VIM
CID122185976 FF-01-OH44 BAID30 0.1UM	6/185	0.038767854950737826	0.9999509372891517	0	0	2.5015565695765276	8.130468747136975	SPARC;COL4A2;CMTM3;SLC43A3;MMP2;ANXA5
CID11416123 GSK983 RD-64-KA33 BAID26 0.1UM	3/56	0.039203337259881316	0.9999509372891517	0	0	4.203417586329655	13.614841826412137	COL4A2;CMTM3;MMP2
CID3672 IBUPROFEN AA-98-MW52 BAID12 10UM	3/56	0.039203337259881316	0.9999509372891517	0	0	4.203417586329655	13.614841826412137	FAM156B;CMTM3;ANXA5
CID11664426 PD-94-WO47 BAID1 0.01UM	3/57	0.04098465630683911	0.9999509372891517	0	0	4.125366876310273	13.178721772279216	SPARC;COL4A2;CENPK
CID2813848 JD-01-RA07 BAID30 0.1UM	3/57	0.04098465630683911	0.9999509372891517	0	0	4.125366876310273	13.178721772279216	SPARC;COL4A2;MMP2
CID24888322 BJB-432 PA-25-OV46 BAID48 10UM	6/188	0.04139115536614153	0.9999509372891517	0	0	2.4599446355171546	7.83415630769816	PPP1R14B;SPARC;CCDC80;CMTM3;CDK4;MMP2
CID46190878 GSK1331268 S0-EE-XYMJ BAID30 0.1UM	4/99	0.04420420190727244	0.9999509372891517	0	0	3.131897926634769	9.768187402270208	SPARC;COL4A2;CMTM3;ANXA5
CID2216 APRACLONIDINE BB-39-YQ35 BAID42 0.1UM	3/59	0.04466776949119837	0.9999509372891517	0	0	3.9776280323450135	12.364468981296435	FKBP10;EME1;MTFR2
CID135496218 CA-00-AR16 BAID7 1UM	3/59	0.04466776949119837	0.9999509372891517	0	0	3.9776280323450135	12.364468981296435	SRPX;VIM;VGLL2
CID25235948 AD-41-WB70 BAID26 0.1UM	3/60	0.046569030040379586	0.9999509372891517	0	0	3.907646474677259	11.984046603800422	SPARC;COL4A2;CMTM3
CID2130404 AGK-2 BC-88-KT45 BAID31 1UM	3/61	0.0485097126590493	0.9999509372891517	0	0	3.840078074170462	11.620042613651318	SPARC;COL4A2;ANXA5
CID132010322 DA-27-BW40 BAID25 0.01UM	5/148	0.049283886062688576	0.9999509372891517	0	0	2.60429684384057	7.839345255110501	PPP1R14B;CMTM3;MMP2;HOXD11;AQP1
CID46173038 JF-55-EN33 BAID12 10UM	7/248	0.05018478372010555	0.9999509372891517	0	0	2.169075213430629	6.489967201128087	BCL2L12;SPARC;CCDC80;COL4A1;MMP2;NES;AQP1
CID443389 SB221284 AC-57-ZF49 BAID27 1UM	4/104	0.05132458491128547	0.9999509372891517	0	0	2.9745454545454546	8.833166764063357	SPARC;COL4A2;CMTM3;ANXA5
CID44193969 QE-98-XD90 BAID47 1UM	5/150	0.051658244690393255	0.9999509372891517	0	0	2.5681132817621606	7.609590512795585	SPARC;COL4A2;CMTM3;COL4A1;MMP2
CID6914273 DANTROLENE BA-74-WG29 BAID12 10UM	5/152	0.05409851524873894	0.9999509372891517	0	0	2.5329143064069735	7.38838068314752	SRPX;SPARC;CMTM3;CDK4;ANXA5
HA-38-ML65 BAID36 10UM	4/106	0.05433823018684629	0.9999509372891517	0	0	2.91592394533571	8.492707934456769	SPARC;COL4A2;CMTM3;NES
ID-69-QF93 BAID51 1UM	4/106	0.05433823018684629	0.9999509372891517	0	0	2.91592394533571	8.492707934456769	SPARC;CCDC80;COL4A2;VIM
CID78357767 QA-81-IM40 BAID30 0.1UM	3/64	0.054565195506643446	0.9999509372891517	0	0	3.650665017012063	10.617444620370891	SPARC;CMTM3;SLC43A3
CID10209082 RE-97-MC55 BAID10 0.1UM	4/107	0.05588031954538573	0.9999509372891517	0	0	2.8874669020300088	8.329022515600382	CMTM3;ANXA5;VIM;SKA3
CID4878 SRCKINASEINHIBITORPP2 BD-01-RI07 BAID12 10UM	5/154	0.05660471345415227	0.9999509372891517	0	0	2.498660269987496	7.175310298528349	SPARC;MMP2;NOX4;NES;AQP1
