Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID44819306 CA-90-RU33 BAID12 10UM	46/300	8.260712596201879E-16	3.221677912518733E-12	0	0	4.767186868631712	165.56368788892473	TOP2A;CDCA2;TROAP;HJURP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;CDC45;PTTG1;PCLAF;PBK;TK1;BUB1;TCF19;GINS2;CDKN2C;RRM2;UBE2C;CKAP2L;PLK1;ESCO2;PIMREG;CDC25C;WDR76;NDC80;CCNA2;MELK;RAD51;KIFC1;FANCD2;CKS2;CDK1;CENPM;BIRC5;KIF20A;SPC24;ASF1B;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	23/74	2.506245590233797E-15	4.8871789009559045E-12	0	0	11.62729285262492	390.9094757383511	TOP2A;RRM2;CKAP2L;UBE2C;TROAP;PLK1;HJURP;CDCA8;ESCO2;PIMREG;TYMS;AURKB;AURKA;CDC20;TUBA1C;PTTG1;KIFC1;PCLAF;BIRC5;CENPM;TK1;KIF20A;PRR11
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	63/551	8.06052495912308E-15	1.0478682446860004E-11	0	0	3.4374272308122205	111.55069313409835	TOP2A;LRR1;HJURP;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;OIP5;TK1;TCF19;GAS2L3;CKAP2L;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;MELK;TMSB15A;KIFC1;FANCD2;CKS2;DEPDC1;BIRC5;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;PCNA;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;CENPU;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;PLK1;NDC80;RAD51;CENPH;CENPI;CDK2;CDK1;CENPM;PLP2;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	49/360	1.1562785080690768E-14	1.1273715453673499E-11	0	0	4.152200198837428	133.2481927895971	TOP2A;LRR1;HJURP;CDC20;TUBA1C;PTTG1;PCLAF;PBK;NUSAP1;TK1;TCF19;CKAP2L;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;TMSB15A;KIFC1;FANCD2;BIRC5;KIF20A;MTFR2;PRR11;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;CDK1;CENPM;SPC24;EZH2;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	51/396	3.0949419885223194E-14	2.414054751047409E-11	0	0	3.899635657031819	121.30371293814055	TOP2A;LRR1;HJURP;CDC20;TUBA1C;CSRP2;PTTG1;NUF2;PBK;PCLAF;NUSAP1;OIP5;TK1;TCF19;CKAP2L;CDC25C;PIMREG;WDR76;CCNA2;MELK;TMSB15A;KIFC1;FANCD2;BIRC5;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;RAD51;CDK1;CENPM;SPC24;EZH2;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	16/44	2.8625271268207605E-12	1.8606426324334943E-9	0	0	14.612897089594826	388.400813372237	TOP2A;RRM2;UBE2C;TROAP;LRR1;HJURP;PIMREG;AURKB;CDC20;CCNB2;PTTG1;PBK;PCLAF;BIRC5;CENPM;KIF20A
CID151345176 AC-45-YY00 BAID36 10UM	22/92	3.785580083468559E-12	2.1091089036467685E-9	0	0	8.084103547459252	212.61048418441456	TOP2A;RRM2;CDKN2C;UBE2C;PLK1;HJURP;CDCA8;PIMREG;CDC25C;CENPA;AURKB;AURKA;CDC20;CCNA2;TUBA1C;PTTG1;KIFC1;BIRC5;CENPM;TK1;KIF20A;PRR11
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	33/217	1.3078205560966226E-11	6.3756252109710346E-9	0	0	4.6544914702049525	116.64190053066822	TOP2A;CDCA2;TROAP;HJURP;CDCA8;CENPA;AURKB;AQP1;CDC20;BCL2L12;TUBA1C;CDC45;PTTG1;PCLAF;TK1;EIF5AL1;TCF19;GINS2;CDKN2C;RRM2;UBE2C;PLK1;WDR76;DEPDC1B;MELK;CENPH;CENPM;BIRC5;TAGLN2;KIF20A;PLP2;ASF1B;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	56/550	2.9045275714704485E-11	1.258628614303861E-8	0	0	2.98770620156363	72.48822164608445	TOP2A;LRR1;RPLP0;HJURP;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;OIP5;TK1;TCF19;EIF5AL1;ANXA2;CKAP2L;ESCO2;PIMREG;WDR76;CCNA2;MELK;KIFC1;FANCD2;CKS2;BIRC5;TAGLN2;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;GNG5;EIF4EBP1;CENPU;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;PLK1;RAD51;CENPH;CDK1;CENPM;SPC25
CID71678945 NA-16-OJ70 BAID32 10UM	40/328	1.0572192321686174E-10	4.123155005457608E-8	0	0	3.619325997248968	83.13667399784615	TOP2A;CDCA2;LRR1;TROAP;HJURP;CDCA8;TYMS;CENPA;AURKB;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;CDC45;EME1;ORC1;PCLAF;OIP5;TK1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;ESCO2;PIMREG;WDR76;NDC80;MELK;TMSB15A;KIFC1;FANCD2;CKS2;CENPM;BIRC5;TAGLN2;KIF20A;PRR11;ASF1B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	56/579	2.09554568207675E-10	7.42966196372666E-8	0	0	2.817672574915356	62.794755094208845	TOP2A;LRR1;HJURP;AQP1;CDC20;TUBA1C;CSRP2;EME1;PTTG1;MDK;PBK;PCLAF;OIP5;TK1;TCF19;CKAP2L;ACTL6A;GPX8;ESCO2;CDC25C;PIMREG;WDR76;CCNA2;NEIL3;MELK;TMSB15A;KIFC1;FANCD2;CKS2;BIRC5;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;CENPA;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;RAD51;CENPH;CENPM;PLP2;SPC25
