Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	28/525	1.027648303858625E-12	3.421041203545363E-9	0	0	6.107611963918342	168.59298229296283	STEAP3;SPARC;SLC43A3;ADAMTS12;HOXC11;SYDE1;MDK;SERPINH1;IGF2BP2;HOXC9;CLIC1;S100A11;APOBEC3C;ANXA1;ANXA2;CMTM3;GDF15;F2R;GPX8;EMP3;COL4A2;COL8A1;TAGLN2;S100A4;PLP2;TGFBI;HOXB7;TMEM45A
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	28/664	2.5303993400093607E-10	4.211849701445581E-7	0	0	4.738393046427814	104.70651618690698	STEAP3;SPARC;TGFB1I1;HOXC11;SYDE1;MDK;SERPINH1;HOXC9;CLIC1;APOBEC3C;CA12;ANXA1;CMTM3;GDF15;F2R;GPX8;EMP3;TMEM37;MMP14;SMO;HOXB3;COL8A1;S100A4;PLP2;TGFBI;HOXB7;NES;TMEM45A
CID52912189 AF-30-GH67 BAID27 1UM	22/493	8.818997917818513E-9	9.786148022805944E-6	0	0	4.905220160620327	90.97396714742871	APOBEC3C;CA12;CMTM3;SLC43A3;GDF15;TGFB1I1;TNC;EMP3;HOXC11;SPOCD1;TMEM37;SYDE1;PLAU;MDK;PDPN;SERPINH1;COL8A1;PLP2;TGFBI;HOXC9;CLIC1;TMEM45A
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	26/698	1.5206935475116014E-8	1.1681778276604982E-5	0	0	4.110218253968254	73.99015239502957	STEAP3;SPARC;TGFB1I1;HOXC11;SYDE1;PLAU;MDK;PDPN;SERPINH1;CLIC1;APOBEC3C;ANXA1;CMTM3;GDF15;F2R;GPX8;EMP3;SPOCD1;COL4A2;LOX;COL8A1;S100A4;PLP2;TGFBI;NES;TMEM45A
DE-20-VX20 BAID36 10UM	17/303	1.7545476534402197E-8	1.1681778276604982E-5	0	0	6.135272135272135	109.56657133013441	SPARC;ANXA1;ANXA2;CMTM3;ANXA5;ADAMTS12;TUBA1C;CSRP2;COL4A2;HOXB3;TAGLN2;VIM;PLP2;TGFBI;CLIC1;NES;HOXC6
CID86294693 NVS-BET-1 CB-55-AK76 BAID24 10UM	25/663	2.3222504938095156E-8	1.288461982315313E-5	0	0	4.147110272086458	72.89850149694993	SPARC;TGFB1I1;HOXC11;SYDE1;PLAU;MDK;SERPINH1;HOXC9;CLIC1;S100A11;HOXC6;APOBEC3C;CMTM3;GDF15;GPX8;EMP3;TMEM37;MMP14;COL4A2;S100A4;PLP2;TGFBI;HOXB7;NES;TMEM45A
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	14/260	5.463377474471983E-7	2.5982262303596044E-4	0	0	5.7942073170731705	83.55263445808652	APOBEC3C;CA12;SPARC;TGFB1I1;EMP3;HOXC11;TMEM37;PLAU;SERPINH1;HOXB3;COL8A1;PLP2;TGFBI;NKX2-5
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	16/355	9.045200422399886E-7	3.763934025771153E-4	0	0	4.832789939450396	67.2524348470189	APOBEC3C;TGFB1I1;F2R;GPX8;HOXC11;TMEM37;MMP14;MDK;SERPINH1;HOXB3;COL8A1;S100A4;TGFBI;HOXB7;HOXC6;TMEM45A
CID71600087 MIVEBRESIB KB-78-BE93 BAID39 1UM	25/823	1.3498898748010616E-6	4.99309265912526E-4	0	0	3.287915922402692	44.43778669187119	STEAP3;SPARC;SLC43A3;TGFB1I1;HOXC11;SYDE1;PLAU;MDK;SERPINH1;HOXC6;CA12;CMTM3;GDF15;F2R;FN1;GPX8;EMP3;MMP14;COL4A2;LOX;HOXB3;PLP2;TGFBI;NES;TMEM45A
CID72943187 BROMOSPORINE RA-86-LI22 BAID16 10UM	18/464	1.6098729642362218E-6	5.359267097942382E-4	0	0	4.153515885888751	55.40522408908682	CA12;SPARC;CMTM3;SLC43A3;GDF15;TGFB1I1;F2R;FN1;EMP3;HOXC11;COL4A2;MDK;SERPINH1;S100A4;PLP2;TGFBI;CLIC1;TMEM45A
CID71291068 CPI-203 AE-32-DP61 BAID28 10UM	25/851	2.4534327720749005E-6	7.424979725670312E-4	0	0	3.17177905903442	40.97311287732333	SPARC;SLC43A3;TGFB1I1;TNC;HOXC11;SYDE1;PLAU;MDK;SERPINH1;CLIC1;APOBEC3C;CA12;CMTM3;GDF15;F2R;GPX8;EMP3;TMEM37;COL4A2;HOXB3;COL8A1;PLP2;TGFBI;NES;TMEM45A
CID132010322 DA-27-BW40 BAID27 1UM	18/490	3.458994979658769E-6	9.595828572736702E-4	0	0	3.919446447890371	49.28520666024858	STEAP3;SPARC;CMTM3;SLC43A3;GDF15;TGFB1I1;TNC;EMP3;HOXC11;PLAU;MDK;SERPINH1;COL8A1;PLP2;TGFBI;HOXC9;PITX1;HOXC6
