Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CB-59-ZX97 BAID28 10UM	6/94	0.008011315332910416	0.9999933462179609	0	0	3.6604645354645355	17.668697437704903	SPARC;ANXA2;F2R;PDPN;FN1;CLIC1
DE-20-VX20 BAID36 10UM	12/303	0.01117739718124361	0.9999933462179609	0	0	2.2276104359845648	10.010573106345925	TUBA1C;SPARC;ANXA1;ANXA2;COL4A2;CMTM3;ANXA5;TAGLN2;PLP2;VIM;CLIC1;NES
CID132471728 LA-44-KW22 BAID44 10UM	4/48	0.011821541785627613	0.9999933462179609	0	0	4.864878291107799	21.589511762407128	NNMT;CMTM3;ANXA2;IGFBP7
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	17/525	0.018831167481577555	0.9999933462179609	0	0	1.8127746425464522	7.200779457614817	APOBEC3C;STEAP3;SPARC;ANXA1;ANXA2;CMTM3;F2R;EMP3;SYDE1;COL4A2;TAGLN2;S100A4;PLP2;IGF2BP2;CLIC1;S100A11;MDFI
LD-30-MF71 BAID47 1UM	4/56	0.019900980628646356	0.9999933462179609	0	0	4.114754098360656	16.117435310356374	ANXA1;NNMT;ANXA2;VIM
CID44195094 GB-06-BA49 BAID27 1UM	10/254	0.02032476152275677	0.9999933462179609	0	0	2.206967213114754	8.598157457560523	STEAP3;SPARC;ANXA2;COL4A2;COL4A1;ANXA5;TAGLN2;IGFBP7;VIM;S100A11
RD-89-FH52 BAID52 10UM	4/59	0.023628081961118257	0.9999933462179609	0	0	3.889716840536513	14.568231790618796	TNFRSF12A;TAGLN2;EMP3;CLIC1
FE-25-GD89 BAID36 10UM	4/63	0.02921485482927595	0.9999933462179609	0	0	3.625266277669723	12.808348428398498	SPARC;COL4A2;UHRF1;HOXA4
BD-11-DV28 BAID32 10UM	7/161	0.0304661483076909	0.9999933462179609	0	0	2.4387678437265214	8.514077783118037	TMEM37;STEAP3;SPARC;ANXA2;F2R;S100A4;VIM
BD-11-DV28 BAID48 10UM	7/163	0.0322672166422823	0.9999933462179609	0	0	2.4072543617998163	8.265797796865268	TMEM37;SPARC;ANXA2;F2R;S100A4;VIM;NES
CID138510 2-NITROBENZENESULFONAMIDE ND-54-FY31 BAID52 10UM	6/129	0.032934586128521674	0.9999933462179609	0	0	2.614178504422407	8.922797524447482	STEAP3;SPARC;ANXA1;COL4A2;CMTM3;E2F8
BD-11-DV28 BAID9 10UM	10/278	0.034799323900957954	0.9999933462179609	0	0	2.0068407960199006	6.739287110280098	TMEM37;STEAP3;SPARC;ANXA2;CMTM3;F2R;S100A4;VIM;NES;S100A11
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	3/40	0.03748225297347789	0.9999933462179609	0	0	4.328669268723765	14.214863821161417	CMTM3;COL4A2;COL4A1
CID126599606 CAPZIMIN AC-86-KF37 BAID16 10UM	11/324	0.039527957403445294	0.9999933462179609	0	0	1.891008926108199	6.109371556953755	EIF5AL1;TMEM37;STEAP3;SPARC;ANXA2;F2R;TAGLN2;S100A4;IGFBP7;AJUBA;NES
CID11238078 FA-16-KA99 BAID45 0.01UM	3/41	0.03990420354456805	0.9999933462179609	0	0	4.214541804101534	13.576192286067613	TUBA1C;CMTM3;VIM
CID151166 LUMIRACOXIB GA-04-SF76 BAID10 0.1UM	4/70	0.040726803355397787	0.9999933462179609	0	0	3.2396092068223217	10.369564177461491	TUBA1C;ANXA5;ACTL6A;VIM
CID301929 LL-Z1271ALPHA YA-92-YO01 BAID3 1UM	7/174	0.04344537026864793	0.9999933462179609	0	0	2.2474225103511984	7.048481064111635	MRC2;TMEM37;SPARC;COL4A2;ANXA2;S100A4;MMP9
XB-53-OZ95 BAID51 1UM	7/174	0.04344537026864793	0.9999933462179609	0	0	2.2474225103511984	7.048481064111635	SPARC;COL4A2;ANXA2;FN1;TAGLN2;NES;S100A11
CID988563 GD-71-OU80 BAID12 10UM	5/106	0.0470887279108358	0.9999933462179609	0	0	2.648718296487183	8.093745787941044	TUBA1C;COL4A2;ANXA2;CMTM3;ANXA5
CID294677 13H-BENZO[G]INDENO[1,2-B]QUINOXALIN-13-ONE IE-28-SY71 BAID49 0.01UM	5/108	0.050306424455300876	0.9999933462179609	0	0	2.597020880436228	7.7641120240434445	TUBA1C;CMTM3;ANXA5;FN1;VIM
CID97297 5-IODOTUBERCIDIN BD-69-GX17 BAID30 0.1UM	3/45	0.050358823953013776	0.9999933462179609	0	0	3.812378357337485	11.393603135721865	TGIF1;CMTM3;COL4A1
CID71478195 SR9238 AF-16-GB72 BAID8 10UM	3/45	0.050358823953013776	0.9999933462179609	0	0	3.812378357337485	11.393603135721865	CMTM3;COL4A2;LOXL2
CA-48-CT20 BAID36 10UM	7/182	0.052976328071258336	0.9999933462179609	0	0	2.143801652892562	6.2982965399384945	TUBA1C;SRPX2;ANXA2;DYNLT1;TAGLN2;VIM;CLIC1
CID10316032 SD-208 AA-86-YV75 BAID3 1UM	3/46	0.0531603974086853	0.9999933462179609	0	0	3.723528293517521	10.926476209543868	ANXA2;COL4A2;COL4A1
CID147525 TAZAROTENICACID IF-03-OL58 BAID12 10UM	5/110	0.053650222953265124	0.9999933462179609	0	0	2.5472928897586433	7.451518590808105	SPARC;CMTM3;F2R;ANXA5;IGFBP7
CID4877 IC-91-IX22 BAID27 1UM	5/110	0.053650222953265124	0.9999933462179609	0	0	2.5472928897586433	7.451518590808105	TGIF1;COL4A2;CMTM3;COL4A1;TAGLN2
CID60182393 S0-EE-Y97N BAID27 1UM	5/111	0.05536944049692599	0.9999933462179609	0	0	2.5231325924011374	7.30125805019956	COL4A2;COL4A1;TAGLN2;CD44;LOXL2
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID16 10UM	6/147	0.055891730135169966	0.9999933462179609	0	0	2.278349310264204	6.571531429698565	TMEM37;SPARC;ANXA2;F2R;S100A4;VIM
CID345501 DEOXYPODOPHYLLOTOXIN CB-02-XL81 BAID48 10UM	4/78	0.05661080903109633	0.9999933462179609	0	0	2.888199675084921	8.293625199182204	TUBA1C;TMEM37;F2R;CHST14
CID44193969 QE-98-XD90 BAID47 1UM	6/150	0.060463689596447975	0.9999933462179609	0	0	2.230540293040293	6.258254260169193	STEAP3;MMP14;SPARC;COL4A2;CMTM3;COL4A1
CID9819408 FA-88-II68 BAID50 0.1UM	5/114	0.06071624836995409	0.9999933462179609	0	0	2.453311549578987	6.873060088811901	TMEM37;STEAP3;GNG5;CLIC1;S100A11
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	19/698	0.061208743866311574	0.9999933462179609	0	0	1.5108064901879334	4.22038539361067	APOBEC3C;STEAP3;SPARC;ANXA1;CMTM3;TGFB1I1;F2R;EMP3;ABCA13;SPOCD1;SYDE1;COL4A2;PLAU;PDPN;S100A4;PLP2;CLIC1;NES;MDFI
CID4595 ONDANSETRON DA-15-PU65 BAID25 0.01UM	3/49	0.06200222059767598	0.9999933462179609	0	0	3.4801563795758796	9.676870899849607	COL4A2;UHRF1;NES
CID44422459 EB-66-IH06 BAID37 0.01UM	3/49	0.06200222059767598	0.9999933462179609	0	0	3.4801563795758796	9.676870899849607	ABCC3;SPARC;S100A4
CID3021729 OA-86-XP09 BAID17 0.01UM	4/81	0.06331007164888945	0.9999933462179609	0	0	2.775246611312185	7.658878192189162	SPARC;CMTM3;ANXA5;FN1
CB-84-FA85 BAID36 10UM	3/50	0.06509197298356807	0.9999933462179609	0	0	3.405936576033393	9.304862189674552	SPARC;COL4A2;ANXA5
CID54680452 BA-39-LQ60 BAID48 10UM	4/83	0.06799730819137864	0.9999933462179609	0	0	2.7047105208549493	7.271038564759554	TNFRSF12A;TAGLN2;PLP2;CLIC1
CID3544 N-(2-AMINOETHYL)ISOQUINOLINE-5-SULFONAMIDE BE-45-UU35 BAID8 10UM	3/51	0.06825125796298555	0.9999933462179609	0	0	3.334809264305177	8.952493602366763	SPARC;COL4A2;CMTM3
CID5381 TAZAROTENE IA-14-WP20 BAID11 1UM	3/51	0.06825125796298555	0.9999933462179609	0	0	3.334809264305177	8.952493602366763	STEAP3;NNMT;VIM
CID11589523 DB-34-KT45 BAID39 1UM	5/118	0.06828532482296497	0.9999933462179609	0	0	2.3659837556067402	6.350443303081572	SPARC;ANXA2;F2R;ANXA5;NES
EA-17-BY69 BAID36 10UM	11/357	0.06917855983404515	0.9999933462179609	0	0	1.7077302075450431	4.561457180054243	TMEM37;STEAP3;WEE1;SPARC;NNMT;ANXA2;COL4A2;F2R;TAGLN2;HOXA4;LOXL2
CID9941444 PASIREOTIDE AE-90-RS19 BAID8 10UM	3/52	0.07147900021399656	0.9999933462179609	0	0	3.2665851081577046	8.618399967338501	EIF5AL1;TAGLN2;AJUBA
BD-11-DV28 BAID35 10UM	9/279	0.07582795900944105	0.9999933462179609	0	0	1.7876269621421976	4.610805132987258	TMEM37;STEAP3;SPARC;ANXA2;CMTM3;F2R;S100A4;VIM;S100A11
CID10209082 RE-97-MC55 BAID11 1UM	3/55	0.08156176898849343	0.9999933462179609	0	0	3.077656675749319	7.713822208472003	CMTM3;ANXA5;VIM
CID71458574 HSMG-1INHIBITOR11E IA-76-ZU47 BAID30 0.1UM	7/205	0.08720852672889785	0.9999933462179609	0	0	1.892534156996967	4.616748447217972	STEAP3;SPARC;COL4A2;COL4A1;ANXA5;CHST14;LOXL2
CID121271792 BB-10-PR06 BAID12 10UM	9/288	0.08815329838441434	0.9999933462179609	0	0	1.7291573585917255	4.199566354040811	TMEM37;SPARC;ANXA1;COL4A2;TGFB1I1;F2R;S100A4;CLIC1;NES
CID183782 RS67333 JB-60-JM38 BAID20 10UM	3/57	0.08860490525911599	0.9999933462179609	0	0	2.9633666363911595	7.181920726486802	ABCC3;S100A4;VIM
CID4877 IC-91-IX22 BAID28 10UM	5/129	0.09165120824702422	0.9999933462179609	0	0	2.1548828988068935	5.149663992506506	ABCC3;COL4A2;COL4A1;ANXA5;TAGLN2
