Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	3/40	0.1794902405867897	0.999996033888728	0	0	2.13891669447225	3.673876984110702	FOXD1;COL4A2;COL4A1
AE-56-RB57 BAID36 10UM	3/41	0.18876643769092613	0.999996033888728	0	0	2.0825211176088367	3.4720725199270226	SPARC;COL4A2;SLC43A3
CID10316032 SD-208 AA-86-YV75 BAID3 1UM	3/46	0.2367411536897964	0.999996033888728	0	0	1.839888984591827	2.650889810689819	COL4A2;COL4A1;MMP2
ND-36-VC68 BAID48 10UM	3/49	0.26645502595857923	0.999996033888728	0	0	1.7196278404007872	2.274293469717851	FKBP10;CDKN2C;CHST14
CID296003 2-(FURAN-2-YL)-4H-3,1-BENZOXAZIN-4-ONE BD-99-DU20 BAID8 10UM	3/49	0.26645502595857923	0.999996033888728	0	0	1.7196278404007872	2.274293469717851	IKBIP;FAM156B;EDA2R
CB-84-FA85 BAID36 10UM	3/50	0.2764600387854532	0.999996033888728	0	0	1.6829524560021014	2.1637534495227713	SPARC;COL4A2;ANXA5
CID46872626 A-971432 XC-61-SE50 BAID43 1UM	4/77	0.3112278865546741	0.999996033888728	0	0	1.4447538762607255	1.6863598949769865	C6ORF15;SPARC;MAGED4B;ANXA5
CID2813848 JD-01-RA07 BAID30 0.1UM	3/57	0.347067910531528	0.999996033888728	0	0	1.4642584971803079	1.5495293134328307	SPARC;COL4A2;MMP2
CID67347910 SC-25-HE80 BAID26 0.1UM	3/58	0.3571484728541953	0.999996033888728	0	0	1.4375607931163488	1.480117901954604	TMEM37;MMP2;ID3
CID121271792 BB-10-PR06 BAID12 10UM	12/288	0.36461987980746796	0.999996033888728	0	0	1.1468599033816425	1.1570668340883263	TMEM37;C6ORF15;SPARC;FOXD1;ANXA1;COL4A2;TGFB1I1;MMP2;F2R;ID3;CLIC1;EDA2R
CID25225521 ZC-74-FT18 BAID12 10UM	3/59	0.36720738922925455	0.999996033888728	0	0	1.411816578483245	1.4143980812355685	C6ORF15;SPARC;MMP2
CID166456595 MA-64-FB16 BAID36 10UM	2/36	0.3815647293373973	0.999996033888728	0	0	1.5498791297340855	1.4932694412114778	SPARC;MMP2
CID2130404 AGK-2 BC-88-KT45 BAID31 1UM	3/61	0.3872363602790336	0.999996033888728	0	0	1.3629913438342558	1.2930971781297567	SPARC;COL4A2;ANXA5
CID12000799 VERPROSIDE RB-55-WB28 BAID2 0.1UM	3/63	0.4071095128402018	0.999996033888728	0	0	1.3174211248285321	1.1839308688364318	TMEM37;CDKN2C;MMP2
CID78357767 QA-81-IM40 BAID30 0.1UM	3/64	0.4169745913269803	0.999996033888728	0	0	1.295756594481549	1.1334371543707416	SPARC;FOXD1;SLC43A3
CID44195094 GB-06-BA49 BAID26 0.1UM	3/65	0.4267855249711643	0.999996033888728	0	0	1.2747909199522103	1.0854509099527494	C6ORF15;COL4A2;MMP2
CB-59-ZX97 BAID28 10UM	4/94	0.45244253042492166	0.999996033888728	0	0	1.1708180708180709	0.9285694058273966	SRPX;SPARC;F2R;CLIC1
CID18191179 MK6-83 EC-37-MB09 BAID12 10UM	5/122	0.4631787453061178	0.999996033888728	0	0	1.1257480102046815	0.866423220723413	TMEM37;SPARC;MAGED4B;MMP2;NOX4
CID44193969 QE-98-XD90 BAID47 1UM	6/150	0.47122622574736406	0.999996033888728	0	0	1.0975665748393022	0.8258277394816557	C6ORF15;SPARC;FOXD1;COL4A2;COL4A1;MMP2
AE-80-WH32 BAID36 10UM	2/44	0.48228950722466435	0.999996033888728	0	0	1.2541422048271362	0.9145339249220544	SPARC;COL4A2
CID40009526 S0-EE-Y96T BAID23 1UM	2/44	0.48228950722466435	0.999996033888728	0	0	1.2541422048271362	0.9145339249220544	C6ORF15;MMP2
HB-92-PE54 BAID50 0.1UM	3/71	0.4842747377302679	0.999996033888728	0	0	1.1619462599854757	0.8425305950600364	FAM156B;SEC61G;CLIC1
CID11249248 GD-96-AK08 BAID39 1UM	3/72	0.49359168432489087	0.999996033888728	0	0	1.1450468181547087	0.8084564740871041	COL4A2;COL4A1;ID3
CID86298861 FDL169 QF-41-QW99 BAID19 1UM	2/45	0.49416499408857945	0.999996033888728	0	0	1.224912392481682	0.8634233779515155	COL4A1;ANXA5
CID59568656 UD-49-HQ53 BAID41 0.01UM	2/45	0.49416499408857945	0.999996033888728	0	0	1.224912392481682	0.8634233779515155	CYTL1;CHST14
CID4076092 HF-57-QB74 BAID38 0.1UM	2/45	0.49416499408857945	0.999996033888728	0	0	1.224912392481682	0.8634233779515155	MAGED4B;MMP2
CID10316032 SD-208 AA-86-YV75 BAID4 10UM	8/209	0.4993543896942237	0.999996033888728	0	0	1.0481844919051153	0.7279004372373965	IKBIP;C6ORF15;SPARC;FOXD1;COL4A2;COL4A1;MMP2;CYTL1
CID5113032 EC-17-MF19 BAID30 0.1UM	3/73	0.502824261566771	0.999996033888728	0	0	1.1286302175191063	0.7759496966930082	SPARC;COL4A2;ANXA5
BE-48-IT75 BAID36 10UM	2/46	0.5058660719590041	0.999996033888728	0	0	1.197011207970112	0.8157431776525813	SPARC;CHST14
CID119584 MOSAPRIDE BB-45-NH69 BAID1 0.01UM	2/46	0.5058660719590041	0.999996033888728	0	0	1.197011207970112	0.8157431776525813	SPARC;COL4A2
CID90478321 BA-66-BL56 BAID29 0.01UM	2/46	0.5058660719590041	0.999996033888728	0	0	1.197011207970112	0.8157431776525813	SRPX;COL4A1
CID2736690 HF-01-QN73 BAID1 0.01UM	2/46	0.5058660719590041	0.999996033888728	0	0	1.197011207970112	0.8157431776525813	SPARC;ANXA5
CID90016622 US9592235,EXAMPLE314 IC-27-TE11 BAID4 10UM	3/74	0.5119696366515739	0.999996033888728	0	0	1.1126760563380282	0.7449254474671443	SPARC;FOXD1;CYTL1
CID4877 IC-91-IX22 BAID28 10UM	5/129	0.5122378534364176	0.999996033888728	0	0	1.061809468873408	0.7103146501065182	ABCC3;FOXD1;COL4A2;COL4A1;ANXA5
VA-48-TW80 BAID27 1UM	2/47	0.5173895868775471	0.999996033888728	0	0	1.1703500761035008	0.7712128741445807	SPARC;SLC43A3
CID127042122 HC-04-ZM18 BAID44 10UM	2/47	0.5173895868775471	0.999996033888728	0	0	1.1703500761035008	0.7712128741445807	TMEM37;ANXA1
