Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DE-20-VX20 BAID36 10UM	13/303	1.9270723868900788E-5	0.033346340819418015	0	0	4.460116115411682	48.423139518291144	ANXA1;FOXD1;CMTM3;ANXA5;AQP1;TUBA1C;C6ORF15;CSRP2;HOXB3;TAGLN2;VIM;NES;HOXC6
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	20/664	2.295946543995655E-5	0.033346340819418015	0	0	3.146176344934109	33.60676440416142	PPP1R14B;ANXA1;CMTM3;TGFB1I1;GPX8;EMP3;HOXC13;HOXC11;AQP1;SYDE1;C6ORF15;CCDC80;SMO;MDK;HOXB3;ID3;HOXA7;HOXB7;NES;HOXB5
SF-67-CJ22 BAID36 10UM	16/465	3.262851352193544E-5	0.033346340819418015	0	0	3.5712290986302317	36.89195368122416	EIF5AL1;TGIF1;PPP1R14B;CDKN2C;NNMT;CMTM3;TGFB1I1;GPX8;EMP3;HOXC11;SYDE1;CCDC80;TAGLN2;MTFR2;AJUBA;HOXC6
CID118695109 BROMODOMAININHIBITOR-9 BC-34-IH52 BAID44 10UM	8/133	7.974120958924399E-5	0.04994691773295944	0	0	6.2618109452736315	59.09098192478588	PPP1R14B;CCDC80;PLAU;TGFB1I1;ID3;HOXC13;EMP3;AQP1
CID71291068 CPI-203 AE-32-DP61 BAID28 10UM	22/851	8.783657592109666E-5	0.04994691773295944	0	0	2.6909813382530334	25.13385332254583	PPP1R14B;CMTM3;SLC43A3;TGFB1I1;TROAP;GPX8;EMP3;HOXD11;ABCA13;HOXC11;HOXC10;AQP1;FAM156B;SYDE1;C6ORF15;CCDC80;PLAU;MDK;HOXB3;ID3;HOXA7;NES
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	13/355	9.774347892947052E-5	0.04994691773295944	0	0	3.7718850698174005	34.82643371428567	TGFB1I1;GPX8;HOXC11;HOXC10;AQP1;ZNF90;CCDC80;MDK;HOXB3;ID3;HOXA7;HOXB7;HOXC6
CID132010322 DA-27-BW40 BAID26 0.1UM	8/166	3.659247333844189E-4	0.1602750332223755	0	0	4.9456514893885	39.13535019147203	CCDC80;CMTM3;TGFB1I1;PDPN;ID3;EMP3;HOXC11;AQP1
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	15/525	4.3396930634915663E-4	0.1663187366583143	0	0	2.923135233474833	22.632481967658673	PPP1R14B;ANXA1;CMTM3;SLC43A3;GPX8;EMP3;HOXC11;AQP1;SYDE1;C6ORF15;CCDC80;MDK;ID3;TAGLN2;HOXB7
CID86294693 NVS-BET-1 CB-55-AK76 BAID24 10UM	17/663	6.245244120606796E-4	0.21275464970867153	0	0	2.624040570175439	19.361536191524834	PPP1R14B;CMTM3;TGFB1I1;TROAP;GPX8;EMP3;HOXC11;AQP1;SYDE1;C6ORF15;CCDC80;PLAU;MDK;ID3;HOXB7;NES;HOXC6
CID52912189 AF-30-GH67 BAID27 1UM	14/493	7.134231613004698E-4	0.21873554125472405	0	0	2.894577378084685	20.972474617454143	NMB;CMTM3;SLC43A3;TGFB1I1;EMP3;HOXC11;AQP1;SYDE1;C6ORF15;CCDC80;PLAU;MDK;PDPN;ID3
CID71600087 MIVEBRESIB KB-78-BE93 BAID38 0.1UM	19/808	8.559358977360212E-4	0.22552072465175535	0	0	2.408365019011407	17.01104093392551	NMB;PPP1R14B;CDKN2C;CMTM3;TGFB1I1;GPX8;EMP3;HOXC11;HOXC10;AQP1;FAM156B;SYDE1;CCDC80;MDK;HOXB3;ID3;HOXA7;NES;HOXC6
