Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	27/525	7.697574734714729E-5	0.23294123815893847	0	0	2.4127772773336336	22.853875001012828	STEAP3;SPARC;SLC43A3;NRM;ADAMTS12;HOXC11;SYDE1;MDK;SERPINH1;IGF2BP2;CLIC1;S100A11;APOBEC3C;ANXA2;CMTM3;GDF15;F2R;GPX8;EMP3;COL8A1;S100A4;TAGLN2;PLP2;TGFBI;HOXB7;MDFI;TMEM45A
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	31/664	1.3662242707269118E-4	0.23294123815893847	0	0	2.1843870160064385	19.437307925449943	STEAP3;SPARC;TGFB1I1;NRM;HOXC13;HOXC11;HOXA10;SYDE1;MDK;SERPINH1;HOXA7;CLIC1;APOBEC3C;CA12;CMTM3;GDF15;F2R;GPX8;EMP3;MMP14;SMO;HOXB3;COL8A1;S100A4;PLP2;TGFBI;HOXB7;NES;MDFI;HOXB5;TMEM45A
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	19/355	5.384684504828726E-4	0.590000765338364	0	0	2.4913376474442988	18.75175449087972	APOBEC3C;TGFB1I1;F2R;NRM;GPX8;HOXC11;HOXC10;HOXA10;MMP14;MDK;SERPINH1;COL8A1;HOXB3;S100A4;TGFBI;HOXA7;HOXB7;HOXC6;TMEM45A
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	30/698	6.920830091945619E-4	0.590000765338364	0	0	1.9947516731243395	14.51342350700649	STEAP3;SPARC;TGFB1I1;NRM;ABCA13;HOXC11;SYDE1;MDK;PLAU;PDPN;SERPINH1;EIF4EBP1;CLIC1;CD99;APOBEC3C;CMTM3;GDF15;F2R;GPX8;GPX7;EMP3;SPOCD1;LOX;COL8A1;S100A4;PLP2;TGFBI;NES;MDFI;TMEM45A
CID52912189 AF-30-GH67 BAID27 1UM	22/493	0.002200655674004062	0.999990812962114	0	0	2.0575749106367955	12.590300732886496	APOBEC3C;CA12;CMTM3;SLC43A3;GDF15;TGFB1I1;NRM;EMP3;HOXC11;SPOCD1;SYDE1;MDK;PLAU;PDPN;SERPINH1;EIF4EBP1;COL8A1;PLP2;TGFBI;CLIC1;CD99;TMEM45A
TB-06-VB30 BAID23 1UM	23/527	0.0023374434935143624	0.999990812962114	0	0	2.011422508818342	12.186600467272513	APOBEC3C;SPARC;GDF15;TGFB1I1;F2R;GPX8;NRM;EMP3;HOXD11;HOXC11;HOXC10;HOXA10;MDK;PDPN;SERPINH1;COL8A1;S100A4;PLP2;TGFBI;NES;CD99;HOXA4;TMEM45A
DE-20-VX20 BAID36 10UM	15/303	0.004185542653137015	0.999990812962114	0	0	2.2794744318181817	12.482673057410544	SPARC;FOXD1;ANXA2;CMTM3;ANXA5;ADAMTS12;TUBA1C;HOXB3;TAGLN2;PLP2;TGFBI;VIM;CLIC1;NES;HOXC6
CB-59-ZX97 BAID28 10UM	7/94	0.0056383442497392276	0.999990812962114	0	0	3.4946120689655173	18.09567730761471	SPARC;ANXA2;F2R;PDPN;NRM;FN1;CLIC1
CID51039095 AZD-4547 BD-81-LB65 BAID39 1UM	5/52	0.006437395678128421	0.999990812962114	0	0	4.609456264775414	23.257616429690056	FOXD1;CMTM3;SLC43A3;EIF4EBP1;ADAMTS12
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	13/260	0.00682845362195714	0.999990812962114	0	0	2.2979280781138365	11.45897922975663	APOBEC3C;CA12;SPARC;TGFB1I1;EMP3;HOXC11;PLAU;SERPINH1;COL8A1;HOXB3;PLP2;TGFBI;NKX2-5
CID71291068 CPI-203 AE-32-DP61 BAID28 10UM	31/851	0.006985056124488549	0.999990812962114	0	0	1.669566843074091	8.287700176384693	SPARC;SLC43A3;TGFB1I1;NRM;HOXD11;ABCA13;HOXC11;HOXC10;HOXA10;SYDE1;MDK;PLAU;SERPINH1;EIF4EBP1;HOXA7;CLIC1;APOBEC3C;CA12;CMTM3;GDF15;F2R;GPX8;EMP3;CHI3L2;HOXB3;COL8A1;PLP2;TGFBI;NES;MDFI;TMEM45A
CID118693659 AZD-5153 HE-16-PO98 BAID14 0.1UM	12/235	0.0078106923237662934	0.999990812962114	0	0	2.347062932107826	11.388563510173991	HOXA10;GDF15;TGFB1I1;F2R;SERPINH1;GPX8;COL8A1;EMP3;PLP2;TGFBI;HOXC11;TMEM45A
LB-67-JK40 BAID36 10UM	9/157	0.009919670446859296	0.999990812962114	0	0	2.6447248818325053	12.200738922382385	HOXA10;SPARC;SERPINH1;FN1;GPX8;COL8A1;TGFBI;EMP3;NES
CID78357767 QA-81-IM40 BAID30 0.1UM	5/64	0.015149588139606601	0.999990812962114	0	0	3.6696798493408664	15.375158332298515	SPARC;FOXD1;CMTM3;SLC43A3;SERPINH1
CID59568656 UD-49-HQ53 BAID41 0.01UM	4/45	0.01889182996134629	0.999990812962114	0	0	4.219133632578011	16.745849935685	GNG5;CYTL1;CHST14;PDIA4
CID86294693 NVS-BET-1 CB-55-AK76 BAID22 0.1UM	16/399	0.02104214949739304	0.999990812962114	0	0	1.823465388344029	7.040815129293881	APOBEC3C;STEAP3;SPARC;GDF15;TGFB1I1;FN1;EMP3;HOXC11;MDK;SERPINH1;PLP2;TGFBI;CLIC1;MDFI;HOXC6;TMEM45A
VA-48-TW80 BAID27 1UM	4/47	0.02183331766222521	0.999990812962114	0	0	4.022482338988294	15.38325218796474	SPARC;CMTM3;SLC43A3;SERPINH1
CID9961435 TEGLARINAD OB-78-PA58 BAID7 1UM	9/182	0.02377201149751769	0.999990812962114	0	0	2.259623111018948	8.449287533115626	SPARC;FOXD1;CMTM3;F2R;PDPN;SERPINH1;TGFBI;NES;PDIA4
CA-48-CT20 BAID36 10UM	9/182	0.02377201149751769	0.999990812962114	0	0	2.259623111018948	8.449287533115626	CA12;TUBA1C;FOXD1;SRPX2;ANXA2;EIF4EBP1;TAGLN2;VIM;CLIC1
CID52912222 NB-12-ZK38 BAID6 0.1UM	8/154	0.024830608493043742	0.999990812962114	0	0	2.3779841255248075	8.78826402938731	LOX;GDF15;TGFB1I1;SERPINH1;COL8A1;TGFBI;HOXC11;TMEM45A
CID44422459 EB-66-IH06 BAID37 0.01UM	4/49	0.025039585012465622	0.999990812962114	0	0	3.843311160384331	14.171430887313598	ABCC3;SPARC;S100A4;HOXA7
CID5381 TAZAROTENE IA-14-WP20 BAID11 1UM	4/51	0.028515080900466713	0.999990812962114	0	0	3.6793885927253855	13.088770639652166	STEAP3;SERPINH1;VIM;PDIA4
CID86294693 NVS-BET-1 CB-55-AK76 BAID24 10UM	23/663	0.030447048679739897	0.999990812962114	0	0	1.572681568287037	5.4914363639734045	APOBEC3C;SPARC;CMTM3;GDF15;TGFB1I1;GPX8;NRM;EMP3;HOXC11;SYDE1;MMP14;MDK;PLAU;SERPINH1;S100A4;PLP2;TGFBI;HOXB7;NES;CLIC1;S100A11;HOXC6;TMEM45A
CID71600087 MIVEBRESIB KB-78-BE93 BAID38 0.1UM	27/808	0.03047721969363797	0.999990812962114	0	0	1.515634161810284	5.290739007814164	STEAP3;SPARC;TGFB1I1;NRM;HOXC11;HOXC10;SYDE1;MDK;SERPINH1;EIF4EBP1;HOXA7;HOXA4;HOXC6;APOBEC3C;CA12;CMTM3;GPX8;EMP3;MMP14;LOX;HOXB3;COL8A1;PLP2;TGFBI;NES;MDFI;TMEM45A
CID46872626 A-971432 XC-61-SE50 BAID43 1UM	5/77	0.030981031183917297	0.999990812962114	0	0	3.0050925925925926	10.440834079888559	SPARC;ANXA5;SERPINH1;TGFBI;PDIA4
BD-11-DV28 BAID32 10UM	8/161	0.031230349092679792	0.999990812962114	0	0	2.2683686449971487	7.862993518490155	STEAP3;SPARC;ANXA2;MDK;F2R;SERPINH1;S100A4;VIM
CID132010322 DA-27-BW40 BAID27 1UM	18/490	0.0323272019127328	0.999990812962114	0	0	1.6644397471201955	5.712101285687514	STEAP3;SPARC;CMTM3;SLC43A3;GDF15;TGFB1I1;NRM;EMP3;HOXC11;HOXA10;MDK;PLAU;SERPINH1;EIF4EBP1;COL8A1;PLP2;TGFBI;HOXC6
CID1079383 FA-94-QJ71 BAID11 1UM	5/79	0.034082045619869876	0.999990812962114	0	0	2.9235735735735737	9.878709949824746	TGIF1;FOXD1;TGFBI;VIM;HOXC11
CID988563 GD-71-OU80 BAID12 10UM	6/106	0.0341548448418413	0.999990812962114	0	0	2.5984409799554564	8.774547589156027	TUBA1C;FOXD1;ANXA2;CMTM3;ANXA5;TGFBI
CID4858 OC-40-XI13 BAID27 1UM	10/226	0.034610420172923415	0.999990812962114	0	0	2.010923845193508	6.763944413331741	SPARC;CMTM3;GDF15;SERPINH1;GPX8;COL8A1;EMP3;PLP2;TGFBI;TMEM45A
CID118693659 AZD-5153 HE-16-PO98 BAID16 10UM	17/460	0.03507531122047373	0.999990812962114	0	0	1.6735932877743076	5.606968932976904	APOBEC3C;SPARC;CMTM3;TGFB1I1;GPX8;EMP3;HOXC11;HOXC10;MMP14;LOX;PLAU;SERPINH1;EIF4EBP1;PLP2;TGFBI;MDFI;TMEM45A
CID146680897 JB-74-LF71 BAID32 10UM	10/227	0.03550448867015395	0.999990812962114	0	0	2.001553357841868	6.681377555992127	STEAP3;SPARC;ANXA2;MDK;F2R;SERPINH1;NRM;TAGLN2;TGFBI;NES
CID132010322 DA-27-BW40 BAID26 0.1UM	8/166	0.036439287460245495	0.999990812962114	0	0	2.1960184634553848	7.2734497951477275	CMTM3;TGFB1I1;PDPN;EIF4EBP1;SERPINH1;TGFBI;EMP3;HOXC11
CID294677 13H-BENZO[G]INDENO[1,2-B]QUINOXALIN-13-ONE IE-28-SY71 BAID49 0.01UM	6/108	0.03691749348879993	0.999990812962114	0	0	2.5472291366435216	8.403486621555448	TUBA1C;FOXD1;CMTM3;ANXA5;FN1;VIM
CID71600087 MIVEBRESIB KB-78-BE93 BAID39 1UM	27/823	0.037015552825146486	0.999990812962114	0	0	1.4858844455924483	4.89809490701141	STEAP3;SPARC;SLC43A3;TGFB1I1;NRM;HOXC11;HOXC10;SYDE1;MDK;PLAU;SERPINH1;EIF4EBP1;HOXC6;CA12;CMTM3;GDF15;F2R;FN1;GPX8;EMP3;MMP14;LOX;HOXB3;PLP2;TGFBI;NES;TMEM45A
CID72943187 BROMOSPORINE RA-86-LI22 BAID16 10UM	17/464	0.03757174504270963	0.999990812962114	0	0	1.6582697434954492	5.441617092827357	CA12;SPARC;CMTM3;SLC43A3;GDF15;TGFB1I1;F2R;FN1;EMP3;HOXC11;MDK;SERPINH1;S100A4;PLP2;TGFBI;CLIC1;TMEM45A
CID147525 TAZAROTENICACID IF-03-OL58 BAID12 10UM	6/110	0.03981929629948806	0.999990812962114	0	0	2.497986979612815	8.052020354079321	SPARC;CMTM3;F2R;ANXA5;SERPINH1;TMEM45A
CID4877 IC-91-IX22 BAID27 1UM	6/110	0.03981929629948806	0.999990812962114	0	0	2.497986979612815	8.052020354079321	TGIF1;FOXD1;CMTM3;SERPINH1;TAGLN2;TGFBI
CID10137940 BF-57-II91 BAID39 1UM	4/57	0.0405857857481766	0.999990812962114	0	0	3.261849976990336	10.452067804003743	SPARC;GPX8;SERPINH1;ADAMTS12
CID22479762 UF-27-OP66 BAID4 10UM	5/84	0.04265212152679086	0.999990812962114	0	0	2.7378340365682137	8.636985524414733	CA12;SPARC;MDK;PLAU;TAGLN2
RD-89-FH52 BAID52 10UM	4/59	0.04516204534460454	0.999990812962114	0	0	3.1429147349324733	9.735172890280403	TNFRSF12A;TAGLN2;EMP3;CLIC1
XB-53-OZ95 BAID51 1UM	8/174	0.0459378599879514	0.999990812962114	0	0	2.0893237379046385	6.4360900388701285	SPARC;FOXD1;ANXA2;FN1;TAGLN2;TGFBI;NES;S100A11
CID10168449 JNJ-10329670 JA-79-II25 BAID28 10UM	16/443	0.04753718787830628	0.999990812962114	0	0	1.6318117074680054	4.97089494476548	IKBIP;FOXD1;TNFRSF12A;CMTM3;TGFB1I1;GPX8;EMP3;ADAMTS12;HOXC11;SYDE1;SMO;SERPINH1;TAGLN2;CHST14;PLP2;CLIC1
CID9949093 BC-30-IU38 BAID28 10UM	4/60	0.04755384805489551	0.999990812962114	0	0	3.086632879315806	9.401552143452456	CA12;SPARC;ANXA2;MDK
CID71600087 MIVEBRESIB KB-78-BE93 BAID37 0.01UM	11/275	0.05080842728095233	0.999990812962114	0	0	1.8094031531531531	5.391465994306313	HOXA10;SPARC;CMTM3;MDK;TGFB1I1;SERPINH1;COL8A1;EMP3;TGFBI;HOXC10;TMEM45A
CID44200047 BF-44-HD37 BAID23 1UM	5/89	0.052408759693367925	0.999990812962114	0	0	2.5742063492063494	7.5905147212191055	WEE1;MDK;SERPINH1;S100A4;TGFBI
BD-11-DV28 BAID9 10UM	11/278	0.05410010029678946	0.999990812962114	0	0	1.788794412389918	5.21776883650338	STEAP3;SPARC;ANXA2;CMTM3;MDK;F2R;S100A4;TGFBI;VIM;NES;S100A11
CID44193969 QE-98-XD90 BAID47 1UM	7/150	0.05590788578688895	0.999990812962114	0	0	2.1199737762237763	6.114110028506019	STEAP3;MMP14;SPARC;FOXD1;CMTM3;GPX8;TGFBI
CID72201027 SGC-CBP30 ED-33-YZ72 BAID4 10UM	11/280	0.05637210464536472	0.999990812962114	0	0	1.7753106266117418	5.105404287399618	SPARC;CMTM3;PLAU;TGFB1I1;F2R;SERPINH1;COL8A1;EMP3;ADAMTS12;HOXC11;TMEM45A
CID10477021 BA-90-AA10 BAID47 1UM	4/64	0.05780821753343508	0.999990812962114	0	0	2.8802660753880267	8.210556584643316	ANXA2;CMTM3;SERPINH1;VIM
CID145986542 SMARCA2-IN-7 BC-20-WA90 BAID34 0.1UM	6/123	0.06216340708295515	0.999990812962114	0	0	2.218948089772143	6.164212858896444	STEAP3;SPARC;F2R;SERPINH1;FN1;COL8A1
AB-57-IZ37 BAID33 0.01UM	4/66	0.06334368002151258	0.999990812962114	0	0	2.7870681639367714	7.690023126961993	STEAP3;SLC43A3;SERPINH1;NES
CID44195094 GB-06-BA49 BAID27 1UM	10/254	0.06600527115138644	0.999990812962114	0	0	1.7775833486829986	4.831508291860238	STEAP3;SPARC;FOXD1;ANXA2;ANXA5;TAGLN2;CYTL1;TGFBI;VIM;S100A11
CID11238078 FA-16-KA99 BAID45 0.01UM	3/41	0.06604776878784376	0.999990812962114	0	0	3.407137866790871	9.258478174663688	TUBA1C;CMTM3;VIM
CID5289501 AROTINOIDACID CB-13-ZM26 BAID39 1UM	5/96	0.06807627568996408	0.999990812962114	0	0	2.3753357753357753	6.382827710962964	SPARC;FOXD1;CMTM3;ANXA5;SERPINH1
