Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID71458574 HSMG-1INHIBITOR11E IA-76-ZU47 BAID30 0.1UM	14/205	5.748532718142878E-5	0.11098962163872694	0	0	3.7550456561079724	36.66419377264179	CA12;STEAP3;SPARC;EDN2;SERPINE1;ANXA5;FSTL1;LOXL2;PDIA4;MAGED4B;COL4A2;COL4A1;CHST14;S100A10
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	16/260	6.0866258096367943E-5	0.11098962163872694	0	0	3.3679175544636255	32.69180851368579	APOBEC3C;CA12;SPARC;EDN2;FBLIM1;TGFB1I1;CAV1;EMP3;AQP1;CCDC80;MAGED4B;PLAU;COL8A1;ID3;PLP2;NKX2-5
CID636822 ASARONE BA-26-GI09 BAID43 1UM	8/83	2.2589568769924186E-4	0.22854028242112875	0	0	5.411463203463203	45.43159961518062	EDN2;CCDC80;FBLIM1;TGFB1I1;CAV1;COL8A1;EMP3;AQP1
BA-92-CZ75 BAID36 10UM	14/237	2.650547491624751E-4	0.22854028242112875	0	0	3.2109043151082033	26.443640584310558	CA12;SPARC;EDN2;ANXA2;CMTM3;CAV1;SERPINE1;FSTL1;CCDC80;COL4A2;MTHFD2;ID3;TAGLN2;CHST14
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	23/525	3.13326408583944E-4	0.22854028242112875	0	0	2.3657532034026056	19.087523939693316	APOBEC3C;STEAP3;ANXA1;SPARC;EDN2;ANXA2;CMTM3;FBLIM1;CAV1;F2R;EMP3;FSTL1;AQP1;SYDE1;CCDC80;COL4A2;ID3;COL8A1;TAGLN2;PLP2;CLIC1;S100A11;S100A10
KB-00-DM33 BAID36 10UM	6/50	4.241671239468499E-4	0.2310229602147633	0	0	6.893234672304439	53.5286074781605	EDN2;CCDC80;CAV1;SERPINE1;ID3;FSTL1
CID139600315 CD-97-ZV62 BAID26 0.1UM	7/70	4.4342218851202165E-4	0.2310229602147633	0	0	5.625791594703512	43.43667063247826	EDN2;CCDC80;SERPINE1;EIF4EBP1;COL8A1;ID3;FSTL1
CID44195094 GB-06-BA49 BAID27 1UM	14/254	5.322146621418565E-4	0.23539212129298198	0	0	2.98084872471416	22.471019756632494	STEAP3;SPARC;ANXA2;SERPINE1;ANXA5;NACA2;AQP1;CCDC80;COL4A2;MTHFD2;COL4A1;TAGLN2;VIM;S100A11
CID121271792 BB-10-PR06 BAID12 10UM	15/288	6.150795790153113E-4	0.23539212129298198	0	0	2.8103378103378103	20.77896020212646	CA12;SPARC;ANXA1;EDN2;TGFB1I1;CAV1;F2R;FSTL1;EDA2R;AQP1;CCDC80;COL4A2;COL8A1;ID3;CLIC1
CID104974 SAREDUTANT CC-01-PR23 BAID44 10UM	6/54	6.454404203262462E-4	0.23539212129298198	0	0	6.31750645994832	46.40573426839957	CA12;SPARC;EDN2;ANXA2;FSTL1;S100A10
