Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	16/217	2.8591979597733457E-6	0.010138715965356284	0	0	4.3941655359565805	56.0913886318558	GINS2;CDKN2C;CDCA8;WDR76;CDC20;BCL2L12;TUBA1C;CENPH;PTTG1;PCLAF;TAGLN2;KIF2C;KIF20A;PLP2;NES;ASF1B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	26/579	2.9029685291668053E-5	0.03612022211436476	0	0	2.622875754787813	27.401685607774986	NRM;CDCA8;YBX1;CDC20;BCL2L12;TUBA1C;CSRP2;PTTG1;EME1;ORC1;MDK;PCLAF;E2F2;CA12;GINS2;CDKN2C;GPX8;WDR76;TMEM37;CENPH;ESPL1;KIF2C;KIF20A;PLP2;NES;ASF1B
CA-48-CT20 BAID36 10UM	13/182	3.403762161793294E-5	0.03612022211436476	0	0	4.2173347778981585	43.38812629298372	CA12;FOXD1;ANXA2;DYNLT1;YBX1;TUBA1C;ESPL1;PCLAF;EIF4EBP1;ID3;TAGLN2;VIM;CLIC1
CID71678945 NA-16-OJ70 BAID32 10UM	18/328	4.07447513980426E-5	0.03612022211436476	0	0	3.2054930875576035	32.401712422346854	GINS2;CDKN2C;NRM;CDCA8;WDR76;CDC20;BCL2L12;TUBA1C;TMEM37;EME1;ORC1;ESPL1;PCLAF;TAGLN2;KIF2C;KIF20A;NES;ASF1B
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	13/198	8.110738371544044E-5	0.054210701671910395	0	0	3.849425199847735	36.26057127616074	CA12;CDKN2C;CDCA8;CDC20;TUBA1C;TMEM37;PTTG1;PCLAF;EIF4EBP1;ID3;E2F2;KIF2C;KIF20A
CID9907182 GB-94-XG34 BAID16 10UM	24/550	9.172707558698883E-5	0.054210701671910395	0	0	2.5341763197453355	23.55945915019106	GINS2;STEAP3;PPP1R14B;FOXD1;CDKN2C;ANXA2;CDCA8;YBX1;WDR76;CDC20;BCL2L12;TUBA1C;GNG5;CENPH;PTTG1;ESPL1;PCLAF;EIF4EBP1;TAGLN2;KIF2C;VIM;KIF20A;NES;ASF1B
CID9820526 VC-19-YG34 BAID27 1UM	22/506	1.8859718996267025E-4	0.09553794794394696	0	0	2.5155018392012614	21.572684895983212	CA12;GINS2;STEAP3;CMTM3;NRM;CDCA8;YBX1;CDC20;BCL2L12;TMEM37;TUBA1C;CENPH;EME1;ESPL1;ORC1;PCLAF;EIF4EBP1;ID3;KIF2C;KIF20A;PLP2;NES
ID-69-QF93 BAID52 10UM	17/346	2.501992675435784E-4	0.10747052675295478	0	0	2.841650862927459	23.566529224011113	GINS2;PPP1R14B;ANXA2;CMTM3;TGFB1I1;CDCA8;YBX1;CDC20;CENPH;PCLAF;TAGLN2;KIF2C;KIF20A;PLP2;VIM;NES;ASF1B
CID151345176 AC-45-YY00 BAID36 10UM	8/92	2.9538316640663064E-4	0.10747052675295478	0	0	5.171428571428572	42.02942653486578	CDC20;TUBA1C;CDKN2C;PTTG1;ESPL1;CDCA8;KIF2C;KIF20A
TF-29-QU48 BAID52 10UM	26/674	3.331687357321143E-4	0.10747052675295478	0	0	2.2272038119991335	17.83291241577196	STEAP3;NRM;CDCA8;CDC20;BCL2L12;TUBA1C;PTTG1;EME1;ORC1;MDK;PCLAF;E2F2;CA12;GINS2;CDKN2C;WDR76;TMEM37;CENPH;ESPL1;CDK2;TAGLN2;KIF2C;KIF20A;NES;DTL;ASF1B
CID101476432 RC-52-AC88 BAID28 10UM	30/834	3.8525493735247723E-4	0.10747052675295478	0	0	2.0785127616356087	16.340446876222167	STEAP3;TNC;NRM;CDCA8;YBX1;CDC20;BCL2L12;TUBA1C;PTTG1;EME1;ORC1;PCLAF;EIF4EBP1;E2F2;CA12;GINS2;PPP1R14B;CDKN2C;ANXA2;WDR76;TMEM37;CENPH;ESPL1;ID3;TAGLN2;KIF2C;VIM;KIF20A;NES;DTL
CID91757965 AE-67-DS75 BAID28 10UM	12/204	4.16361429331981E-4	0.10747052675295478	0	0	3.412921348314607	26.56603252273991	CDC20;CA12;TUBA1C;GINS2;ANXA2;EME1;PCLAF;TNC;EIF4EBP1;CDCA8;KIF2C;YBX1
CID44818584 AA-42-XZ05 BAID32 10UM	7/74	4.212335116247265E-4	0.10747052675295478	0	0	5.662339273163269	44.00953100443959	CDC20;TUBA1C;PTTG1;PCLAF;CDCA8;KIF2C;KIF20A
CID71678945 NA-16-OJ70 BAID30 0.1UM	18/396	4.243055201752304E-4	0.10747052675295478	0	0	2.6195918367346938	20.34127939396637	GINS2;CDKN2C;CDCA8;YBX1;WDR76;CDC20;BCL2L12;TMEM37;TUBA1C;CSRP2;PTTG1;ESPL1;ORC1;PCLAF;KIF2C;KIF20A;NES;ASF1B
BC-61-ZY95 BAID51 1UM	11/180	5.218935960807848E-4	0.11816826809397458	0	0	3.548522367526892	26.819898230308898	TMEM37;GINS2;STEAP3;CDKN2C;ANXA2;ESPL1;PCLAF;CDCA8;KIF20A;NES;ASF1B
BE-04-AN21 BAID11 1UM	13/240	5.331901549643523E-4	0.11816826809397458	0	0	3.130421294285537	23.592834658246147	GINS2;CDKN2C;CDCA8;CDC20;BCL2L12;TUBA1C;PTTG1;ESPL1;PCLAF;KIF2C;KIF20A;NES;ASF1B
CB-25-VR83 BAID36 10UM	17/378	6.853421709858236E-4	0.1429543140185724	0	0	2.58546613948276	18.836652261673024	GINS2;STEAP3;ANXA2;CDCA8;YBX1;CDC20;TMEM37;TUBA1C;CSRP2;PTTG1;ESPL1;PCLAF;TAGLN2;KIF2C;VIM;NES;DTL
