Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	29/525	2.9831471280895206E-7	0.0011186801730335703	0	0	3.1948444700460827	48.002911398400336	STEAP3;SPARC;SLC43A3;NRM;ADAMTS12;SYDE1;MDK;SERPINH1;CLIC1;S100A11;APOBEC3C;ANXA1;ANXA2;CMTM3;GDF15;MMP2;F2R;GPX8;EMP3;COL4A2;MFAP2;ID3;COL8A1;TAGLN2;S100A4;PLP2;TGFBI;APOBEC3B;TMEM45A
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	33/698	1.5026499885620494E-6	0.0028174687285538427	0	0	2.7187100699726194	36.45322680725954	STEAP3;SPARC;TGFB1I1;NRM;TYMS;ABCA13;SYDE1;PLAU;MDK;PDPN;SERPINH1;EIF4EBP1;CLIC1;APOBEC3C;ANXA1;CMTM3;GDF15;MMP2;F2R;GPX8;GPX7;EMP3;SPOCD1;COL4A2;LOX;MFAP2;ID3;COL8A1;S100A4;PLP2;TGFBI;APOBEC3B;TMEM45A
CID52912189 AF-30-GH67 BAID27 1UM	26/493	2.912883423875002E-6	0.003641104279843753	0	0	3.020934055601725	38.505934457757085	SLC43A3;TGFB1I1;TNC;NRM;SYDE1;PLAU;MDK;PDPN;SERPINH1;EIF4EBP1;CLIC1;APOBEC3C;CA12;CMTM3;GDF15;MMP2;EMP3;SPOCD1;TMEM37;MFAP2;ID3;COL8A1;PLP2;TGFBI;APOBEC3B;TMEM45A
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	30/664	1.107075922368832E-5	0.009454097887014607	0	0	2.574322308895176	29.376115045561495	STEAP3;SPARC;TGFB1I1;NRM;TYMS;SYDE1;MDK;SERPINH1;HOXA7;CLIC1;APOBEC3C;CA12;ANXA1;CMTM3;GDF15;MMP2;PLK1;F2R;GPX8;EMP3;TMEM37;MMP14;MFAP2;ID3;COL8A1;S100A4;PLP2;TGFBI;APOBEC3B;TMEM45A
BD-11-DV28 BAID32 10UM	13/161	1.260546384935281E-5	0.009454097887014607	0	0	4.673404962339388	52.722458204807864	STEAP3;SPARC;ANXA2;MMP2;F2R;TYMS;CDC20;TMEM37;MDK;MFAP2;SERPINH1;S100A4;VIM
BD-11-DV28 BAID35 10UM	17/279	2.5884189077565574E-5	0.010361943843717258	0	0	3.469940112184218	36.64908495107138	STEAP3;SPARC;ANXA2;CMTM3;MMP2;F2R;TYMS;CDC20;TMEM37;MDK;MFAP2;SERPINH1;S100A4;KIF20A;VIM;S100A11;PPIC
TB-06-VB30 BAID23 1UM	25/527	2.7370365394042372E-5	0.010361943843717258	0	0	2.689665068539402	28.257754845639653	SPARC;TGFB1I1;NRM;HOXD11;TYMS;MDK;PDPN;SERPINH1;HOXA4;APOBEC3C;TCF19;GDF15;MMP2;F2R;GPX8;EMP3;TMEM37;MFAP2;ID3;COL8A1;S100A4;PLP2;TGFBI;APOBEC3B;TMEM45A
CID4858 OC-40-XI13 BAID27 1UM	15/226	2.8875598719836967E-5	0.010361943843717258	0	0	3.7908181865527837	39.62357885648473	SPARC;CMTM3;GDF15;GPX8;EMP3;TYMS;COL3A1;MTHFD2;SERPINH1;COL8A1;ID3;PLP2;TGFBI;APOBEC3B;TMEM45A
PB-63-WH18 BAID36 10UM	15/226	2.8875598719836967E-5	0.010361943843717258	0	0	3.7908181865527837	39.62357885648473	CA12;SPARC;ANXA2;PLK1;KIF23;CDC20;TUBA1C;COL4A2;MTHFD2;MFAP2;SERPINH1;ID3;TAGLN2;DLGAP5;APOBEC3B
CID72943187 BROMOSPORINE RA-86-LI22 BAID16 10UM	23/464	2.918056175485028E-5	0.010361943843717258	0	0	2.80988050650972	29.340794064013632	CA12;SPARC;CMTM3;SLC43A3;GDF15;LRR1;TGFB1I1;PLK1;F2R;FN1;EMP3;TYMS;COL4A2;MDK;MFAP2;SERPINH1;ID3;S100A4;PLP2;TGFBI;CLIC1;APOBEC3B;TMEM45A
CID146680897 JB-74-LF71 BAID32 10UM	15/227	3.0395035274903952E-5	0.010361943843717258	0	0	3.772742587601078	39.24116819926351	STEAP3;SPARC;ANXA2;MMP2;PLK1;F2R;NRM;TYMS;TMEM37;MDK;MFAP2;SERPINH1;TAGLN2;TGFBI;APOBEC3B
CID9961435 TEGLARINAD OB-78-PA58 BAID7 1UM	13/182	4.6064792577713094E-5	0.013344993467599158	0	0	4.088272383354351	40.823286968858596	SPARC;FOXD1;CMTM3;MMP2;F2R;PDIA4;TMEM37;PDPN;MFAP2;SERPINH1;TGFBI;VGLL2;E2F7
CID4877 IC-91-IX22 BAID27 1UM	10/110	4.6262644021010415E-5	0.013344993467599158	0	0	5.290243902439024	52.80285413542907	TGIF1;FOXD1;COL4A2;CMTM3;COL4A1;MMP2;MFAP2;SERPINH1;TAGLN2;TGFBI
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	19/355	5.2317921126322204E-5	0.014013728873122017	0	0	3.029224537037037	29.86261525690241	APOBEC3C;TCF19;TGFB1I1;F2R;NRM;GPX8;TYMS;TMEM37;MMP14;MDK;MFAP2;SERPINH1;COL8A1;ID3;S100A4;TGFBI;HOXA7;APOBEC3B;TMEM45A
CB-59-ZX97 BAID28 10UM	9/94	7.380104801857632E-5	0.01845026200464408	0	0	5.590588235294118	53.189625879011636	SRPX;SPARC;ANXA2;F2R;PDPN;MFAP2;NRM;FN1;CLIC1
CID44195094 GB-06-BA49 BAID27 1UM	15/254	1.0890710723565286E-4	0.02552510325835614	0	0	3.341877787484482	30.494685828848038	STEAP3;SPARC;FOXD1;ANXA2;MMP2;ANXA5;COL4A2;MTHFD2;COL4A1;MFAP2;TAGLN2;IGFBP7;TGFBI;VIM;S100A11
CID135496218 CA-00-AR16 BAID7 1UM	7/59	1.2132759332568203E-4	0.025673930572222545	0	0	7.081420595533499	63.85328485118404	SRPX;MTHFD2;GDF15;CDCA7;VIM;VGLL2;TMEM45A
CID121271792 BB-10-PR06 BAID12 10UM	16/288	1.3195705086572413E-4	0.025673930572222545	0	0	3.135472370766488	28.00928148397769	CA12;SPARC;FOXD1;ANXA1;TGFB1I1;MMP2;F2R;EDA2R;TMEM37;COL4A2;MFAP2;SERPINH1;COL8A1;ID3;S100A4;CLIC1
CID44193969 QE-98-XD90 BAID47 1UM	11/150	1.389712367229592E-4	0.025673930572222545	0	0	4.189513606506099	37.208090805592064	STEAP3;MMP14;SPARC;FOXD1;COL4A2;CMTM3;COL4A1;MMP2;MFAP2;GPX8;TGFBI
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	15/260	1.4093966535776078E-4	0.025673930572222545	0	0	3.259026687598116	28.89837191107081	APOBEC3C;CA12;SPARC;TGFB1I1;EMP3;TMEM37;PLAU;MFAP2;SERPINH1;COL8A1;ID3;PLP2;TGFBI;NKX2-5;APOBEC3B
CID9907182 GB-94-XG34 BAID16 10UM	24/550	1.4377401120444625E-4	0.025673930572222545	0	0	2.454238740427355	21.713307523476388	TCF19;EIF5AL1;STEAP3;CDCA2;FOXD1;ANXA2;LRR1;PLK1;CDCA7;KIF23;HMMR;CDC20;BCL2L12;TUBA1C;GNG5;MTHFD2;MFAP2;SERPINH1;EIF4EBP1;TAGLN2;VIM;KIF20A;DLGAP5;APOBEC3B
CID988563 GD-71-OU80 BAID12 10UM	9/106	1.867615480150543E-4	0.03183435477529335	0	0	4.895959877403176	42.035134514313015	TUBA1C;FOXD1;COL4A2;ANXA2;CMTM3;ANXA5;MFAP2;ID3;TGFBI
LB-67-JK40 BAID36 10UM	11/157	2.0760760587950144E-4	0.03384906617600567	0	0	3.987213371054199	33.8110142474566	SPARC;COL4A2;SERPINH1;FN1;GPX8;COL8A1;ID3;TGFBI;EMP3;TYMS;APOBEC3B
CID10316032 SD-208 AA-86-YV75 BAID3 1UM	6/46	2.1976464061852755E-4	0.03433822509664493	0	0	7.874396782841823	66.32567715217678	ANXA2;COL4A2;COL4A1;MMP2;MFAP2;TGFBI
CID60182393 S0-EE-Y97N BAID27 1UM	9/111	2.6456342109814664E-4	0.03806847211701194	0	0	4.6547694753577105	38.34333566244961	COL4A2;COL4A1;ID3;TAGLN2;TGFBI;ADAMTS12;NID1;CD44;LOXL2
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	13/217	2.6928056579209573E-4	0.03806847211701194	0	0	3.3807591342547947	27.78901763411115	EIF5AL1;TCF19;CDCA2;PLK1;CDC20;BCL2L12;TUBA1C;MFAP2;SERPINH1;TAGLN2;KIF20A;PLP2;DLGAP5
CID156019130 BF-02-AC35 BAID36 10UM	30/794	2.788062190557863E-4	0.03806847211701194	0	0	2.1216564904964073	17.365744738431836	SPARC;CDCA2;NNMT;TYMS;MDK;PDPN;SERPINH1;DLGAP5;TCF19;CA12;ANXA2;MMP2;ANXA5;F2R;FN1;GPX8;TMEM37;MMP14;WEE1;COL4A2;LOX;MFAP2;DEPDC1;ID3;TAGLN2;S100A4;KIF20A;TGFBI;APOBEC3B;TMEM45A
BD-11-DV28 BAID33 10UM	14/248	2.9153888967638854E-4	0.03806847211701194	0	0	3.177824610701323	25.868563730873802	STEAP3;SPARC;ANXA2;CMTM3;F2R;TYMS;CDC20;TMEM37;MDK;MFAP2;SERPINH1;KIF20A;TGFBI;VIM
AF-83-BX08 BAID52 10UM	26/649	2.9439618437155897E-4	0.03806847211701194	0	0	2.2460451347996306	18.26165893250607	STEAP3;NNMT;STON1;NRM;CDC20;MRC2;MDK;SERPINH1;DLGAP5;CA12;TGIF1;ANXA2;TNFRSF12A;MMP2;PLK1;F2R;MMP9;TMEM37;MMP14;COL4A2;MFAP2;DEPDC1;ID3;COL8A1;KIF20A;APOBEC3B
CID72201027 SGC-CBP30 ED-33-YZ72 BAID4 10UM	15/280	3.139472545254364E-4	0.039243406815679546	0	0	3.0099523118391045	24.27913488548337	SPARC;CMTM3;TGFB1I1;MMP2;F2R;EMP3;ADAMTS12;TMEM37;PLAU;MFAP2;SERPINH1;COL8A1;ID3;APOBEC3B;TMEM45A
