Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID58295621 RD-79-FH72 BAID16 10UM	13/323	2.1875417548484382E-4	0.2444552704976587	0	0	3.454524330235101	29.11321778348998	SPARC;CBX2;F2R;MKI67;CCDC80;MAGED4B;COL4A2;TMSB15A;SERPINH1;TAGLN2;VIM;TK1;TGFBI
CID44195094 GB-06-BA49 BAID27 1UM	11/254	3.5910077771082364E-4	0.2444552704976587	0	0	3.7104125600857625	29.430649180090878	CCDC80;SPARC;FOXD1;COL4A2;MTHFD2;COL4A1;TAGLN2;VIM;TGFBI;HOXC8;AQP1
ID-69-QF93 BAID51 1UM	7/106	3.6461298135021225E-4	0.2444552704976587	0	0	5.741881626179147	45.456605509257386	SPARC;CCDC80;COL4A2;MTHFD2;SERPINH1;VIM;PRR11
ID-69-QF93 BAID52 10UM	13/346	4.229506348325838E-4	0.2444552704976587	0	0	3.2121188985595763	24.9525589778049	CMTM3;CBX2;MKI67;AQP1;CCDC80;MAGED4B;COL4A2;SERPINH1;TAGLN2;VIM;TK1;TGFBI;PRR11
CID4877 IC-91-IX22 BAID27 1UM	7/110	4.565340436727608E-4	0.2444552704976587	0	0	5.5177726069164725	42.441864247435404	FOXD1;COL4A2;CMTM3;COL4A1;SERPINH1;TAGLN2;TGFBI
CID60182393 S0-EE-Y97N BAID27 1UM	7/111	4.8217866154991786E-4	0.2444552704976587	0	0	5.4644389701207885	41.73299060047318	COL4A2;COL4A1;TAGLN2;TGFBI;ADAMTS12;NID1;LOXL2
CID129074791 CASP8-IN-1 NA-29-UI75 BAID16 10UM	12/308	5.085250797871058E-4	0.2444552704976587	0	0	3.327916524119056	25.23890568238604	CCDC80;SPARC;MAGED4B;CMTM3;CBX2;F2R;SERPINH1;TAGLN2;PRAME;TK1;ADAMTS12;AQP1
BD-11-DV28 BAID29 10UM	13/365	6.970000676769322E-4	0.2931756534666096	0	0	3.035764156394453	22.06613496979915	SPARC;CBX2;F2R;MKI67;AQP1;CCDC80;MAGED4B;TMSB15A;TAGLN2;PRAME;VIM;TK1;TGFBI
CID447700 PD-166326 HF-91-IU60 BAID19 1UM	14/427	9.800373962652875E-4	0.3664250931591881	0	0	2.789469888207717	19.32522374693302	SPARC;FOXD1;CMTM3;AQP1;MEX3A;CCDC80;MTHFD2;COL4A1;SERPINH1;TAGLN2;VIM;TK1;TGFBI;CEP55
BD-11-DV28 BAID42 10UM	13/395	0.0014266791860282904	0.4611085169417816	0	0	2.7930273316177123	18.301048439326454	SPARC;CMTM3;CBX2;F2R;MKI67;AQP1;CCDC80;MAGED4B;TMSB15A;PRAME;VIM;TK1;TGFBI
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	4/40	0.0015073383911915594	0.4611085169417816	0	0	8.941043083900226	58.09362129799111	FOXD1;CMTM3;COL4A2;COL4A1
CID767327 KB-49-NF63 BAID16 10UM	11/311	0.0018717668471602991	0.5136657688459054	0	0	2.996652661064426	18.82159315949975	CCDC80;SPARC;MAGED4B;MTHFD2;TMSB15A;F2R;SERPINH1;PRAME;TK1;AQP1;HOXC6
CID137636547 GD-39-YG36 BAID52 10UM	6/108	0.0023305182064256398	0.5136657688459054	0	0	4.756475429678044	28.832158875266895	MAGED4B;CCDC80;SERPINH1;TK1;MKI67;PRR11
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID16 10UM	7/147	0.002480620647748015	0.5136657688459054	0	0	4.051859504132231	24.30810390378932	SPARC;CCDC80;TMSB15A;F2R;PRAME;TK1;VIM
BD-11-DV28 BAID9 10UM	10/278	0.002638233370579575	0.5136657688459054	0	0	3.041747330294136	18.06081814976627	CCDC80;SPARC;MAGED4B;CMTM3;CBX2;F2R;VIM;TK1;TGFBI;AQP1
BD-11-DV28 BAID35 10UM	10/279	0.002707136430248102	0.5136657688459054	0	0	3.030284176634366	17.914627541382444	SPARC;MAGED4B;CMTM3;TMSB15A;CBX2;F2R;SERPINH1;VIM;TK1;MKI67
CID44193969 QE-98-XD90 BAID47 1UM	7/150	0.0027776877789775258	0.5136657688459054	0	0	3.966248627405652	23.345880542330317	MMP14;SPARC;FOXD1;COL4A2;CMTM3;COL4A1;TGFBI
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID37 10UM	11/333	0.0031689663012847958	0.5136657688459054	0	0	2.7887546322876977	16.04746975033482	CCDC80;SPARC;MAGED4B;CMTM3;TMSB15A;F2R;MAGED4;PRAME;VIM;TK1;TGFBI
LB-67-JK40 BAID36 10UM	7/157	0.0035767812198843393	0.5136657688459054	0	0	3.779807162534435	21.292757388235913	SPARC;CCDC80;MEX3A;COL4A2;SERPINH1;COL8A1;TGFBI
CID51039095 AZD-4547 BD-81-LB65 BAID39 1UM	4/52	0.003975063827335729	0.5136657688459054	0	0	6.701700680272109	37.0450878495051	FOXD1;CMTM3;MTHFD2;ADAMTS12
CID8515 ANTHRA(1,9-CD)PYRAZOL-6(2H)-ONE CE-69-HJ13 BAID27 1UM	20/836	0.004128162046908947	0.5136657688459054	0	0	2.0266075862659476	11.125919591757523	NMB;SPARC;CMTM3;CBX2;F2R;MKI67;MMP9;LOXL2;MMP14;CCDC80;MAGED4B;COL4A2;TMSB15A;COL4A1;SERPINH1;MAGED4;PRAME;TK1;TGFBI;CEP55
CID9875516 DENUFOSOL FE-94-WT30 BAID4 10UM	5/85	0.004198238442611031	0.5136657688459054	0	0	5.038678278688525	27.57714101086391	SPARC;MTHFD2;TNC;PRAME;LOXL2
ZE-45-CG69 BAID7 1UM	6/122	0.00426541080158629	0.5136657688459054	0	0	4.179438058748404	22.80809951950957	MAGED4B;COL4A2;CBX2;SERPINH1;TGFBI;TK1
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID28 10UM	11/347	0.0043166003507672315	0.5136657688459054	0	0	2.6706307523009203	14.54235129754705	CCDC80;SPARC;MAGED4B;CMTM3;TMSB15A;F2R;PRAME;VIM;TK1;TGFBI;MKI67
LE-40-JW92 BAID35 1UM	5/86	0.004413071135702021	0.5136657688459054	0	0	4.976219388787695	26.986955505783833	COL4A2;MTHFD2;TAGLN2;PRAME;TGFBI
CID49766530 ZA-63-AC60 BAID12 10UM	9/253	0.0045723510198922915	0.5136657688459054	0	0	2.998002049180328	16.152418864882538	SPARC;MAGED4B;CMTM3;SERPINH1;TAGLN2;TK1;TGFBI;MKI67;AQP1
BD-11-DV28 BAID11 10UM	13/454	0.004709719343362378	0.5136657688459054	0	0	2.4119873938275873	12.923734682351	SPARC;CBX2;F2R;MKI67;AQP1;CCDC80;MAGED4B;TMSB15A;TAGLN2;VIM;TK1;TGFBI;PRR11
CID10316032 SD-208 AA-86-YV75 BAID4 10UM	8/209	0.004778939133623196	0.5136657688459054	0	0	3.2286699283664664	17.252516240475497	SPARC;FOXD1;COL4A2;COL4A1;TNC;TAGLN2;TGFBI;AQP1
YF-77-FV50 BAID28 10UM	13/455	0.004795901121126223	0.5136657688459054	0	0	2.406405782652044	12.850191620284034	SPARC;CMTM3;CBX2;F2R;MKI67;ADAMTS12;CCDC80;MAGED4B;TMSB15A;TAGLN2;PRAME;TK1;TGFBI
DE-20-VX20 BAID36 10UM	10/303	0.0048416770039577785	0.5136657688459054	0	0	2.7786425235980405	14.811537660979328	SPARC;FOXD1;COL4A2;CMTM3;TAGLN2;VIM;TGFBI;ADAMTS12;AQP1;HOXC6
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID39 10UM	11/355	0.0051078710844833395	0.5136657688459054	0	0	2.607448211842877	13.759432715301633	CCDC80;SPARC;MAGED4B;TMSB15A;CBX2;F2R;VIM;TK1;TGFBI;MKI67;CEP55
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	11/355	0.0051078710844833395	0.5136657688459054	0	0	2.607448211842877	13.759432715301633	MMP14;CCDC80;MAGED4B;CBX2;F2R;SERPINH1;COL8A1;PRAME;TGFBI;AQP1;HOXC6
EA-17-BY69 BAID36 10UM	11/357	0.005322605192998008	0.5136657688459054	0	0	2.59210909797445	13.571745108819517	CCDC80;SPARC;COL4A2;F2R;TAGLN2;TK1;ADAMTS12;PRR11;AQP1;HOXC6;LOXL2
CID118288050 AA-99-PN83 BAID52 10UM	19/797	0.005326362581617572	0.5136657688459054	0	0	2.0145691293170893	10.546444087850182	NMB;CBX2;F2R;STON1;MKI67;AQP1;MMP14;MEX3A;CCDC80;MAGED4B;TMSB15A;SERPINH1;COL8A1;PRAME;TK1;TGFBI;HOXC9;MDFI;HOXC6
CID4877 IC-91-IX22 BAID28 10UM	6/129	0.005588231555893825	0.5136657688459054	0	0	3.9401786610458696	20.43807078886368	ABCC3;FOXD1;COL4A2;COL4A1;TAGLN2;TGFBI
BD-11-DV28 BAID10 10UM	13/464	0.005630097934938917	0.5136657688459054	0	0	2.3572851290916605	12.20986110004805	SPARC;CMTM3;CBX2;F2R;MKI67;AQP1;CCDC80;MAGED4B;TMSB15A;TAGLN2;VIM;TK1;TGFBI
CID127043724 NFATC1-IN-1 S0-EE-XKW4 BAID16 10UM	11/363	0.006009928937635277	0.5136657688459054	0	0	2.5471376050420167	13.026933736271484	CCDC80;SPARC;TMSB15A;CBX2;SERPINH1;TAGLN2;PRAME;TK1;TGFBI;MKI67;AQP1
