Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	26/525	0.010149932110380785	0.9999960282236389	0	0	1.6974293414415036	7.791689981846486	STEAP3;SPARC;SLC43A3;ADAMTS12;SYDE1;SERPINH1;IGF2BP2;CLIC1;S100A11;APOBEC3C;PPP1R14B;ANXA1;ANXA2;CMTM3;GDF15;F2R;GPX8;EMP3;COL4A2;COL8A1;TAGLN2;PLP2;TGFBI;HOXB7;MDFI;TMEM45A
DE-20-VX20 BAID36 10UM	17/303	0.011349150399478211	0.9999960282236389	0	0	1.9283365191684376	8.63627183171207	SPARC;FOXD1;ANXA1;ANXA2;CMTM3;ANXA5;ADAMTS12;TUBA1C;CSRP2;COL4A2;HOXB3;TAGLN2;PLP2;TGFBI;VIM;CLIC1;NES
CID5381 TAZAROTENE IA-14-WP20 BAID11 1UM	5/51	0.018751681172952835	0.9999960282236389	0	0	3.499240396440715	13.914630995912528	SRPX;STEAP3;NNMT;SERPINH1;VIM
CID60182393 S0-EE-Y97N BAID27 1UM	8/111	0.019664152613700837	0.9999960282236389	0	0	2.5055687242263858	9.84427419619865	COL4A2;COL4A1;TAGLN2;TGFBI;ADAMTS12;NID1;CD44;LOXL2
LB-67-JK40 BAID36 10UM	10/157	0.021487729049452124	0.9999960282236389	0	0	2.1968451810254304	8.436485780160721	HOXA10;SPARC;COL4A2;SERPINH1;FN1;GPX8;COL8A1;TGFBI;EMP3;NES
CID44195094 GB-06-BA49 BAID27 1UM	14/254	0.023286677559805416	0.9999960282236389	0	0	1.8873592342342342	7.096232650146621	STEAP3;SPARC;FOXD1;ANXA2;ANXA5;NACA2;COL4A2;COL4A1;TAGLN2;IGFBP7;TGFBI;VIM;HOXC8;S100A11
CB-59-ZX97 BAID28 10UM	7/94	0.024067234473727453	0.9999960282236389	0	0	2.5933836086964863	9.665291560495927	SRPX;SPARC;ANXA2;F2R;PDPN;FN1;CLIC1
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	29/664	0.03187291969621981	0.9999960282236389	0	0	1.4847664405900736	5.116502989581446	STEAP3;SPARC;TGFB1I1;HOXC13;HOXA10;SYDE1;MAGED4B;SERPINH1;HOXA7;CLIC1;APOBEC3C;CA12;PPP1R14B;ANXA1;CMTM3;GDF15;F2R;GPX8;EMP3;MMP14;HOXB3;COL8A1;PLP2;TGFBI;HOXB7;NES;MDFI;HOXB5;TMEM45A
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	4/40	0.032242131525635084	0.9999960282236389	0	0	3.572905131044666	12.271075677780741	FOXD1;CMTM3;COL4A2;COL4A1
CID135496218 CA-00-AR16 BAID7 1UM	5/59	0.032888095985193405	0.9999960282236389	0	0	2.979601898071116	10.174281265746577	SRPX;GDF15;VIM;VGLL2;TMEM45A
CID44193969 QE-98-XD90 BAID47 1UM	9/150	0.039245740249040324	0.9999960282236389	0	0	2.0584839089062332	6.665190510714785	STEAP3;MMP14;SPARC;FOXD1;COL4A2;CMTM3;COL4A1;GPX8;TGFBI
CID988563 GD-71-OU80 BAID12 10UM	7/106	0.04227693972504769	0.9999960282236389	0	0	2.277617578118413	7.205273960196393	TUBA1C;FOXD1;COL4A2;ANXA2;CMTM3;ANXA5;TGFBI
CID78357767 QA-81-IM40 BAID30 0.1UM	5/64	0.04437755652959005	0.9999960282236389	0	0	2.7263882230181338	8.4927577164227	SPARC;FOXD1;CMTM3;SLC43A3;SERPINH1
CID71478195 SR9238 AF-16-GB72 BAID8 10UM	4/45	0.04677191624095663	0.9999960282236389	0	0	3.1363746860059964	9.60506071279297	CMTM3;COL4A2;LOX;LOXL2
AB-57-IZ37 BAID33 0.01UM	5/66	0.049566431845634876	0.9999960282236389	0	0	2.636725675786258	7.921887917025755	STEAP3;COL4A2;SLC43A3;SERPINH1;NES
CID147525 TAZAROTENICACID IF-03-OL58 BAID12 10UM	7/110	0.049910083275994284	0.9999960282236389	0	0	2.1887125792177904	6.560736491799181	SPARC;CMTM3;F2R;ANXA5;SERPINH1;IGFBP7;TMEM45A
CID4877 IC-91-IX22 BAID27 1UM	7/110	0.049910083275994284	0.9999960282236389	0	0	2.1887125792177904	6.560736491799181	FOXD1;COL4A2;CMTM3;COL4A1;SERPINH1;TAGLN2;TGFBI
CID10316032 SD-208 AA-86-YV75 BAID3 1UM	4/46	0.05004842213030805	0.9999960282236389	0	0	3.061540895427939	9.168593375349623	ANXA2;COL4A2;COL4A1;TGFBI
VA-48-TW80 BAID27 1UM	4/47	0.05344777521102968	0.9999960282236389	0	0	2.9901877462721163	8.758410213963021	SPARC;CMTM3;SLC43A3;SERPINH1
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	13/260	0.054060405543911325	0.9999960282236389	0	0	1.6993875920830745	4.958223707981339	APOBEC3C;CA12;SPARC;TGFB1I1;EMP3;MAGED4B;PLAU;SERPINH1;COL8A1;HOXB3;PLP2;TGFBI;NKX2-5
CID132471728 LA-44-KW22 BAID44 10UM	4/48	0.056969348428527855	0.9999960282236389	0	0	2.9220779220779223	8.372460105155517	NNMT;CMTM3;ANXA2;IGFBP7
CID3544 N-(2-AMINOETHYL)ISOQUINOLINE-5-SULFONAMIDE BE-45-UU35 BAID8 10UM	4/51	0.06825877004683459	0.9999960282236389	0	0	2.7351381918427937	7.342339953061849	SPARC;COL4A2;CMTM3;HOXC13
CID51039095 AZD-4547 BD-81-LB65 BAID39 1UM	4/52	0.0722598667071363	0.9999960282236389	0	0	2.678017718715393	7.036455129241027	FOXD1;CMTM3;SLC43A3;ADAMTS12
XB-53-OZ95 BAID51 1UM	9/174	0.08322449145631246	0.9999960282236389	0	0	1.7568752855185017	4.367967238914543	SPARC;FOXD1;COL4A2;ANXA2;FN1;TAGLN2;TGFBI;NES;S100A11
CID46872626 A-971432 XC-61-SE50 BAID43 1UM	5/77	0.08419262811148737	0.9999960282236389	0	0	2.2326215566648178	5.524952277252922	SPARC;MAGED4B;ANXA5;SERPINH1;TGFBI
LD-30-MF71 BAID47 1UM	4/56	0.08941705917683895	0.9999960282236389	0	0	2.4715052389470995	5.967310492127172	ANXA1;NNMT;ANXA2;VIM
CID55245 MIFEPRISTONE BD-23-MT28 BAID25 0.01UM	6/103	0.09290160491012556	0.9999960282236389	0	0	1.9893814432989692	4.727196748384522	STEAP3;SERPINH1;TAGLN2;GATA4;PLP2;NID1
CID10137940 BF-57-II91 BAID39 1UM	4/57	0.09398625522895668	0.9999960282236389	0	0	2.4247476963580517	5.733574717412774	SPARC;GPX8;SERPINH1;ADAMTS12
CID73432 BRUSATOL GA-88-CF36 BAID9 0.01UM	5/80	0.0953860691697973	0.9999960282236389	0	0	2.142983915696062	5.035632329408877	MAGED4B;COL4A2;SERPINH1;CHST14;NES
CID4877 IC-91-IX22 BAID28 10UM	7/129	0.09749281648032226	0.9999960282236389	0	0	1.8460275322258408	4.297508862566132	ABCC3;FOXD1;COL4A2;COL4A1;ANXA5;TAGLN2;TGFBI
CID9961435 TEGLARINAD OB-78-PA58 BAID7 1UM	9/182	0.1026350985560691	0.9999960282236389	0	0	1.674935370494089	3.8131165162678795	SPARC;FOXD1;CMTM3;F2R;PDPN;SERPINH1;TGFBI;VGLL2;NES
CA-48-CT20 BAID36 10UM	9/182	0.1026350985560691	0.9999960282236389	0	0	1.674935370494089	3.8131165162678795	CA12;TUBA1C;FOXD1;SRPX2;ANXA2;DYNLT1;TAGLN2;VIM;CLIC1
CID118693659 AZD-5153 HE-16-PO98 BAID14 0.1UM	11/235	0.10270816596752447	0.9999960282236389	0	0	1.5821578631452582	3.600775573059087	HOXA10;GDF15;TGFB1I1;F2R;SERPINH1;GPX8;COL8A1;EMP3;PLP2;TGFBI;TMEM45A
RD-89-FH52 BAID52 10UM	4/59	0.10344739106402574	0.9999960282236389	0	0	2.3363334340078525	5.300421191622311	TNFRSF12A;TAGLN2;EMP3;CLIC1
CID54680452 BA-39-LQ60 BAID48 10UM	5/83	0.1072952428985543	0.9999960282236389	0	0	2.060241477878749	4.598811207640116	PPP1R14B;TNFRSF12A;TAGLN2;PLP2;CLIC1
CID118694876 XB-35-TO54 BAID44 10UM	10/211	0.10919624105845971	0.9999960282236389	0	0	1.602140305185482	3.5481137604420554	APOBEC3C;PPP1R14B;MAGED4B;GDF15;TGFB1I1;SERPINH1;COL8A1;EMP3;TGFBI;CLIC1
CID294677 13H-BENZO[G]INDENO[1,2-B]QUINOXALIN-13-ONE IE-28-SY71 BAID49 0.01UM	6/108	0.11009392926376586	0.9999960282236389	0	0	1.8913725490196078	4.1731648205460035	TUBA1C;FOXD1;CMTM3;ANXA5;FN1;VIM
CID71291068 CPI-203 AE-32-DP61 BAID28 10UM	32/851	0.12310075667781038	0.9999960282236389	0	0	1.2643956894827975	2.648595524454942	SPARC;SLC43A3;TGFB1I1;TNC;HOXD11;ABCA13;HOXC10;HOXA10;FAM156B;SYDE1;MAGED4B;PLAU;SERPINH1;HOXA7;CLIC1;APOBEC3C;CA12;PPP1R14B;CMTM3;GDF15;F2R;GPX8;EMP3;COL4A2;CHI3L2;HOXB3;COL8A1;PLP2;TGFBI;NES;MDFI;TMEM45A
CID11364421 BI-2536 AB-30-CR11 BAID3 1UM	15/355	0.12345739582817737	0.9999960282236389	0	0	1.4223648850403106	2.975387007207949	APOBEC3C;TGFB1I1;F2R;GPX8;HOXC10;HOXA10;MMP14;MAGED4B;SERPINH1;COL8A1;HOXB3;TGFBI;HOXA7;HOXB7;TMEM45A
CID11238078 FA-16-KA99 BAID45 0.01UM	3/41	0.12699206057313328	0.9999960282236389	0	0	2.5341712490180677	5.229593612985477	TUBA1C;CMTM3;VIM
AE-56-RB57 BAID36 10UM	3/41	0.12699206057313328	0.9999960282236389	0	0	2.5341712490180677	5.229593612985477	SPARC;COL4A2;SLC43A3
CID5793932 LB-00-NP55 BAID5 0.01UM	5/88	0.1286606440341869	0.9999960282236389	0	0	1.9356293727321934	3.9691570863896097	PPP1R14B;TNFRSF12A;TAGLN2;AJUBA;SERINC2
CID10477021 BA-90-AA10 BAID47 1UM	4/64	0.12888251715349752	0.9999960282236389	0	0	2.1410852713178294	4.386771142431201	ANXA2;CMTM3;SERPINH1;VIM
FD-25-KX07 BAID23 1UM	4/64	0.12888251715349752	0.9999960282236389	0	0	2.1410852713178294	4.386771142431201	FKBP10;TNC;TGFBI;HOXB5
CID4858 OC-40-XI13 BAID27 1UM	10/226	0.1499789430138423	0.9999960282236389	0	0	1.489715386527467	2.8263779723616658	SPARC;CMTM3;GDF15;SERPINH1;GPX8;COL8A1;EMP3;PLP2;TGFBI;TMEM45A
CID86272865 INTEGRIN-ANTAGONIST-1 WC-54-BJ14 BAID31 1UM	4/68	0.15090747362966195	0.9999960282236389	0	0	2.0068521594684388	3.79513481399782	MMP14;SPARC;COL4A2;TGFBI
