Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID10316032 SD-208 AA-86-YV75 BAID3 1UM	5/46	0.034724231975960466	0.9999960365303618	0	0	2.966138417729355	9.967166855978263	ANXA2;COL4A1;MMP2;MFAP2;TGFBI
CID51039095 AZD-4547 BD-81-LB65 BAID39 1UM	5/52	0.054402698302570655	0.9999960365303618	0	0	2.5866724268279513	7.530686848314437	CMTM3;MTHFD2;SLC43A3;EIF4EBP1;ADAMTS12
CID4877 IC-91-IX22 BAID27 1UM	8/110	0.07101573312823593	0.9999960365303618	0	0	1.9088297739477957	5.048575744425308	TGIF1;CMTM3;COL4A1;MMP2;MFAP2;SERPINH1;TAGLN2;TGFBI
CID132471728 LA-44-KW22 BAID44 10UM	4/48	0.12175319707754437	0.9999960365303618	0	0	2.207973268809771	4.649460152213569	NNMT;CMTM3;ANXA2;IGFBP7
CID68487333 AB-86-GB42 BAID8 10UM	4/48	0.12175319707754437	0.9999960365303618	0	0	2.207973268809771	4.649460152213569	MMP2;MFAP2;TGFBI;SERINC2
CID25181410 YA-52-FO46 BAID20 10UM	4/51	0.1429870353929223	0.9999960365303618	0	0	2.066715206428822	4.019763793036265	TMEM37;MFAP2;SERPINH1;TGFBI
CID59259130 FD-20-DQ38 BAID27 1UM	5/72	0.15686860065958588	0.9999960365303618	0	0	1.8126373210091673	3.3576328732238885	CMTM3;MTHFD2;MMP2;SERPINH1;FN1
ZD-78-BS65 BAID51 1UM	3/38	0.19012691547776123	0.9999960365303618	0	0	2.080144665461121	3.4531721373740045	MTHFD2;RPLP0;MTFR2
CID11617407 RF-36-EI47 BAID11 1UM	5/78	0.1969901758100711	0.9999960365303618	0	0	1.663131910159238	2.7019264636771054	BCL2L12;MMP2;MFAP2;TGFBI;S100A11
CID67347910 SC-25-HE80 BAID26 0.1UM	4/58	0.19742831820624265	0.9999960365303618	0	0	1.7981504952354128	2.9172828723664277	TMEM37;MMP2;MFAP2;SERPINH1
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	3/40	0.21068822660901088	0.9999960365303618	0	0	1.9674991447143346	3.064135627771331	CMTM3;COL4A1;MFAP2
CID11697360 JD-50-EC04 BAID12 10UM	3/41	0.22114537618667404	0.9999960365303618	0	0	1.9156229180546303	2.8905504351505655	MFAP2;EIF4EBP1;TAGLN2
CID5092 ROLIPRAM AA-68-MW92 BAID43 1UM	4/63	0.23957296396240843	0.9999960365303618	0	0	1.64533522373311	2.3510149885772043	ANXA2;MTHFD2;SERPINH1;EMP3
CID9907093 TGX-221 CC-47-VS90 BAID43 1UM	3/43	0.2423510285536515	0.9999960365303618	0	0	1.8196518987341772	2.5791165045412603	MTHFD2;EIF4EBP1;SERPINH1
CID44193969 QE-98-XD90 BAID47 1UM	8/150	0.2453010644776797	0.9999960365303618	0	0	1.3682605185251637	1.922774074508273	STEAP3;MMP14;CMTM3;COL4A1;MMP2;MFAP2;GPX8;TGFBI
CID9883705 NS1652 JA-01-GQ75 BAID32 10UM	4/64	0.24824506635931826	0.9999960365303618	0	0	1.6178284748626954	2.254183266553749	TUBA1C;MTHFD2;SERPINH1;NACA2
CID40009526 S0-EE-Y96T BAID23 1UM	3/44	0.2530757458596757	0.9999960365303618	0	0	1.775177523927138	2.4392118683275887	APOBEC3C;MMP2;SERPINH1
CID97297 5-IODOTUBERCIDIN BD-69-GX17 BAID30 0.1UM	3/45	0.26386638667510204	0.9999960365303618	0	0	1.7328209764918625	2.3086589000087128	TGIF1;CMTM3;COL4A1
CID71478195 SR9238 AF-16-GB72 BAID8 10UM	3/45	0.26386638667510204	0.9999960365303618	0	0	1.7328209764918625	2.3086589000087128	CMTM3;LOX;LOXL2
CID4076092 HF-57-QB74 BAID38 0.1UM	3/45	0.26386638667510204	0.9999960365303618	0	0	1.7328209764918625	2.3086589000087128	MAGED4B;CMTM3;MMP2
VA-48-TW80 BAID27 1UM	3/47	0.28560140265877393	0.9999960365303618	0	0	1.6538837744533947	2.072577910036158	CMTM3;SLC43A3;SERPINH1
CID124203912 CC-91-VE57 BAID42 0.1UM	3/48	0.2965246156375955	0.9999960365303618	0	0	1.6170464135021096	1.9657221164158147	NNMT;MTHFD2;MMP9
CID5343381 CF-65-GU65 BAID39 1UM	3/49	0.30747144162157913	0.9999960365303618	0	0	1.581810676940011	1.8655449123610885	MFAP2;SERPINH1;TGFBI
BD-11-DV28 BAID32 10UM	8/161	0.3080725461144789	0.9999960365303618	0	0	1.2691561550310144	1.49432982027158	TMEM37;STEAP3;MAGED4B;ANXA2;MMP2;MFAP2;SERPINH1;S100A4
CID44195094 GB-06-BA49 BAID27 1UM	12/254	0.30842327274606857	0.9999960365303618	0	0	1.2041142421773314	1.4163781224822045	STEAP3;ANXA2;MTHFD2;COL4A1;MMP2;MFAP2;NACA2;TAGLN2;CYTL1;IGFBP7;TGFBI;S100A11
