Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	54/551	1.4838870654256883E-20	5.911806068655942E-17	0	0	5.423209413549359	247.60767187426453	ARHGAP11A;ERCC6L;HJURP;BUB1B;MKI67;CDC20;TUBA1C;PCLAF;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;WDR76;CCNA2;ASPM;MELK;CKS2;DEPDC1;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;PCNA;SLC43A3;TROAP;CDCA8;HMMR;TYMS;CENPA;SKA1;AURKA;CCNB2;CDC45;BUB1;E2F8;CENPU;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;CENPI;KIF4A;CDK2;CDK1;CENPM;PLP2;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	45/396	8.894155724938134E-20	1.7717158204076762E-16	0	0	6.299757361138435	276.34709332053137	ARHGAP11A;CDCA2;TROAP;HJURP;CDCA8;BUB1B;HMMR;MKI67;TYMS;CENPA;SKA1;AURKA;BCL2L12;CDC20;TUBA1C;CCNB2;CDC45;SERPINH1;PCLAF;NUSAP1;OIP5;TK1;GTSE1;BUB1;DLGAP5;CEP55;TCF19;RRM2;CKAP2L;UBE2C;PLK1;KIF23;WDR76;CCNA2;TMEM37;TPX2;MELK;RAD51;KIF4A;CDK1;CENPM;KIF20A;ASF1B;EZH2;APOBEC3B
CID44819306 CA-90-RU33 BAID12 10UM	39/300	2.517981708137021E-19	3.3438797084059634E-16	0	0	7.265381163322621	311.1447369010096	CDCA2;TROAP;HJURP;CDCA8;BUB1B;MKI67;TYMS;CENPA;SKA1;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;CDC45;PCLAF;TK1;BUB1;DLGAP5;CEP55;TCF19;RRM2;UBE2C;CKAP2L;PLK1;KIF23;WDR76;NDC80;CCNA2;TPX2;MELK;RAD51;KIF4A;CKS2;CDK1;CENPM;KIF20A;ASF1B;APOBEC3B
CID9907182 GB-94-XG34 BAID16 10UM	52/550	3.9420948518209417E-19	3.926326472413658E-16	0	0	5.184446117804551	219.7033702249985	ARHGAP11A;RPLP0;HJURP;BUB1B;MKI67;CDC20;TUBA1C;PCLAF;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;ANXA2;CKAP2L;KIF23;WDR76;CCNA2;ASPM;MELK;CKS2;TAGLN2;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA8;HMMR;CENPA;SKA1;AURKA;BCL2L12;CCNB2;CDC45;SERPINH1;EIF4EBP1;CENPU;PPP1R14B;RRM2;UBE2C;PLK1;TPX2;RAD51;KIF4A;MFAP2;CDK1;CENPM;VIM;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	50/579	8.643121208395439E-17	6.886838978849486E-14	0	0	4.6610086486380595	172.39757897710422	ARHGAP11A;ERCC6L;HJURP;BUB1B;MKI67;CDC20;TUBA1C;MDK;PCLAF;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;GPX8;KIF23;WDR76;CCNA2;TMEM37;ASPM;NEIL3;MELK;CKS2;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA8;CENPA;SKA1;AURKA;BCL2L12;CCNB2;CDC45;SERPINH1;BUB1;CA12;RRM2;UBE2C;PLK1;TPX2;RAD51;KIF4A;MFAP2;CENPM;PLP2;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	39/360	1.4721461118648438E-16	9.775050182782563E-14	0	0	5.889003978436404	214.6815212394418	CDCA2;PCNA;TROAP;HJURP;CDCA8;BUB1B;MKI67;TYMS;CENPA;SKA1;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;CDC45;PCLAF;NUSAP1;TK1;GTSE1;DLGAP5;TCF19;RRM2;UBE2C;CKAP2L;PLK1;KIF23;WDR76;CCNA2;TPX2;MELK;KIF4A;CDK1;CENPM;KIF20A;MTFR2;PRR11;ASF1B;EZH2
CID71678945 NA-16-OJ70 BAID32 10UM	37/328	2.457623683792783E-16	1.3987389651757782E-13	0	0	6.141651379307375	220.7442569944668	CDCA2;TROAP;HJURP;CDCA8;BUB1B;MKI67;TYMS;CENPA;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;CDC45;PCLAF;SERPINH1;OIP5;TK1;GTSE1;DLGAP5;RRM2;UBE2C;PLK1;WDR76;NDC80;TPX2;TMEM37;MELK;KIF4A;MFAP2;CKS2;CENPM;TAGLN2;KIF20A;TGFBI;PRR11;ASF1B
CID101476432 RC-52-AC88 BAID28 10UM	60/834	3.164288448576868E-16	1.5758156473912803E-13	0	0	3.8739073066138876	138.25755633819674	ARHGAP11A;RPLP0;TNC;HJURP;BUB1B;MKI67;CDC20;TUBA1C;PCLAF;RCC1;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;ANXA2;CKAP2L;KIF23;WDR76;CCNA2;TMEM37;NEIL3;MELK;CKS2;DEPDC1;TAGLN2;MTFR2;KIF20A;PRR11;CDCA2;TROAP;CDCA8;HMMR;CENPA;SKA1;AURKA;BCL2L12;CCNB2;CDC45;SERPINH1;EIF4EBP1;BUB1;CA12;PPP1R14B;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;CENPI;KIF4A;MFAP2;CDK1;CENPM;VIM;TGFBI;EZH2;APOBEC3B
CID44818584 AA-42-XZ05 BAID32 10UM	19/74	1.2997313446958887E-15	5.753477419187134E-13	0	0	16.161805101373446	553.9720327368647	RRM2;CKAP2L;UBE2C;TROAP;PLK1;HJURP;CDCA8;MKI67;TYMS;AURKA;CDC20;TUBA1C;TPX2;KIF4A;PCLAF;CENPM;TK1;KIF20A;PRR11
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	29/217	5.523517167006544E-15	2.200569239335407E-12	0	0	7.3436144074441945	241.0891100554063	CDCA2;TROAP;HJURP;CDCA8;BUB1B;MKI67;CENPA;CDC20;BCL2L12;TUBA1C;CDC45;PCLAF;SERPINH1;TK1;DLGAP5;TCF19;RRM2;UBE2C;PLK1;WDR76;TPX2;MELK;KIF4A;MFAP2;CENPM;TAGLN2;KIF20A;PLP2;ASF1B
CID151345176 AC-45-YY00 BAID36 10UM	20/92	7.520810599719459E-15	2.7239008572074842E-12	0	0	13.015491452991453	423.2781312432972	RRM2;UBE2C;PLK1;HJURP;BUB1B;CDCA8;KIF23;MKI67;CENPA;AURKA;CDC20;CCNA2;TUBA1C;TPX2;KIF4A;CENPM;TK1;KIF20A;PRR11;DLGAP5
CID71678945 NA-16-OJ70 BAID31 1UM	49/636	1.592161589108796E-14	5.285976475841202E-12	0	0	4.093309386403955	130.04893660263986	ERCC6L;HJURP;BUB1B;MKI67;CDC20;TUBA1C;MDK;PCLAF;RCC1;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;WDR76;CCNA2;TMEM37;MELK;MTFR2;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;CENPA;SKA1;AURKA;BCL2L12;CCNB2;CDC45;SERPINH1;BUB1;E2F8;CENPU;RRM2;UBE2C;PLK1;TPX2;RAD51;KIF4A;MFAP2;CDK1;CENPM;PLP2;APOBEC3B
CID72710839 BLU-9931 HF-79-EC41 BAID4 10UM	43/520	6.492740272257938E-14	1.9897751726673558E-11	0	0	4.378195998100939	132.94613960944918	CDCA2;TROAP;HJURP;CDCA8;BUB1B;MKI67;CENPA;SKA1;AURKA;BCL2L12;CDC20;TUBA1C;CCNB2;CDC45;SERPINH1;PCLAF;TK1;GTSE1;CEP55;DLGAP5;TCF19;CA12;RRM2;ANXA2;CMTM3;CKAP2L;UBE2C;PLK1;KIF23;CCNA2;TMEM37;TPX2;MELK;KIF4A;MFAP2;CDK1;CENPM;VIM;KIF20A;TGFBI;PRR11;ASF1B;APOBEC3B
EA-73-UC67 BAID36 10UM	25/177	1.1981715415780432E-13	3.4096538726049455E-11	0	0	7.768280189524907	231.12816085083972	CDCA2;HJURP;BUB1B;CDCA8;MKI67;CENPA;AURKA;CDC20;TUBA1C;PCLAF;TK1;BUB1;DLGAP5;RRM2;UBE2C;CKAP2L;PLK1;TPX2;MELK;KIF4A;DEPDC1;CENPM;KIF20A;TGFBI;APOBEC3B
CID53378674 BB-86-UL91 BAID23 1UM	20/107	1.5956322820496028E-13	4.237999341123745E-11	0	0	10.76315207780725	317.1506570092705	RRM2;UBE2C;TROAP;PLK1;CDCA8;MKI67;TYMS;AURKA;CDC20;CCNB2;TPX2;MELK;CDC45;KIF4A;PCLAF;CENPM;KIF20A;TK1;GTSE1;DLGAP5
BE-04-AN21 BAID11 1UM	28/240	5.148889110314776E-13	1.282073388468379E-10	0	0	6.264520902700703	177.25352405557715	CDCA2;TROAP;HJURP;CDCA8;MKI67;CENPA;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;PCLAF;TK1;GTSE1;DLGAP5;TCF19;RRM2;UBE2C;PLK1;TPX2;MELK;KIF4A;CDK1;CENPM;KIF20A;PRR11;ASF1B;APOBEC3B
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	49/703	6.943578554833528E-13	1.6272480566151043E-10	0	0	3.6609929750531416	102.49238658694031	ARHGAP11A;HJURP;BUB1B;MKI67;CDC20;TUBA1C;PCLAF;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;WDR76;CCNA2;MELK;KIF20A;PRR11;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;SKA1;AURKA;BCL2L12;CCNB2;CDC45;BUB1;CA12;CENPU;POLQ;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;RAD51;CENPI;KIF4A;CDK2;CDK1;CENPM;APOBEC3B
