Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	79/551	2.054871219566762E-21	8.501002235347695E-18	0	0	4.011362894628054	191.0775560560679	ARHGAP11A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;FOXM1;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;OIP5;MYBL2;TK1;DLGAP5;CEP55;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;MELK;MTHFD2;TMSB15A;KIFC1;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;SLC43A3;TROAP;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;CENPU;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;PLK1;NDC80;TPX2;RAD51;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;PLP2;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	65/396	6.448024954808984E-21	1.3337739619022384E-17	0	0	4.658263582784409	216.56506401395248	ARHGAP11A;LRR1;HJURP;BUB1B;YBX1;FOXM1;CDC20;TUBA1C;CSRP2;PTTG1;NUF2;PBK;PCLAF;NUSAP1;OIP5;MYBL2;TK1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;CDC25C;PIMREG;WDR76;CCNA2;TMEM37;MELK;MTHFD2;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;RAD51;KIF4A;CDK1;CENPM;NES;SPC24;APOBEC3B;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	55/300	3.8237628129102224E-20	5.2729689190031965E-17	0	0	5.282918646910819	236.20175925862523	HJURP;BUB1B;FOXM1;CDC20;TUBA1C;PTTG1;PCLAF;PBK;MYBL2;TK1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;MTHFD2;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;KIF4A;CDK1;CENPM;SPC24;APOBEC3B;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	27/74	1.3750934556155801E-18	1.4221904064704137E-15	0	0	13.200322605422844	542.9029998202486	TROAP;HJURP;CDCA8;FOXM1;TYMS;AURKB;AURKA;CDC20;TUBA1C;PTTG1;PCLAF;MYBL2;TK1;RRM2;CKAP2L;UBE2C;PLK1;ESCO2;PIMREG;TPX2;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID53378674 BB-86-UL91 BAID24 10UM	58/360	2.1912288046889992E-18	1.813022712999678E-15	0	0	4.522847682119205	183.90834538340127	LRR1;HJURP;NRM;BUB1B;FOXM1;CDC20;TUBA1C;PTTG1;PCLAF;PBK;NUSAP1;MYBL2;TK1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;MTHFD2;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF4A;CDK1;CENPM;SPC24;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	71/550	8.027853803316992E-17	5.535205197387066E-14	0	0	3.515034233220947	130.27078692224399	ARHGAP11A;LRR1;RPLP0;HJURP;BUB1B;MCM10;YBX1;FOXM1;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;OIP5;MYBL2;TK1;DLGAP5;CEP55;TCF19;EIF5AL1;ANXA2;CKAP2L;KIF23;ESCO2;PIMREG;WDR76;CCNA2;MELK;MTHFD2;KIFC1;CKS2;BIRC5;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;GNG5;SERPINH1;EIF4EBP1;CENPU;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;PLK1;TPX2;RAD51;CENPH;KIF4A;CDK1;CENPM;VIM;NES;APOBEC3B;SPC25
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	42/217	1.4909515031813681E-16	8.811523383801886E-14	0	0	5.5785294117647055	203.29247304444291	CDCA2;TROAP;HJURP;CDCA8;BUB1B;FOXM1;CENPA;NCAPH;AURKB;AQP1;CDC20;BCL2L12;TUBA1C;CDC45;PTTG1;PCLAF;SERPINH1;MYBL2;TK1;DLGAP5;EIF5AL1;TCF19;GINS2;CDKN2C;RRM2;UBE2C;PLK1;WDR76;TPX2;DEPDC1B;MELK;CENPH;KIF4A;CENPM;BIRC5;TAGLN2;KIF2C;KIF20A;PLP2;NES;ASF1B;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	72/579	3.609028045191303E-16	1.8663186278695526E-13	0	0	3.3669090744839423	119.72029358944694	ARHGAP11A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;YBX1;FOXM1;AQP1;CDC20;TUBA1C;CSRP2;PTTG1;MDK;PBK;PCLAF;OIP5;MYBL2;TK1;DLGAP5;CEP55;TCF19;CKAP2L;ACTL6A;KIF23;ESCO2;CDC25C;PIMREG;WDR76;CCNA2;TMEM37;NEIL3;MELK;TMSB15A;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;UHRF1;TROAP;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;E2F2;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;RAD51;CENPH;KIF4A;CENPM;PLP2;NES;APOBEC3B;SPC25
CID151345176 AC-45-YY00 BAID36 10UM	27/92	7.763571770919195E-16	3.568655157365857E-13	0	0	9.535851152457651	331.7705607001988	HJURP;BUB1B;CDCA8;CENPA;AURKB;AURKA;CDC20;TUBA1C;PTTG1;TK1;DLGAP5;RRM2;CDKN2C;UBE2C;PLK1;KIF23;PIMREG;CDC25C;CCNA2;TPX2;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID71678945 NA-16-OJ70 BAID32 10UM	49/328	2.1313176731892497E-14	8.817261213983925E-12	0	0	4.095002015852129	128.90841484245578	LRR1;HJURP;NRM;BUB1B;MCM10;FOXM1;CDC20;TUBA1C;PCLAF;OIP5;MYBL2;TK1;DLGAP5;ESCO2;PIMREG;WDR76;TMEM37;MELK;TMSB15A;KIFC1;CKS2;BIRC5;TAGLN2;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF4A;CENPM;NES
