Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	9/44	1.2030465322579524E-4	0.43800866065024624	0	0	5.528136575938154	49.89410410052623	CDC20;PTTG1;UBE2C;LRR1;PBK;PCLAF;BIRC5;KIF2C;DLGAP5
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	22/217	3.121360654108928E-4	0.43800866065024624	0	0	2.4408730857243444	19.702901724119673	EIF5AL1;GINS2;CDKN2C;UBE2C;WDR76;AQP1;CDC20;BCL2L12;TPX2;TUBA1C;MEX3A;MELK;CDC45;CENPH;PTTG1;PCLAF;BIRC5;TAGLN2;KIF2C;NES;DLGAP5;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	11/74	4.32891984783184E-4	0.43800866065024624	0	0	3.7566316922249126	29.095196300007892	CDC20;TUBA1C;TPX2;PTTG1;UBE2C;PCLAF;BIRC5;KIF2C;ESCO2;TYMS;AURKA
CID44819306 CA-90-RU33 BAID12 10UM	27/300	4.7908752510305745E-4	0.43800866065024624	0	0	2.143160636831523	16.381521050394504	TYMS;SKA1;AURKA;CDC20;BCL2L12;TUBA1C;CDC45;PTTG1;PCLAF;PBK;DLGAP5;GINS2;CDKN2C;UBE2C;ESCO2;CDC25C;WDR76;NDC80;TPX2;MELK;RAD51;MTHFD2;CKS2;CDK1;BIRC5;KIF2C;SPC25
JD-02-GA59 BAID32 10UM	13/101	5.703237768883415E-4	0.43800866065024624	0	0	3.1814063626068156	23.762898678623415	ANXA2;UBE2C;TYMS;AQP1;CDC20;TPX2;TUBA1C;CDC45;CENPH;PCLAF;BIRC5;TAGLN2;NES
CID53378674 BB-86-UL91 BAID23 1UM	13/107	9.899578521157773E-4	0.6335730253540974	0	0	2.977398134984699	20.59718829711473	GINS2;UBE2C;TYMS;AURKA;CDC20;TPX2;MELK;CDC45;PTTG1;PCLAF;BIRC5;KIF2C;DLGAP5
XA-12-UL84 BAID35 1UM	10/73	0.0014874703682562444	0.8159837448719969	0	0	3.4112651832742125	22.209650344979437	TUBA1C;GINS2;SPARC;MELK;MTHFD2;UBE2C;PCLAF;CDK1;BIRC5;WDR76
CB-25-VR83 BAID36 10UM	30/378	0.0018381830278033243	0.8229585903003549	0	0	1.8670860874412678	11.760733591683422	SPARC;LRR1;NCAPG;YBX1;TYMS;AURKA;CDC20;TUBA1C;CSRP2;CDC45;PTTG1;EXO1;NUF2;PCLAF;PBK;OIP5;DLGAP5;GINS2;ANXA2;UBE2C;ESCO2;CDC25C;TPX2;MELK;MTHFD2;BIRC5;TAGLN2;KIF2C;NES;DTL
CID71678945 NA-16-OJ70 BAID30 0.1UM	31/396	0.0019288091960164568	0.8229585903003549	0	0	1.8399208171668382	11.501073572391077	LRR1;YBX1;TYMS;SKA1;AURKA;BCL2L12;CDC20;TUBA1C;CSRP2;CDC45;ORC1;PTTG1;NUF2;PBK;PCLAF;OIP5;DLGAP5;GINS2;CDKN2C;UBE2C;CDC25C;WDR76;TPX2;MELK;RAD51;MTHFD2;CDK1;BIRC5;KIF2C;NES;SPC25
CID151345176 AC-45-YY00 BAID36 10UM	11/92	0.0026873204015671415	0.9999960152555277	0	0	2.919062565390249	17.278546415062216	CDC20;TUBA1C;TPX2;CDKN2C;PTTG1;UBE2C;BIRC5;KIF2C;CDC25C;DLGAP5;AURKA
PB-63-WH18 BAID36 10UM	20/226	0.0029867032848720537	0.9999960152555277	0	0	2.0944717825952033	12.176389906150819	SPARC;ANXA2;UBE2C;SKA1;AQP1;AURKA;CDC20;TPX2;TUBA1C;CCDC80;MELK;MTHFD2;PCLAF;PBK;ID3;BIRC5;TAGLN2;KIF2C;NES;DLGAP5
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	39/551	0.0033759340550688303	0.9999960152555277	0	0	1.6524941656942824	9.404481843789394	PCNA;SLC43A3;LRR1;CDCA7;TYMS;SKA1;AURKA;CDC20;TUBA1C;CDC45;ORC1;PTTG1;NUF2;PBK;PCLAF;OIP5;DLGAP5;GINS2;GAS2L3;CDKN2C;DDIAS;UBE2C;ESCO2;CDC25C;WDR76;NDC80;SGO1;TPX2;MELK;RAD51;CENPH;MTHFD2;CDK2;CKS2;CDK1;BIRC5;KIF2C;DTL;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	28/360	0.0034051669510881794	0.9999960152555277	0	0	1.8239409249902838	10.36447373693607	PCNA;LRR1;TYMS;SKA1;AURKA;CDC20;BCL2L12;TUBA1C;CDC45;PTTG1;ORC1;PCLAF;PBK;DLGAP5;GINS2;CDKN2C;UBE2C;ESCO2;CDC25C;WDR76;TPX2;MELK;MTHFD2;CDK1;BIRC5;KIF2C;DTL;SPC25
CID101476432 RC-52-AC88 BAID27 1UM	11/96	0.0037530274738322017	0.9999960152555277	0	0	2.7811100033233633	15.533034560801198	CDC20;TPX2;CCDC80;MELK;MTHFD2;UBE2C;PCLAF;BIRC5;ID3;YBX1;DLGAP5
CID104758 IB-06-YD91 BAID23 1UM	11/100	0.005132162934407383	0.9999960152555277	0	0	2.6555576715546243	14.000705734697975	CDC20;TPX2;PTTG1;ANXA2;UBE2C;CKS2;BIRC5;OIP5;CDC25C;DLGAP5;AURKA
CID9907182 GB-94-XG34 BAID16 10UM	38/550	0.005598216301859939	0.9999960152555277	0	0	1.6082459207459208	8.339249231828294	LRR1;RPLP0;CDCA7;YBX1;SKA1;AURKA;BCL2L12;CDC20;TUBA1C;CDC45;PTTG1;GNG5;NUF2;PBK;EIF4EBP1;PCLAF;OIP5;DLGAP5;EIF5AL1;GINS2;PPP1R14B;CDKN2C;ANXA2;UBE2C;ESCO2;WDR76;TPX2;MELK;RAD51;CENPH;MTHFD2;CKS2;CDK1;BIRC5;TAGLN2;KIF2C;NES;SPC25
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	17/198	0.007921378414439647	0.9999960152555277	0	0	2.0219548834373566	9.782601990653625	CDKN2C;UBE2C;ESCO2;AURKA;CDC20;TUBA1C;MELK;CDC45;PTTG1;MTHFD2;PCLAF;PBK;EIF4EBP1;ID3;BIRC5;KIF2C;DLGAP5
CID11467730 BMS-509744 GA-09-TM90 BAID28 10UM	18/216	0.008631708204255208	0.9999960152555277	0	0	1.9575481466142057	9.30288122251918	GINS2;UBE2C;LRR1;ESCO2;YBX1;TYMS;SGO1;TUBA1C;MELK;CDC45;RAD51;PTTG1;MTHFD2;PCLAF;EIF4EBP1;BIRC5;KIF2C;DTL
PF-84-RH50 BAID36 10UM	19/237	0.010521343863971704	0.9999960152555277	0	0	1.876884290690741	8.547986723258088	SPARC;ANXA2;UBE2C;TYMS;AQP1;AURKA;CDC20;TPX2;TUBA1C;CCDC80;MELK;PCLAF;PBK;ID3;BIRC5;TAGLN2;KIF2C;S100A4;NES
CID104758 IB-06-YD91 BAID22 0.1UM	10/97	0.011560694268902614	0.9999960152555277	0	0	2.46711294465634	11.003679884796963	CDC20;TPX2;PTTG1;TNFRSF12A;UBE2C;CKS2;BIRC5;KIF2C;DLGAP5;AURKA
CID2733526 TAMOXIFEN AE-37-MC27 BAID23 1UM	24/326	0.012118697550023825	0.9999960152555277	0	0	1.7135305911659275	7.561820380720176	EIF5AL1;GINS2;SPARC;CDKN2C;UBE2C;RPLP0;YBX1;CDC25C;AURKA;BCL2L12;TPX2;CCDC80;MELK;CENPH;MTHFD2;NUF2;PCLAF;EIF4EBP1;CDK1;BIRC5;KIF2C;OIP5;NES;DLGAP5
CID71678945 NA-16-OJ70 BAID32 10UM	24/328	0.012981476595050605	0.9999960152555277	0	0	1.7020762916465475	7.39421397760457	GINS2;CDKN2C;UBE2C;LRR1;ESCO2;TYMS;WDR76;NDC80;AURKA;CDC20;BCL2L12;TPX2;TUBA1C;MELK;CDC45;ORC1;PCLAF;CKS2;BIRC5;TAGLN2;KIF2C;OIP5;NES;DLGAP5
CID44632017 AA-30-BE85 BAID19 1UM	13/147	0.01496662145167727	0.9999960152555277	0	0	2.0842277851963287	8.757785080683782	GINS2;CDKN2C;UBE2C;CDC25C;TYMS;HOXC11;TUBA1C;CCDC80;MELK;MTHFD2;PCLAF;BIRC5;SPC25
CID370853 N-DESMETHYLTRIFLUOPERAZINE HE-34-NJ16 BAID28 10UM	5/34	0.01687911997231996	0.9999960152555277	0	0	3.6911258175625994	15.065986769842302	UBE2C;MTHFD2;PCLAF;BIRC5;YBX1
UB-62-DF90 BAID36 10UM	10/104	0.018192078359233706	0.9999960152555277	0	0	2.2825512703520485	9.145655750019062	TPX2;TUBA1C;SPARC;MELK;UBE2C;PCLAF;BIRC5;KIF2C;TYMS;AURKA
CID45483510 IC-05-WD74 BAID15 1UM	6/48	0.019631355734397785	0.9999960152555277	0	0	3.0597110754414127	12.026583603790097	TUBA1C;MELK;UBE2C;MTHFD2;PCLAF;SPC25
CID4858 OC-40-XI13 BAID28 10UM	6/48	0.019631355734397785	0.9999960152555277	0	0	3.0597110754414127	12.026583603790097	RAD51;MTHFD2;PCLAF;YBX1;ESCO2;TYMS
FF-96-HL81 BAID36 10UM	29/431	0.019650189175322373	0.9999960152555277	0	0	1.5561121727005114	6.115004697266684	SPARC;LRR1;YBX1;TYMS;SKA1;AURKA;TUBA1C;CSRP2;CDC45;PCLAF;DLGAP5;EIF5AL1;GINS2;ANXA2;DYNLT1;DDIAS;UBE2C;ESCO2;CDC25C;TPX2;MELK;CCDC80;MTHFD2;BIRC5;TAGLN2;KIF2C;NES;DTL;SPC25
CID91757965 AE-67-DS75 BAID28 10UM	16/204	0.02149788258515657	0.9999960152555277	0	0	1.8294003868471953	7.0245331295071605	GINS2;ANXA2;UBE2C;YBX1;TYMS;CDC25C;CDC20;TPX2;TUBA1C;MELK;MTHFD2;PCLAF;PBK;EIF4EBP1;BIRC5;KIF2C
CID137636547 GD-39-YG36 BAID52 10UM	10/108	0.02305347904774461	0.9999960152555277	0	0	2.1889252314921452	8.252113692296163	TUBA1C;MAGED4B;CCDC80;MELK;ANXA2;UBE2C;BIRC5;KIF2C;SKA1;DLGAP5
CID134149230 FB-98-HM88 BAID4 10UM	25/366	0.024522833024339385	0.9999960152555277	0	0	1.579318611095212	5.856351311010011	LRR1;HOXC11;SKA1;CDC20;BCL2L12;CDC45;PCLAF;EIF4EBP1;DLGAP5;EIF5AL1;GINS2;CDKN2C;UBE2C;CDC25C;WDR76;TPX2;MELK;RAD51;MTHFD2;CDK1;BIRC5;KIF2C;NES;DTL;SPC25
GC-69-JF03 BAID34 0.1UM	6/51	0.02575884507945781	0.9999960152555277	0	0	2.8552808988764045	10.44740774462657	PCNA;PRDX4;PTTG1;PCLAF;NCAPG;SPC25
CB-45-VH79 BAID36 10UM	7/65	0.02584834794187122	0.9999960152555277	0	0	2.5856638609828946	9.451916453318995	CDC20;TPX2;UBE2C;BIRC5;KIF2C;NES;AURKA
CID327044 MITONAFIDE AC-35-CK01 BAID7 1UM	9/99	0.03341934193672853	0.9999960152555277	0	0	2.143630214205186	7.28538547618538	CDC20;TPX2;GINS2;MELK;CDKN2C;PCLAF;BIRC5;WDR76;AURKA
CID51039247 MOMIPP UC-80-UO92 BAID20 10UM	17/235	0.03593076198060417	0.9999960152555277	0	0	1.6754965505004644	5.5729720705941315	SPARC;ANXA2;UBE2C;TYMS;CDC25C;HOXC11;TUBA1C;MAGED4B;MELK;CDC45;CENPH;ORC1;MTHFD2;PCLAF;CDK1;OIP5;NES
CID3035817 K252A DC-93-NP78 BAID15 1UM	10/117	0.03730168413110606	0.9999960152555277	0	0	2.003860678044767	6.59013028152172	GINS2;MELK;CDC45;UBE2C;EIF4EBP1;PBK;BIRC5;KIF2C;CDC25C;SKA1
CID16016585 CDN1163 BD-58-PT20 BAID27 1UM	14/185	0.03902444703395959	0.9999960152555277	0	0	1.75744917850181	5.700404128308322	CDKN2C;UBE2C;TYMS;AURKA;TPX2;MELK;CENPH;MTHFD2;NUF2;PCLAF;CDK1;PBK;BIRC5;KIF2C
CID78357767 QA-81-IM40 BAID32 10UM	21/311	0.04095420310910802	0.9999960152555277	0	0	1.5570206896551724	4.975149508090736	EIF5AL1;GINS2;CDKN2C;UBE2C;RPLP0;CDC25C;WDR76;SKA1;CDC20;BCL2L12;TPX2;TUBA1C;ZNF90;MAGED4B;MELK;MTHFD2;PCLAF;EIF4EBP1;BIRC5;KIF2C;NES
BE-04-AN21 BAID11 1UM	17/240	0.042475750648279104	0.9999960152555277	0	0	1.637495727411398	5.1725574285565195	GINS2;CDKN2C;UBE2C;LRR1;AURKA;CDC20;BCL2L12;TPX2;TUBA1C;MELK;PTTG1;PCLAF;CDK1;BIRC5;KIF2C;NES;DLGAP5
CID5081913 IMD-0354 LB-65-SM65 BAID32 10UM	23/351	0.044719228012061595	0.9999960152555277	0	0	1.50814405051267	4.68633399878743	PPP1R14B;SPARC;PCNA;CDKN2C;ANXA2;UBE2C;ESCO2;TYMS;CDC25C;AQP1;AURKA;CDC20;TPX2;CCDC80;MAGED4B;MELK;CDC45;PCLAF;BIRC5;TAGLN2;S100A4;NES;DLGAP5
CID44397706 MA-25-RP17 BAID28 10UM	11/139	0.048035644076581153	0.9999960152555277	0	0	1.8426553672316384	5.593955199651059	CDC20;MELK;PTTG1;ANXA2;MTHFD2;UBE2C;PCLAF;CDK1;BIRC5;YBX1;TYMS
CID9862831 SB-28-EJ14 BAID19 1UM	9/106	0.04835090991280937	0.9999960152555277	0	0	1.9882030242099513	6.022804248275313	TUBA1C;GINS2;MELK;CDC45;ACTL6A;PCLAF;NCAPG;BIRC5;SKA1
EA-73-UC67 BAID36 10UM	13/177	0.05535551668023274	0.9999960152555277	0	0	1.7002734580007182	4.920555606516112	CDKN2C;UBE2C;AURKA;CDC20;TPX2;TUBA1C;MELK;PCLAF;PBK;BIRC5;KIF2C;NES;DLGAP5
CID46398810 AB-12-PP61 BAID12 10UM	17/250	0.05805274835640452	0.9999960152555277	0	0	1.566386891073059	4.458568701979049	IKBIP;GINS2;SPARC;CDKN2C;ANXA2;UBE2C;YBX1;AURKA;CCDC80;MELK;PCLAF;CDK1;ID3;NOX4;BIRC5;TAGLN2;NES
