Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	87/551	3.696894890387361E-50	1.4843032984905254E-46	0	0	10.413335755813954	1185.2642177889195	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;ASPM;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;SLC43A3;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;RAD51;KIF18B;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;PLP2;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	66/396	2.3018817673954782E-39	4.6210276480464224E-36	0	0	10.541917808219178	937.8837681121623	ARHGAP11A;TOP2A;LRR1;HJURP;BUB1B;YBX1;FOXM1;MKI67;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;NUSAP1;OIP5;MYBL2;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;CDC25C;PIMREG;WDR76;CCNA2;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;RAD51;KIF18B;KIF4A;CDK1;CENPM;EZH2;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	63/360	6.926982609021624E-39	9.27061172507394E-36	0	0	11.108695652173912	976.0699238406676	TOP2A;LRR1;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;TUBA1C;PTTG1;PCLAF;PBK;NUSAP1;MYBL2;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;KIF4A;CDK1;CENPM;EZH2;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	74/550	1.3981712800702988E-37	1.4034144223705624E-34	0	0	8.314396346774004	705.563692223083	ARHGAP11A;TOP2A;LRR1;HJURP;BUB1B;MCM10;YBX1;FOXM1;MKI67;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;TCF19;ANXA2;CKAP2L;KIF23;ESCO2;PIMREG;WDR76;CCNA2;ASPM;MELK;ESPL1;MTHFD2;KIFC1;CKS2;BIRC5;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;GNG5;EIF4EBP1;CENPU;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;RAD51;KIF18B;CENPH;KIF4A;MFAP2;CDK1;CENPM;VIM;APOBEC3B;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	57/300	3.161388821806289E-37	2.5385952239104502E-34	0	0	12.121014062190532	1018.7062270397436	TOP2A;HJURP;BUB1B;MKI67;FOXM1;CDC20;TUBA1C;PTTG1;PCLAF;PBK;MYBL2;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;MTHFD2;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;APOBEC3B;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	74/579	4.834339253627426E-36	3.234978683885686E-33	0	0	7.825032587292343	636.3106702039065	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;YBX1;FOXM1;MKI67;LMNB1;CDC20;TUBA1C;PTTG1;EME1;PBK;PCLAF;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;GPX8;KIF23;ESCO2;CDC25C;PIMREG;WDR76;CCNA2;ASPM;NEIL3;MELK;ESPL1;TMSB15A;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;RAD51;KIF18B;CENPH;KIF4A;MFAP2;CENPM;PLP2;APOBEC3B;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	87/834	1.405511479495175E-35	8.061612271675896E-33	0	0	6.372443261417764	511.3890622533812	ARHGAP11A;TOP2A;CDCA7L;LRR1;TNC;HJURP;NRM;BUB1B;MCM10;YBX1;FOXM1;MKI67;KIF15;LMNB1;CDC20;TUBA1C;PTTG1;EME1;PBK;PCLAF;RCC1;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;TCF19;ANXA2;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;ZNF90;NEIL3;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;CKS2;DEPDC1;BIRC5;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;DTL;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;EIF4EBP1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;RAD51;KIF18B;CENPH;CENPI;KIF4A;MFAP2;CDK1;CENPM;VIM;EZH2;APOBEC3B;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	79/703	1.7127987388778729E-34	8.596108670743325E-32	0	0	6.813879479895105	529.7775244830123	ARHGAP11A;TOP2A;LRR1;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;TUBA1C;PTTG1;EME1;NUF2;PBK;PCLAF;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;F2R;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;MELK;ESPL1;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;BUB1;CENPU;GINS2;POLQ;CDKN2C;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;WEE1;RAD51;KIF18B;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID32 10UM	53/328	5.990052666661267E-31	2.6722290507383314E-28	0	0	9.837248677248677	684.5745061005008	TOP2A;LRR1;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;CDC20;TUBA1C;EME1;PCLAF;OIP5;MYBL2;GTSE1;DLGAP5;ESCO2;PIMREG;WDR76;MELK;ESPL1;TMSB15A;KIFC1;CKS2;BIRC5;TAGLN2;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;KIF4A;MFAP2;CENPM
CID71678945 NA-16-OJ70 BAID31 1UM	69/636	3.9193490226014735E-29	1.5736186325744915E-26	0	0	6.387880382355521	417.8251370028448	TOP2A;ERCC6L;LRR1;HJURP;NRM;BUB1B;FOXM1;MKI67;LMNB1;CDC20;TUBA1C;PBK;PCLAF;RCC1;MYBL2;OIP5;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;CCNA2;DEPDC1B;MELK;ESPL1;KIFC1;BIRC5;KIF2C;MTFR2;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;RAD51;KIF18B;CENPH;KIF4A;MFAP2;CDK1;CENPM;PLP2;APOBEC3B;SPC25
BE-04-AN21 BAID11 1UM	44/240	3.527418271505079E-28	1.2875076690993537E-25	0	0	11.23783156673522	710.3637453745047	TOP2A;CDCA2;LRR1;TROAP;HJURP;CDCA8;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;PTTG1;PCLAF;MYBL2;GTSE1;DLGAP5;TCF19;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;PIMREG;TPX2;MELK;KIF18B;ESPL1;KIFC1;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;APOBEC3B
