Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	74/551	7.465610224157556E-20	3.0534345816804406E-16	0	0	3.938819339551528	173.4710971360825	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;KIF15;LMNB1;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;OIP5;MYBL2;TK1;DLGAP5;CEP55;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;ASPM;KIFC1;FANCD2;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;SLC43A3;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;CCNB2;CDC45;ORC1;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;CBX2;NDC80;TPX2;RAD51;CENPH;CENPI;KIF4A;CDK2;CDK1;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	58/396	1.557611212152361E-17	3.1853149288515784E-14	0	0	4.295865846279576	166.25341576401624	ARHGAP11A;TOP2A;LRR1;HJURP;BUB1B;YBX1;CDC20;TUBA1C;CSRP2;PTTG1;NUF2;PBK;PCLAF;NUSAP1;OIP5;MYBL2;TK1;DLGAP5;CEP55;CKAP2L;KIF23;CDC25C;PIMREG;WDR76;CCNA2;TMEM37;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;TPX2;RAD51;KIF4A;CDK1;NES;SPC24;APOBEC3B;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	48/300	3.00567540149883E-16	4.0977374640434046E-13	0	0	4.72745428446608	168.96327788906103	TOP2A;CDCA2;HJURP;BUB1B;SKA3;TYMS;CENPA;SKA1;AURKB;CDC20;BCL2L12;TUBA1C;CCNB2;CDC45;PTTG1;PCLAF;PBK;MYBL2;TK1;BUB1;DLGAP5;CEP55;GINS2;CDKN2C;RRM2;UBE2C;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;NDC80;CCNA2;TPX2;RAD51;KIFC1;FANCD2;KIF4A;CKS2;CDK1;BIRC5;KIF2C;KIF20A;SPC24;ASF1B;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	51/360	5.843359904256223E-15	5.974835502101988E-12	0	0	4.100153295861012	134.37625283085615	TOP2A;LRR1;HJURP;NRM;BUB1B;LMNB1;CDC20;TUBA1C;PTTG1;PCLAF;PBK;NUSAP1;MYBL2;TK1;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;PCNA;TYMS;CENPA;NCAPH;SKA1;AURKB;BCL2L12;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;UBE2C;TPX2;KIF4A;CDK1;SPC24;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	67/579	9.114891351366853E-15	7.455981125418085E-12	0	0	3.285027616767473	106.20122060702498	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;YBX1;LMNB1;CDC20;TUBA1C;CSRP2;EME1;PTTG1;MDK;PBK;PCLAF;OIP5;MYBL2;TK1;DLGAP5;CEP55;CKAP2L;ACTL6A;GPX8;KIF23;ESCO2;CDC25C;PIMREG;WDR76;CCNA2;TMEM37;ASPM;NEIL3;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;UHRF1;CENPA;NCAPH;SKA1;AURKB;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;TPX2;RAD51;CENPH;KIF4A;NES;APOBEC3B;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	22/74	8.89198232383125E-14	5.572832298712056E-11	0	0	10.261626206493126	308.3725528717353	TOP2A;RRM2;CKAP2L;UBE2C;HJURP;ESCO2;PIMREG;TYMS;AURKB;CDC20;TUBA1C;TPX2;PTTG1;KIFC1;KIF4A;PCLAF;BIRC5;MYBL2;KIF2C;TK1;KIF20A;PRR11
CID9907182 GB-94-XG34 BAID16 10UM	63/550	9.537854789971733E-14	5.572832298712056E-11	0	0	3.234432133876511	96.97125980525291	ARHGAP11A;TOP2A;LRR1;RPLP0;HJURP;BUB1B;MCM10;YBX1;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;OIP5;MYBL2;TK1;DLGAP5;CEP55;EIF5AL1;ANXA2;CKAP2L;KIF23;ESCO2;PIMREG;WDR76;CCNA2;ASPM;KIFC1;FANCD2;CKS2;BIRC5;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;HMMR;CENPA;NCAPH;SKA1;AURKB;BCL2L12;CCNB2;CDC45;SERPINH1;CENPU;GINS2;CDKN2C;RRM2;UBE2C;CBX2;TPX2;RAD51;CENPH;KIF4A;CDK1;VIM;NES;APOBEC3B;SPC25
CID151345176 AC-45-YY00 BAID36 10UM	24/92	1.6522918598929038E-13	8.447342133702471E-11	0	0	8.575080349801928	252.37698749623752	TOP2A;RRM2;CDKN2C;UBE2C;HJURP;BUB1B;KIF23;PIMREG;CDC25C;CENPA;AURKB;CDC20;CCNA2;TUBA1C;TPX2;PTTG1;KIFC1;KIF4A;BIRC5;KIF2C;TK1;KIF20A;PRR11;DLGAP5
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	17/44	4.5061739862856233E-13	2.0478057337675777E-10	0	0	15.195167459651087	431.97061766453237	TOP2A;RRM2;UBE2C;LRR1;HJURP;PIMREG;AURKB;CDC20;CCNB2;PTTG1;PBK;PCLAF;BIRC5;MYBL2;KIF2C;KIF20A;DLGAP5
CID71678945 NA-16-OJ70 BAID32 10UM	45/328	7.591067191574771E-13	3.1047464813540813E-10	0	0	3.9246141213591783	109.52276996410365	TOP2A;CDCA2;LRR1;HJURP;NRM;BUB1B;MCM10;TYMS;CENPA;AURKB;CDC20;BCL2L12;TUBA1C;CCNB2;CDC45;EME1;ORC1;PCLAF;SERPINH1;OIP5;MYBL2;TK1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;CBX2;ESCO2;PIMREG;WDR76;NDC80;TPX2;TMEM37;KIFC1;FANCD2;KIF4A;CKS2;BIRC5;TAGLN2;KIF2C;KIF20A;PRR11;NES;ASF1B
