Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	82/551	2.518351806873091E-30	1.0378127796124008E-26	0	0	5.54984816178846	378.24406384319934	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;PTTG1;NUF2;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;ASPM;MELK;ESPL1;MTHFD2;KIFC1;FANCD2;DEPDC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;SLC43A3;TROAP;CDCA7;CDCA8;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;TPX2;RAD51;KIF18B;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	67/396	3.3693250185891065E-28	6.942494200802854E-25	0	0	6.351859892893327	401.8038580754604	ARHGAP11A;TOP2A;LRR1;HJURP;BUB1B;YBX1;FOXM1;MKI67;CDC20;CSRP2;PTTG1;NUF2;PBK;PCLAF;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;CDC25C;PIMREG;WDR76;CCNA2;MELK;ESPL1;MTHFD2;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;TPX2;RAD51;KIF18B;KIF4A;CDK1;CENPM;NES;SPC24;EZH2;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	62/360	1.385283662830587E-26	1.9029179915082832E-23	0	0	6.446953632249743	383.8600485816823	TOP2A;LRR1;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PTTG1;PCLAF;PBK;NUSAP1;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;MTHFD2;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;UBE2C;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	56/300	6.570624673707376E-26	6.769386070087024E-23	0	0	7.06292966684294	409.54117635200987	TOP2A;HJURP;BUB1B;MKI67;FOXM1;CDC20;PTTG1;PCLAF;PBK;MYBL2;TK1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;MTHFD2;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;SPC24;APOBEC3B;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	75/579	6.564391093930053E-24	5.41037113961715E-21	0	0	4.659892243086919	248.746830245774	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;YBX1;FOXM1;MKI67;LMNB1;CDC20;CSRP2;PTTG1;MDK;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;ACTL6A;GPX8;KIF23;ESCO2;CDC25C;PIMREG;WDR76;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;UHRF1;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;E2F2;BUB1;GINS2;CDKN2C;RRM2;UBE2C;TPX2;RAD51;KIF18B;CENPH;KIF4A;CENPM;NES;APOBEC3B;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	71/550	1.4028569277436948E-22	9.63528899871961E-20	0	0	4.617039631463621	232.3218679702711	ARHGAP11A;TOP2A;LRR1;HJURP;BUB1B;MCM10;YBX1;FOXM1;MKI67;CDC20;PTTG1;NUF2;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;FOXD1;CKAP2L;KIF23;ESCO2;PIMREG;WDR76;CCNA2;ASPM;MELK;ESPL1;MTHFD2;KIFC1;FANCD2;BIRC5;TAGLN2;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;GNG5;SERPINH1;CENPU;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;TPX2;RAD51;KIF18B;CENPH;KIF4A;CDK1;CENPM;VIM;NES;APOBEC3B;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	27/74	3.0158825905409187E-21	1.7754931650884463E-18	0	0	17.063206897682196	806.2432561963258	TOP2A;TROAP;HJURP;CDCA8;MKI67;FOXM1;TYMS;AURKB;AURKA;CDC20;PTTG1;PCLAF;MYBL2;TK1;RRM2;CKAP2L;UBE2C;ESCO2;PIMREG;TPX2;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
BE-04-AN21 BAID11 1UM	44/240	2.9119681998201823E-20	1.5000276189323716E-17	0	0	6.7943683802634975	305.63020758656285	TOP2A;CDCA2;LRR1;TROAP;HJURP;CDCA8;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;BCL2L12;CCNB2;PTTG1;PCLAF;MYBL2;TK1;GTSE1;DLGAP5;TCF19;GINS2;CDKN2C;RRM2;UBE2C;PIMREG;TPX2;MELK;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A;PRR11;NES;ASF1B;APOBEC3B
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	77/703	5.0732339176980176E-20	2.3229774416481703E-17	0	0	3.8395888781622194	170.5841926181082	ARHGAP11A;TOP2A;LRR1;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;PTTG1;NUF2;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;F2R;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;E2F2;BUB1;CENPU;GINS2;POLQ;CDKN2C;RRM2;UBE2C;TPX2;WEE1;RAD51;KIF18B;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;NES;APOBEC3B;SPC25
CID151345176 AC-45-YY00 BAID36 10UM	28/92	1.561746610594771E-19	6.435957782261051E-17	0	0	13.003472222222221	563.0934140689114	TOP2A;HJURP;BUB1B;CDCA8;MKI67;CENPA;AURKB;AURKA;CDC20;PTTG1;TK1;DLGAP5;RRM2;CDKN2C;UBE2C;KIF23;PIMREG;CDC25C;CCNA2;TPX2;ESPL1;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
