Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	14/44	1.0099180668519055E-9	4.077039235881142E-6	0	0	11.277091214796133	233.5868631795633	RRM2;UBE2C;LRR1;PIMREG;AURKB;CDC20;CCNB2;PTTG1;PBK;PCLAF;BIRC5;CENPM;MYBL2;KIF2C
CID44818584 AA-42-XZ05 BAID32 10UM	17/74	4.4615701916708305E-9	9.005679431887572E-6	0	0	7.224339329335998	138.90789942459796	RRM2;UBE2C;PLK1;ESCO2;PIMREG;TYMS;AURKB;CDC20;TUBA1C;PTTG1;KIF4A;PCLAF;BIRC5;CENPM;MYBL2;KIF2C;TK1
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	26/217	7.389560026509419E-7	7.683876412275075E-4	0	0	3.3119842328602744	46.75868432707488	CENPA;AURKB;AQP1;CDC20;TUBA1C;PTTG1;PCLAF;SERPINH1;MYBL2;TK1;EIF5AL1;TCF19;GINS2;CDKN2C;RRM2;UBE2C;PLK1;WDR76;CENPH;KIF4A;CENPM;BIRC5;TAGLN2;KIF2C;PLP2;SPC25
CID151345176 AC-45-YY00 BAID36 10UM	16/92	7.613451981446694E-7	7.683876412275075E-4	0	0	5.088029809035864	71.68107455798933	RRM2;CDKN2C;UBE2C;PLK1;PIMREG;CDC25C;CENPA;AURKB;CDC20;TUBA1C;PTTG1;KIF4A;BIRC5;CENPM;KIF2C;TK1
CID53378674 BB-86-UL91 BAID23 1UM	17/107	1.296717554259315E-6	0.001046969753308971	0	0	4.567524613220816	61.91587667562438	GINS2;RRM2;UBE2C;PLK1;PIMREG;TYMS;AURKB;CDC20;CCNB2;PTTG1;KIF4A;PCLAF;BIRC5;CENPM;MYBL2;KIF2C;TK1
CID71678945 NA-16-OJ70 BAID30 0.1UM	37/396	2.025331923185473E-6	0.0013627108289832924	0	0	2.5209203053214195	33.0487029320448	ARHGAP11A;LRR1;YBX1;TYMS;CENPA;AURKB;CDC20;TUBA1C;CCNB2;CSRP2;PTTG1;SERPINH1;PBK;PCLAF;NUSAP1;OIP5;MYBL2;TK1;TCF19;GINS2;CDKN2C;RRM2;UBE2C;PLK1;CDC25C;PIMREG;WDR76;TMEM37;RAD51;MTHFD2;TMSB15A;KIF4A;CDK1;CENPM;BIRC5;KIF2C;SPC25
JD-02-GA59 BAID32 10UM	16/101	2.7525453093783766E-6	0.001587432201994358	0	0	4.547155499367888	58.217161410746414	RRM2;ANXA2;UBE2C;TYMS;AQP1;CDC20;TUBA1C;CENPH;PCLAF;SERPINH1;DEPDC1;BIRC5;CENPM;TAGLN2;MYBL2;TK1
TF-29-QU48 BAID51 1UM	11/50	3.8114278316947245E-6	0.0019233417695689503	0	0	6.786947558304342	84.68418349592727	CDC20;RRM2;UBE2C;PLK1;SERPINH1;BIRC5;CENPM;MYBL2;KIF2C;TK1;AURKB
CID44819306 CA-90-RU33 BAID12 10UM	30/300	4.877869258245654E-6	0.002175049760943455	0	0	2.705991705991706	33.09644893430639	SKA3;TYMS;CENPA;AURKB;CDC20;TUBA1C;CCNB2;PTTG1;PCLAF;PBK;MYBL2;TK1;TCF19;GINS2;CDKN2C;RRM2;UBE2C;PLK1;ESCO2;PIMREG;CDC25C;WDR76;RAD51;MTHFD2;KIF4A;CDK1;CENPM;BIRC5;KIF2C;SPC25
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	23/198	5.387787369193597E-6	0.002175049760943455	0	0	3.188148688046647	38.676629726093566	CA12;CDKN2C;RRM2;UBE2C;PLK1;ESCO2;AURKB;CDC20;TUBA1C;TMEM37;CCNB2;PTTG1;MTHFD2;KIF4A;PCLAF;PBK;EIF4EBP1;ID3;CENPM;BIRC5;E2F2;KIF2C;MYBL2
