Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	60/551	3.2161906842766636E-25	1.2465955092256349E-21	0	0	6.215560081466395	350.5353970743689	ARHGAP11A;TOP2A;ERCC6L;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;PTTG1;NUF2;PBK;MYBL2;TK1;GTSE1;CEP55;CKAP2L;ESCO2;SGO1;CCNA2;ASPM;MELK;ESPL1;TMSB15A;KIFC1;FANCD2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;CDCA2;TROAP;CDCA8;TYMS;NCAPH;SKA1;AURKA;CDC45;ORC1;E2F2;BUB1;E2F8;CENPU;RRM2;DDIAS;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;KIF4A;CDK1;CENPM
CID44818584 AA-42-XZ05 BAID32 10UM	24/74	4.30798561383103E-22	8.348876119604535E-19	0	0	22.791240875912408	1121.2470396860276	TOP2A;RRM2;CKAP2L;UBE2C;TROAP;PLK1;CDCA8;ESCO2;MKI67;FOXM1;TYMS;AURKA;CDC20;TPX2;PTTG1;KIFC1;KIF4A;BIRC5;CENPM;MYBL2;KIF2C;TK1;KIF20A;PRR11
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	55/579	2.4499737055850985E-20	3.165366027615947E-17	0	0	5.259416432302129	237.49223386273263	ARHGAP11A;TOP2A;ERCC6L;BUB1B;MCM10;YBX1;FOXM1;MKI67;LMNB1;CDC20;PTTG1;EME1;PBK;MYBL2;TK1;GTSE1;CEP55;CKAP2L;ACTL6A;ESCO2;CCNA2;ASPM;NEIL3;MELK;ESPL1;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;PRR11;CDCA2;UHRF1;TROAP;CDCA8;NCAPH;SKA1;AURKA;CDC45;ORC1;SERPINH1;E2F2;BUB1;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;CENPH;KIF4A;MFAP2;CENPM;NES
CID71678945 NA-16-OJ70 BAID30 0.1UM	45/396	8.118006247887658E-20	7.86634805420314E-17	0	0	6.316239316239316	277.64683046053716	ARHGAP11A;TOP2A;CDCA2;TROAP;CDCA8;BUB1B;YBX1;FOXM1;MKI67;TYMS;NCAPH;SKA1;AURKA;CDC20;CDC45;ORC1;PTTG1;NUF2;SERPINH1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;RRM2;CKAP2L;UBE2C;CBX2;PLK1;CCNA2;TPX2;MELK;KIF18B;ESPL1;TMSB15A;KIFC1;FANCD2;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A;NES
CID53378674 BB-86-UL91 BAID24 10UM	42/360	5.509019044041609E-19	4.2705915629410554E-16	0	0	6.46833741418215	271.9465646920836	TOP2A;CDCA2;TROAP;CDCA8;BUB1B;MKI67;TYMS;FOXM1;NCAPH;SKA1;LMNB1;AURKA;CDC20;CDC45;PTTG1;ORC1;PBK;MYBL2;TK1;GTSE1;RRM2;UBE2C;CKAP2L;PLK1;ESCO2;CCNA2;TPX2;MELK;KIF18B;ESPL1;TMSB15A;KIFC1;FANCD2;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL
CID71678945 NA-16-OJ70 BAID32 10UM	39/328	5.463250912830721E-18	3.529260089688646E-15	0	0	6.568837160532662	261.10134278996316	TOP2A;CDCA2;TROAP;CDCA8;BUB1B;MCM10;MKI67;TYMS;FOXM1;AURKA;CDC20;CDC45;EME1;ORC1;SERPINH1;MYBL2;TK1;GTSE1;RRM2;UBE2C;CBX2;PLK1;ESCO2;NDC80;TPX2;MELK;KIF18B;ESPL1;TMSB15A;KIFC1;FANCD2;KIF4A;MFAP2;CENPM;BIRC5;KIF2C;KIF20A;PRR11;NES
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	57/703	8.086985748084135E-18	4.477879537082015E-15	0	0	4.416199813258637	173.80517696457107	ARHGAP11A;TOP2A;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;PTTG1;EME1;NUF2;PBK;MYBL2;TK1;GTSE1;CEP55;CKAP2L;ESCO2;SGO1;CCNA2;MELK;ESPL1;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;PRR11;DTL;CDCA2;TROAP;CDCA8;TYMS;NCAPH;SKA1;AURKA;CDC45;ORC1;E2F2;BUB1;CENPU;POLQ;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;KIF4A;CDK1;CENPM;NES
CID44819306 CA-90-RU33 BAID12 10UM	37/300	1.1903460350748218E-17	5.7672265399375114E-15	0	0	6.8228404379311005	265.88406227765955	TOP2A;CDCA2;TROAP;CDCA8;BUB1B;MKI67;TYMS;FOXM1;SKA1;AURKA;CDC20;CDC45;PTTG1;PBK;MYBL2;TK1;BUB1;CEP55;RRM2;UBE2C;CKAP2L;PLK1;ESCO2;NDC80;CCNA2;TPX2;MELK;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A
CID9907182 GB-94-XG34 BAID16 10UM	49/550	4.667899940734021E-17	2.010308907809452E-14	0	0	4.830422057439525	181.63950689399456	ARHGAP11A;TOP2A;BUB1B;MCM10;YBX1;FOXM1;MKI67;CDC20;PTTG1;NUF2;PBK;MYBL2;TK1;GTSE1;CEP55;CKAP2L;ESCO2;CCNA2;ASPM;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;CDCA2;TROAP;CDCA8;NCAPH;SKA1;AURKA;CDC45;SERPINH1;CENPU;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;CENPH;KIF4A;MFAP2;CDK1;CENPM;NES
CID101476432 RC-52-AC88 BAID28 10UM	61/834	7.139632106167296E-17	2.767321404350444E-14	0	0	3.9650780693319314	147.41480382377807	ARHGAP11A;TOP2A;TNC;BUB1B;MCM10;YBX1;FOXM1;MKI67;KIF15;LMNB1;CDC20;PTTG1;EME1;PBK;RCC1;MYBL2;TK1;GTSE1;CEP55;CKAP2L;ESCO2;SGO1;CCNA2;NEIL3;MELK;ESPL1;TMSB15A;KIFC1;FANCD2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;CDCA2;TROAP;CDCA8;NCAPH;SKA1;AURKA;CDC45;ORC1;SERPINH1;E2F2;BUB1;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;KIF4A;MFAP2;CDK1;CENPM;NES
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	31/218	9.731354223231148E-17	3.4289753608403576E-14	0	0	7.951474559220628	293.1596833623867	TOP2A;TROAP;CDCA8;BUB1B;MKI67;NCAPH;SKA1;AURKA;CDC20;CDC45;SERPINH1;E2F2;MYBL2;TK1;RRM2;UBE2C;CKAP2L;CBX2;PLK1;TPX2;MELK;CENPH;TMSB15A;KIFC1;KIF4A;CENPM;BIRC5;KIF2C;KIF20A;PRR11;NES
BE-04-AN21 BAID11 1UM	32/240	2.0788165243516563E-16	6.71457737365585E-14	0	0	7.389578163771712	266.8344362884109	TOP2A;CDCA2;TROAP;CDCA8;MKI67;FOXM1;NCAPH;LMNB1;AURKA;CDC20;PTTG1;MYBL2;TK1;GTSE1;RRM2;UBE2C;CBX2;PLK1;TPX2;MELK;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A;PRR11;NES
CID151345176 AC-45-YY00 BAID36 10UM	21/92	5.230637766019433E-16	1.5595347677762554E-13	0	0	13.927127985303123	490.05146076153915	TOP2A;RRM2;UBE2C;PLK1;BUB1B;CDCA8;MKI67;AURKA;CDC20;CCNA2;TPX2;PTTG1;ESPL1;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;TK1;KIF20A;PRR11
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	30/217	6.792257322654969E-16	1.8804849559007613E-13	0	0	7.675975440681323	268.08788015766646	TOP2A;CDCA2;TROAP;CDCA8;BUB1B;MKI67;FOXM1;NCAPH;CDC20;CDC45;PTTG1;SERPINH1;MYBL2;TK1;RRM2;UBE2C;PLK1;TPX2;DEPDC1B;MEX3A;MELK;KIF18B;CENPH;KIF4A;MFAP2;CENPM;BIRC5;KIF2C;KIF20A;NES
CID71678945 NA-16-OJ70 BAID31 1UM	51/636	7.986013389498198E-16	2.0635858598463342E-13	0	0	4.309027777777778	149.79761883708642	TOP2A;ERCC6L;BUB1B;FOXM1;MKI67;LMNB1;CDC20;PBK;RCC1;MYBL2;TK1;GTSE1;CEP55;CKAP2L;ACTL6A;ESCO2;CCNA2;DEPDC1B;MELK;ESPL1;KIFC1;FANCD2;BIRC5;KIF2C;MTFR2;KIF20A;CDCA2;TROAP;CDCA8;NCAPH;SKA1;AURKA;CDC45;ORC1;SERPINH1;E2F2;BUB1;E2F8;CENPU;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;CENPH;KIF4A;MFAP2;CDK1;CENPM;NES
CID53378674 BB-86-UL91 BAID23 1UM	22/107	1.1090257775904644E-15	2.6866149462128997E-13	0	0	12.207947585813987	420.3842696599887	RRM2;UBE2C;TROAP;PLK1;CDCA8;MKI67;TYMS;AURKA;CDC20;TPX2;MELK;CDC45;PTTG1;KIFC1;KIF4A;BIRC5;CENPM;MYBL2;KIF2C;KIF20A;TK1;GTSE1
TF-29-QU48 BAID52 10UM	52/674	1.992224334246763E-15	4.54227148208262E-13	0	0	4.134880323726209	139.96373333731188	TOP2A;BUB1B;FOXM1;MKI67;LMNB1;CDC20;PTTG1;EME1;NUF2;PBK;MYBL2;TK1;GTSE1;PITX1;CEP55;CKAP2L;CCNA2;MELK;ESPL1;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;CDCA2;TROAP;CDCA8;NCAPH;SKA1;AURKA;CDC45;ORC1;SERPINH1;E2F2;RRM2;DDIAS;UBE2C;CBX2;PLK1;TPX2;MEX3A;KIF18B;CENPH;KIF4A;MFAP2;CDK1;CENPM;NES
