Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	14/664	0.0013143443375867826	0.9993279950579149	0	0	2.718380566801619	18.034871169900423	SPARC;MMP2;F2R;HOXC13;HOXC11;SYDE1;C6ORF15;MMP14;CCDC80;HOXB3;HOXC9;HOXB7;NES;MDFI
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID23 10UM	8/329	0.006308303329688053	0.9993279950579149	0	0	3.0778816199376946	15.592205178304678	C6ORF15;CCDC80;SPARC;CDKN2C;MMP2;F2R;HOXD11;HOXC11
CID2810167 1,1'-BINAPHTHALENE-2,2'-DICARBOXYLICACID DA-83-VJ09 BAID27 1UM	6/210	0.00826382793752232	0.9993279950579149	0	0	3.608455882352941	17.305675815431353	C6ORF15;CCDC80;SPARC;MMP2;HOXC11;EDA2R
CID72201027 SGC-CBP30 ED-33-YZ72 BAID4 10UM	7/280	0.009006663490520284	0.9993279950579149	0	0	3.1544912110949848	14.856993015193716	C6ORF15;CCDC80;SPARC;PLAU;MMP2;F2R;HOXC11
CID4878 SRCKINASEINHIBITORPP2 BD-01-RI07 BAID12 10UM	5/154	0.009307493197504726	0.9993279950579149	0	0	4.1029221726624705	19.189102293638207	C6ORF15;SPARC;MMP2;NOX4;NES
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID25 10UM	9/427	0.009489489419262585	0.9993279950579149	0	0	2.662725139426447	12.401829978539087	SFRP4;C6ORF15;CCDC80;SPARC;CDKN2C;MMP2;F2R;HOXD11;HOXC11
CID121271792 BB-10-PR06 BAID12 10UM	7/288	0.010410668102267845	0.9993279950579149	0	0	3.0634302468721324	13.984326928764181	C6ORF15;CCDC80;SPARC;MMP2;F2R;NES;EDA2R
CID127053601 S0-EE-X7LX BAID16 10UM	10/519	0.01156391114487353	0.9993279950579149	0	0	2.4337564858193543	10.854228140773083	SRPX;MMP14;WEE1;CCDC80;SPARC;CDKN2C;MMP2;F2R;NOX4;HOXC10
CID30751 FLUDARABINEPHOSPHATE CB-42-EI79 BAID39 1UM	3/57	0.011839311590841242	0.9993279950579149	0	0	6.741649625085208	29.90818109167935	TGIF1;GATA4;AJUBA
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	10/525	0.0124525298434392	0.9993279950579149	0	0	2.404655215334827	10.54641253339522	SYDE1;C6ORF15;CCDC80;SPARC;MMP2;F2R;HOXC9;HOXB7;HOXC11;MDFI
CID25225521 ZC-74-FT18 BAID12 10UM	3/59	0.012996976154489567	0.9993279950579149	0	0	6.500219106047327	28.23070217451619	C6ORF15;SPARC;MMP2
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID21 10UM	9/451	0.013201552605978141	0.9993279950579149	0	0	2.515030117877626	10.883593731854976	C6ORF15;CCDC80;SPARC;CDKN2C;MMP2;F2R;ANXA5;HOXD11;NES
CID11589523 DB-34-KT45 BAID39 1UM	4/118	0.0169128117985803	0.9993279950579149	0	0	4.271171756551873	17.4250304343761	SPARC;F2R;ANXA5;NES
CID46173038 JF-55-EN33 BAID12 10UM	6/248	0.017580373257341984	0.9993279950579149	0	0	3.0359504132231403	12.268191083855518	BCL2L12;C6ORF15;CCDC80;SPARC;MMP2;NES
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID17 10UM	9/474	0.017683327925001612	0.9993279950579149	0	0	2.3877953564824326	9.635071860327107	C6ORF15;CCDC80;SPARC;CDKN2C;MMP2;F2R;ANXA5;HOXD11;NES
CID9961435 TEGLARINAD OB-78-PA58 BAID7 1UM	5/182	0.018050433283959368	0.9993279950579149	0	0	3.4489595396006596	13.846143267621544	SPARC;MMP2;F2R;NES;E2F7
CID285033 OMACETAXINEMEPESUCCINATE EA-18-FP00 BAID27 10UM	9/487	0.02066188511629666	0.9993279950579149	0	0	2.321296271620073	9.005386653167452	C6ORF15;CCDC80;SPARC;CDKN2C;MMP2;F2R;ANXA5;NES;HOXC11
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	6/260	0.02161097304245694	0.9993279950579149	0	0	2.890748031496063	11.08472966438354	CCDC80;SPARC;PLAU;HOXB3;NKX2-5;HOXC11
