Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID151345176 AC-45-YY00 BAID36 10UM	9/92	7.886980084335837E-7	0.0021164353256305397	0	0	10.122366242220066	142.2484218212217	TOP2A;RRM2;KIF4A;PLK1;KIF23;MKI67;PIMREG;PRR11;DLGAP5
CID44818584 AA-42-XZ05 BAID32 10UM	8/74	1.5247075588097238E-6	0.0021164353256305397	0	0	11.2715837621498	150.96830083013847	TOP2A;RRM2;CKAP2L;KIF4A;PLK1;MKI67;PIMREG;PRR11
CID71678945 NA-16-OJ70 BAID30 0.1UM	17/396	1.990378049182326E-6	0.0021164353256305397	0	0	4.286845081040331	56.27421257256198	TOP2A;RRM2;CKAP2L;PLK1;KIF23;PIMREG;MKI67;NCAPH;TMSB15A;KIF4A;GTSE1;NES;BUB1;DLGAP5;SPC24;APOBEC3B;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	20/551	3.226935086543732E-6	0.0025734807315186264	0	0	3.6250470809792845	45.8350146738471	TOP2A;GAS2L3;RRM2;SLC43A3;CKAP2L;PLK1;KIF23;PIMREG;MKI67;NCAPH;SGO1;ASPM;TMSB15A;KIF4A;GTSE1;PRR11;BUB1;DLGAP5;APOBEC3B;SPC25
EA-73-UC67 BAID36 10UM	11/177	4.387892706067136E-6	0.002799475546470833	0	0	6.218769816106532	76.71885796574631	TOP2A;RRM2;CKAP2L;KIF4A;PLK1;MKI67;PIMREG;NES;BUB1;DLGAP5;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	12/218	5.633459492767278E-6	0.0029951226303212694	0	0	5.481889469753548	66.25842944537254	TOP2A;RRM2;TMSB15A;CKAP2L;KIF4A;PLK1;MKI67;PIMREG;PRR11;NES;NCAPH;APOBEC3B
CID448013 EPOTHILONEB AD-58-PW17 BAID21 0.01UM	13/265	8.024878405869208E-6	0.003241404927405388	0	0	4.8666513304194465	57.100245059796876	TOP2A;SPARC;RRM2;CKAP2L;PLK1;NCAPG;KIF23;PIMREG;MKI67;NCAPH;KIF4A;TAGLN2;DLGAP5
PB-63-WH18 BAID36 10UM	12/226	8.128915178446114E-6	0.003241404927405388	0	0	5.274802300503235	61.82112118030505	TOP2A;CCDC80;SPARC;RRM2;COL4A2;KIF4A;PLK1;TAGLN2;KIF23;NES;DLGAP5;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	15/360	1.153868255631904E-5	0.004089821928295304	0	0	4.121951219512195	46.86578350880029	TOP2A;RRM2;CKAP2L;PLK1;KIF23;PIMREG;MKI67;NCAPH;TMSB15A;KIF4A;GTSE1;PRR11;DLGAP5;SPC24;SPC25
BE-04-AN21 BAID11 1UM	12/240	1.4876813599249005E-5	0.0047457035381604324	0	0	4.947368421052632	54.99349626234945	TOP2A;RRM2;KIF4A;PLK1;PIMREG;MKI67;GTSE1;PRR11;NES;NCAPH;DLGAP5;APOBEC3B
CID44819306 CA-90-RU33 BAID12 10UM	13/300	2.977376805535081E-5	0.008634392736051735	0	0	4.265498493494252	44.45452546259836	TOP2A;RRM2;CKAP2L;PLK1;KIF23;PIMREG;MKI67;KIF4A;BUB1;DLGAP5;SPC24;APOBEC3B;SPC25
CID134823928 NVS-ZP7-4 GA-81-DL34 BAID36 10UM	19/600	3.81706728392009E-5	0.009855649094038887	0	0	3.1236331252515392	31.778103752343878	TOP2A;SPARC;RRM2;PLK1;KIF23;MKI67;CCDC80;COL4A2;TMSB15A;COL4A1;KIF4A;TAGLN2;GTSE1;PRR11;NES;BUB1;DLGAP5;SPC24;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	18/550	4.0164087217086374E-5	0.009855649094038887	0	0	3.2240005955482767	32.63506633016756	TOP2A;FOXD1;RRM2;CKAP2L;PLK1;KIF23;PIMREG;MKI67;NCAPH;ASPM;KIF4A;TAGLN2;GTSE1;PRR11;NES;DLGAP5;APOBEC3B;SPC25
CID127043724 NFATC1-IN-1 S0-EE-XKW4 BAID16 10UM	14/363	5.2701856829628796E-5	0.011350235270828573	0	0	3.783820624808746	37.273886744721366	TOP2A;SPARC;RRM2;PLK1;KIF23;MKI67;CCDC80;TMSB15A;KIF4A;TAGLN2;GTSE1;DLGAP5;APOBEC3B;TMEM45A
HC-74-FM38 BAID52 10UM	9/154	5.3371012245275426E-5	0.011350235270828573	0	0	5.7759437816636705	56.825137330313076	TOP2A;MAGED4B;RRM2;CKAP2L;MKI67;PRR11;NES;APOBEC3B;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	18/579	7.758451599867857E-5	0.01546841287723654	0	0	3.0527346852332293	28.891516645943696	TOP2A;RRM2;CKAP2L;PLK1;KIF23;PIMREG;MKI67;NCAPH;ASPM;TMSB15A;KIF4A;GTSE1;PRR11;NES;BUB1;DLGAP5;APOBEC3B;SPC25
CID378811 MR16728 ND-68-CU31 BAID27 1UM	8/131	1.0244121850950411E-4	0.01922279335560695	0	0	6.0306795520785395	55.39915756896232	TOP2A;RRM2;CKAP2L;KIF4A;NCAPG;KIF23;PIMREG;NCAPH
CID5327655 AB-80-CK34 BAID11 1UM	10/209	1.1110350727911502E-4	0.019690010456687605	0	0	4.6855707106963385	42.66234760185027	CCDC80;MAGED4B;RRM2;CKAP2L;KIF4A;PLK1;MKI67;PIMREG;PRR11;NES
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	10/217	1.5114941159047768E-4	0.025377190682822307	0	0	4.502645502645502	39.61086090960874	TOP2A;RRM2;KIF4A;PLK1;TAGLN2;MKI67;NES;NCAPH;DLGAP5;SPC25
CID49787174 SE-15-AV21 BAID36 10UM	16/509	1.7198574132315096E-4	0.0263930523463923	0	0	3.06836892972199	26.596925601865028	TOP2A;SPARC;RRM2;PLK1;KIF23;PIMREG;MKI67;CCDC80;TMSB15A;KIF4A;TAGLN2;GTSE1;PRR11;NES;DLGAP5;SPC25
TD-17-NF32 BAID36 10UM	14/408	1.8045683992965703E-4	0.0263930523463923	0	0	3.3438963087082945	28.824449456768537	TOP2A;SPARC;RRM2;PLK1;MKI67;CCDC80;COL4A2;TMSB15A;KIF4A;TAGLN2;PRR11;NES;DLGAP5;APOBEC3B
CID53378674 BB-86-UL91 BAID23 1UM	7/107	1.820210506647745E-4	0.0263930523463923	0	0	6.467605633802817	55.695062931498	RRM2;KIF4A;PLK1;MKI67;PIMREG;GTSE1;DLGAP5
CID57930109 CA-06-FY97 BAID43 1UM	5/50	2.1793610119514502E-4	0.030226789687500547	0	0	10.198966408268733	85.99063371873028	TOP2A;RRM2;KIF4A;MKI67;APOBEC3B
CID71678945 NA-16-OJ70 BAID32 10UM	12/328	2.930661881481571E-4	0.03771234447836196	0	0	3.553554040895813	28.90856039202462	TOP2A;RRM2;TMSB15A;KIF4A;PLK1;TAGLN2;PIMREG;MKI67;GTSE1;PRR11;NES;DLGAP5
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	19/703	2.980475743310945E-4	0.03771234447836196	0	0	2.639027086788281	21.424301278499097	TOP2A;RRM2;CKAP2L;PLK1;KIF23;PIMREG;MKI67;NCAPH;SGO1;WEE1;TMSB15A;KIF4A;GTSE1;PRR11;NES;BUB1;DLGAP5;APOBEC3B;SPC25
PF-84-RH50 BAID36 10UM	10/237	3.073733405759909E-4	0.03771234447836196	0	0	4.101741136983428	33.172615924032904	TOP2A;CCDC80;SPARC;RRM2;TMSB15A;KIF4A;TAGLN2;PRR11;NES;APOBEC3B
CID60148924 BB-11-JI42 BAID32 10UM	16/546	3.7580599108822397E-4	0.04440078191005313	0	0	2.8486866444691086	22.465989260979793	TOP2A;SPARC;RRM2;PLK1;PIMREG;MKI67;NCAPH;TMSB15A;KIF4A;TAGLN2;GTSE1;PRR11;NES;DLGAP5;SPC24;SPC25
BB-84-DG64 BAID52 10UM	13/390	4.0378768700917813E-4	0.046002954341402794	0	0	3.232217224720973	25.258553717099357	TOP2A;RRM2;CKAP2L;PLK1;PIMREG;MKI67;NCAPH;KIF4A;GTSE1;PRR11;NES;APOBEC3B;SPC25
CID46173038 JF-55-EN33 BAID12 10UM	10/248	4.397026112499652E-4	0.04836728723749617	0	0	3.9099639855942376	30.2217223272922	TOP2A;CCDC80;SPARC;RRM2;COL4A1;KIF4A;PLK1;TAGLN2;NES;APOBEC3B
CID65637 ZATEBRADINE DB-63-TM61 BAID27 1UM	7/125	4.713161687470763E-4	0.050116619276772446	0	0	5.4760085939365	41.946124073947885	TOP2A;SPARC;RRM2;COL4A2;KIF4A;ANXA5;FN1
TF-29-QU48 BAID52 10UM	18/674	4.950028161259566E-4	0.05075809881847755	0	0	2.597742091282299	19.771277652476687	TOP2A;RRM2;CKAP2L;PLK1;KIF23;PIMREG;MKI67;NCAPH;TMSB15A;KIF4A;TAGLN2;GTSE1;PRR11;NES;DLGAP5;SPC24;APOBEC3B;SPC25
CID156019130 BF-02-AC35 BAID36 10UM	20/794	5.091721511571416E-4	0.05075809881847755	0	0	2.4555555555555557	18.619800987724645	TOP2A;SPARC;RRM2;CKAP2L;ANXA5;FN1;MKI67;WEE1;CCDC80;MAGED4B;COL4A2;KIF4A;TAGLN2;PRR11;NES;BUB1;DLGAP5;APOBEC3B;SPC25;TMEM45A
SA-03-IQ14 BAID52 10UM	12/352	5.512913448898947E-4	0.05329149667268983	0	0	3.2986425339366514	24.750530132081522	CCDC80;SPARC;MAGED4B;RRM2;KIF4A;PLK1;TAGLN2;PIMREG;MKI67;NES;DLGAP5;APOBEC3B
CID3330 DF-92-CF17 BAID28 10UM	13/408	6.163355085790263E-4	0.057826772716679235	0	0	3.0820644530055645	22.78175464131155	TOP2A;SPARC;RRM2;PLK1;ANXA5;KIF23;CCDC80;MAGED4B;TMSB15A;KIF4A;TAGLN2;GTSE1;NES
CID72710839 BLU-9931 HF-79-EC41 BAID4 10UM	15/520	6.71446682543294E-4	0.060241923129354065	0	0	2.7928036706109634	20.404435718870356	TOP2A;RRM2;CKAP2L;PLK1;KIF23;PIMREG;MKI67;TMSB15A;KIF4A;GTSE1;PRR11;NES;DLGAP5;APOBEC3B;SPC25
