Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID44818584 AA-42-XZ05 BAID32 10UM	18/74	8.552039463592141E-12	3.458444759076662E-8	0	0	10.264994096812279	261.6018484366821	RRM2;UBE2C;TROAP;HJURP;ESCO2;FOXM1;PIMREG;TYMS;AURKB;AURKA;CDC20;TUBA1C;PCLAF;BIRC5;CENPM;MYBL2;TK1;PRR11
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	13/44	4.905590953464261E-10	8.784671188225323E-7	0	0	13.299735589635114	285.08615458427187	RRM2;UBE2C;TROAP;HJURP;PIMREG;AURKB;CDC20;CCNB2;PBK;PCLAF;BIRC5;CENPM;MYBL2
CID53378674 BB-86-UL91 BAID24 10UM	36/360	7.960103959469537E-10	8.784671188225323E-7	0	0	3.606473594548552	75.56070285800939	TROAP;HJURP;NRM;TYMS;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;TUBA1C;CCNB2;CDC45;ORC1;PCLAF;PBK;NUSAP1;MYBL2;TK1;CDKN2C;RRM2;UBE2C;ESCO2;PIMREG;CDC25C;CCNA2;MTHFD2;CENPM;BIRC5;MTFR2;PRR11;SPC24;ASF1B;EZH2
CID71678945 NA-16-OJ70 BAID30 0.1UM	38/396	8.689091185188252E-10	8.784671188225323E-7	0	0	3.4509000620732464	71.99882859285982	TROAP;HJURP;FOXM1;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CSRP2;CDC45;ORC1;NUF2;SERPINH1;PBK;PCLAF;NUSAP1;OIP5;MYBL2;TK1;BUB1;CDKN2C;RRM2;UBE2C;CDC25C;PIMREG;CCNA2;TMEM37;RAD51;MTHFD2;CENPM;BIRC5;SPC24;ASF1B;EZH2
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	46/551	1.3999572790391618E-9	9.65085778508819E-7	0	0	2.9792611150196477	60.73767234683697	TROAP;CDCA7;HJURP;NRM;SKA3;FOXM1;TYMS;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;TUBA1C;CCNB2;CDC45;ORC1;NUF2;PBK;PCLAF;E2F2;OIP5;MYBL2;TK1;BUB1;CENPU;GAS2L3;CDKN2C;RRM2;UBE2C;ESCO2;CDC25C;PIMREG;SGO1;CCNA2;RAD51;MTHFD2;CDK2;CKS2;CENPM;BIRC5;PLP2;MTFR2;PRR11;ASF1B
CID44819306 CA-90-RU33 BAID12 10UM	32/300	1.4318780096570015E-9	9.65085778508819E-7	0	0	3.8606965174129355	78.62030086367773	TROAP;HJURP;SKA3;TYMS;FOXM1;CENPA;SKA1;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;PCLAF;PBK;MYBL2;TK1;BUB1;CDKN2C;RRM2;UBE2C;ESCO2;PIMREG;CDC25C;CCNA2;RAD51;MTHFD2;CKS2;CENPM;BIRC5;SPC24;ASF1B
CID151345176 AC-45-YY00 BAID36 10UM	17/92	3.1650960650049E-9	1.8285212124114022E-6	0	0	7.219669966996699	141.2967560380127	RRM2;CDKN2C;UBE2C;HJURP;PIMREG;CDC25C;CENPA;AURKB;AURKA;CDC20;CCNA2;TUBA1C;BIRC5;CENPM;TK1;PRR11;CTSC
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	24/198	1.3947198298476707E-8	7.0503087398799754E-6	0	0	4.421852512808704	79.98241159744461	CDKN2C;RRM2;UBE2C;TROAP;HJURP;ESCO2;NCAPH;AURKB;AURKA;CDC20;TUBA1C;TMEM37;CCNB2;CDC45;MTHFD2;PCLAF;PBK;EIF4EBP1;ID3;CENPM;BIRC5;E2F2;MYBL2;CTSC
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	45/579	1.8949327139732598E-8	8.514564328119847E-6	0	0	2.7472201702888692	48.84968835144527	UHRF1;TROAP;CDCA7;HJURP;NRM;FOXM1;CENPA;NCAPH;SKA1;AURKB;AQP1;LMNB1;AURKA;CDC20;TUBA1C;CCNB2;CSRP2;CDC45;ORC1;MDK;SERPINH1;PBK;PCLAF;E2F2;OIP5;MYBL2;TK1;BUB1;CDKN2C;RRM2;UBE2C;ACTL6A;ESCO2;CDC25C;PIMREG;CCNA2;TMEM37;NEIL3;RAD51;CKS2;CENPM;BIRC5;PLP2;PRR11;ASF1B
JD-02-GA59 BAID32 10UM	16/101	8.906039759829377E-8	3.31038223785964E-5	0	0	5.98259521271441	97.12115797083116	RRM2;UBE2C;TYMS;AQP1;CDC20;CCNA2;TUBA1C;CDC45;PCLAF;SERPINH1;BIRC5;CENPM;TAGLN2;MYBL2;TK1;S100A10
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	24/218	9.004501636116725E-8	3.31038223785964E-5	0	0	3.9618608333476755	64.27309441283062	CDKN2C;RRM2;UBE2C;TROAP;HJURP;PIMREG;CDC25C;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;CDC45;MDK;PCLAF;SERPINH1;CENPM;BIRC5;E2F2;MYBL2;TK1;PRR11;ASF1B
CID71678945 NA-16-OJ70 BAID32 10UM	30/328	1.527322792759153E-7	5.147077811598345E-5	0	0	3.238962391208393	50.83415195897574	TROAP;HJURP;NRM;TYMS;FOXM1;CENPA;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;ORC1;PCLAF;SERPINH1;OIP5;MYBL2;TK1;CDKN2C;RRM2;UBE2C;ESCO2;PIMREG;TMEM37;CKS2;CENPM;BIRC5;TAGLN2;PRR11;ASF1B
CID9907182 GB-94-XG34 BAID16 10UM	41/550	2.5305376802181816E-7	7.871918752924867E-5	0	0	2.611373287694354	39.66588242426493	STEAP3;TROAP;RPLP0;CDCA7;HJURP;FOXM1;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;NUF2;SERPINH1;PBK;EIF4EBP1;PCLAF;OIP5;MYBL2;TK1;CTSC;EIF5AL1;CENPU;CDKN2C;RRM2;UBE2C;ESCO2;PIMREG;CCNA2;RAD51;MTHFD2;CKS2;CENPM;BIRC5;TAGLN2;MTFR2;PRR11;ASF1B
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	23/217	3.312452563666703E-7	9.568255833905818E-5	0	0	3.790455326460481	56.55513535278052	EIF5AL1;CDKN2C;RRM2;UBE2C;TROAP;HJURP;FOXM1;CENPA;NCAPH;AURKB;AQP1;CDC20;TUBA1C;CDC45;PCLAF;SERPINH1;CENPM;BIRC5;TAGLN2;MYBL2;TK1;PLP2;ASF1B
CID9576789 SARDOMOZIDE CB-30-KN11 BAID8 10UM	23/221	4.5908812685969635E-7	1.2377015900137415E-4	0	0	3.7131060606060604	54.18915765527194	CDKN2C;RRM2;UBE2C;TROAP;NRM;ESCO2;CENPA;LMNB1;AURKA;CCNA2;TMEM37;CCNB2;RAD51;MTHFD2;NPC2;PCLAF;SERPINH1;EIF4EBP1;CENPM;BIRC5;MYBL2;TK1;ASF1B
CID53378674 BB-86-UL91 BAID23 1UM	15/107	1.1373837302201781E-6	2.8747373781315004E-4	0	0	5.171535326086956	70.7816657870316	RRM2;UBE2C;TROAP;PIMREG;TYMS;AURKB;AURKA;CDC20;CCNB2;CDC45;PCLAF;BIRC5;CENPM;MYBL2;TK1
BB-84-DG64 BAID52 10UM	31/390	2.0002814618486225E-6	4.758316606891664E-4	0	0	2.774025069637883	36.40137461817301	STEAP3;TROAP;HJURP;NRM;FOXM1;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC20;TUBA1C;CCNB2;CDC45;MDK;NUF2;SERPINH1;PCLAF;OIP5;MYBL2;TK1;CDKN2C;RRM2;UBE2C;CDC25C;PIMREG;CENPM;BIRC5;PRR11;ASF1B;EZH2
