Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	68/551	1.0366970615548884E-24	4.2203937375899504E-21	0	0	5.3028742657924095	292.85654732692615	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;NRM;BUB1B;FOXM1;MKI67;KIF15;CDC20;TUBA1C;PTTG1;NUF2;PCLAF;OIP5;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;WDR76;CCNA2;ASPM;MELK;ESPL1;KIFC1;CKS2;DEPDC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;SLC43A3;CDCA8;HMMR;SKA3;TYMS;SKA1;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;PLP2;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	54/396	8.338785799973802E-22	1.6973598495846674E-18	0	0	5.829278224574977	282.9295822539491	ARHGAP11A;TOP2A;LRR1;HJURP;BUB1B;YBX1;FOXM1;MKI67;CDC20;TUBA1C;PTTG1;NUF2;PCLAF;NUSAP1;OIP5;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;WDR76;CCNA2;MELK;ESPL1;KIFC1;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;CDCA8;HMMR;TYMS;SKA1;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF4A;CDK1;CENPM;EZH2;APOBEC3B
CID44819306 CA-90-RU33 BAID12 10UM	46/300	8.062799843939777E-21	1.0941219388226277E-17	0	0	6.614548181477315	306.0354732297399	TOP2A;CDCA2;HJURP;CDCA8;BUB1B;MKI67;SKA3;TYMS;FOXM1;SKA1;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;CDC45;PTTG1;PCLAF;TK1;BUB1;DLGAP5;CEP55;TCF19;GINS2;CDKN2C;RRM2;UBE2C;CKAP2L;PLK1;KIF23;WDR76;NDC80;CCNA2;TPX2;MELK;ESPL1;KIFC1;KIF4A;CKS2;CDK1;CENPM;BIRC5;KIF2C;KIF20A;ASF1B;APOBEC3B
CID9907182 GB-94-XG34 BAID16 10UM	62/550	1.5805495560549042E-20	1.6086043106748788E-17	0	0	4.727777062063191	215.55793289180514	ARHGAP11A;TOP2A;STEAP3;LRR1;RPLP0;HJURP;BUB1B;YBX1;FOXM1;MKI67;CDC20;TUBA1C;PTTG1;NUF2;PCLAF;OIP5;TK1;GTSE1;DLGAP5;CEP55;TCF19;EIF5AL1;ANXA2;CKAP2L;KIF23;WDR76;CCNA2;ASPM;MELK;ESPL1;KIFC1;CKS2;BIRC5;TAGLN2;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;CDCA8;HMMR;SKA1;AURKA;BCL2L12;CCNB2;CDC45;GNG5;SERPINH1;EIF4EBP1;CENPU;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;CENPH;KIF4A;CDK1;CENPM;VIM;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	49/360	7.718860722662388E-20	6.284696400391717E-17	0	0	5.770422934299195	253.9449749278415	TOP2A;LRR1;HJURP;NRM;BUB1B;MKI67;FOXM1;CDC20;TUBA1C;PTTG1;PCLAF;NUSAP1;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;WDR76;CCNA2;MELK;ESPL1;KIFC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;CDCA8;TYMS;SKA1;AURKA;BCL2L12;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF4A;CDK1;CENPM;EZH2
CID44818584 AA-42-XZ05 BAID32 10UM	24/74	2.469188454106194E-19	1.6753443661110524E-16	0	0	17.005338208409505	728.5975796848488	TOP2A;RRM2;CKAP2L;UBE2C;PLK1;HJURP;CDCA8;MKI67;FOXM1;TYMS;AURKA;CDC20;TUBA1C;TPX2;PTTG1;KIFC1;KIF4A;PCLAF;BIRC5;CENPM;KIF2C;TK1;KIF20A;PRR11
CID151345176 AC-45-YY00 BAID36 10UM	26/92	3.902290692968494E-19	2.269460773010677E-16	0	0	13.996052265777037	593.2584076123717	TOP2A;HJURP;BUB1B;CDCA8;MKI67;AURKA;CDC20;TUBA1C;PTTG1;TK1;DLGAP5;RRM2;CDKN2C;UBE2C;PLK1;KIF23;CCNA2;TPX2;ESPL1;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	61/579	9.672981436246316E-19	4.922338428369844E-16	0	0	4.3666098871981225	181.1260182825697	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;NRM;BUB1B;YBX1;FOXM1;MKI67;CDC20;TUBA1C;PTTG1;MDK;PCLAF;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;ACTL6A;GPX8;KIF23;WDR76;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;CDCA8;SKA1;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;E2F2;BUB1;CA12;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;CENPH;KIF4A;CENPM;PLP2;APOBEC3B
CID101476432 RC-52-AC88 BAID28 10UM	73/834	1.046067432615086E-17	4.1519657094389506E-15	0	0	3.595892109832233	140.5954574779188	ARHGAP11A;TOP2A;STEAP3;CDCA7L;LRR1;RPLP0;TNC;HJURP;NRM;BUB1B;YBX1;FOXM1;MKI67;KIF15;CDC20;TUBA1C;PTTG1;PCLAF;RCC1;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;EIF5AL1;ANXA2;CKAP2L;KIF23;WDR76;CCNA2;NEIL3;MELK;ESPL1;KIFC1;CKS2;DEPDC1;BIRC5;TAGLN2;KIF2C;KIF20A;PRR11;DTL;CDCA2;CDCA8;HMMR;SKA1;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;EIF4EBP1;E2F2;BUB1;CA12;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;CENPH;CENPI;KIF4A;CDK1;CENPM;VIM;TGFBI;EZH2;APOBEC3B
CID71678945 NA-16-OJ70 BAID32 10UM	44/328	1.1162653025630034E-17	4.1519657094389506E-15	0	0	5.628324023839431	219.69576366320854	TOP2A;CDCA2;LRR1;HJURP;NRM;CDCA8;BUB1B;MKI67;TYMS;FOXM1;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;CDC45;ORC1;PCLAF;SERPINH1;OIP5;TK1;GTSE1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;PLK1;WDR76;NDC80;TPX2;MELK;ESPL1;KIFC1;KIF4A;CKS2;CENPM;BIRC5;TAGLN2;KIF2C;KIF20A;TGFBI;PRR11;ASF1B
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	36/217	1.1218772489272528E-17	4.1519657094389506E-15	0	0	7.155759797593845	279.2817425757181	TOP2A;CDCA2;HJURP;CDCA8;BUB1B;MKI67;FOXM1;CDC20;BCL2L12;TUBA1C;CDC45;PTTG1;PCLAF;SERPINH1;TK1;DLGAP5;EIF5AL1;TCF19;GINS2;CDKN2C;RRM2;UBE2C;PLK1;WDR76;TPX2;DEPDC1B;MELK;CENPH;KIF4A;CENPM;BIRC5;TAGLN2;KIF2C;KIF20A;PLP2;ASF1B
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	64/703	1.9556380144359457E-16	6.634501963973946E-14	0	0	3.71191426446031	134.26233312136927	ARHGAP11A;TOP2A;LRR1;HJURP;NRM;BUB1B;FOXM1;MKI67;KIF15;CDC20;TUBA1C;PTTG1;NUF2;PCLAF;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;F2R;KIF23;WDR76;CCNA2;MELK;ESPL1;KIFC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;CDCA8;TYMS;SKA1;AURKA;BCL2L12;CCNB2;CDC45;ORC1;E2F2;BUB1;CA12;CENPU;GINS2;POLQ;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;APOBEC3B
BE-04-AN21 BAID11 1UM	36/240	3.1250900676223037E-16	9.786339742531075E-14	0	0	6.341396371632765	226.3998888694814	TOP2A;CDCA2;LRR1;HJURP;CDCA8;MKI67;FOXM1;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;PTTG1;PCLAF;TK1;GTSE1;DLGAP5;TCF19;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;MELK;ESPL1;KIFC1;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;APOBEC3B
CID72710839 BLU-9931 HF-79-EC41 BAID4 10UM	53/520	8.631596538877881E-16	2.509944964983704E-13	0	0	4.154448422114375	144.1009154719864	TOP2A;STEAP3;HJURP;BUB1B;YBX1;FOXM1;MKI67;KIF15;CDC20;TUBA1C;PTTG1;PCLAF;TK1;GTSE1;DLGAP5;CEP55;TCF19;EIF5AL1;ANXA2;CKAP2L;ACTL6A;KIF23;CCNA2;MELK;KIFC1;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;CDCA8;SKA1;AURKA;BCL2L12;CCNB2;CDC45;SERPINH1;CA12;GINS2;CDKN2C;RRM2;CMTM3;UBE2C;PLK1;TPX2;CENPH;KIF4A;CDK1;CENPM;TGFBI;VIM;APOBEC3B
BB-84-DG64 BAID52 10UM	45/390	1.5323368826822333E-15	4.158762299599581E-13	0	0	4.732352454951232	161.4299238926593	TOP2A;STEAP3;CDCA2;HJURP;NRM;CDCA8;BUB1B;YBX1;FOXM1;MKI67;SKA1;AURKA;BCL2L12;CDC20;TUBA1C;CCNB2;CDC45;MDK;NUF2;SERPINH1;PCLAF;OIP5;TK1;GTSE1;TCF19;GINS2;CDKN2C;RRM2;CKAP2L;UBE2C;PLK1;TPX2;MELK;CENPH;ESPL1;KIFC1;KIF4A;CENPM;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;EZH2;APOBEC3B
CID53378674 BB-86-UL91 BAID23 1UM	24/107	2.930684529896878E-15	7.456760450756369E-13	0	0	10.226735093940663	342.22276268182827	GINS2;RRM2;UBE2C;PLK1;CDCA8;MKI67;TYMS;AURKA;CDC20;CCNB2;TPX2;MELK;CDC45;PTTG1;KIFC1;KIF4A;PCLAF;BIRC5;CENPM;KIF2C;KIF20A;TK1;GTSE1;DLGAP5
