Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID44818584 AA-42-XZ05 BAID32 10UM	19/74	3.047493500755022E-11	1.228749379504425E-7	0	0	8.832581818181819	213.87316578788338	TOP2A;RRM2;CKAP2L;UBE2C;HJURP;ESCO2;MKI67;FOXM1;AURKB;AURKA;TUBA1C;TPX2;KIF4A;PCLAF;CENPM;MYBL2;TK1;KIF20A;PRR11
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	31/217	2.9270504889541055E-10	5.900933785731477E-7	0	0	4.301038843721771	94.41578394131717	TOP2A;CDCA2;HJURP;BUB1B;MKI67;FOXM1;CENPA;AURKB;BCL2L12;TUBA1C;CDC45;PCLAF;SERPINH1;MYBL2;TK1;DLGAP5;EIF5AL1;TCF19;RRM2;UBE2C;TPX2;MEX3A;KIF18B;KIF4A;MFAP2;CENPM;TAGLN2;KIF20A;PLP2;NES;ASF1B
CID151345176 AC-45-YY00 BAID36 10UM	19/92	1.6972163380830305E-9	2.281058758383593E-6	0	0	6.648438356164384	134.2604016342081	TOP2A;RRM2;UBE2C;HJURP;BUB1B;KIF23;MKI67;CENPA;AURKB;AURKA;TUBA1C;TPX2;ESPL1;KIF4A;CENPM;TK1;KIF20A;PRR11;DLGAP5
CID71678945 NA-16-OJ70 BAID32 10UM	37/328	5.002322045737707E-9	4.380691264474573E-6	0	0	3.289861604041087	62.88032110794038	TOP2A;CDCA2;HJURP;BUB1B;MCM10;MKI67;FOXM1;CENPA;AURKB;AURKA;BCL2L12;TUBA1C;CDC45;PCLAF;SERPINH1;MYBL2;TK1;GTSE1;DLGAP5;RRM2;UBE2C;CBX2;ESCO2;NDC80;TPX2;TMEM37;KIF18B;ESPL1;KIF4A;MFAP2;CENPM;TAGLN2;KIF20A;TGFBI;PRR11;NES;ASF1B
CID44819306 CA-90-RU33 BAID12 10UM	35/300	5.432404841858349E-9	4.380691264474573E-6	0	0	3.4127294226517915	64.94725749424164	TOP2A;CDCA2;HJURP;BUB1B;MKI67;FOXM1;CENPA;AURKB;AURKA;BCL2L12;TUBA1C;CDC45;PCLAF;PBK;MYBL2;TK1;BUB1;DLGAP5;CEP55;TCF19;RRM2;UBE2C;CKAP2L;KIF23;ESCO2;NDC80;TPX2;KIF18B;RAD51;ESPL1;KIF4A;CENPM;KIF20A;ASF1B;APOBEC3B
BE-04-AN21 BAID11 1UM	30/240	1.3859106874611451E-8	8.715463093584974E-6	0	0	3.676976609317611	66.53240347788359	TOP2A;CDCA2;HJURP;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;BCL2L12;TUBA1C;PCLAF;MYBL2;TK1;GTSE1;DLGAP5;TCF19;RRM2;UBE2C;CBX2;TPX2;KIF18B;ESPL1;KIF4A;CENPM;KIF20A;PRR11;NES;ASF1B;APOBEC3B
CID9907182 GB-94-XG34 BAID16 10UM	50/550	1.696059568552666E-8	8.715463093584974E-6	0	0	2.605146036161335	46.612244817906955	ARHGAP11A;TOP2A;RPLP0;HJURP;BUB1B;MCM10;FOXM1;MKI67;TUBA1C;PBK;PCLAF;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;EIF5AL1;ANXA2;CKAP2L;KIF23;ESCO2;ASPM;ESPL1;TAGLN2;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;CDCA7;CENPA;AURKB;AURKA;BCL2L12;CDC45;SERPINH1;EIF4EBP1;PPP1R14B;RRM2;UBE2C;CBX2;TPX2;RAD51;KIF18B;KIF4A;MFAP2;CENPM;NES;APOBEC3B
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	50/551	1.798516759899315E-8	8.715463093584974E-6	0	0	2.5998073394240726	46.36423209218983	ARHGAP11A;TOP2A;ERCC6L;HJURP;BUB1B;MCM10;FOXM1;MKI67;LMNB1;TUBA1C;PBK;PCLAF;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;ESCO2;ASPM;ESPL1;DEPDC1;MTFR2;KIF20A;PRR11;DTL;ASF1B;CDCA2;SLC43A3;CDCA7;CENPA;AURKB;AURKA;CDC45;BUB1;RRM2;UBE2C;CBX2;NDC80;TPX2;RAD51;KIF18B;CENPI;KIF4A;CDK2;CENPM;PLP2;APOBEC3B
EA-73-UC67 BAID36 10UM	25/177	1.9454158691037888E-8	8.715463093584974E-6	0	0	4.217733092812677	74.88671559394345	TOP2A;CDCA2;HJURP;BUB1B;MKI67;CENPA;AURKB;AURKA;TUBA1C;PCLAF;PBK;TK1;BUB1;DLGAP5;RRM2;UBE2C;CKAP2L;TPX2;KIF4A;DEPDC1;CENPM;KIF20A;TGFBI;NES;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	39/396	8.178029270933695E-8	3.17231475890892E-5	0	0	2.8244733509842295	46.093228952197705	ARHGAP11A;TOP2A;CDCA2;HJURP;BUB1B;FOXM1;MKI67;CENPA;AURKB;AURKA;BCL2L12;TUBA1C;CDC45;SERPINH1;PBK;PCLAF;MYBL2;TK1;GTSE1;BUB1;DLGAP5;CEP55;TCF19;RRM2;CKAP2L;UBE2C;CBX2;KIF23;TMEM37;TPX2;RAD51;KIF18B;ESPL1;KIF4A;CENPM;KIF20A;NES;ASF1B;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	50/579	8.654628558531279E-8	3.17231475890892E-5	0	0	2.458518578891603	39.9818709838369	ARHGAP11A;TOP2A;ERCC6L;HJURP;BUB1B;MCM10;FOXM1;MKI67;LMNB1;TUBA1C;MDK;PBK;PCLAF;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;GPX8;KIF23;ESCO2;TMEM37;ASPM;ESPL1;KIF20A;PRR11;ASF1B;CDCA2;CDCA7;CENPA;AURKB;AURKA;BCL2L12;CDC45;SERPINH1;BUB1;RRM2;UBE2C;CBX2;TPX2;RAD51;KIF18B;KIF4A;MFAP2;CENPM;PLP2;NES;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	35/360	5.130415131631452E-7	1.723819484228168E-4	0	0	2.773883881785789	40.17390803814381	TOP2A;CDCA2;HJURP;BUB1B;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;BCL2L12;TUBA1C;CDC45;PCLAF;PBK;MYBL2;TK1;GTSE1;DLGAP5;TCF19;RRM2;UBE2C;CKAP2L;KIF23;ESCO2;TPX2;KIF18B;ESPL1;KIF4A;CENPM;KIF20A;MTFR2;PRR11;DTL;ASF1B
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	11/44	6.071932243077942E-7	1.8832331387761737E-4	0	0	8.442392260334213	120.84793823368535	TOP2A;RRM2;UBE2C;HJURP;PBK;PCLAF;CENPM;MYBL2;KIF20A;AURKB;DLGAP5
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	25/218	1.1365672441370178E-6	3.2733136631146113E-4	0	0	3.314599699147585	45.36857684457729	TOP2A;HJURP;BUB1B;MKI67;CENPA;AURKB;AURKA;CDC45;MDK;PCLAF;SERPINH1;MYBL2;TK1;RRM2;UBE2C;CKAP2L;CBX2;TPX2;KIF4A;CENPM;KIF20A;PRR11;NES;ASF1B;APOBEC3B
CID72710839 BLU-9931 HF-79-EC41 BAID4 10UM	42/520	5.188675140765636E-6	0.0013947158778378028	0	0	2.2665105062934163	27.58123925317421	TOP2A;CDCA2;HJURP;BUB1B;FOXM1;MKI67;CENPA;AURKB;LMNB1;AURKA;BCL2L12;TUBA1C;CDC45;SERPINH1;PBK;PCLAF;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;EIF5AL1;RRM2;ANXA2;CMTM3;CKAP2L;UBE2C;CBX2;KIF23;TMEM37;TPX2;KIF18B;KIF4A;MFAP2;CENPM;KIF20A;TGFBI;PRR11;NES;ASF1B;APOBEC3B
CID9820526 VC-19-YG34 BAID27 1UM	41/506	6.212531669115252E-6	0.0015655579806170435	0	0	2.2728524164008035	27.249095951411828	TOP2A;CDCA2;HJURP;BUB1B;FOXM1;MKI67;CENPA;AURKB;LMNB1;AURKA;BCL2L12;TUBA1C;SERPINH1;PBK;EIF4EBP1;PCLAF;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;EIF5AL1;RRM2;CMTM3;UBE2C;CBX2;ESCO2;TMEM37;TPX2;RAD51;KIF18B;ESPL1;CENPI;KIF4A;MFAP2;CENPM;PLP2;KIF20A;NES;APOBEC3B
JD-02-GA59 BAID32 10UM	15/101	7.099821045643996E-6	0.0016839104974139172	0	0	4.428705817037814	52.5042604275714	RRM2;ANXA2;UBE2C;BUB1B;TPX2;TUBA1C;CDC45;PCLAF;SERPINH1;DEPDC1;CENPM;TAGLN2;MYBL2;TK1;NES
CB-25-VR83 BAID36 10UM	33/378	1.0966013487541761E-5	0.0024563870212093546	0	0	2.4544659735349716	28.031743477550112	TOP2A;ARHGAP11A;SPARC;CDCA2;HJURP;BUB1B;MCM10;AURKB;AURKA;TUBA1C;CDC45;EXO1;PCLAF;PBK;MYBL2;TK1;GTSE1;BUB1;DLGAP5;RRM2;ANXA2;UBE2C;CBX2;KIF23;ESCO2;TPX2;TMEM37;ESPL1;KIF4A;CENPM;TAGLN2;NES;DTL
CID53378674 BB-86-UL91 BAID23 1UM	15/107	1.4533488655624617E-5	0.0028474467092895316	0	0	4.138579748587245	46.09986747873314	RRM2;UBE2C;MKI67;AURKB;AURKA;TPX2;CDC45;KIF4A;PCLAF;CENPM;MYBL2;KIF20A;TK1;GTSE1;DLGAP5
