Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	77/551	5.488341975537076E-33	2.2628433965139364E-29	0	0	6.5884858812074	489.4104006989148	ARHGAP11A;TOP2A;LRR1;HJURP;NRM;FOXM1;MKI67;LMNB1;CDC20;PTTG1;NUF2;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;PCNA;SLC43A3;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	63/396	2.7206600228005054E-30	5.6086406370032416E-27	0	0	7.505551194347875	510.9529939980208	ARHGAP11A;TOP2A;LRR1;HJURP;YBX1;FOXM1;MKI67;CDC20;CSRP2;PTTG1;NUF2;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;CEP55;TCF19;CKAP2L;KIF23;CDC25C;PIMREG;WDR76;CCNA2;TMEM37;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;ASF1B;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2;APOBEC3B;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	54/300	8.465045467915961E-29	1.1633794154739168E-25	0	0	8.587799910585664	555.106990013931	TOP2A;HJURP;MKI67;FOXM1;CDC20;PTTG1;PCLAF;PBK;MYBL2;TK1;CEP55;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;MTHFD2;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;TROAP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	58/360	3.1437876208350315E-28	3.2404590901757087E-25	0	0	7.553163713504766	478.31885317088404	TOP2A;LRR1;HJURP;NRM;MKI67;FOXM1;LMNB1;CDC20;PTTG1;PCLAF;PBK;MYBL2;TK1;GTSE1;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;ASF1B;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	69/550	1.0577734073653004E-26	8.722399517134268E-24	0	0	5.718155453449571	342.0088604515229	ARHGAP11A;TOP2A;LRR1;RPLP0;HJURP;YBX1;FOXM1;MKI67;CDC20;PTTG1;NUF2;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;TCF19;FOXD1;CKAP2L;KIF23;ESCO2;PIMREG;WDR76;CCNA2;MELK;ESPL1;MTHFD2;KIFC1;FANCD2;CKS2;BIRC5;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;GNG5;SERPINH1;EIF4EBP1;CENPU;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;CENPH;KIF4A;CDK1;CENPM;VIM;APOBEC3B;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	28/74	4.790622383199285E-25	3.291956014321775E-22	0	0	22.851400218652763	1279.6319550738517	TOP2A;TROAP;HJURP;CDCA8;MKI67;FOXM1;TYMS;AURKB;AURKA;CDC20;PTTG1;PCLAF;MYBL2;TK1;RRM2;CKAP2L;UBE2C;PLK1;ESCO2;PIMREG;TPX2;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	67/579	6.501810829903464E-24	3.829566578813141E-21	0	0	5.185918704236402	276.87599998484694	ARHGAP11A;TOP2A;LRR1;HJURP;NRM;YBX1;FOXM1;MKI67;LMNB1;CDC20;CSRP2;PTTG1;EME1;MDK;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;TCF19;CKAP2L;ACTL6A;KIF23;ESCO2;CDC25C;PIMREG;WDR76;CCNA2;TMEM37;NEIL3;MELK;ESPL1;TMSB15A;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;CENPH;KIF4A;CENPM;APOBEC3B;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	78/834	7.362779711690002E-22	3.794592593912235E-19	0	0	4.131181808912002	201.02510184581664	ARHGAP11A;TOP2A;LRR1;RPLP0;HJURP;NRM;YBX1;FOXM1;MKI67;LMNB1;CDC20;PTTG1;EME1;PBK;PCLAF;RCC1;MYBL2;OIP5;TK1;GTSE1;CEP55;TCF19;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;TMEM37;NEIL3;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;FANCD2;CKS2;DEPDC1;BIRC5;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;SERPINH1;EIF4EBP1;BUB1;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;KIF4A;CDK1;CENPM;ID3;VIM;EZH2;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID32 10UM	48/328	1.1803110086721559E-21	5.4071358763947765E-19	0	0	6.613969531474561	318.7173301771367	TOP2A;LRR1;TROAP;HJURP;NRM;CDCA8;MKI67;TYMS;FOXM1;CENPA;AURKB;AURKA;CDC20;CCNB2;CDC45;EME1;PCLAF;SERPINH1;OIP5;MYBL2;TK1;GTSE1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;ESCO2;PIMREG;WDR76;NDC80;TPX2;TMEM37;MELK;KIF18B;ESPL1;TMSB15A;KIFC1;FANCD2;KIF4A;CKS2;CENPM;BIRC5;TAGLN2;KIF2C;KIF20A;PRR11;ASF1B
BE-04-AN21 BAID11 1UM	41/240	3.325578836696086E-21	1.3711361543697963E-18	0	0	7.871659886735263	371.16957009154487	TOP2A;LRR1;TROAP;HJURP;CDCA8;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;CCNB2;PTTG1;PCLAF;MYBL2;TK1;GTSE1;TCF19;GINS2;CDKN2C;RRM2;UBE2C;PLK1;PIMREG;TPX2;MELK;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;APOBEC3B
